8/8/4k3/6pp/7P/8/5K2/8 w - -,f2e3 g5g4 e3d4 e6f5 d4e3 f5e5 e3f2 e5e4 f2g2 e4f4,-9605
8/8/8/p7/P2K4/6k1/8/8 w - -,f2f3 g5g4 f3e4 e6d6 e4d4 d6c6 d4e4 c6c5 e4e3 c5d5,Mate
r2qk1nr/pp2bppp/2n1p3/2ppP3/5Pb1/3P1N2/PPP1B1PP/RNBQK2R w KQkq -,e1h1 g8h6 c1e3 h6f5 e3f2 d8b6 b1d2 b6b2 c2c4 e8h8,-55
rn2kb1r/pp2pppp/1q3n2/3p4/3p1Bb1/1P2PN2/P1PN1PPP/R2QKB1R w KQkq -,f1d3 d4e3 f4e3 b6c7 c2c4 b8c6 a2a3 a8d8 b3b4 g4f3,-187
rnb1kbnr/5ppp/pq2p3/2pp4/3P1B2/5N2/PP2PPPP/RN1QKB1R w KQkq -,d1b3 b6b3 a2b3 b8c6 e2e3 c5d4 f1b5 f8b4 e1e2 g8e7,-47
r1b1kb1r/pp1p1ppp/1qn1p3/3n4/3P1B2/1PPB4/P4PPP/RN1QK1NR w KQkq -,f4d2 c6d4 d3c4 d4f5 c4d5 e6d5 g1e2 f8c5 e1h1 e8h8,-62
rn1qk1nr/1b2bppp/p2pp3/1pp5/4PP2/1BNP1N2/PPP3PP/R1BQK2R w KQkq -,e1h1 b8c6 d1e1 g8f6 f4f5 e6f5 f3h4 c6d4 h4f5 d4f5,16
8/2Q5/8/1k6/3K4/1b6/8/8 w - -,e1h1 b8c6 d1e1 g8f6 f4f5 e6f5 f3h4 c6d4 h4f5 d4f5,Mate
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2N4P/PPP1QPP1/R1B1KBNR w KQ -,g1f3 e7e5 d4e5 d6e5 c1g5 c7c6 a2a4 d8c7 e2e3 c8e6,9
4k3/8/2Kp4/3P1P2/7B/b7/8/8 w - -,g1f3 e7e5 d4e5 d6e5 c1g5 c7c6 a2a4 d8c7 e2e3 c8e6,Mate
6K1/4k1P1/8/8/8/1R6/8/7r w - -,g1f3 e7e5 d4e5 d6e5 c1g5 c7c6 a2a4 d8c7 e2e3 c8e6,Mate
3r3k/p1q1r3/7b/1ppB3P/2PpN3/P4pP1/1P6/1K6 w - -,g3g4 b5c4 g4g5 h6f8 d5e6 c7e5 e4d2 e5e1 b1a2 e1d2,-3269
4k3/8/8/4K3/6p1/2r3P1/8/4R3 w - -,g3g4 b5c4 g4g5 h6f8 d5e6 c7e5 e4d2 e5e1 b1a2 e1d2,Mate
3r1b1k/p1q1r3/7p/1ppB3P/2PpN3/P3QpP1/1P6/1K6 w - -,e3f3 f8g7 b1a2 b5c4 d5c4 d4d3 e4c3 g7c3 c4d3 c3b2,-1130
r2qk2r/4bppp/p1npbn2/1p2p1B1/4P3/2N1N3/PPP2PPP/R2QKB1R w KQkq -,g5f6 e7f6 c3d5 f6g5 e3f5 e8h8 h2h4 g5f6 f5e3 d8a5,64
r1bqk2r/3pbppp/p4n2/1p6/2p1P3/1B6/PPP2PPP/RNBQ1RK1 w kq -,c2c3 c4b3 e4e5 f6g8 d1f3 a8b8 c3c4 b3a2 b1c3 b5c4,-477
8/3B4/8/8/2kB4/4K3/8/8 w - -,b1c3 e8h8 e4e5 f6e8 c1e3 c8b7 b3c4 b5c4 c3d5 b7d5,Mate
8/8/5k2/8/3K4/3B2B1/8/8 w - -,b1c3 e8h8 e4e5 f6e8 c1e3 c8b7 b3c4 b5c4 c3d5 b7d5,Mate
r1q1k2r/pp1bppb1/2np1np1/7p/2P5/1PN3P1/P1N1PPBP/R1BQ1RK1 w kq -,f1e1 d7h3 g2f3 h5h4 a1b1 h3g4 c1b2 h4g3 f2g3 c6e5,-79
