r2q1rk1/pppbbppp/2np1n2/4p1B1/2B1P3/2NP1N2/PPPQ1PPP/R3K2R w KQ -,h2h3 c6d4 f3d4 e5d4 c3e2 b7b5 c4b3 a7a5 g5f6 e7f6,-9
r2qkbnr/ppp2ppp/2n5/3pp3/3P4/2P2P1P/PP3PP1/RNBQKB1R w KQkq -,d4e5 c6e5 f3f4 e5c6 f1d3 g8f6 e1h1 f8d6 f1e1 c6e7,83
8/8/8/Q3K3/2k5/3n4/8/8 w - -,f1d3 f8d6 e1h1 g8f6 c1e3 e8h8 b1d2 f8e8 f1e1 e5d4,Mate
r1bqk2r/1pp2ppp/1pnp1n2/4p3/1P2P3/P4N2/2PP1PPP/R1BQKB1R w KQkq -,f1b5 f6e4 d2d4 e8h8 c1b2 e5d4 f3d4 d8g5 e1h1 c8h3,-151
r1bqk2r/pppp1pp1/2n2n1p/b3p3/2B1P3/2PPBN2/PP3PPP/RN1QK2R w KQkq -,b1d2 e8h8 e1h1 a5b6 f1e1 d7d6 a2a4 b6e3 e1e3 c6e7,49
r2qkb1r/ppp1nppp/2n1b3/4P3/2Pp4/5NP1/PP1NPP1P/R1BQKB1R w KQkq -,f1g2 d8d7 f3g5 e8a8 e1h1 c6e5 g5e6 d7e6 b2b4 e5c4,158
rnbq1rk1/pp2ppbp/5np1/3p4/3P1B2/2NB1N2/PPP2PPP/R2QK2R w KQ -,d1d2 b8c6 h2h3 d8b6 c3a4 b6b4 d2b4 c6b4 e1h1 b4d3,-48
rnbqkbnr/pp2pppp/8/2ppP3/3P2PP/8/PPP2P2/RNBQKBNR w KQkq -,c1e3 h7h5 g4h5 b8c6 c2c3 g8h6 b1d2 c5d4 c3d4 c8f5,-35
r1bqkb1r/pp1p1ppp/2n2n2/4p3/2Q1P3/5N2/PPP2PPP/RNB1KB1R w KQkq -,a2a3 d7d5 e4d5 f6d5 f1d3 f8e7 d3e4 c8e6 c4d3 d5f4,-48
r1bqkb1r/pp3p1p/2np1np1/2p1p3/4P3/1P1P1N2/PBPN1PPP/R2QKB1R w KQkq -,c2c3 f8g7 f1e2 e8h8 e1h1 f8e8 f1e1 d6d5 a2a3 a7a5,-69
r1bqkb1r/p2p1pp1/2p2n1p/np2p3/B3P3/2PP1N2/PP3PPP/RNBQK2R w KQkq -,a4b5 c6b5 b2b4 a5c6 a2a4 b5a4 b4b5 c6b8 f3e5 f8e7,-367
r1bqkbnr/ppp2p1p/2np4/8/4PppP/2N5/PPPP2P1/R1BQKBNR w KQkq -,f1c4 f8e7 d2d4 e7h4 e1f1 h4f6 c3e2 c8d7 c2c3 f6g5,-159
rnbqk2r/pppp1pp1/5n1p/3Pp1B1/8/2P5/P1P1PPPP/R2QKBNR w KQkq -,g5e3 d7d6 c3c4 c7c6 f2f3 b7b5 c4b5 c6d5 e3f2 e8h8,-153
r1bqk2r/pp2b1pp/2np1n2/2p1ppB1/2P5/2NP1NP1/PP2PPBP/R2QK2R w KQkq -,e1h1 e8h8 a2a3 g8h8 a1b1 h7h6 g5f6 e7f6 c3d5 a7a5,44
r1bq1rk1/pppnbppp/3p1n2/4p3/3PP3/2N1BP2/PPP1N1PP/R2QKB1R w KQ -,d4d5 c7c6 d1d2 c6d5 e4d5 a7a6 a2a4 f6e8 g2g4 f7f5,24
r2qk1nr/1ppbbppp/p1np4/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,c2c3 g7g5 d2d4 g5g4 d4d5 g4f3 d5c6 b7c6 d1f3 h7h5,95
rn1qkb1r/ppp2ppp/8/3p4/3Pn1b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,h2h3 g4e6 e1h1 f8e7 e2d3 f7f5 d1e2 b8c6 c2c4 c6b4,39
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1g5 e7e6 c4d5 e6d5 f1b5 f8e7 b5c6 b7c6 e1h1 e8h8,86
