r1bqkb1r/pp3ppp/2n1p3/2pn4/3P4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3 f8e7 d4c5 d5c3 d1d8 c6d8 b2c3 e7c5 f3e5 f7f6,70
8/8/2K5/5R2/4k3/8/8/8 w - -,c1d2 d5c3 b2c3 c5d4 c3d4 d8d4 g1f3 d4d6 e1h1 f8e7,Mate
r1bqk2r/pp2bppp/3p1n2/2p1p3/2PnP3/2NP1N2/PP2BPPP/R1BQ1RK1 w kq -,f3d4 c5d4 c3d5 f6d5 c4d5 c8d7 f2f4 a8c8 c1d2 e8h8,28
r2qk2r/ppp1bpp1/2np1n1p/4p3/2B1P1b1/2NPBN2/PPP1QPPP/R3K2R w KQkq -,h2h3 g4f3 e2f3 e8h8 a2a4 f6d7 c3e2 a7a6 c2c3 e7g5,94
r1bq1rk1/ppp3pp/2np1n2/2b1pp2/2P1P3/2NP2PP/PP3PB1/R1BQK1NR w KQ -,g1e2 f5e4 a2a3 c8e6 e1h1 e4d3 d1d3 d8d7 g3g4 d7f7,-237
rnbqkbnr/pppp2pp/8/1B2p3/4p3/5N2/PPPP1PPP/RNBQK2R w KQkq -,f3e5 d8g5 d2d4 g5g2 h1f1 c7c6 b5c4 d7d5 c4e2 b8d7,-205
r1bqkb1r/pp1p1ppp/4pn2/8/3QP3/P7/1PP2PPP/RNB1KB1R w KQkq -,b1c3 d8c7 b2b4 f8e7 e4e5 e8h8 c1g5 f6d5 c3d5 e6d5,82
r1bq1rk1/ppp2pbp/2n1pnp1/3p4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - -,h2h3 f8e8 e3e4 d5e4 d2e4 e6e5 c1g5 c8f5 f1e1 f5e4,53
rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/3P1NP1/PP2PP1P/RNBQKB1R w KQkq -,h2h3 b8c6 f1g2 d5d4 e2e3 f8d6 e3d4 c5d4 c1g5 h7h6,-48
8/8/6k1/8/8/1p4K1/2P5/8 w - -,c2b3 g6f5 g3f3 f5e5 f3e3 e5d5 e3d3 d5c5 d3c3 c5b5,Mate
r1bqk2r/ppp2ppp/2n2n2/3pp3/1b6/1PNP4/PBPQPPPP/R3KBNR w KQkq -,e2e4 d5d4 g1e2 e8h8 a2a3 d4c3 e2c3 b4c5 f1e2 c6d4,-415
r1bqk2r/ppp2ppp/2np1n2/4p3/1b2P3/1P1P4/PBPN1PPP/R2QKBNR w KQkq -,c2c3 b4c5 g1f3 e8h8 d3d4 c5b6 f1d3 e5d4 c3d4 c8g4,-40
r1bqk2r/ppp1bppp/3p1n2/4p3/2BnP3/P1N2N1P/1PPP1PP1/R1BQK2R w KQkq -,d2d3 d4f3 d1f3 c7c6 c1e3 c8e6 c4e6 f7e6 h3h4 d6d5,20
rnbqkb1r/ppp2p1p/3ppnp1/3P4/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4 e6d5 c4d5 f8g7 f1d3 e8h8 g1f3 c7c6 e1h1 b8d7,40
rnbqk2r/ppp2pp1/4pn1p/6B1/1bBP4/2N1P3/PP3PPP/R2QK1NR w KQkq -,g5h4 c7c5 g1f3 c5d4 e3d4 e8h8 e1h1 b8c6 f1e1 b4e7,69
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/1P3N2/P1PP1PPP/RNBQ1RK1 w - -,c4d5 c6b4 f3e5 f6d5 e4d5 e7f6 d2d4 d7d6 e5c4 b4d5,-102
rn1qkb1r/p4ppp/2pp1n2/1p2p3/4P1b1/1BNP1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 g4e6 b3e6 f7e6 c3e2 f8e7 c2c3 c6c5 e1h1 e8h8,115
r4k2/6R1/2p5/8/2PB1Pp1/4P3/r7/6K1 w - -,g7g4 a2c2 g4g2 c2c1 g1h2 c1c4 d4e5 f8f7 g2g7 f7e6,-18
r2qkb1r/pp2pppp/2bp1n2/2p5/4P3/2N2N1P/PPPP1PP1/R1BQK2R w KQkq -,a2a3 f6e4 c3e4 c6e4 e1h1 d8d7 f1e1 e4g6 f3h4 e7e6,-171
rnbqk2r/ppp1ppbp/6p1/3nP1N1/8/8/PPP2PPP/RNBQKB1R w KQkq -,d1f3 e8h8 f1c4 c7c6 e5e6 c8e6 g5e6 f7e6 f3e2 d8d6,-46
rnbqk1nr/pppp2pp/5p2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq -,f1c4 d7d6 e1h1 b8c6 d4d1 d8d7 b1c3 g8e7 f2f4 d7g4,246
rnbqkb1r/ppppppp1/8/3nP2p/3P4/8/PPP2PPP/RNBQKBNR w KQkq -,c2c4 d5b6 d4d5 e7e6 d5d6 c7d6 e5d6 g7g6 g1f3 f8g7,217
r1bqk1nr/pp1nb1pp/2p1p3/3pP1B1/8/2N2N2/PPP2PPP/R2QKB1R w KQkq -,g5f4 d8b6 a2a3 g8h6 f4h6 g7h6 f1d3 d7c5 d1d2 c5d3,79
r1bq1rk1/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1N2/PPQ2PPP/R1B1KB1R w KQ -,h2h3 f6d7 a2a3 b4c5 f1e2 a7a5 c1e3 f8e8 a1d1 d7f8,-35
rnbqkb1r/pp3ppp/2p2n2/8/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq -,g1f3 f8d6 e1h1 e8h8 d2d4 c8f5 h2h3 h7h6 f3e5 b8d7,40
rnbqk2r/ppp2ppp/3p1n2/4p3/2B1P3/P1b5/1PPPNPPP/R1BQK2R w KQkq -,c4b5 c7c6 e2c3 c6b5 d2d4 e8h8 c1g5 h7h6 g5h4 g7g5,-314
