8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
rnbk1bnr/pp1pp1pp/2p2p2/7q/3PP3/2N2N2/PPP1BPPP/R1BQK2R w KQ -,d4d5 d7d6 a2a4 h5f7 e1h1 g7g6 a4a5 f8h6 a5a6 b7b6,595
r1bqk2r/pppp2pp/2n2p1n/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,c1h6 g7h6 f3h4 d7d6 d1h5 e8d7 h5g4 d7e8 g4g7 h8f8,473
8/8/8/K1k5/8/8/P7/8 w - -,,0
r1bqkb1r/pp2pppp/2np1n2/2p5/2P2P2/2N2N2/PP1PP1PP/R1BQKB1R w KQkq -,a2a3 g7g6 e2e3 f8g7 d2d3 d6d5 c4d5 f6d5 c1d2 e8h8,-44
r1b1k1nr/pppp1pp1/5q1p/2b5/2BnP3/2P5/PP3PPP/RNBQ1RK1 w kq -,c1e3 d4e6 c4e6 c5e3 e6f7 f6f7 f2e3 f7g6 b1a3 g8e7,-323
r2qkbnr/ppp2ppp/4p3/3Pn3/2B1P1b1/5N2/PP3PPP/RNBQK2R w KQkq -,d1a4 e5d7 f3e5 g8f6 e5g4 f6g4 d5e6 f7e6 c4e6 g4e5,251
r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P1P3/P1NP2P1/1P2NPBP/R1BQ1RK1 w - -,a1a2 c8e6 b2b3 a8b8 c3b5 f7f5 e4f5 e7f5 h2h3 d8d7,35
r1bqk2r/pppp3p/2n2p1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RN1Q1RK1 w kq -,f3h4 d7d6 d1h5 e8d7 h5g4 d7e8 g4g7 h8f8 g7h7 c6e7,507
r1b1k2r/ppppqppp/2n2n2/1Bb5/3pP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,c3d4 c5b6 e4e5 f6h5 b1c3 e8h8 c3d5 e7d8 f3g5 g7g6,525
rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2N2P2/PPPP2PP/R1BQKBNR w KQkq -,d2d4 c5d4 d1d4 g8f6 c1e3 b8c6 d4d2 f8e7 e1a1 e8h8,66
rn3rk1/pp2qp1p/2p5/3p4/5Q1P/2NP3R/PPP3P1/R4K2 w - -,a1e1 e7e1 f1e1 b8d7 f4g4 g8h8 g4d7 a8d8 d7b7 f8g8,1092
rn1q1rk1/pp3p1p/2p5/3p4/5Q1P/2NP3R/PPP3P1/4RK2 w - -,f4h6 f7f6 a1e1 e7f7 h3e3 b8a6 c3e2 f8e8 e2f4 e8e3,Mate
r2qkb1r/pbpn1ppp/1p1ppn2/8/2PP4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,b2b4 f8e7 f1d3 c7c5 c1b2 e8h8 d4d5 e6d5 c4d5 d7e5,40
r1bqkbnr/1pp2ppp/p1np4/4p3/1P6/4PN2/PBPP1PPP/RN1QKB1R w KQkq -,a2a3 g7g5 h2h3 f8g7 d2d4 e5d4 f1e2 h7h5 f3d4 c6d4,36
r1bqkbnr/p4ppp/2p5/3pp3/5B2/2P5/PP2PPPP/RN1QKB1R w KQkq -,f4e5 g8f6 d1a4 c8d7 b1d2 d8e7 a4f4 f6g4 e5c7 a8c8,81
rnbqk2r/1ppp1pp1/5n1p/p1b1p3/2B1P3/P2P3P/1PP2PP1/RNBQK1NR w KQkq -,g1f3 d7d6 c2c3 c5b6 b1d2 e8h8 e1h1 b8d7 d3d4 c7c6,-1
r1bqk2r/ppp2ppp/1bnp1n2/8/4P3/1NN2P2/PPP3PP/R1BQKB1R w KQkq -,c1g5 h7h6 g5h4 e8h8 f1b5 a7a6 b5c6 b7c6 c3a4 a6a5,28
r1bqkb1r/pp1npppp/2p2n2/3p4/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,c4d5 c6d5 g1f3 e7e6 f1g2 f8e7 e1h1 e8h8 f3e5 d7e5,27
r1bqkb1r/pp1npppp/5n2/3p4/3P4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,g1f3 e7e6 f1g2 f8d6 f3d2 d8b6 d2b3 e8h8 e1h1 b6d8,36
rnbqk2r/ppp1p1bp/3p2p1/4N1B1/2PPp3/8/PP2PPPP/R2QKB1R w KQkq -,e5f3 e4f3 e2f3 c7c5 d4c5 g7b2 f1d3 b2c3 g5d2 c3f6,-365
r1bq1rk1/pp2bppp/2np1n2/2p1p1B1/4P3/2NP1N2/PPPQBPPP/R3K2R w KQ -,g5f6 e7f6 c3d5 c8e6 c2c4 a8b8 a2a3 a7a5 a1b1 g7g6,-71
rnbqk1nr/pp3pp1/2p1p2p/3p4/3P4/3BP1P1/PPP2PP1/RN1QK1NR w KQkq -,b1c3 b8d7 d1g4 e8f8 g1f3 d8e7 e1a1 e6e5 d4e5 d7e5,78
r2qkb1r/ppp2ppp/3p1n2/3P4/3pP1b1/2N2N2/PPP2PPP/R2QKB1R w KQkq -,f1b5 g4d7 b5d7 d8d7 d1d4 f8e7 e1a1 e8h8 h2h3 d7d8,194
r1b1kbnr/pp3ppp/2n1p3/2ppP3/3P1B2/2q2N2/P2N1PPP/R2QKB1R w KQkq -,a2a4 c6d4 f3d4 c3d4 f1b5 c8d7 b5d7 e8d7 g2g3 g8e7,-498
8/8/8/4B3/8/4KB2/8/4k3 w - -,a2a4 c6d4 f3d4 c3d4 f1b5 c8d7 b5d7 e8d7 g2g3 g8e7,Mate
r1b1k2r/pp2bppp/1qn1p3/2ppP3/3P4/2P2N2/PP3PPP/RN1QKB1R w KQkq -,d1e2 e8h8 d4c5 e7c5 e2c2 b6c7 f1e2 c6e5 f3e5 c7e5,-262
r1b1k2r/pp1nppbp/2pp1np1/q7/P2PP3/2N1BP2/1PPQ2PP/R3KBNR w KQkq -,g1e2 e7e5 e1a1 e8h8 c1b1 d7b6 b2b3 e5d4 e3d4 b6d7,91
rn1qkbnr/1bp2ppp/p3p3/1p2N3/2pP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,c1d2 b8d7 a2a4 d7e5 d4e5 b5b4 c3e2 c7c5 f2f4 g8e7,-230
r1bqkb1r/1p1pnppp/p1n1p3/2p5/4P3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq -,c1e3 d7d6 d3d4 c6d4 f3d4 c5d4 d1d4 e7c6 d4b6 d8b6,77
r1bqkb1r/1p1p1ppp/p1n1p1n1/2p5/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w kq -,d3d4 c5d4 f3d4 f8e7 c1e3 e8h8 c3a4 c6d4 d1d4 b7b5,35
rn2kbnr/ppp1pppp/2q5/8/2pP4/2N1Pb1P/PP3PP1/R1BQKB1R w KQkq -,d1c2 f3g2 d4d5 g2d5 e3e4 d5e6 b2b4 a7a6 c1e3 e6c8,-763
r1bqkbnr/ppp1np2/3p3p/3Pp1p1/4P2B/2N5/PPP2PPP/R2QKBNR w KQkq -,f2f4 g5h4 f4e5 a7a6 e5d6 c7d6 g1f3 e7g6 d1d2 g8f6,-366
rnbqkb1r/ppp2ppp/4p3/2npP3/3P1P2/2N5/PPP3PP/R1BQKBNR w KQkq -,d4c5 f8c5 g1f3 c8d7 f1d3 b8c6 c3a4 c5e7 b2b3 c6b4,376
rn1qkb1r/ppp1ppp1/5n1p/5b2/2PP4/5N2/PP2BPPP/RNBQK2R w KQkq -,e1h1 e7e6 d1b3 d8c8 b1c3 f8e7 c1f4 e8h8 h2h3 b8d7,64
rn1qk2r/pbpp1ppp/1p2pn2/6B1/2PP4/1Qb2N2/PP2PPPP/R3KB1R w KQkq -,f3d2 c3d4 e2e3 d4c5 f1d3 e8h8 e1h1 h7h6 g5h4 c5e7,-624
rnbq1rk1/pp1p1ppp/2p2n2/8/1bPP4/2N2N2/PP3PPP/R1BQKB1R w KQ -,f1d3 f8e8 c1e3 d7d5 d1b3 a7a5 e1h1 d5c4 d3c4 c8e6,71
rnbkqbnr/pp1pp1pp/2p2p2/4N3/3PP3/2N5/PPP1BPPP/R1BQK2R w KQ -,e5d3 d7d6 e1h1 e7e5 c1e3 b8d7 f2f4 e5d4 e3d4 a7a5,465
r1bqkb1r/ppp2p1p/2np2pn/4p3/2B1P3/2PP4/PP3PPP/RNBQK1NR w KQkq -,g1f3 f8g7 a2a4 a7a6 e1h1 e8h8 c1g5 d8e8 d1c1 h6g4,36
8/8/2k5/8/8/1Q6/1K6/8 w - -,h2h4 d8e7 b1a3 h6g4 h4h5 g6h5 h1h5 h7h6 c1g5 h6g5,Mate
r1bqk2r/2pp1ppp/p1p2n2/8/1b2P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e1h1 e8h8 e4e5 f6d5 c3e2 b4e7 d2d4 a6a5 c2c4 d5b6,248
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/P1B1P3/2NP1N2/1PP2PPP/R1BQK2R w KQkq -,h2h3 d7d5 c4b3 e8h8 e1h1 b7b6 c1f4 c8b7 f1e1 d8d7,-69
r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/3P1N1b/PPP2PP1/RNBQ1RK1 w kq -,g2h3 h7h6 b1c3 d8d7 g1h2 g7g5 c3d5 f6d5 c4d5 h8g8,454
rnb1k1nr/pppp1pbp/5qp1/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq -,b1c3 c7c6 h2h4 b7b5 c4b3 a7a5 a2a4 b5b4 c3e2 d7d6,54
r1bqk2r/pp2npbp/2n1p1p1/2pp4/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 w kq -,c4b5 e8h8 c1f4 c6a5 e4d5 e6d5 d3d4 c5c4 b2b4 c4b3,-100
r1bqkb1r/pp3ppp/2np1n2/4p3/2PN4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,d4c2 e5e4 f1e2 c8e6 e1h1 f8e7 b2b3 d6d5 c4d5 e6d5,79
r2qk2r/pbpp1pp1/1pn2n1p/2b1p1B1/2B1P3/2NP1N2/PPP2PPP/R2Q1RK1 w kq -,g5f6 d8f6 c3d5 f6d8 c2c3 e8h8 d3d4 c5d6 d5e3 e5d4,98
r3k2r/pppq1ppp/2np1n2/2b1p3/2B1P3/3P1N1P/PPP2P2/RNBQ1RK1 w kq -,g1h2 h7h6 b1c3 g7g5 c3d5 f6d5 c4d5 h8g8 c1e3 g5g4,462
8/1pp3kN/p5p1/4n3/1P4b1/P3P1P1/7P/6K1 w - -,h7g5 e5c4 g5e4 c4a3 e4c5 g4c8 g1f2 b7b6 c5d3 g7f6,-550
rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2P2/PP2N1PP/R1BQKB1R w KQ -,e2g3 a7a6 a2a4 h7h5 c1g5 d8b6 d1d2 f6h7 a4a5 b6c7,44
r1bqk2r/pppp1ppp/2n5/3P4/1bB1n3/5N2/PP3PPP/RNBQK2R w KQkq -,b1c3 e4c3 b2c3 b4c3 c1d2 c3d2 d1d2 c6e7 d5d6 c7d6,-167
rnbqkb1r/ppp1pppp/8/3p4/3P1n2/4P3/PPPN1PPP/R2QKBNR w KQkq -,e3f4 c8f5 g1f3 e7e6 f3e5 f8d6 f1d3 f5d3 e5d3 e8h8,-12
r1b1kbnr/pp1p1ppp/n3p3/q1P5/3Q4/4B3/PPP1PPPP/RN2KBNR w KQkq -,b1c3 g8f6 d4a4 a5a4 c3a4 f6e4 e3d4 a6c5 a4c5 f8c5,-38
rn1qkb1r/pb1ppppp/1pp2n2/3P4/2B1P3/8/PPP2PPP/RNBQK1NR w KQkq -,d1d4 c6d5 c4d5 b8c6 d5c6 b7c6 b1c3 e7e6 g1f3 f8c5,-113
rnbqkb1r/pp2pppp/8/3p4/2pPnB2/3BP3/PPP2PPP/RN1QK1NR w KQkq -,d3e4 d5e4 b1c3 c8f5 g1e2 e7e6 d4d5 b8d7 d1d4 d8a5,234
r2qkbnr/ppp1p1pp/5p2/3Pn3/2p1PBb1/5N2/PP3PPP/RN1QKB1R w KQkq -,f4e5 f6e5 f1c4 a7a6 b1d2 g8f6 d1c2 e7e6 d5e6 f8d6,174
r1bqk2r/pppp1pp1/2n2n1p/8/1b2P3/2NB4/PPP2PPP/R1BQK1NR w KQkq -,f2f4 d8e7 g1e2 f6e4 e1h1 e4f6 a2a3 b4c5 g1h1 d7d5,-102
rnb1kbnr/p1pp1ppp/1p3q2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f3e5 b8c6 e5f3 f6g6 b1c3 f8b4 f1d3 g6h5 c1f4 b4c3,336
r1bqk2r/pp1pnppp/2p5/2b5/B2pP3/2P5/PP1P1PPP/RNBQ1RK1 w kq -,d2d3 e8h8 b1d2 c5b6 g1h1 d4c3 b2c3 d7d5 f2f4 b6a5,55
rn1qkb1r/ppp2ppp/4pnb1/3p4/6P1/3P1N1P/PPP1PPB1/RNBQK2R w KQkq -,c1f4 f8d6 f4d6 d8d6 e1h1 b8c6 b1d2 h7h6 c2c4 e8h8,-15
r1bqkbnr/pp2ppp1/2np4/2p4p/4P3/2N3PP/PPPP1P2/R1BQKBNR w KQkq -,g1f3 g7g6 d2d4 c5d4 f3d4 f8g7 c1e3 c8d7 d1d2 c6d4,48
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/4B3/PPP1BPPP/RN1QK1NR w KQkq -,b1d2 b7b6 g1f3 c8b7 e2d3 c7c5 c2c3 e8h8 e1h1 b8d7,65
r1bqkb1r/pppp1pp1/2n2n2/4P1p1/4P3/5N2/PPP2PPP/RN1QKB1R w KQkq -,e5f6 d8f6 b1c3 f8b4 d1d3 g5g4 f3d2 d7d6 e1a1 b4c3,-159
rnb1kbnr/pp2pppp/5q2/2p5/8/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,d2d4 c5d4 c3b5 b8a6 e1h1 c8d7 f1e1 a8c8 a2a4 h7h6,321
r1b1kbnr/pp3ppp/2n1p3/3p4/3p1B2/1PP1P3/1P1N1PPP/R3KBNR w KQkq -,g1f3 d4c3 b2c3 c8d7 b3b4 f7f6 e3e4 g8e7 f1e2 e6e5,-112
r2qkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2NB1P2/PP3PPP/R2QK2R w KQkq -,c4d5 c6d5 e1h1 f8d6 d1b3 h7h6 g5e3 d8b8 g2g3 a7a6,75
r1bqkb1r/ppp1pppp/2n2n2/8/2p5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq -,e2e3 c4b3 d1b3 e7e6 d2d4 f8e7 b1d2 e8h8 a1c1 a7a5,-56
rnbq1rk1/pp2bppp/4pn2/3p4/2Pp1B2/2N1PN2/PPQ2PPP/R3KB1R w KQ -,c3b5 d8a5 f3d2 d4e3 f2e3 b8c6 a2a3 c8d7 e1a1 d5c4,-428
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2P1P3/1P3N2/P2P1PPP/RNBQKB1R w KQkq -,g2g3 d7d6 d2d3 g8e7 b1c3 f8g7 a1b1 a7a6 a2a3 e8h8,-55
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P1P3/1P3N2/PB1P1PPP/RN1QKB1R w KQkq -,f1e2 d7d6 b1c3 f7f5 e1h1 g8e7 a2a3 a7a5 d2d3 e8h8,-71
r1b1kbnr/pp3ppp/2n1p3/2p5/4P3/2P2N2/PP2BPPP/RNBqK2R w KQkq -,e1d1 g8f6 f3d2 c8d7 a2a4 e8a8 b1a3 d7e8 f2f3 f6h5,60
8/4k3/1R6/8/8/7K/R7/8 w - -,e2d1 g8f6 f3d2 b7b5 d1e2 b5b4 f2f3 f6d7 d2c4 f8e7,Mate
r1b1k1nr/pppp1p1p/1bn3p1/3Np3/2B1P1Q1/7N/PPPP1qPP/R1BK3R w kq -,h3f2 d7d6 g4f3 f7f5 c2c3 g8e7 e4f5 g6f5 f3h5 e8d8,1150
rnbq1k1r/ppp2ppp/3b1n2/3p4/3P4/3B1N2/PPP1QPPP/RNB1K2R w KQ -,a2a3 h7h6 h2h3 b8c6 b1c3 a7a6 c1e3 c8e6 e2d2 f8e8,109
r1bqk1nr/pp1nppbp/2pp2p1/8/B2PP3/5N2/PPP2PPP/RNBQK2R w KQkq -,c2c4 a7a5 a4c2 e7e5 d4d5 c6d5 c4d5 b7b5 e1h1 g8f6,33
r1b1kb1r/ppp2ppp/2p5/4p1q1/8/8/PPPPQPPP/RNB2RK1 w kq -,f2f4 f8c5 g1h1 c8g4 f4g5 g4e2 f1e1 e2a6 d2d3 c5d6,-132
rn2kb1r/pp2pppp/1q3n2/3p4/3P1Bb1/1QN5/PP2PPPP/R3KBNR w KQkq -,b3b6 a7b6 h2h3 g4d7 e2e3 e7e6 g1f3 f8b4 f1d3 e8h8,94
r1bqk2r/pp2bppp/2n1pn2/2pp4/2BPP3/5N2/PPP2PPP/RNBQR1K1 w kq -,c4b5 f6e4 c2c4 e8h8 c4d5 e6d5 d4c5 e7c5 c1e3 c5b4,-181
r1b1k1nr/pppp1pQp/1b6/n2Np3/2B1P3/8/PPPP1qPP/R1BK2NR w kq -,g1h3 f2c5 d5f6 e8d8 c4f7 c7c6 g7h8 d8c7 f7g8 c5e7,1469
rnbqkb1r/pp2pppp/3p4/8/3Nn3/1P6/P1P2PPP/RNBQKB1R w KQkq -,b1d2 e4d2 d1d2 e7e5 d4b5 a7a6 b5c3 c8e6 f1c4 b8c6,-125
r1b1k1nr/pp3ppp/2n1p3/3q4/1b1P4/1P3N2/P4PPP/RNBQKB1R w KQkq -,b1c3 b4c3 c1d2 d5e4 f1e2 c3a1 d1a1 g8f6 a1b2 e8h8,-683
rnbqk1nr/1pp1bppp/p2pp3/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4 b7b5 c4d3 c8b7 e1h1 g8f6 e4e5 f6d7 d1e2 d6e5,50
rn1q1rk1/p1p1bppp/bp2pn2/3p4/1PPP4/P3PN2/3N1PPP/R1BQKB1R w KQ -,c1b2 b8d7 d1c2 c7c5 d4c5 b6c5 b4b5 a6b7 a3a4 a7a6,56
8/1K6/8/8/8/6N1/3k3p/8 w - -,g3f1 d2d1 f1h2 d1e2 b7c6 e2f2 h2g4 f2f3 g4f6 f3f4,1
r1b1k1nr/pppp1ppp/2n5/8/1bBPq3/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1d2 g8e7 a2a3 b4c3 d2c3 d7d5 c4d3 e4e6 b2b4 e6d6,-134
r3kbnr/pp1n1ppp/4b3/2pp4/8/2N2N2/PPPP1PPP/R1B1KB1R w KQkq -,d2d4 a7a6 g2g3 g8f6 f1g2 f8d6 e1h1 e8h8 c3e2 e6f5,32
8/5p2/4k3/R3P3/8/6N1/8/6K1 w - -,d2d3 a7a6 g2g3 h7h6 f1g2 e8a8 e1h1 g8f6 c3e2 f8d6,Mate
r1bqkb1r/pppp1pp1/2n2n1p/4p3/4P3/2PP3P/PP3PP1/RNBQKBNR w KQkq -,d1c2 d7d5 g1f3 f8d6 a2a3 a7a5 f1e2 e8h8 g2g4 d6e7,-66
r2qkbnr/ppp1pppp/8/3p1b2/1nPP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f1g2 b4c2 e1f1 c2a1 b1c3 e7e6 c1f4 g8f6 d1a1 f8d6,-423
rnbqkb1r/pp3ppp/4p3/3n4/2pN4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d1a4 b8d7 f1d1 d5b6 a4c2 f8c5 b1c3 e8h8 b2b3 c5e7,108
rnbqkbnr/pp1p1ppp/4p3/8/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,g1f3 g8f6 d1e2 a7a6 a2a4 d7d6 d2d4 f8e7 d4d5 e6d5,356
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,f1d3 b8c6 g1f3 c5c4 d3e2 f8d6 e1h1 f6e4 f3d2 e4d2,-86
r1bq1rk1/ppppbppp/2n2n2/8/2BpP3/2P2N2/PP3PPP/RNBQR1K1 w - -,c3d4 d7d5 e4d5 f6d5 c4d5 d8d5 b1c3 d5d8 d4d5 c6b4,92
r1b1kb1r/pp1p1ppp/1qn2n2/4p3/4P3/1N3P2/PPP3PP/RNBQKB1R w KQkq -,a2a4 f8e7 b1c3 c6b4 c3b5 e8h8 c2c3 b4c6 f1c4 d7d5,51
r1bqkb1r/pp1npppp/2p2n2/3p4/3P4/2N3P1/PPP1PPBP/R1BQK1NR w KQkq -,a2a4 e7e5 d4e5 d7e5 g1f3 e5f3 e2f3 f8d6 e1h1 e8h8,-52
rnbqk2r/1pp1bppp/p3pn2/3p2B1/3P4/P1N2N2/1PP1PPPP/R2QKB1R w KQkq -,g2g3 e8h8 f1g2 h7h6 g5f6 e7f6 e2e4 c7c5 e4e5 f6e7,-43
3Q4/4R2p/1pq2p1k/6p1/8/6PP/1r3PK1/8 w - -,g2g3 e8h8 f1g2 h7h6 g5f6 e7f6 e2e4 c7c5 e4e5 f6e7,Mate
rn2kb1r/ppp1qppp/4b3/3pN3/3Pn3/3B4/PPP2PPP/RNBQ1RK1 w kq -,c2c4 c7c6 c4d5 c6d5 d3b5 e8d8 b1c3 e4c3 b2c3 f7f6,389
rn2kb1r/pp1b1ppp/1q2pn2/8/Q1pN4/6P1/PP2PPBP/RNB2RK1 w kq -,d4b5 d7b5 a4c2 f8e7 b1a3 e7a3 b2a3 e8h8 a1b1 b6a6,-784
r3kb1r/pp1b1ppp/nq2pn2/8/2QN4/6P1/PP2PPBP/RNB2RK1 w kq -,c4b3 a6b4 a2a3 f8c5 a3b4 c5d4 b1a3 e8h8 e2e3 d4c5,114
rnbq1rk1/pppp1pbp/5np1/4N1B1/4P3/3P4/PPP2PPP/RN1QKB1R w KQ -,b1c3 f8e8 e5f3 h7h6 g5f6 d8f6 f1e2 c7c5 a1b1 d7d6,98
r3k2r/pp1b1ppp/1q2pn2/2b5/1n1N4/PQ4P1/1P2PPBP/RNB2RK1 w kq -,a3b4 c5d4 b1a3 e8h8 e2e3 d4e5 c1d2 a7a6 f1c1 d7b5,143
r1bqk2r/ppp2ppp/2n1pn2/3p4/3P1P2/2bBPN2/PPP3PP/R1BQK2R w KQkq -,e1f2 c3b4 a2a3 b4e7 f2e1 c8d7 d1e2 a7a6 c1d2 f6e4,-446
r3kb1r/pp1b1ppp/1q2pn2/8/1n1N4/1Q4P1/PP2PPBP/RNB2RK1 w kq -,a2a3 e6e5 a3b4 e5d4 b1a3 a8c8 c1f4 f8b4 a3c4 b6b5,109
r2qk2r/pppb1ppp/3p4/Q2P4/2B5/B4n2/P4PPP/2R2RK1 w kq -,g2f3 e8h8 g1h1 c7c5 a5d2 b7b5 f1g1 g7g6 a3b2 d8h4,384
rn1q1rk1/pp2ppbp/3p1np1/2p5/2P3b1/2N1PNP1/PP1P1PBP/R1BQ1RK1 w - -,h2h3 g4e6 d1e2 b8c6 f1d1 d8c8 g1h2 e6f5 d2d4 f6e4,70
rn1qkb1r/ppp2pp1/5n1p/3p1b2/3P4/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,f1d3 f5d3 d1d3 b8c6 e1h1 f8e7 c1f4 e8h8 a2a3 c6a5,90
r3kbnr/pp1q1ppp/2n1p3/2pp4/4PP2/3P1N2/PPP3PP/RNBQK2R w KQkq -,e4d5 e6d5 f3e5 c6e5 f4e5 d7f5 d1e2 g8e7 b1d2 e7c6,-19
rnbqkb1r/5ppp/p3pn2/1p1p4/2pP1B2/2N1PN2/PPP1BPPP/R2Q1RK1 w kq -,f3d2 c8b7 e2f3 f8e7 a2a3 b8c6 h2h3 h7h6 f4g3 e8h8,-46
r2qkb1r/pp2pppp/2b2n2/3p4/3P4/2P2N2/PP3PPP/RNBQK2R w KQkq -,d1e2 e7e6 e1h1 f8e7 a2a4 e8h8 c1f4 b7b6 b1d2 h7h6,-36
rnbqk2r/p1p2ppp/4p3/1p1nN3/PbpP4/6P1/1P2PPBP/RNBQK2R w KQkq -,d1d2 b4d2 c1d2 f7f6 e5f3 c7c6 b1c3 d8d7 a4b5 c6b5,-805
r1bqk1nr/ppp1bppp/3p2n1/3Pp3/4P3/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,d3b5 c8d7 b5d7 d8d7 h2h4 h7h5 g2g3 g8f6 c1g5 f6g4,95
r1bqkbnr/pp1npppp/3p4/2p5/2BPP3/8/PPP2PPP/RNBQK1NR w KQkq -,d4d5 g7g6 a2a4 f8g7 g1f3 d7e5 f3e5 g7e5 e1h1 g8f6,90
rn1qkb1r/1bp2ppp/p3pn2/1p6/P1pP1B2/2N1PN2/1P3PPP/R2QKB1R w KQkq -,f3d2 c7c6 f4g3 f8b4 f1e2 e8h8 e1h1 b8d7 e2f3 f6d5,-160
r1bqkbnr/1pp1p1pp/p1n5/1B1p1P2/8/5N2/PPPP1PPP/RNBQK2R w KQkq -,b5c6 b7c6 e1h1 c8f5 c2c4 g8f6 f1e1 d5c4 d1a4 f5d7,205
r1bqkb1r/pp1n1ppp/4pn2/2p1N3/Q1pP4/6P1/PP2PPBP/RNB1K2R w KQkq -,c1e3 f6d5 g2d5 e6d5 b1c3 f8d6 c3d5 d6e5 d4e5 e8h8,44
r2qkb1r/p1pb1ppp/2pp1n2/1B2p3/4P3/5N2/PPP2PPP/RNBQK2R w KQkq -,b5d3 f8e7 c2c4 e8h8 e1h1 d7g4 b1c3 d6d5 c4d5 e7b4,709
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/4PP2/PPP3PP/RNBQKBNR w KQkq -,g1e2 e7e6 c2c4 h7h5 c4d5 e6d5 b1c3 g8f6 e2f4 b8c6,46
r1bq1rk1/p2pppbp/1pn2np1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,a2a3 d7d6 c2c3 c8a6 d1c2 d6d5 f1e1 a8c8 e4d5 f6d5,-25
rnbq1rk1/ppp2ppp/1b1p1n2/4p3/1P2P3/P1N2N1P/2PP1PP1/R1BQKB1R w KQ -,f1e2 b6d4 e2d3 d6d5 f3d4 e5d4 c3d5 f6d5 e4d5 f8e8,-82
r2qk1nr/pp2bppp/2npb3/2p1p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQkq -,a2a3 a7a5 e1h1 f7f5 b2b3 g8f6 f3g5 e6d7 f2f4 e5f4,72
rnbqkb1r/ppp2pp1/7p/3p4/2BPn3/5N2/PP2QPPP/RNB1K2R w KQkq -,c4d3 f8b4 c1d2 b8c6 d2b4 c6b4 d3e4 d5e4 e2e4 d8e7,-97
r2qkb1r/ppp2ppp/2n1p3/3n4/2BP2b1/4PN2/PP3PPP/RNBQK2R w KQkq -,c1d2 f8d6 b1c3 d5f6 h2h3 g4h5 a2a3 a7a6 c4e2 h7h6,62
r2qkb1r/ppnb1ppp/2npp3/1B2P3/2P1Q3/5N2/PP3PPP/RNB1K2R w KQkq -,c1f4 d6d5 e4e2 c7b5 c4b5 c6e7 e1h1 e7g6 f4g5 d8b8,-66
r3kbnr/pp1n1ppp/1qp1p3/3pPbB1/3P4/5N2/PPP1BPPP/RN1QK2R w KQkq -,e2d3 f5d3 c2d3 b6b2 b1d2 b2a3 d1e2 f8b4 e1h1 g8e7,-156
r2qk2r/ppnb1ppp/2nbp3/1B6/2P1Q3/5N2/PP3PPP/RNB1K2R w KQkq -,e4e2 c7b5 c4b5 c6e7 e1h1 a7a6 b1c3 e8h8 a2a4 a6b5,-58
r2qk2r/p1pb1ppp/2pbpn2/3pN3/3P1B2/4P3/PPP2PPP/RN1QK2R w KQkq -,c2c4 c6c5 d4c5 d6c5 e1h1 c7c6 b1d2 e8h8 a1c1 c5e7,56
