8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
r2qkb1r/p4ppp/2pp1n2/4p2b/3pP3/2P2N1P/PP3PP1/RNBQR1K1 w kq -,c1g5 h5f3 d1f3 c6c5 c3d4 c5d4 g5f6 d8f6 f3e2 f6d8,-151
rnbqkbnr/ppp1p3/7p/3p1pp1/3P3B/5N2/PPP1PPPP/RN1QKB1R w KQkq -,c2c4 g5h4 f3h4 e7e6 h4g6 h8h7 e2e3 g8f6 b1c3 b8c6,-267
rnb1k1nr/pppp1ppp/5q2/2b1p2Q/4P3/7N/PPPP1PPP/RNB1KB1R w KQkq -,b1c3 g8e7 f1c4 b8c6 d2d3 d7d6 c1e3 c6d4 e1h1 e8h8,-40
rn1qkbnr/p1p1pppp/8/1p3b2/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq -,d1f3 f5b1 f3a8 b1g6 a4b5 g8f6 g1f3 e7e6 a8a7 f8b4,579
rnb1k2r/ppp2p1p/4pp2/3q4/3P4/2b5/PPPQ1PPP/R3KBNR w KQkq -,g1f3 c3d2 e1d2 b8c6 c2c4 d5a5 d2c2 c6b4 c2b3 c8d7,-1200
r2q1rk1/1p2ppbp/p1np1np1/2p5/4P3/2PPBQ1P/PP3PP1/RN2RBK1 w - -,b1d2 b7b5 g2g3 f6d7 f3d1 d7b6 a1c1 a8c8 h3h4 e7e6,82
rnbqk1nr/ppp2pp1/3p3p/2b5/2BpP3/5N1P/PPP2PP1/RNBQK2R w KQkq -,f3d4 g8f6 e1h1 e8h8 b1c3 f8e8 c1e3 c7c6 c4b3 c5b4,-12
rnbq1rk1/pp2ppbp/2p2np1/3p4/3P1B2/2P1P3/PP1NBPPP/R2QK1NR w KQ -,g1f3 d8b6 d1b3 f6h5 f4e5 g7e5 f3e5 h5f6 c3c4 c8e6,58
rnbqk2r/1pp2ppp/4pn2/3p4/pbPP4/PQN2N2/1P2PPPP/R1B1KB1R w KQkq -,a3b4 a4b3 a1a8 b8a6 b4b5 a6b4 c1g5 e8h8 e2e3 c7c5,-227
r2qkb1r/ppp2ppp/2np1n2/8/3PP3/5B2/PP3PPP/RNBQK2R w KQkq -,c1e3 g7g6 d1b3 a8b8 b1c3 f8g7 e1h1 e8h8 a1d1 d8c8,221
r2qk2r/ppp1bppp/2np1n2/8/3PP1b1/5N2/PP2BPPP/RNBQ1RK1 w kq -,h2h3 g4h5 d4d5 h5f3 e2f3 c6e5 f3e2 c7c6 b1c3 e8h8,164
r4rk1/1bqnbppp/p2ppn2/1pp5/3PP3/2P2N2/PPBNQPPP/R1B1R1K1 w - -,a2a4 c5d4 f3d4 b5a4 a1a4 f8c8 a4c4 c7d8 c4c8 a8c8,-25
rnbqkb1r/pp3ppp/2p2n2/3pp3/2B1PP2/2NP4/PPP3PP/R1BQK1NR w KQkq -,d1d2 d5c4 f4e5 f6d7 g1f3 c4d3 c2d3 f8e7 e1h1 d7f8,-240
rn1qkb1r/pbp2ppp/1p2pn2/3p4/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,c4d5 e6d5 e4e5 f6d7 c1g5 f8e7 g5e7 d8e7 d3d4 e8h8,-313
r2qkb1r/1p1bpp1p/p2p1np1/8/2PQP3/2N2N2/PP3PPP/R1B1K2R w KQkq -,c1e3 f8g7 a1d1 e8h8 e1h1 f6g4 d4d2 g4e3 d2e3 a8c8,-35
rnb1k2r/pppp1ppp/4p3/4P3/1b1Pn3/2N5/PPP2PPP/R1B1KBNR w KQkq -,c1d2 e4d2 e1d2 b8c6 a2a3 b4a5 g1f3 d7d6 e5d6 c7d6,-36
8/8/8/8/3K4/3Q4/5k2/5b2 w - -,c1d2 e4d2 e1d2 b8c6 a2a3 b4a5 g1f3 d7d6 e5d6 c7d6,Mate
rnbqk1nr/pp1p1ppp/2p5/3Np3/1b2P3/8/PPPP1PPP/R1BQKBNR w KQkq -,d5b4 d7d5 e4d5 a7a5 b4d3 e5e4 d3f4 g8f6 d2d3 e8h8,761
rnbqk1nr/1pp2p1p/pb1p2p1/3Np3/PP2P3/6Q1/2PP1PPP/R1B1KBNR w KQkq -,d5b6 c7b6 f1c4 g8f6 d2d3 f6h5 g3f3 c8e6 c4e6 f7e6,178
rnbqkb1r/ppp2ppp/8/4p3/2B1n3/3P4/PPP2PPP/RNBQK2R w KQkq -,d1h5 e4d6 h5e5 d8e7 e5e7 f8e7 b1c3 c8e6 c3d5 e7d8,-723
rnbqk2r/pp3ppp/4p3/3p2B1/2P3n1/P1N5/1P2PKPP/R2Q1BNR w kq -,f2f3 d8g5 d1c1 g5f6 c1f4 f6f4 f3f4 g4f2 g1h3 f2h1,-638
rnbqk2r/pp3ppp/4pn2/3p2B1/2P5/P1N5/1P2PbPP/R2QKBNR w KQkq -,e1d2 d5d4 d2c2 d4c3 d1d8 e8d8 e2e3 h7h6 g5f6 g7f6,-625
rn1qkb1r/pp3ppp/4pn2/3pN2b/3P4/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,d1a4 b8d7 e2e4 a7a6 e5d7 f6d7 e4d5 h5f3 h1g1 f8e7,91
r1r3k1/1p1q1pbp/1n1p1np1/pN6/P2P1N2/1Q2B3/1P3PPP/R4RK1 w - -,a1c1 c8c6 d4d5 c6c1 f1c1 a8c8 c1c3 d7e8 h2h3 e8e4,68
r1bq1rk1/1ppp1pp1/p1n2n1p/1Bb1p3/4P2B/2NP1N2/PPP2PPP/R2QK2R w KQ -,d3d4 e5d4 h4f6 g7f6 b5c6 d4c3 b2b4 c5b4 c6d5 c7c6,-245
rn1q1rk1/ppp2ppp/3bpn2/3p4/3P1P2/3QPN2/PPPN2PP/R1B1K2R w KQ -,d3b5 b8c6 e1h1 a7a6 b5d3 c6b4 d3c3 a6a5 a2a3 b4a6,-112
r1b1k1nr/pp1p1ppp/2n1pq2/2b5/5B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,c3b5 e8f8 c2c3 e6e5 f4g3 h7h5 h2h4 g8e7 g1f3 e7f5,95
