rnb1k2r/pp2ppbp/3p1np1/8/1q2P3/2N1BN1P/PPP2PP1/R2QKB1R w KQkq -,a2a3 b4a5 e4e5 f6d7 d1d5 a5d8 e5d6 g7c3 b2c3 e8h8
4r1k1/3r3p/q3p1p1/2pp4/PnN1P1QP/1P6/5PP1/3R1RK1 w - -,e4d5 d7d5 g4e2 e8c8 a4a5 c8f8 f1e1 g8g7 e2e4 f8f5
8/8/8/8/P2P4/7r/4K3/6k1 w - -,h4h5 d7g7 e4d5 e6d5 f1e1 g7e7 e1e7 e8e7 g4g5 a6e6
r1bqk2r/pp1nbppp/2p2n2/4p3/4P3/1N1BB3/PPP2PPP/R2QK1NR w KQkq -,h2h3 d7f8 a2a4 f8g6 a4a5 e8h8 g1f3 d8c7 d1d2 c8e6
r2q1rk1/1p2ppbp/1np3p1/3Ppb2/p7/P1N3P1/BPPQ1PP1/2KR2NR w - -,d2e2 b6d5 a2d5 c6d5 d1d5 d8b6 g1f3 e5e4 f3g5 g7c3
r3k2r/1ppq1pp1/pbn1b2p/4Pn2/3p3B/N2B1N1P/PP3PPK/2RQ3R w kq -,h1e1 f5h4 f3h4 e8a8 a3c4 b6a7 a2a3 g7g5 h4f3 c8b8
r1bq1rk1/p1pn1p1p/1p2p1p1/6N1/3P1P2/3B4/PPP1Q1PP/2KR3R w - -,h2h4 d8f6 e2f3 h7h6 f3a8 f6f4 c1b1 h6g5 h4g5 f4g5
r1bq1rk1/6pp/3b4/p2Ppp2/4p3/1P6/PB2BPPP/R2Q1RK1 w - -,a1c1 f5f4 g1h1 d8g5 c1c4 c8f5 f1g1 f8f6 g2g4 f5g6
1r6/7p/B4k2/1P1p1pp1/3N4/2P4P/6K1/8 w - -,
r2qr1k1/pppn1ppp/3b1n2/3p4/3P4/2PQBN1P/PP1N1PP1/R3K2R w KQ -,e1h1 h7h6 c3c4 c7c6 f1e1 d7f8 c4d5 f6d5 d2e4 d5b4
r4rk1/pp2ppbp/1qn3pn/3pPb2/3P4/4BN1P/PP2BPP1/RN1Q1RK1 w - -,b1c3 b6b2 a1c1 f5e4 g2g4 f7f5 c3e4 f5e4 f3g5 c6d8
r1bq1rk1/pp2bppp/2nppn2/2p5/4P3/1P1B1N2/PBPP1PPP/RN1QR1K1 w - -,d3f1 d6d5 e4e5 f6e4 d2d3 e4g5 f3g5 e7g5 g2g3 b7b5
