8/8/6k1/7p/2R3n1/r7/7K/8 w - -,g1h2 a2a1q a7a1 b1a1 d7e5 a1a8 g4f3 h6e6 c3c4 a8f8
r2q1rk1/pp3p2/4R1pP/2b3p1/1n6/3Q1N2/PPPB1P2/2K4R w - -,d3e4 d8d5 d2b4 d5e4 e6e4 c5b4 e4b4 a8d8 f3g5 d8d7
r1nr2k1/4pp1p/p5p1/Ppp1b3/4N3/3PR3/1P3PPP/R1B3K1 w - -,e3e1 d8d3 e4c5 d3d5 c5e4 c8a7 e4c3 e5c3 b2c3 a7c6
8/8/2p5/pp1pk1p1/P7/1P2PP1P/4K3/8 w - -,e2d3 b5b4 d3d2 c6c5 d2c1 c5c4 b3c4 d5c4 c1b2 c4c3
4rrk1/pp3ppp/2nb4/3N1q2/2P5/3NP3/PB3PPP/R2Q2K1 w - -,g2g4 f5e6 a1c1 e6h6 d3f4 f7f5 h2h3 h6h4 c4c5 d6f4
r1bqk2r/pp2bppp/2n1p3/2pn4/8/P1N2NP1/1P1PPPBP/R1BQK2R w KQkq -,b2b3 e8h8 c1b2 b7b6 d2d4 e7f6 c3d5 e6d5 e1h1 c8e6
r3rk2/pp4R1/7P/4q3/3p1n2/3Q4/PPPB4/1K3R2 w - -,b2b3 e8h8 c1b2 b7b6 d2d4 e7f6 c3d5 e6d5 e1h1 c8e6
8/8/2p3k1/3p4/1PpPnPP1/7K/8/8 w - -,b2b3 e8h8 c1b2 b7b6 d2d4 e7f6 c3d5 e6d5 e1h1 c8e6
8/5ppk/6b1/4P2n/p2R4/P4P1P/4N1BK/4r3 w - -,
8/8/8/8/8/5p2/Q3pk2/7K w - -,e2g3 h5g3 h2g3 g6c2 d4d2 c2f5 d2d4
r1bqk2r/pp1p1ppp/5nn1/8/1bPpP3/2N1BP2/PP4PP/R2QKB1R w KQkq -,e3d4 e8h8 a2a3 b4a5 d1c2 d7d6 e1a1 c8e6 h2h4 h7h5
rnbqk2r/pp3ppp/2p1p3/3n4/1bBP4/4PN2/PP3PPP/RNBQK2R w KQkq -,c1d2 b4d2 d1d2 e8h8 e1h1 d5e7 b1c3 b7b6 f1e1 b8d7
r1b1r1k1/ppp2pp1/5q1p/2n1p3/2P1P3/P1Q2N2/1P2BPPP/R4RK1 w - -,a1d1 c5e4 c3e3 f6f4 e3f4 e5f4 f1e1 g8f8 f3d4 c7c6
2r4k/4bq2/p5pp/Q4p2/P1p1R1P1/2P4P/1P3P1B/3R2K1 w - -,a5e5 h8g8 e5e6 c8e8 e6f7 g8f7 e4c4 f5g4 c4g4 e7c5
2kr2nr/pp1b1ppp/1q2p3/2bpP3/3n4/2NB1N2/PPPB1PPP/R2Q1RK1 w - -,a2a4 b6c7 f3g5 g8h6 f1e1 a7a6 b2b4 c5a7 b4b5 f7f6
r3k2r/pRp2p1p/2q2p2/4p3/4P3/5Q2/P5PP/5R1K w kq -,h2h3 h8g8 f3f6 c6f6 f1f6 g8g6 f6g6 h7g6 b7c7 a8d8
r2q1rk1/1p1bppbp/p2p1np1/n4N2/4P3/2N1BP2/1PP1B1PP/R2QR1K1 w - -,f5g7 g8g7 d1d2 f8g8 c3d5 a5c6 c2c4 d7e6 d2c3 a8c8
r2q1rk1/1b1p1pbp/n5p1/2ppP3/4n3/1P4PN/PB3PBP/RN1QK2R w KQ -,b1d2 d7d6 e1h1 a6b4 d2e4 d5e4 f2f4 b4d3 b2c3 d6d5
r3r1k1/p3q3/bpn1pn2/2pp2B1/3P4/2P3P1/PPB2PP1/R2QR1K1 w - -,d1f3 e8f8 f3f4 c5d4 c3d4 e7g7 g5h6 g7g4 f4g4 f6g4
4k3/8/2R1r3/8/2b3P1/4B1K1/8/8 w - -,c6c7 e6e7 c7c5 e8f7 e3f4 c4e2 g4g5 e2d3 c5c3 d3b1
4rrk1/pp3ppp/2n5/3N1q2/2P2b2/4P3/PB3PPP/R2Q2K1 w - -,d1f3 f5c2 b2a3 f4b8 a1c1 c2d3 a3c5 e8d8 c5f8 g8f8
r4rk1/pp1bb1pp/1q2pn2/3p4/1PpP1P2/P1P2BN1/3B2PP/1R1QK2R w KQ -,e1h1 g8h8 d1e2 e7d6 g3h5 f6g8 g2g4 b6c7 g4g5 g7g6
3r2k1/6b1/p1n1p2p/1p2p3/1P6/2P2N1P/N3rPP1/3R1RK1 w - -,
rnbqk2r/pp3ppp/2p1p3/3n4/2BP4/4PN2/PP1b1PPP/RN1QK2R w KQkq -,d1d2 e8h8 e3e4 d5e7 b1c3 b8d7 e1h1 b7b6 f1e1 d8c7
2r4k/4q3/p5pp/Q4p2/P1p3P1/2P4P/1P3P1B/3R2K1 w - -,a5a6 c8g8 a6d6 e7d6 h2d6 h8g7 a4a5 f5g4 h3g4 g8a8
r3rk2/pp4R1/7P/8/3p1q2/3Q4/PPPB4/1K6 w - -,a5a6 c8g8 a6d6 e7d6 h2d6 h8g7 a4a5 f5g4 h3g4 g8a8
8/8/2p2p1r/4kPpP/p1PbP3/3R1K2/5r1N/7R w - -,
r1bq1rk1/pp1p1ppp/5nn1/8/1bPBP3/2N2P2/PP4PP/R2QKB1R w KQ -,a2a3 b4a5 d1d2 d7d6 h2h4 f6h5 d2f2 f7f5 e1a1 g8h8
5rk1/p2bppbp/p2p2p1/8/2rNP3/4B2P/PPP2PP1/R3R1K1 w - -,c2c3 f8b8 e1e2 a6a5 e2c2 a5a4 b2b3 c4c7 g2g4 a7a5
r1bqk2r/1p1pnp1p/p1nQp1p1/2B5/4P3/2N5/PPP2PPP/R3KB1R w KQkq -,e1a1 b7b6 c5e3 b6b5 f1e2 a8b8 e3c5 b8b7 d6f4 b5b4
8/4R3/7k/2N2p2/4p3/r5b1/6K1/8 w - -,e7e8 a3e3 e8f8 h6g5 c5e6 g5g6 e6d4 f5f4 g2h3 e3d3
6k1/6b1/p1n1p2p/1p2p3/1P2r3/2P2N1P/N4PP1/3r1RK1 w - -,f1d1 c6e7 g2g3 e4c4 d1d6 c4c6 d6c6 e7c6 f3d2 g7f6
8/8/2p3k1/3p4/1P1PnPP1/2p5/6K1/8 w - -,f1d1 c6e7 g2g3 e4c4 d1d6 c4c6 d6c6 e7c6 f3d2 g7f6
8/8/6k1/7p/2R5/r3n3/6K1/8 w - -,f1d1 c6e7 g2g3 e4c4 d1d6 c4c6 d6c6 e7c6 f3d2 g7f6
r4rk1/p3q3/bpn1pn2/2pp2B1/3P4/2P2QP1/PPB2PP1/R3R1K1 w - -,f3f4 c5d4 c3d4 e7g7 g5h6 g7g4 f4g4 f6g4 h6f8 a8f8
8/5ppk/6b1/4P3/p2R4/P4PnP/6BK/4r3 w - -,
8/8/2kB4/3N4/8/2K5/8/8 w - -,
r1bq1rk1/1p1pnp1p/p1nQp1p1/2B5/4P3/2N5/PPP2PPP/2KR1B1R w - -,h2h4 b7b6 c5e3 b6b5 h4h5 f7f6 f2f4 a8b8 h5g6 e7g6
8/p5p1/1p2pkP1/2p4P/P1P5/2P4K/8/8 w - -,h3g4 e6e5 g4h4 e5e4 h4g4 e4e3 h5h6 g7h6 g6g7 f6g7
rnbqkb1r/pp3ppp/5n2/2P1p3/2PpP3/5P2/PP4PP/RNBQKBNR w KQkq -,c1g5 h7h6 g5f6 g7f6 b2b4 b8c6 f1d3 a7a5 b4a5 d8a5
r2qr1k1/5p1p/bp3np1/p1pp4/3P4/P1N2N1P/1P3PP1/R2QR1K1 w - -,
6r1/pppkn2p/6n1/8/8/2N5/PPP3PP/R1B3K1 w - -,c1g5 d7c6 a1f1 e7c8 c3e4 c8d6 e4f6 g8g7 h2h4 b7b5
r1bq1rk1/pp1p1ppp/5nn1/b7/2PBP3/P1N2P2/1P4PP/R2QKB1R w KQ -,d1d2 d7d6 h2h4 f6h5 d2f2 f7f5 e1a1 f5f4 c4c5 c8e6
r4rk1/pp4p1/2pqp2p/3p1p2/3P1P2/2PQP2P/PP4P1/R4RK1 w - -,c3c4 d5c4 d3c4 a7a5 a1c1 d6d5 c4a4 d5e4 f1e1 e4d3
5rk1/p2bp1bp/p2p2p1/5p2/2rNP3/4B2P/PPP2PP1/R2R2K1 w - -,c2c3 f5e4 d4b3 c4c7 e3d4 g7h6 d1e1 d7c6 a1d1 c6a8
r4k2/pp4R1/7P/8/3p1B2/3Q4/PPP5/1K2r3 w - -,c2c3 f5e4 d4b3 c4c7 e3d4 g7h6 d1e1 d7c6 a1d1 c6a8
4k2r/p3bR1p/q1r1p1p1/3p4/8/5Q2/3B1PPP/4R1K1 w - -,f7e7 e8e7 d2g5 e7d7 f3f6 h8a8 f6f7 d7c8 e1b1 a6b6
1r1qnr2/2pbbppk/p3p3/Np2P3/8/1P2P3/PB3PPP/R2Q1RK1 w - -,f2f4 c7c5 d1h5 h7g8 b3b4 c5c4 a2a3 g7g6 h5h6 e8g7
r2qr1k1/pb2bp1p/1p2pnpB/8/B1pP4/2PQ1N2/PP3PPP/R3R1K1 w - -,d3e2 f6d7 a4b5 a8c8 f3e5 d7e5 e2e5 e7f6 e5f4 e6e5
8/8/2p2p1r/5PpP/p1Pbk3/3R2K1/7R/8 w - -,
8/8/3p4/3P1k2/r1P2rRK/p7/P3R3/8 w - -,
rq3rk1/1b1p1pbp/n5p1/2ppP3/4n3/1P4PN/PB3PBP/RN1Q1RK1 w - -,f2f4 d7d6 b1d2 a6b4 d2e4 d5e4 h3f2 e4e3 f2g4 b7g2
2r5/4kppR/pb1p4/1b1PpP2/1p2P1P1/1P1n4/1K1N4/4N2R w - -,e1d3 b6d4 b2a2 c8c2 a2b1 b5d3 h7h3 c2d2 b1c1 d2c2
4k3/2R1r3/8/8/2b3P1/4B1K1/8/8 w - -,c7c5 e8f7 e3f4 c4e2 g4g5 e2d3 f4e5 d3g6 g3f4 e7e6
rnbqkb1r/p4ppp/2p2n2/4p3/2PpP3/5P2/PP4PP/RNBQKBNR w KQkq -,g1h3 c8h3 g2h3 f6h5 d1e2 b8d7 e1d1 d8f6 e2f2 h5f4
2r2rk1/5p1p/p3p1pq/2p4n/1QPNP3/P6P/5PP1/R3R1K1 w - -,d4f5 e6f5 b4b7 f5e4 e1e4 h6g5 a1e1 h5f4 e4e3 c8b8
8/8/8/2r4P/4k1K1/8/8/8 w - -,
r1bq1rk1/pp3ppp/3p1nn1/b7/2PBP3/P1N2P2/1P1Q2PP/R3KB1R w KQ -,e1a1 c8e6 b2b4 a5b6 d4b6 a7b6 c1b2 g6e5 d2d6 d8d6
7r/p3k2p/q1r1p1p1/3p4/8/5Q2/3B1PPP/4R1K1 w - -,d2g5 e7d7 f3f6 h8a8 f6f7 d7c8 e1b1 a6b6 b1b6 a7b6
8/5ppk/8/4P3/p2R4/P4PKP/2b3B1/4r3 w - -,
r2qr1k1/pb1nbp1p/1p2p1pB/8/B1pP4/2P2N2/PP2QPPP/R3R1K1 w - -,f3e5 d7e5 e2e5 e7f6 e5f4 e6e5 f4g4 e8e6 d4e5 e6e5
1k6/1P6/2K5/4pB1p/3p1pp1/1P3P1P/6P1/8 w - -,f3d2 b7a6 a4c6 a8c8 e2e4 d8c7 d4d5 d7f6 e4f3 f6d5
7Q/bpq1kr2/p1b1pp2/2P5/1P6/P1R5/5PPP/3R2K1 w - -,c3g3 a7b8 g3g8 c7h2 h8h2 b8h2 g1h2 f7h7 h2g1 f6f5
6k1/5p2/p1b1q3/1p1p2p1/2pP2P1/P1P4Q/4rP1B/R4K2 w - -,
8/8/2p5/3p1Pk1/1P1Pn1P1/8/2p5/5K2 w - -,h3h5 e2e4 h2e5 e4e5 d4e5 e6e5 a1e1 e5f4 h5h6 f4g4
8/4rk2/8/2R5/2b3P1/4B1K1/8/8 w - -,e3f4 c4d3 c5c3 d3e4 c3a3 e7e8 f4e5 e8e5 a3a6 e4c6
8/6p1/K7/8/8/P7/2k5/8 w - -,
2r5/4kppR/pb1p4/3PpP2/1p2P1P1/1P1b4/1K1N4/7R w - -,f5f6 e7f6 d2c4 b6d4 b2a2 d3e4 h7h8 c8c5 h1d1 e4d5
8/4rk2/8/2R5/5BP1/3b2K1/8/8 w - -,f4e5 d3e2 g4g5 e2d3 g3f4 e7e6 c5c3 d3g6 f4e3 e6a6
3rr1k1/pb1q1p1p/1pnP1bp1/5p2/2P2B2/1P3B2/P1NQ2PP/3R1RK1 w - -,b3b4 a7a5 a2a3 a5b4 c2b4 c6b4 a3b4 b7f3 g2f3 h7h5
8/p5p1/1p3kP1/2p1p2P/P1P3K1/2P5/8/8 w - -,g4f3 f6g5 f3e4 g5h5 e4e5 h5g6 e5e6 g6g5 e6e5 g7g6
8/4R3/7k/8/4p3/r5b1/6K1/8 w - -,e7e8 a3e3 e8g8 g3h4 g2f1 h6h5 f1g2 h4g5 g8e8 h5g4
