rnb1kb1r/pp2pppp/2p2n2/3p4/2PP4/2N2N2/Pq1BPPPP/R2QKB1R w KQkq -,a1b1 b2a3 c4d5 f6d5 c3d5 c6d5 e2e4 a3d6 f1b5 b8c6,157
1r6/7R/8/5p2/6k1/8/7p/7K w - -,h1h2 f5f4 h2g2 b8b2 g2g1 g4g3 h7g7 g3f3 g7f7 b2b1,-1
r1bqkbnr/1pp3pp/2np1p2/p3p3/2B1PP2/2NP4/PPP3PP/R1BQK1NR w KQkq -,g1f3 g7g6 e1h1 a5a4 d3d4 e5d4 f3d4 c6d4 d1d4 c7c6,174
2r2r2/1p4k1/1p3p2/pPn1p1pp/2P5/2RPQ1Pq/3N1P2/5RK1 w - -,d2e4 h3g4 g1g2 g7g6 e4c5 c8c5 c3a3 g4d4 e3e2 f8d8,-293
5rk1/p4ppp/8/3R4/2p5/2P5/Pr3PPP/3R2K1 w - -,d5c5 b2a2 g2g3 a2a4 d1d7 g7g6 c5c7 g8g7 g1g2 g6g5,13
rnb1k1nr/ppp2ppp/3q4/2b1p3/3pP3/P2P4/1PPBNPPP/R2QKBNR w KQkq -,f2f4 f7f6 f4e5 f6e5 e2g3 a7a5 f1e2 g8f6 g1f3 b8c6,36
r2q1rk1/p3ppbp/2pp2p1/2Pn4/3P4/2N2Q1P/PP3PP1/R1B1K2R w KQ -,c3d5 c6d5 f3d5 d8a5 c1d2 a5a6 a1c1 d6c5 c1c5 f8c8,-56
8/1p6/p1P5/4kp1p/1P1Nn1p1/P3PK1P/8/8 w - -,h3g4 f5g4 f3g2 b7c6 d4c6 e5d5 c6d4 d5c4 d4c2 c4d3,-339
r2q1rk1/p2p2pp/1p1np3/n1pPQ3/2b5/P1PB2N1/5PPP/R1B2RK1 w - -,d3c4 a5c4 e5e2 d8f6 d5e6 a8e8 e2d3 f6e6 a3a4 d6f5,-184
r2k3r/pp1b2pp/2p2q2/3p4/2B5/2PQ4/P1P2PPP/R3R1K1 w - -,,0
r2q1rk1/p3ppbp/3p2p1/2Pp4/3P4/5Q1P/PP3PP1/R1B1K2R w KQ -,f3d5 d8a5 c1d2 a5a6 a1c1 d6c5 d4c5 f8d8 d5e4 g7b2,-61
4r3/p1r3kp/2p1ppb1/PpNq1n2/1P1P2Q1/6PP/3R1PB1/4R1K1 w - -,g2d5 c6d5 d2e2 f5h6 g4f4 c7c5 b4c5 g6e4 f4c7 h6f7,702
r2qkbnr/pppnpp1p/3p2p1/8/4P3/2NP1b1P/PPP2PP1/R1BQKB1R w KQkq -,d1f3 c7c5 f1e2 f8g7 e1h1 d7e5 f3g3 e5c6 f2f4 a7a6,43
r5k1/p1pn1rpp/1p6/8/3P4/3BqP2/PP5P/R2Q1R1K w - -,d3c4 a8f8 f1e1 e3g5 d1b3 g7g6 c4f7 f8f7 e1e8 g8g7,337
4K3/8/B7/8/7p/7N/6np/7k w - -,d3e4 a8d8 e4d5 d7f6 d5f7 g8f7 d1c1 f6d5 c1e3 d5e3,Mate
r1bqkbnr/1pp3pp/p1np1p2/4p3/2B1PP2/2NP4/PPP3PP/R1BQK1NR w KQkq -,a2a4 c6b4 g1f3 g8e7 e1h1 e7c6 f3h4 d8d7 g1h1 c6d4,151
r1bq1rk1/2p2pb1/1p1p2p1/p1nPp2n/2P1P2p/2N2P2/PPQNBBPP/R4RK1 w - -,f2e3 g7f6 d2b3 f6g5 e3g5 d8g5 b3c5 b6c5 e2d3 f7f5,-92
r2q1rk1/p2p2pp/1p1Qp3/n1pP4/8/P1Pb2N1/5PPP/R1B2RK1 w - -,d6e5 a5c4 e5e1 d3f1 d5e6 d8e7 e1f1 e7e6 g3h5 a8e8,-468
8/7k/2Q3pp/2P1qp2/6P1/3K1P1P/8/8 w - -,c6b7 h7g8 b7c8 g8h7 c8d7 h7g8 c5c6 e5e1 d3c4 f5g4,511
5k2/3r1pp1/6b1/1R2B2r/p5p1/8/PP3P1P/4R1K1 w - -,b5b8 f8e7 e5g7 e7d6 b8b4 d7a7 b4g4 h5d5 h2h4 a7a8,216
r1bqk2r/ppp2ppp/2n2n2/8/1bBP1p2/2N2N2/PPP3PP/R1BQ1RK1 w kq -,c1f4 e8h8 a2a3 b4c3 b2c3 f6d5 d1d2 c6e7 f4g3 e7f5,136
rnbq1rk1/ppp1p1bp/3p2p1/5pB1/2PPn3/2N1P2P/PP2BPP1/R2QK1NR w KQ -,g5h4 c7c5 e2f3 c5d4 e3d4 c8e6 f3e4 f5e4 b2b3 d6d5,-14
1R6/3rkpp1/6b1/4B2r/p5p1/8/PP3P1P/4R1K1 w - -,e5g7 e7d6 b8b4 d6c6 b4a4 g6f5 a4a5 d7d3 g7c3 d3d5,225
r4rk1/p3ppbp/3p2p1/q1PQ4/3P4/7P/PP3PP1/R1B1K2R w KQ -,c1d2 a5a6 a1c1 d6c5 c1c5 f8c8 d2e3 a8b8 c5c8 b8c8,-48
r2qk1nr/ppp2ppp/2n5/4P2b/1bPp4/4PN1P/PP2KPP1/RNBQ1B1R w kq -,a2a3 h5f3 g2f3 b4f8 f3f4 d8h4 f1g2 e8a8 g2c6 b7c6,62
r5k1/5ppp/3pp3/2p5/4P3/5nP1/r4PNP/2B2R1K w - -,g2e3 a2a4 h1g2 f3g5 f2f3 f7f6 e3d1 a4a2 g2g1 g5h3,-580
r1bq1rk1/2p2p2/1p1p1bp1/p1nPp2n/2P1P2p/2N1BP2/PPQNB1PP/R4RK1 w - -,d2b3 f6g5 e3g5 d8g5 b3c5 b6c5 e2d3 f7f5 f1f2 a5a4,-82
r1br2k1/pp3ppp/2n1p3/3n4/3N4/PPp1B1P1/4PPBP/2R2RK1 w - -,d4c6 b7c6 e3c5 e6e5 f1e1 c8e6 b3b4 f7f5 g2d5 c6d5,13
8/2R2pk1/2p5/8/1P1N4/2P4P/P4rPK/4r3 w - -,a2a4 f2a2 c7c6 a2a4 b4b5 e1b1 h2g3 f7f6 g3f3 g7f7,204
8/5k2/7R/7P/6r1/8/6K1/8 w - -,,0
r6r/5kp1/pq2pp2/1pN4p/2bP2Q1/P1P5/5PPP/R2R2K1 w - -,g4h4 b6d6 a3a4 g7g5 h4e4 d6f4 e4b7 f7g6 d4d5 a8b8,8
r1bqkbnr/1pp3pp/p2p1p2/4p3/P1BnPP2/2NP4/1PP3PP/R1BQK1NR w KQkq -,g1e2 c8g4 h2h3 g4h5 g2g4 h5f7 c4f7 e8f7 f4f5 d4c6,167
r2k1r2/pp1b2pp/2p2q2/3p4/2B5/2PQ4/P1P2PPP/3RR1K1 w - -,d3d2 d8c7 c4f1 a8d8 a2a4 f6f4 e1e3 f8e8 c3c4 e8e3,-3
r4rk1/p3ppbp/q2p2p1/2PQ4/3P4/7P/PP1B1PP1/R3K2R w KQ -,a1c1 d6c5 c1c5 f8c8 d2e3 a6d3 d5b3 d3b1 b3d1 b1b2,-48
7R/r1k5/8/2K5/8/8/8/8 w - -,,0
6r1/pp5q/4k3/P1p4p/2N1PR2/3P4/1P2K1RP/8 w - -,,0
r3nrk1/pp1p2pp/1qp2p2/8/4P2Q/1P1P4/PBP2PPP/4RRK1 w - -,e4e5 f8f7 e1e2 d7d6 e5d6 e8d6 f1e1 b6a5 a2a4 a5d5,228
5rk1/p4ppp/8/R7/2p5/2P5/P1r2PPP/3R2K1 w - -,,0
r1b2rk1/pp2ppbp/5np1/7q/3N4/4B1P1/PP2PPBP/2RQ1RK1 w - -,d4f3 h5b5 b2b3 b5a6 d1d2 c8f5 f1d1 a8c8 f3e5 h7h5,27
6k1/7p/p7/1p3pp1/4q3/1PP1p2P/P3Q1P1/7K w - -,a2a4 b5a4 b3a4 a6a5 c3c4 g8f8 c4c5 f5f4 h1g1 f8e7,-258
r3nrk1/pp1p2pp/2p2p2/q7/4P2Q/1P1PR3/PBP2PPP/5RK1 w - -,e4e5 f8f7 a2a4 a5d2 h4c4 f6e5 e3e5 a7a5 f2f3 e8c7,231
r1bq1rk1/2p2p2/1p1p2p1/p1nPp1bn/2P1P2p/1NN1BP2/PPQ1B1PP/R4RK1 w - -,e3g5 d8g5 b3c5 b6c5 e2d3 a5a4 c3b5 h5f4 g1h1 c8d7,-103
rnb1kb1r/pp3ppp/2p5/q2pp3/2PPn2B/2N1P3/PP3PPP/R2QKBNR w KQkq -,a2a3 d5c4 f1c4 e4c3 d1d2 e5d4 e3d4 f8b4 a1c1 c3e4,-32
r1b1k1nr/ppp2ppp/2nq4/2b1p3/3pP3/P2P1N2/1PPBNPPP/R2QKB1R w KQkq -,b2b4 c5b6 b4b5 c6e7 a3a4 g8f6 a4a5 b6c5 h2h3 e7g6,-2
r3nrk1/pp1p2p1/2p2p1p/q7/4P2Q/1P1P3R/PBP2PPP/5RK1 w - -,b2c1 f8f7 a2a4 a5c3 h4g4 g8f8 g4d1 d7d5 h3g3 d5d4,236
r1b2rk1/2p2p2/1p1p2p1/p1nPp1qn/2P1P2p/1NN2P2/PPQ1B1PP/R4RK1 w - -,b3c5 b6c5 e2d3 f7f5 f1f2 a5a4 c2d2 h5f4 g1h1 c8d7,-96
r1b2rk1/pp1nppbp/6p1/7q/3N4/4B1P1/PP2PPBP/R2Q1RK1 w - -,a1c1 d7f6 d4f3 h5b5 d1d2 f6g4 e3c5 g7b2 h2h3 g4e5,33
r4r2/ppkb2pp/2p2q2/3p4/2B5/2P5/P1PQ1PPP/3RR1K1 w - -,,0
3r4/p4ppk/4pb1p/2p5/q1P5/PNP3PP/1P2RP2/4QK2 w - -,b3c5 a4c4 c5e4 f6e7 e4d2 c4a4 f1g2 h7g8 d2f3 d8d1,80
r3n1k1/pp1p1rp1/2p2p1p/q7/4P2Q/1P1P3R/P1P2PPP/2B2RK1 w - -,a2a4 g8f8 d3d4 e8c7 c2c4 a8e8 d4d5 c7a6 h3g3 a5c7,225
r1b2rk1/1pppqppp/8/p1bQn3/2P3n1/PP2PN2/4BPPP/RNB1K2R w KQ -,,0
