3r2k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/5r2 w - -,c3e2 a5a4 b3a2 c6c5 d2d3 g8f6 c2c3 d4c3 b2c3 f8e7,Mate
8/8/4k3/R7/R7/2K5/8/8 w - -,b1b7 g2e2 d1c1 f1f2 b7g7 f2e3 g7e7 e3d3 e7e2 d3e2,Mate
2kr1b1r/1bqp1pp1/p7/1p3p2/3BnP1p/2NB1Q1P/PPP3P1/2KR3R w - -,f3f1 e4g3 f1f2 g3h1 d1h1 h8h6 d3f5 b5b4 c3e4 c7c6,-221
7k/7b/7K/8/8/R7/8/8 w - -,a3b3 h7g8 b3b7 g8a2 b7b8 a2g8 h6g5 h8g7 b8b7 g7h8,10
r1bqk2r/pp2ppbp/2n3p1/2pn4/2B2P2/2PP1N2/PP4PP/RNBQ1RK1 w kq -,c4b5 e8h8 b5c6 b7c6 f3e5 f7f6 e5c4 c8f5 g2g4 f5d7,-57
r2qk1nr/ppp2ppp/2n5/4P3/1b1pP1b1/3P1N2/PPP1N1PP/R1BQKB1R w KQkq -,c1d2 g4f3 g2f3 d8h4 e2g3 b4d2 d1d2 c6e5 e1a1 g8e7,5
r2r2k1/1n2npbp/p3p1p1/1p6/8/4BN2/PPB2PPP/3RR1K1 w - -,b2b3 b7d6 e3g5 g8f8 g1f1 a8c8 c2b1 b5b4 b1d3 g7c3,-142
6k1/1p4n1/3N1Q2/B1pP2Pb/P1P1K3/8/2q4P/8 w - -,e4e5 c2h2 e5e4 h2e2 e4f4 e2f2 f4e4 h5g6 f6g6 f2c2,-653
r1b2bk1/pp2p3/2p2npp/3p1p2/3P3P/4P3/PqP1NPP1/R2QKB1R w KQ -,d1c1 b2c1 a1c1 g8g7 e2f4 e7e6 c2c4 f8b4 e1d1 f6e4,61
r1bqkb1r/4pp2/p1pp1p1p/8/4P3/2N5/PPPQ1PPP/R3KB1R w KQkq -,e1a1 a8b8 f1c4 f8g7 h1e1 e8h8 c4b3 d8a5 c1b1 f6f5,26
r3k2r/1pq1bppp/p1bppn2/8/3BPP2/2N2B2/PPP3PP/R3QRK1 w kq -,e1g3 e8h8 g1h1 f6e8 a1e1 a8d8 g3f2 d8c8 h2h3 e8f6,33
