rn1qkb1r/pp2pppp/2p2nb1/3p4/3P2P1/1P1BPP2/P1P4P/RNBQK1NR w KQkq -,b1c3 b8d7 g4g5 f6h5 f3f4 e7e6 c1b2 f8d6 g1f3 d8e7,9
R7/8/8/2k2K2/1p6/2p5/8/8 w - -,c1b2 e7e6 b1c3 d8a5 g4g5 f6h5 d1d2 g6d3 d2d3 f8e7,Mate
3qrnk1/1p2r2p/2b1p1pQ/6N1/8/PB5P/1P3RP1/5R1K w - -,c1b2 e7e6 b1c3 d8a5 g4g5 f6h5 d1d2 g6d3 d2d3 f8e7,Mate
4r1kr/3R3p/p4p1B/1pp2p2/8/1PPP4/1P3PPP/R5K1 w - -,d7g7 g8f8 g7a7 f8g8 b3b4 a6a5 b4c5 b5b4 c3b4 a5a4,1096
r2qk1nr/pp3ppp/2nbp3/1Bpp1b2/3P1B2/2P1PN2/PP1N1PPP/R2QK2R w KQkq -,b5c6 b7c6 d1a4 g8e7 f4d6 d8d6 a4a3 d6b8 d4c5 a7a5,73
r1bq1rk1/ppp1bppp/3p1n2/n3p1B1/2B1P3/2NP1N1P/PPP2PP1/R2Q1RK1 w - -,g5e3 a5c4 d3c4 c7c6 d1e2 d8a5 a1d1 f8d8 a2a3 h7h6,-16
r3kb1r/pp2pppp/n1p2n2/3p1b2/3P1B2/2N1P3/PqPQ1PPP/R3KBNR w KQkq -,f1a6 b2a1 c3d1 b7a6 g2g4 f5g4 f2f3 g4d7 g1e2 a1b1,-540
r1bqk1nr/ppppb1pp/5p2/n2PP3/5B2/2N2N2/PPP3PP/R2QKB1R w KQkq -,d5d6 f6e5 f4e5 e7f6 d1e2 e8f8 e1a1 c7c5 e2f2 b7b6,836
r3kb1r/pp2pppp/2n2n2/q7/3P4/1QN2b2/PP2BPPP/R1B1K2R w KQkq -,c1e3 f3g2 h1g1 g2d5 b3b7 a8b8 b7a6 a5a6 e2a6 c6b4,-400
rn2k2r/p1ppbppp/1p2p3/4P3/3P3q/P1NB1P2/1PPQ1P1P/R3K2R w KQkq -,f3f4 f7f6 c3e2 b8c6 e1a1 e8h8 h1g1 f6e5 d4e5 e7c5,83
rnb1kbnr/ppp1qppp/8/8/3pN3/5P2/PPPP2PP/R1BQKBNR w KQkq -,d1e2 b8c6 d2d3 c8d7 e4g3 d7e6 g1h3 e7b4 e2d2 e6h3,-103
r3kb1r/pp2pppp/5n2/q7/3n4/1QN2B2/PP3PPP/R1B1K2R w KQkq -,f3c6 b7c6 b3b7 a8d8 c1e3 d8d7 b7c8 a5d8 c8d8 e8d8,-451
r1bq2rk/1p1p4/p1n1pP1p/3n4/4NR2/1N1Bb3/PPP3PP/R6K w - -,f4f3 c6e5 f6f7 g8f8 a1f1 e5f3 f1f3 d8e7 c2c4 d5f4,-719
8/p1n1k1pp/P7/4P3/3q2Q1/6p1/4p1P1/7K w - -,f4f3 c6e5 f6f7 g8f8 a1f1 e5f3 f1f3 d8e7 c2c4 d5f4,Mate
r1bqk1nr/pp3ppp/2np4/2b1p3/8/P1N2N2/1PP1PPPP/R1BQKB1R w KQkq -,b2b4 c5b6 e2e3 g8f6 c3a4 e8h8 c1b2 b6c7 c2c4 f8e8,23
8/5k2/8/8/4P1K1/8/8/8 w - -,b2b4 c5b6 e2e3 g8f6 c3a4 e8h8 c1b2 b6c7 c2c4 f8e8,Mate
r2q1rk1/1bp2ppp/pb3n2/1p2p3/4P3/1PP1BN1P/1P3PP1/RN1QR1K1 w - -,b1d2 d8e7 b3b4 f8d8 d1c2 a8c8 c3c4 b6e3 e1e3 c7c5,-27
6k1/5p2/8/8/2p3p1/2P5/2K5/1q6 w - -,c2b1 g8g7 b1b2 g4g3 b2a3 g7f6 a3b4 g3g2 b4c4 g2g1q,-1919
rnb1k2r/pp3ppp/4pq2/3p4/1bP5/2N2N2/PP2PPPP/R2QKB1R w KQkq -,a1c1 d5c4 d1a4 b8c6 e2e3 f6g6 f1e2 a7a6 f3e5 g6e4,-21
rnb1kbnr/pppp1ppp/5q2/8/2B1P3/2N5/PB3PPP/R2QK1NR w KQkq -,g1f3 b7b5 c4b3 b5b4 e4e5 f6f5 c3d5 b8a6 d5e3 f5g6,249
r3kb1r/pp2pppp/2n2n2/8/1q1P2b1/1QN2N2/PP2BPPP/R1B1K2R w KQkq -,b3b4 c6b4 e1h1 a8d8 h2h3 g4f3 e2f3 d8d7 c1f4 e7e6,38
3r4/4q1kp/1prpppp1/pNn5/P1P1P2P/1P2Q1P1/3R1PK1/3R4 w - -,e4e5 d8f8 e5f6 e7f6 b5d6 c6c7 d2e2 c7c6 d6e4 f6e5,318
4r1kr/5p1p/p6q/1pP2p2/1P6/2P5/1P3PPP/R5K1 w - -,g2g3 g8g7 c3c4 h6d2 g1g2 e8e1 a1e1 d2e1 c5c6 e1e4,-1224
3r2k1/p4pbp/2P3p1/q6n/5B2/1PN1QP2/1PP4P/1K5R w - -,c6c7 d8c8 b3b4 a5b4 h1d1 g7f6 f4e5 b4e7 f3f4 f6e5,484
r2qkb1r/pppn1pp1/4pn1p/1Q1p4/3P4/2N1PN2/PPP2PPP/R1B1K2R w KQkq -,b5b7 f8d6 b2b3 e8h8 b7a6 d8c8 a6c8 f8c8 c3a4 a7a5,51
r1bqk1nr/ppppb1pp/3P4/n3p3/5B2/2N2N2/PPP3PP/R2QKB1R w KQkq -,f4e5 e7d6 e5g7 d8e7 d1e2 b7b6 g7h8 c8b7 e1a1 e8a8,876
r1bqkb1r/pppp1p1p/2n3pn/4p2Q/2B5/3PP3/PPP2PPP/RNB1K1NR w KQkq -,h5f3 c6a5 b1c3 a5c4 d3c4 f8g7 e3e4 d7d6 h2h4 c8e6,-20
r3qr1k/pp3p1p/2pn1b2/7Q/3pP3/2NB4/PPP3PP/R5K1 w - -,h5f3 c6a5 b1c3 a5c4 d3c4 f8g7 e3e4 d7d6 h2h4 c8e6,Mate
rnb1kb1r/pp2pppp/2pp1n2/q7/3P1P2/2N2N2/PPPB2PP/R2QKB1R w KQkq -,f1d3 a5b6 h2h3 g7g6 d1e2 c8f5 d3f5 g6f5 f3h4 b6a6,12
2r3k1/p1P2pbp/6p1/q6n/5B2/1PN1QP2/1PP4P/1K5R w - -,b3b4 a5b4 h1d1 g7f6 f4e5 b4e7 f3f4 f6e5 c3d5 e7c7,491
r1bq1rk1/1ppnb1pp/3pp3/p4p2/2PP4/2Q2NP1/PP1BPPBP/R4RK1 w - -,c3c2 d7f6 f1d1 d8e8 a1c1 f6e4 d2f4 g7g5 f4e3 e8h5,34
rnbqk2r/ppppppbp/6p1/2PnP3/5P2/3P4/PP4PP/RNBQKBNR w KQkq -,b1c3 d5c3 b2c3 b7b6 h2h4 h7h5 d1f3 b8c6 d3d4 e7e6,-12
r1b2rk1/ppp1qppp/3p4/3Pn3/8/5NP1/PP1QPPBP/R3K2R w KQ -,f3e5 d6e5 a1c1 f7f5 c1c3 e7d6 e1h1 c8d7 d2c2 e5e4,89
2kr1bnr/pp2pppp/2n5/3q4/3P4/2N2b2/PP2BPPP/R1BQK2R w KQ -,c3d5 f3d5 e1h1 e7e6 c1f4 f8d6 f4d6 d8d6 a1c1 c8b8,368
r2q1rk1/ppp3pp/2nb1p2/8/3pB1bB/5N2/PPP2PPP/R2Q1RK1 w - -,d1d3 g8h8 e4c6 b7c6 f3d4 d6e5 d4c6 d8d3 c2d3 e5b2,-8
rnb1kb1r/ppq1pppp/2pp1n2/8/3P1P2/2NB1N2/PPPB2PP/R2QK2R w KQkq -,h2h3 g7g6 g2g4 b7b5 a2a3 b8d7 d1e2 d7b6 f4f5 g6f5,6
r2qkb1r/pp3ppp/2n1bn2/2ppp3/8/2NPPN2/PPPBBPPP/R2QK2R w KQkq -,e1h1 h7h6 h2h3 f8e7 f3h2 d8d7 f2f4 e8h8 h2g4 f6g4,-87
r1bq1rk1/p4ppp/2p1pn2/3p4/1b2P3/2NQ4/PPPBBPPP/R3K2R w KQ -,e4d5 c6d5 e1h1 f8e8 c3e4 b4d2 e4d2 e6e5 f1e1 d8b6,-53
r6r/5pkp/pq3p2/Npp5/1P6/2PP4/1P3PPP/R1B1R1K1 w - -,c1e3 b6d6 b4c5 d6d5 a1d1 h8d8 b2b3 a8c8 h2h3 g7h8,49
