8/8/2k3B1/4Q3/5K2/8/8/8 w - -,c3b5 c4d3 b5c3 d7d5 c2d3 g8e7 b2b4 a8b8 a2a3 d5d4,Mate
r1bqkb1r/pppn1ppp/3p1n2/3P4/4Pp2/2N5/PPP3PP/R1BQKBNR w KQkq -,a2a4 d7c5 f1d3 c5d3 c2d3 c7c6 d5c6 b7c6 c1f4 a8b8,-88
r1b1k1nr/pppp1ppp/5q2/4p2Q/2BnP3/8/PPP2PPP/RNB1K2R w KQkq -,c1g5 f6g6 h5g6 h7g6 b1a3 d7d6 g5e3 d4e6 a3b5 a7a6,-207
rnb1kb1r/ppp1pppp/5n2/8/3qN3/8/PPPPQPPP/R1B1KBNR w KQkq -,e4g3 d4d5 d2d4 h7h5 h2h4 d5d4 g1f3 d4b6 c2c3 c8g4,-71
rnbqk2r/pp3pp1/3p1n1p/2pp4/1bP4B/2N1P3/PP3PPP/R2QKBNR w KQkq -,f1d3 d5c4 d3c4 b4c3 b2c3 d6d5 c4b3 b8c6 g1e2 g7g5,-131
rnbqkb1r/1p3ppp/p2p1n2/1N2p3/2P5/6P1/PP2PP1P/RNBQKB1R w KQkq -,b1c3 a6b5 c3b5 c8e6 b2b3 d6d5 f1g2 f8b4 c1d2 b4d2,-613
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PPB2/2PB1N2/PP3PPP/RN1QK2R w KQ -,f4c1 d8b6 b1d2 c5d4 c3d4 b8c6 d2c4 b6d8 c4e3 f6d7,-36
rnbq1rk1/pp2ppbp/3p1np1/8/2BPP3/5N2/PPQ2PPP/RNB1K2R w KQ -,c4b3 c8g4 b1d2 b8a6 e1h1 a8c8 c2d1 e7e5 d4e5 d6e5,-60
rnbqkb1r/ppp1pp1p/3p1np1/8/4P3/3P4/PPP1BPPP/RNBQK1NR w KQkq -,c2c3 f8g7 g1f3 e8h8 e1h1 c7c5 c1e3 e7e5 b1d2 b8c6,-14
rnbqkbnr/pp2ppp1/2p4p/8/3Pp3/3B4/PPPN1PPP/R1BQK1NR w KQkq -,d3f1 d8d4 g1e2 d4e5 d2c4 e5e6 d1d4 g8f6 c1e3 b8d7,-134
rn1qk2r/ppp1ppbp/3p1np1/8/4P1b1/3P1N2/PPP1BPPP/RNBQ1RK1 w kq -,h2h3 g4f3 e2f3 e7e5 c2c3 b8d7 c1e3 a7a5 d1b3 e8h8,101
r1b1k1nr/pppp1ppp/2n2q2/1Bb1p2Q/4P3/5N2/PPPP1PPP/RNB1K2R w KQkq -,b5c6 b7c6 h5e5 f6e5 f3e5 f7f5 e4f5 g8e7 e5f3 e7f5,88
rnbqkbnr/1p1p1ppp/p3p3/8/2PpP3/2N5/PP3PPP/R1BQKBNR w KQkq -,c1d2 d4c3 d2c3 d7d6 g1f3 g8f6 f1d3 e6e5 d1e2 f8e7,-435
r1bqk1nr/pp2ppbp/2np2p1/8/2B1PP2/2N2N2/PP4PP/R1BQK2R w KQkq -,c1e3 g8f6 h2h3 e8h8 e1h1 e7e6 d1e2 a7a6 a2a4 d8a5,-106
r1bqkbnr/ppp1pppp/2n5/3p4/PP6/8/2PPPPPP/RNBQKBNR w KQkq -,d2d4 c6b4 c2c3 b4c6 g1f3 c8f5 e2e3 e7e6 b1d2 g8f6,-133
r1bqk2r/pp2npbp/2n1p1p1/2pp4/2BPPP2/2P2N2/PP4PP/RNBQ1RK1 w kq -,d4c5 d5c4 d1d8 c6d8 b1a3 e8h8 f1d1 f7f5 e4e5 e7d5,-221
r1bqk2r/1p1p1ppp/p1n2n2/4p1B1/1b2P3/2N5/PPP2PPP/RN1QKB1R w KQkq -,b1d2 b4c3 b2c3 c6a5 d2c4 a5c4 f1c4 d7d6 d1d3 e8h8,45
2kr1bnr/pppn1ppp/8/3P4/3P1pbq/2N2N2/PPP1K1PP/R1BQ1B1R w - -,d1d2 g8f6 e2d1 d8e8 f1d3 f8b4 d2e2 e8e2 f3h4 e2g2,-364
r1bqk2r/pp1n1ppp/2p2n2/3p4/1b1P4/2N1PN2/PP1B1PPP/R2QKB1R w KQkq -,h2h3 e8h8 f1d3 b4d6 d1c2 d8e7 e1h1 f8e8 f1e1 f6e4,-47
