rnbqkb1r/pp2nppp/2p5/3p4/3P4/2N5/PPQ1PPPP/R1B1KBNR w KQkq -,e2e4 d5e4 c2e4 c8f5 e4e3 f5e6 f1d3 e7d5 e3g3 b8d7,9
rnb2rk1/ppp2pp1/4pq1p/3p4/1bPPP3/2N2N2/PP3PPP/R2QKB1R w KQ -,f1d3 d5e4 d3e4 c7c5 e1h1 c5d4 d1d4 f6d4 f3d4 b8d7,-70
r1bqk2r/ppp2ppp/2nb1n2/1B1p4/3P4/5N1P/PPP2PP1/RNBQK2R w KQkq -,d1e2 c8e6 f3g5 d8d7 g5e6 d7e6 e2e6 f7e6 c1e3 e8h8,20
rn1qkb1r/pp2pppp/2p5/3pPb2/4n3/2NB1N2/PPPP1PPP/R1BQK2R w KQkq -,e1h1 e7e6 d1e2 e4c3 d2c3 f5g6 c3c4 f8e7 f1d1 b8d7,65
r1bqk2r/ppp2ppp/3b1n2/3pn3/3P4/6P1/PPP1PPBP/RNBQ1RK1 w kq -,b1c3 e5c6 c3d5 f6d5 g2d5 c8h3 c2c3 h3f1 d1f1 e8h8,-429
2k5/2p5/p2b4/3P4/1P1N3p/p6P/K3R1P1/3q4 w - -,c2c3 e5c6 f2f3 d6e7 e2e4 h7h5 c1g5 a7a5 b1d2 c8e6,Mate
rnbqkb1r/ppppnppp/4p3/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq -,g1f3 d7d5 d2d4 g7g6 b1c3 f8g7 d1d2 h7h5 e2e4 g7h6,79
rnbq1rk1/ppp2ppp/3p1n2/8/1b2P3/2N2N2/PPPP1PPP/R1BQKB1R w KQ -,c3d5 f8e8 d5b4 e8e4 f1e2 e4b4 d2d4 a7a5 e1h1 c8g4,64
rnbqr1k1/pppp1ppp/5n2/4N3/1b2P3/2N4P/PPPP1PP1/R1BQKB1R w KQ -,d2d4 d7d6 e5f7 e8e4 f1e2 b4c3 b2c3 g8f7 e1h1 f7g8,-259
rnbqkb1r/ppp2ppp/5n2/3pp2Q/8/4P3/PPPP1PPP/RNB1KBNR w KQkq -,h5f3 f8d6 f3d1 e8h8 d2d4 b8c6 f1e2 d8e7 b1c3 c8f5,-255
r3kb1r/ppp1pppp/2nq1n2/8/2B3b1/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,h2h3 g4h5 d2d4 e8a8 g2g4 h5g6 d1e2 e7e6 f1d1 d6e7,62
r1bqkbnr/pppp2pp/2n2p2/4p3/4P1P1/5N2/PPPP1P1P/RNBQKB1R w KQkq -,h1g1 d7d5 e4d5 d8d5 b1c3 d5e6 f1b5 c8d7 d2d3 e8a8,-96
r1b1kb1r/pp3ppp/2n2n2/3qp3/3P4/4BN2/PP3PPP/RN1QKB1R w KQkq -,b1c3 f8b4 d4e5 d5d1 a1d1 f6e4 d1c1 e8h8 f1c4 f8e8,97
8/4k1r1/8/8/5Q2/5K2/8/8 w - -,d1d2 e5d4 f3d4 f6e4 b1c3 e4c3 b2c3 f8e7 a1b1 e8h8,Mate
rnbqk2r/1p2ppbp/p2p1np1/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R w KQkq -,e1a1 h7h6 g5h4 e8h8 h4f6 g7f6 d2h6 c8g4 d4f3 f6g7,71
rnbqkbnr/ppp3pp/3p1p2/4p3/4P1P1/5N2/PPPP1P1P/RNBQKB1R w KQkq -,h1g1 c7c5 f1c4 b8c6 a2a4 g8e7 b1c3 h7h5 g4h5 h8h5,71
rnb1kbnr/pp2qpp1/2p4p/4p3/4P3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,a2a4 g8f6 f1c4 f6g4 d1e2 c8e6 c4e6 e7e6 e3d2 b8d7,74
8/8/1rk5/Q3K3/8/8/8/8 w - -,f1d3 g8f6 e1h1 e7c7 f3h4 f8e7 h2h3 e8h8 d1e2 f8d8,Mate
r1b1k1nr/pppp1ppp/8/4q3/4P3/2bQ4/PPP2PPP/R1B1KB1R w KQkq -,e1e2 c3b2 c1b2 e5b2 a1d1 g8f6 f2f3 e8h8 e2f2 d7d5,-730
rnbqk1nr/ppp2ppp/8/2bP4/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f3d4 d8d5 c1e3 g8f6 b1c3 d5e5 f1e2 c8d7 e2f3 b8c6,42
rn1qkb1r/pp2pppp/2p2n2/8/8/5bP1/PPPP1P1P/RNBQK1NR w KQkq -,g1f3 c6c5 d2d4 c5d4 d1d4 b8c6 d4d8 a8d8 c2c3 f6d5,-35
rnb1kb1r/ppppqppp/5n2/8/8/5N2/PPPPBPPP/RNBQK2R w KQkq -,d2d4 e7d8 e1h1 f8e7 c2c4 d7d5 b1c3 e8h8 f1e1 b8c6,97
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4PP2/2NP2P1/PPP4P/R1BQKBNR w KQkq -,f1g2 f8e7 g1f3 d5e4 c3e4 d8c7 d1e2 e8h8 e4f6 e7f6,-52
