8/3R4/5K2/8/8/2k5/8/8 w - -,b5c6 b7c6 f1d1 c6c5 c2c3 f8e7 c3d4 c5d4 d1d4 e7f6,Mate
rnbqk1nr/pp3ppp/2pbp3/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,e4e5 d6c7 d1g4 e8f8 g1f3 c6c5 d4c5 b8c6 c1g5 g8e7,199
r1bqkb1r/pp1n1ppp/3ppn2/2p5/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4 a7a6 d3d4 d8c7 d4c5 d7c5 b1c3 f8e7 c1f4 b7b6,93
rnbqkb1r/3p1ppp/p3pn2/1pp5/4P3/1B1P1Q2/PPP2PPP/RNB1K1NR w KQkq -,c1f4 d7d5 e4d5 f6d5 b3d5 e6d5 c2c4 b8c6 g1e2 c8b7,-74
rnbqkb1r/ppp1p1pp/5p1n/8/2BPP3/8/PP3PPP/RNBQK1NR w KQkq -,c1h6 c7c5 h6e3 c5d4 d1d4 d8d4 e3d4 b8c6 d4c3 e7e5,861
rnbqk1nr/ppp2ppp/3b4/8/3Np3/4P3/PPPP2PP/RNBQKB1R w KQkq -,f1c4 d8h4 e1f1 a7a6 d2d3 g8f6 b1c3 b7b5 c4d5 f6d5,-240
r1bqk2r/pp2ppbp/2n2np1/2p1p3/5P2/2P2N2/PP1PB1PP/RNBQ1RK1 w kq -,g1h1 e5f4 d2d4 c5d4 c3d4 f6d5 b1c3 c8e6 c3d5 e6d5,-372
r2qkb1r/pp2pppp/2n2n2/3p4/6b1/2NP1NP1/PPP2P1P/R1BQKB1R w KQkq -,a2a3 e7e5 h2h3 g4e6 f1g2 f8e7 e1h1 e8h8 d3d4 e5e4,-99
rnbq1rk1/pp2ppbp/5np1/8/2PP4/B2BPN2/6PP/RN1Q1RK1 w - -,d1e2 b8c6 b1d2 c8g4 d2e4 b7b6 e4f6 g7f6 a1b1 a8c8,-25
r2qkbnr/pQ1n1ppp/4b3/3pp3/8/6P1/PP1PPPBP/RNB1K1NR w KQkq -,g2h3 a8b8 b7a7 f8c5 a7a4 d8b6 e2e3 g8f6 h3e6 b6e6,-133
rnbqk2r/1p2ppbp/2pp1np1/p7/P1BPP3/2N2N2/1PP2PPP/R1BQK2R w KQkq -,e1h1 e8h8 c4b3 b8a6 h2h3 a6c7 f1e1 c8e6 d4d5 e6d7,109
r1bqkb1r/pppn1ppp/4pn2/1N1p4/3P1B2/8/PPP1PPPP/R2QKBNR w KQkq -,b5c7 e8e7 c7a8 f6e8 c2c3 f7f6 e2e3 e7f7 h2h4 f8d6,876
r2qkb1r/ppp2ppp/2n2n2/3pp3/4P1b1/2PP1Q2/PP2BPPP/RNB1K1NR w KQkq -,f3g4 f6g4 e2g4 d5e4 d3e4 d8h4 g4f3 f8c5 g2g3 h4f6,-483
r2qkbnr/pbpn1ppp/1p1p4/4p3/8/1P2PN2/PBPPBPPP/RN1QK2R w KQkq -,c2c4 g7g6 e1h1 f8g7 d2d4 e5e4 f3d2 g8h6 d1c2 f7f5,62
8/8/2K1B3/8/3N4/2k5/8/8 w - -,c6d5 c3d3 d4f5 d3c3 d5c5 c3d3 e6d5 d3c3 d5c4 c3b2,5939
r1bq1rk1/1p1n2pp/p2p4/3Pppb1/2P5/2N1BP2/PP2B1PP/R2Q1RK1 w - -,e3d2 d8b6 g1h1 g5d2 d1d2 d7c5 b2b3 c8d7 e2d1 a6a5,-33
rnb1k1nr/pppp1ppp/5q2/2b1p3/4P1PP/8/PPPP1P2/RNBQKBNR w KQkq -,g1h3 f6h4 b1c3 d7d6 f1e2 c5b6 a2a4 g8f6 a4a5 b6d4,-182
r1bqk1nr/ppp2pbp/2npp1p1/8/3P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,c2c3 g8e7 h2h3 e8h8 f4h2 e6e5 f1e2 c8e6 e1h1 h7h6,47
r1b1k1nr/pppp1ppp/8/2b1q3/4P3/2PB4/PP3PPP/RNBQK2R w KQkq -,e1h1 g8f6 b1d2 e8h8 d2f3 e5h5 e4e5 f6g4 c1f4 d7d6,108
r3kbnr/pp2pppp/2n5/5q2/3P2b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,d4d5 g4f3 g2f3 c6e5 f3f4 e5d7 h2h4 e7e6 f1h3 f5f6,412
rnbqk2r/ppp1bp1p/5n2/8/6p1/6P1/PPPPP1NP/RNBQKB1R w KQkq -,b1c3 b8c6 d2d3 c8e6 c1h6 c6d4 g2f4 c7c6 f1g2 e6d7,164
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P4/2P1PN2/PP2BPPP/RNBQK2R w KQkq -,b1d2 d7d5 b2b3 f8d6 c1b2 e8h8 e1h1 b8c6 e2d3 a8c8,-39
8/p3Rpp1/k7/3P1B1p/8/N1P2b2/PP1q1Pp1/6K1 w - -,f5c8 a6b6 e7b7 b6c5 b7b5 c5d6 a3c4 d6e7 c4d2 f3d1,1519
r1b1kb1r/p2ppppp/1qp2n2/8/4P3/2N5/PPPB1PPP/R2QKB1R w KQkq -,e4e5 f6d5 f1c4 b6c7 d1e2 e7e6 e1a1 f8e7 f2f4 a8b8,93
r1bqk1nr/1pppppbp/p1n3p1/8/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,g1f3 g8f6 h2h3 d7d6 f1e2 e8h8 e1h1 b7b5 a2a3 c8b7,32
rn2kb1r/pp2pppp/1q3n2/3p2B1/3P2b1/2N2N2/PPP2PPP/R2QKB1R w KQkq -,g5f6 g7f6 c3d5 b6a5 d5c3 b8c6 f1b5 f8g7 e1h1 e8h8,98
2kr1bnr/ppp2ppp/2nq4/4p3/2P3b1/2N2N2/PP1PBPPP/R1BQ1RK1 w - -,b2b4 d6g6 f3h4 g4e2 h4g6 e2d1 g6h8 d1h5 g2g4 h5g4,-64
r1bqkb1r/pp3ppp/2n1p3/2pn4/2BP4/4PN2/PP3PPP/RNBQK2R w KQkq -,e1h1 c5d4 f3d4 f8d6 d4c6 b7c6 h2h3 e8h8 e3e4 d5f4,39
