r1bqkbnr/1pp2ppp/p1np4/1B2P3/3P4/2N2N2/PPP3PP/R1BQK2R w KQkq -,b5a4 b7b5 a4b3 d6e5 d1e2 c8g4 e1h1 g8f6 d4e5 g4f3,337
r2qk2r/ppp1bppp/2n1pn2/1B1p1b2/3P1B2/2P1P3/PP1N1PPP/R2QK1NR w KQkq -,g1f3 e8h8 e1h1 c6b8 b5e2 h7h6 c3c4 c7c5 d1b3 d8b6,37
rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,g1f3 c6c5 b1c3 d7d6 d2d4 c5d4 f3d4 g7g6 c1e3 f8g7,88
rnb1k1nr/ppp1qppp/3p4/2b1p3/2B1P3/5Q2/PPPPNPPP/RNB1K2R w KQkq -,d2d3 g8f6 h2h3 c8e6 e1h1 c7c6 a2a3 a7a5 e2g3 h7h6,8
r4rk1/1q2bppp/3pbn2/1p2p3/pn1PP3/4BN1P/PP3PP1/1BRQRNK1 w - -,f1g3 b4a2 b1a2 e6a2 g3f5 f8d8 e3g5 h7h6 g5h4 a2e6,-54
r4rk1/1q1bbppp/3p1n2/1p1Pp3/pn2P3/4BN1P/PP3PP1/1BRQRNK1 w - -,f1g3 f8c8 d1d2 b4a6 f3h4 g7g6 f2f4 c8c1 e1c1 e5f4,34
r1b1k1nr/ppp2ppp/2np4/2b1p1B1/2B1P3/2PP1q2/PP3PPP/RN2K1NR w KQkq -,g1f3 h7h6 g5c1 a7a5 a2a4 g8e7 c1e3 c5e3 f2e3 f7f5,-9
r1b1kb1r/ppqn1pp1/2pp1n1p/4p3/B2PP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,a4b3 b7b5 a2a3 f8e7 c1e3 e8h8 f3h4 e5d4 e3d4 e7d8,18
8/p1kN4/P3K3/8/8/8/8/8 w - -,f1e1 b7b5 a4b3 f8e7 f3h4 a7a5 a2a3 e5d4 d1d4 d7c5,Mate
rnb1kbnr/pppp1p1p/4q3/8/4PQ2/2N5/PPPP2PP/R1B2R1K w kq -,d2d4 d7d6 f4f2 b8a6 c3d5 c7c6 d5f4 e6e7 f4h5 f7f6,-641
r1bqkb1r/ppp2ppp/5n2/3pp1N1/2BnP3/2Q5/PPPP1PPP/RNB1K2R w KQkq -,e4d5 h7h6 g5f7 e8f7 d5d6 f7e8 d6c7 d8c7 e1h1 c8e6,-586
