r2q1r1k/p6p/2b2n2/6Bp/2B5/6Q1/P5PP/5R1K w - -,g5f6 f8f6 g3e5 c6g2 h1g2 h8g7 c4d5 a8c8 d5e4 h7h6,-167
rn3rk1/pQ3p1b/2p1pnpp/8/P2q3P/6N1/1P2BPP1/R1B1K2R w KQ -,c1e3 d4d6 b7a8 d6b4 e1f1 b4b2 a1d1 f6d5 a8a7 d5c3,485
r3k2r/1p1n1ppp/p3p3/q2pPn2/3P4/2b4P/PP2BPP1/RN1QK2R w KQkq -,b2c3 b7b5 e1h1 e8h8 e2d3 f5e7 d1h5 e7g6 f2f4 f7f5,-17
r1b1kb1r/pp1p1ppp/1qn1p3/6B1/4P3/2N5/PPP2PPP/R2QKB1R w KQkq -,d1d2 f7f6 g5f4 b6b2 a1b1 b2a3 c3b5 a3a2 d2d1 f8b4,22
r3k2r/pp1qn1bp/3pp1p1/2p1n1N1/4P3/2NP4/PPP3PP/R1BQ1RK1 w kq -,c3b5 d7b5 g5e6 e8d7 a2a4 b5a5 e6g7 a8f8 c2c3 f8f1,124
rnbqk2r/pp1pppbp/2p2np1/8/3P4/1P4P1/P1P1PPBP/RNBQK1NR w KQkq -,e2e4 d7d6 g1e2 b7b5 e1h1 e8h8 b1a3 c8a6 c1d2 b8d7,21
r3k2r/3n1ppp/p3p3/qp1pPn2/3P4/2P4P/P3BPP1/RN1QK2R w KQkq -,e1h1 f5e7 e2d3 e8h8 d1c2 g7g6 c2d2 e7c6 f1c1 f8c8,-29
r1bqk2r/pp3pp1/2nb1n1p/1B2p3/8/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,b1d2 e8h8 b5c6 b7c6 f1e1 f8e8 d2c4 d8c7 c1d2 f6d5,133
r1bqkbnr/pp1n1ppp/4p3/2pp4/3PP3/2P2N2/PP1N1PPP/R1BQKB1R w KQkq -,e4d5 e6d5 f1b5 a7a6 b5d7 d8d7 e1h1 f8e7 f1e1 c5d4,91
r6r/pp1kn1bp/3pN1p1/1qp1n3/4P3/3P4/PPP3PP/R1BQ1RK1 w - -,a2a4 b5a5 e6g7 a8f8 c1h6 a5b4 h2h3 b7b6 f1f8 h8f8,145
8/7P/8/kP2K3/8/8/1P6/2b5 w - -,,0
r6r/pp1kn1N1/1q1p2p1/2p1n2p/P3P3/3P4/1PP3PP/R1BQ1RK1 w - -,a4a5 b6c7 c2c3 a8g8 d3d4 c5d4 c3d4 e5g4 g7e6 d7e6,245
r3k2r/ppqnbpp1/2p1pnp1/3p4/2PP4/1QN1PPP1/PP1B3P/R3KB1R w KQkq -,c4d5 f6d5 e3e4 d5c3 b2c3 b7b5 e1f2 a7a6 f1e2 d7b6,27
r6r/pp1kn1N1/2qp2p1/P1p1n2p/2P1P3/3P4/1P4PP/R1BQ1RK1 w - -,c1f4 a8g8 d3d4 e5c4 d4d5 c6b5 g7e6 g6g5 f4d2 d7c8,305
rnbq1rk1/4bppp/p3pn2/3p4/Np1NP3/1B2BP2/PPPQ2PP/R3K2R w KQ -,e4e5 f6d7 f3f4 c8b7 f4f5 d7e5 f5e6 e5c4 b3c4 d5c4,40
8/8/8/2pk4/3r4/4K3/8/2R5 w - -,,0
rnbq1rk1/3nbppp/p3p3/3pP3/Np1N4/1B2BP2/PPPQ2PP/R3K2R w KQ -,f3f4 d7c5 a4c5 e7c5 e1h1 a6a5 c2c3 b4c3 b2c3 d8c7,56
r3k2r/ppqnbpp1/4pnp1/3p4/3P4/1QN1PPP1/PP1B3P/R3KB1R w KQkq -,a1c1 c7b6 b3b6 d7b6 f1d3 a8c8 b2b3 g6g5 e3e4 d5e4,28
rnbq1rk1/4bppp/p3p3/2npP3/Np1N1P2/1B2B3/PPPQ2PP/R3K2R w KQ -,e1h1 c5e4 d2e1 c8d7 c2c4 b4c3 a4c3 e7b4 a1d1 b8c6,25
r3k1r1/pp2n3/6p1/P1P4p/2P1q1P1/5R2/6P1/R1B2QK1 w - -,c1g5 e4d4 f3e3 g8g7 a1d1 d4c5 d1d5 c5e3 g5e3 h5g4,542
8/8/5K2/5N2/6k1/3B4/8/8 w - -,g4g5 a8d8 c1b2 e8d7 a1e1 e4g4 b2f6 g8f8 a5a6 e7c6,Mate
rn1q1rk1/pbp1ppbp/1p1p1np1/8/3PP3/2PB1P2/PP2N1PP/RNBQ1RK1 w - -,c1e3 c7c5 a2a4 a7a6 d1d2 e7e6 b1a3 b8d7 b2b4 b7c6,64
r1bqkb1r/pp3ppp/2n1p3/2Ppn3/8/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,c1e3 e5g4 e3d4 e6e5 d1e2 c8e6 d4e5 g4e5 f3e5 f8c5,-83
