r3k2r/3nPpp1/p3p2p/1p1p4/3N3q/2N2B2/PPP3PP/1K1R3R w kq -,f3d5 e6d5 c3d5 h4g5 d5c7 e8e7 h1e1 e7f6 d4f3 g5c5,-208
r2qk2r/ppp2ppp/2n1p3/3n4/1b4b1/2NPBN2/PPP1BPPP/R2QK2R w KQkq -,e1h1 b4c3 b2c3 d5c3 d1e1 d8f6 a2a4 e8a8 a4a5 a7a6,-274
2nr2k1/p1q2pp1/3r1n1p/2p1p3/2B1P2B/P1P2Q1P/5PP1/1R2R1K1 w - -,c4d5 d6b6 b1b6 c7b6 a3a4 c8e7 d5c4 b6d6 e1b1 g7g5,90
r2qr1k1/5p1p/pn1b2p1/np2P1P1/8/5N2/PPB2PP1/R1B1R1K1 w - -,c1d2 a5c4 e5d6 c4d2 f3d2 e8e1 a1e1 d8g5 d2e4 g5e5,-496
r1b1k2r/pppn1ppp/8/3Pp3/4B2q/2P5/P1P3PP/R1BQK1NR w KQkq -,g2g3 h4e4 d1e2 e4h1 c1e3 h1d5 e2g4 d5c6 g4g7 c6c3,-621
2kr1bnr/ppp1pppp/8/8/Q1pq4/6P1/PP1NbPBP/R1B2RK1 w - -,a4b4 d4b6 b4c3 e2f1 g2f1 b6c6 f1g2 c6f6 c3c2 f6d4,-182
r1b1kbnr/1pq2ppp/p2pp3/8/3QP3/2N2N2/PPP2PPP/R1B2RK1 w kq -,c1f4 f7f6 d4d3 g7g5 f4e3 c8d7 e3d4 f8g7 f3g5 g8e7,134
r1b1k1nr/pppp1ppp/2n2q2/2b1p3/6Q1/1P2P3/PBPP1PPP/RN2KBNR w KQkq -,b1c3 d7d5 g4e2 g8e7 e1a1 f6h6 c1b1 c8e6 d2d4 e5d4,-7
r2q1rk1/4ppbp/1nbp1npB/2p5/p3P3/R1NP1N2/1PPQBPPP/5RK1 w - -,f1a1 e7e5 d2c1 f8e8 h6g7 g8g7 f3d2 h7h5 h2h3 d8c7,1
rnbqkbnr/pp3ppp/4p3/2pp4/3P1B2/4P2P/PPP2PP1/RN1QKBNR w KQkq -,g1f3 g8f6 f1d3 d8b6 d1c1 c8d7 e1h1 f8d6 f4d6 b6d6,30
R7/8/R7/8/8/4K3/1k6/8 w - -,g1f3 g8f6 f1d3 d8b6 d1c1 c8d7 e1h1 f8d6 f4d6 b6d6,Mate
8/1k1K4/8/3N4/8/3B4/8/8 w - -,g1f3 g8f6 f1d3 d8b6 d1c1 c8d7 e1h1 f8d6 f4d6 b6d6,Mate
r1bqk1nr/ppp3pp/1bn5/4pp2/3P1P2/2N2N2/PP4PP/R1BQKB1R w KQkq -,f4e5 c6d4 c1e3 d4f3 d1f3 c7c6 e3b6 a7b6 f3g3 g7g6,-67
2n3k1/p1q2pp1/4rn1p/PB2p3/1Rp1P3/2r3BP/4QPP1/4R1K1 w - -,e2b2 c3b3 b4b3 c4b3 e1c1 c7b7 b5c4 e6c6 g3e5 f6e4,143
r1bqkb1r/pppp1ppp/5nn1/8/4PB2/2P5/PP3PPP/RN1QKBNR w KQkq -,d1f3 d7d5 f4g5 d5e4 f3e3 f8e7 b1d2 f6g4 g5e7 d8e7,-191
8/8/4k3/8/8/4K3/7R/3Q4 w - -,d1f3 d7d5 f4g5 d5e4 f3e3 f8e7 b1d2 f6g4 g5e7 d8e7,Mate
r4rk1/p3bppp/2p1p3/3pPn2/Nq1P2b1/4BN2/PP3PPP/2RQ1RK1 w - -,c1c6 a8c8 c6c8 f8c8 b2b3 g4f3 g2f3 b4b5 f3f4 e7b4,-157
2n3k1/p1q2pp1/4rn1p/PB2p3/2r1P3/6BP/4QPP1/4R1K1 w - -,g3e5 e6e5 e2c4 c7c4 b5c4 e5e4 e1c1 c8d6 c4d3 e4e7,-384
8/8/4k3/8/3Q4/4K3/3R4/8 w - -,g3e5 e6e5 e2c4 c7c4 b5c4 e5e4 e1c1 c8d6 c4d3 e4e7,Mate
3r4/pp6/8/3r1pRp/5P1k/P2p1K2/1P1R3P/8 w - -,h2h3 d5d4 g5f5 d8g8 f3f2 g8e8 f2f3 e8e1 f5f7 b7b6,-22
r1bq1rk1/ppp1ppbp/2np1np1/8/P7/1PN3P1/1BPPPPBP/R2QK1NR w KQ -,e2e4 e7e5 d2d3 c6d4 h2h3 c8e6 g1f3 c7c5 e1h1 a7a6,-23
r2qkb1r/ppp2ppp/3p4/4p2b/2BnP1n1/2NP1N1P/PPP2P2/R1BQ1RK1 w kq -,f3d4 g4f6 c4b5 c7c6 d4c6 b7c6 b5c6 e8e7 c3d5 f6d5,244
r2qkb1r/2p2ppp/p1n1pn2/1p6/P1pP2b1/5NP1/1P1NPPBP/R1BQ1RK1 w kq -,a4b5 a6b5 a1a8 d8a8 f3e5 f6d5 e5g4 f8e7 e2e4 d5b4,353
r2qkb1r/2p2ppp/2n1pn2/1p6/2pP2b1/5NP1/1P1NPPBP/R1BQ1RK1 w kq -,a1a8 d8a8 f3e5 f6d5 e5g4 c6b4 e2e4 d5b6 d4d5 e6d5,363
1qn3k1/p4pp1/4rn1p/PB2p3/2Q1P3/6BP/5PP1/4R1K1 w - -,c4c5 c8d6 b5d3 b8b3 e1e3 a7a6 d3f1 b3b2 f2f3 f6h5,100
rn1qk1nr/pp3ppp/2p1b3/b2pP3/3P4/P1N5/1P3PPP/R1BQKBNR w KQkq -,f1d3 g8e7 g1e2 c6c5 d4c5 a5c3 e2c3 b8d7 c3b5 e8h8,91
rn1q1rk1/pbp1b1pp/1p1ppn2/5pB1/2PP4/2NBPN2/PP3PPP/R2Q1RK1 w - -,d4d5 f6e4 c3e4 f5e4 g5e7 d8e7 d3e4 b8d7 e4c2 a7a5,199
r4rk1/ppp2ppp/2nq1n2/2p5/2B1Pp2/3P1P2/PPPQ3P/R1B2RK1 w - -,d2g2 f6h5 g2g5 g7g6 g1h1 a8e8 a2a4 g8g7 g5h4 d6d8,-93
rnbqkb1r/ppp2ppp/5n2/4p3/8/3Pp1N1/PPPN1PPP/R1BQKB1R w KQkq -,f2e3 h7h5 f1e2 g7g6 e2f3 h5h4 g3e4 f6e4 d2e4 b8c6,-48
rnb1kbnr/pp3ppp/1q2p3/2pp4/3P1B2/4P2P/PPP2PP1/RN1QKBNR w KQkq -,b2b3 c5d4 e3d4 f8d6 f4d6 b6d6 g1f3 g8e7 f1d3 e8h8,2
8/8/8/5K2/5Q2/8/4k1p1/8 w - -,b2b3 c5d4 e3d4 f8d6 f4d6 b6d6 g1f3 g8e7 f1d3 e8h8,Mate
rnbqk1nr/ppp2pp1/3p3p/b3p3/2B1P3/P1N2N2/1PPP1PPP/R1BQK2R w KQkq -,d2d4 e5d4 d1d4 g8f6 d4d3 b8d7 b2b4 a5b6 e1h1 a7a5,38
r2qkb1r/1p1npp1p/p5p1/3P4/Q7/2N2P2/PP3P1P/R1B1K2R w KQkq -,d5d6 f8g7 c3e4 b7b5 a4a3 f7f5 e4g5 e7d6 e1h1 d8e7,15
rnbqk2r/ppp2pp1/4pb1p/3p4/3PP3/5N2/PPPN1PPP/R2QKB1R w KQkq -,c2c3 c7c5 d4c5 e8h8 e4e5 f6e7 f1d3 b8d7 d3c2 d7c5,21
