7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
r6r/3qppk1/2bp2p1/p1p4n/1p2PN1P/1P1P1P2/P1PQN3/1K1R3R w - -,f4h5 h8h5 e2g3 h5h7 h4h5 a8h8 d3d4 c5d4 d2d4 g7f8,142
b7/2p2kp1/3r3p/p1K2p2/5P1P/PP1PN3/2P5/6R1 w - -,g1g7 f7g7 e3f5 g7g6 f5d6 a8f3 b3b4 f3d1 c2c4 g6h5,503
5r1k/2p3p1/1p1p4/3P3p/1n2P3/5P2/r2N4/4K3 w - -,a3a4 d6g6 g1g6 f7g6 c5b5 g6h5 e3f5 g7g6 f5e7 h5h4,Mate
r3rk2/1p4pp/p1p1Bp2/3n4/3R4/2P5/PP3PPP/2K1R3 w - -,c1d1 d5c7 e6b3 e8e1 d1e1 f8e7 b3c2 h7h6 h2h4 a6a5,29
4rr1k/pp3qpp/2bb4/2ppn3/8/PPN3B1/2PQ1PPP/R3RNK1 w - -,c3e4 d6e7 e4g5 e7g5 d2g5 h7h6 g5d2 f7f6 f2f3 d5d4,-28
r5k1/1p2Rrpp/p3Qq2/8/8/8/PP4PP/4R2K w - -,e6f6 g7f6 h2h3 a8d8 e7e8 d8e8 e1e8 g8g7 h1h2 g7g6,5
8/pp3p2/3Kp1p1/3pP2p/1P3P2/2P5/k5PP/8 w - -,d6e7 a2b3 e7f7 b3c3 f7e6 d5d4 e6f6 d4d3 e5e6 d3d2,157
2kr3r/pppq1pp1/2nb1n2/4p3/3P2p1/2P1B3/PP2BPPN/RN1Q1RK1 w - -,g2g3 h8h7 d4d5 c6e7 h2g4 d8h8 b1d2 h7h1 g1g2 h1h2,-159
rn1q1rk1/2p3pp/1p1ppb2/p4p2/2PPb3/1P3NP1/PBQ1PPBP/3R1RK1 w - -,c2c1 d8e8 f3e1 b8d7 e1d3 e4g2 g1g2 a5a4 c1c2 e8f7,14
8/7p/2n1k1p1/1pp5/4K1PP/1PBP4/P7/8 w - -,c3g7 c6b8 a2a4 b5a4 b3a4 b8a6 d3d4 c5d4 g7d4 a6b4,360
5Bk1/5p2/1p2p1p1/3p4/3b3q/2r2P1P/PQ2R1P1/1R4K1 w - -,g1h1 g8f8 b2d2 c3c4 h1h2 h4f6 b1b3 e6e5 g2g3 e5e4,-11
8/8/8/8/p5K1/P4Q2/6p1/7k w - -,g1h1 g8f8 b2d2 c3c4 h1h2 h4f6 b1b3 e6e5 g2g3 e5e4,Mate
6k1/bp4p1/p3b2p/P4p1N/1P2p3/2P5/3r1PPP/R2B2K1 w - -,h5f4 d2f2 f4e6 f2a2 g1f1 a2a1 f1e2 a1a3 c3c4 g8f7,-533
1b6/8/6p1/3K1pkp/8/7P/4B1P1/8 w - -,e2b5 g5h4 b5c6 f5f4 d5c4 h4g3 c4d3 g3f2 c6e4 g6g5,-3
8/ppk3p1/2p5/4r3/7p/2N4P/PPP3n1/1K4R1 w - -,b2b4 e5e1 g1e1 g2e1 c3e4 e1f3 b1c1 b7b6 c2c4 c7d7,-319
r1b2rk1/1p3ppp/2p5/p1Ppq3/P3n3/1P2P3/3NBPPP/R2Q1RK1 w - -,d1c1 c8f5 e2d3 e4c3 c1c2 f5d3 c2d3 f7f5 f2f4 e5f6,-27
r1b1kb1r/pp1p1ppp/1q2p3/3BP3/3n4/5N2/PP1B1PPP/RN1QK2R w KQkq -,d5e4 d7d6 e5d6 d4f3 e4f3 f8d6 d1b3 b6b3 a2b3 e6e5,415
5rk1/ppq2pp1/2p2n1p/2P5/2B3b1/5N2/PPQ2PPP/3R2K1 w - -,c2d3 c7f4 d3d4 f4f5 d1d3 g4f3 d3f3 f5b1 c4f1 f8e8,-43
k7/p1B3pp/q1N3b1/2pP1p2/2n1r3/1Q6/R1P3PP/2K5 w - -,c2d3 c7f4 d3d4 f4f5 d1d3 g4f3 d3f3 f5b1 c4f1 f8e8,Mate
K1k5/P4p1p/6p1/8/7P/8/5PP1/8 w - -,,0
r1b2rk1/1p1nppbp/1q1p2p1/p1p4n/P2PP3/2P1BN2/1P1NBPPP/R2Q1RK1 w - -,e4e5 d6e5 d4e5 d7e5 f3e5 g7e5 e2h5 g6h5 d1h5 e5g7,114
r7/3qppk1/2bp2p1/p1p4r/1p2P2P/1P1P1P2/P1PQN3/1K1R3R w - -,e2g3 h5h7 h4h5 a8h8 d3d4 c5d4 d2d4 g7f8 d4b6 a5a4,158
8/2n5/5pk1/P6p/4K3/5P2/6PP/8 w - -,g2g3 g6g5 e4d4 c7a6 h2h4 g5f5 d4d5 f5g6 g3g4 h5g4,44
8/8/1p6/1NbP1k2/P1N5/3K4/5n2/8 w - -,d3c3 f2e4 c3b3 e4f6 b5c3 c5f2 b3b4 f2e1 b4b5 e1c3,6
8/p4p2/k1b4p/1pp3q1/8/3Q4/P1P2P1P/3R1K2 w - -,d3e3 g5e3 f2e3 b5b4 d1d6 a6b5 f1e2 c6e4 e2d2 h6h5,210
1r4k1/pP3pbp/1n1q2p1/4p1B1/2n1P3/2N2Q1P/P4PP1/1R1B2K1 w - -,d1b3 h7h6 g5e3 d6d7 e3b6 c4b6 b1d1 d7b7 d1d6 g8h8,195
r1bqkb1r/ppp2ppp/2n2n2/8/4pN2/3Q4/PPP2PPP/RNB1KB1R w KQkq -,d3d8 c6d8 b1c3 f8c5 f4d5 f6d5 c3d5 c5d6 c1e3 d8c6,-91
r6r/pp2kp2/2p1b1pp/P1P1p2P/4P1P1/5PN1/1KP5/3R3R w - -,d1b1 e6c4 b2c3 c4a6 c3d2 a8d8 d2e3 e7f6 h1d1 h8g8,47
5k2/5p2/1p2p1p1/3p4/3b3q/2r2P1P/PQ2R1P1/1R5K w - -,b2d2 c3c4 h1h2 h4h5 f3f4 f8g7 g2g3 e6e5 f4e5 d4e5,-7
r1bq1bnr/ppp1k3/2n2p1p/1B2p1pQ/3NP3/2N5/PPP2PPP/R1B1K2R w KQ -,d4c6 b7c6 b5c6 c8d7 c3d5 e7d6 c6a8 d8a8 c1g5 d7e8,574
6k1/bp4p1/p3b2p/P4p2/1P2pN2/2P5/5rPP/R2B2K1 w - -,f4e6 f2a2 g1f1 a2a1 f1e2 a1a3 c3c4 g8f7 e6d8 f7e7,-532
5b2/2N4p/3k2p1/8/P7/8/5P2/5K2 w - -,a4a5 d6c7 f1e2 f8c5 e2d3 c5f2 a5a6 f2c5 d3e4 c7b8,-543
rnbqr1k1/ppp3pp/8/5p2/1bNPp3/2N5/PPP2PPP/R1BQ1RK1 w - -,c3e2 c8e6 c4e3 d8d7 f2f3 e4f3 f1f3 b8c6 c2c3 b4d6,-64
r3rk2/1pn3pp/p1p1Bp2/8/3R4/2P5/PP1K1PPP/4R3 w - -,e6b3 e8d8 d4d8 a8d8 d2c2 b7b5 a2a4 c6c5 a4a5 g7g6,26
2rq1rk1/pp3p1p/4bp2/b2p4/8/2N3P1/1P2PPBP/R2Q1RK1 w - -,c3d5 e6d5 g2d5 c8c5 e2e4 f6f5 b2b4 a5b4 a1a7 f5e4,114
r1b1kb1r/pp1p1ppp/1q2p3/4P3/4B3/5n2/PP1B1PPP/RN1QK2R w KQkq -,e4f3 d7d6 e5d6 f8d6 d1b3 e8h8 b3b6 a7b6 b1c3 d6e5,428
rn2kb1r/ppp1qppp/3p1n2/4p3/2Q1P1b1/1B6/PPPP1PPP/RNB1K1NR w KQkq -,,0
6k1/8/6P1/5N1K/8/8/8/8 w - -,b1c3 g7g6 c3d5 f6d5 e4d5 g4c8 g1f3 f8g7 e1h1 e8h8,Mate
3r1rk1/pp2nppp/3bqn2/2p1p3/2N1P3/2P2BPP/PP2QPK1/R1BR4 w - -,c1e3 b7b6 e3g5 d6b8 d1d8 f8d8 a1d1 d8d1 e2d1 e7c6,155
8/ppk3p1/2p5/6r1/5n1p/2N4P/PPP3P1/1K4R1 w - -,g1h1 g5g2 b2b4 c7d6 a2a4 d6e5 b1b2 e5f5 a4a5 g7g5,-333
8/7p/2n1k1p1/2p5/Pp2K1PP/1PBP4/8/8 w - -,,0
6k1/bp4p1/p3N2p/P4p2/1P2p3/2P5/r5PP/R2B2K1 w - -,g1f1 a2a1 f1e2 a1a3 c3c4 g8f7 e6d8 f7e7 d8b7 a3a2,-539
2rr2k1/1q3pp1/p3pn1p/1p6/3N4/P3P3/1P2QPPP/2R2RK1 w - -,,0
r1b1k1nr/2q2ppp/p1pbp3/1p6/4P3/P1NBB3/1PP2PPP/R2QK2R w KQkq -,d1g4 g7g6 f2f4 d6e7 g4h3 g8f6 e4e5 f6d5 c3d5 e6d5,68
8/pk3p2/2b4p/1pp2q2/8/6Q1/P1P2P1P/3R1K2 w - -,d1d8 b7a6 d8d3 b5b4 g3d6 a6b5 d6b8 b5a6 f1e1 f5e4,152
r1b1qrk1/ppp1b1pp/n2ppn2/5p2/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 w - -,e2e4 f5e4 c3e4 h7h6 e4c3 e8f7 a2a3 a6b8 b2b4 b8c6,120
5b2/7p/2k3p1/1N6/P7/8/5P2/5K2 w - -,,0
8/8/8/8/p5K1/P4Q2/6pk/8 w - -,f2f4 c6c5 f1g2 f8h6 b5c7 h6f4 c7e6 c5b4 e6f8 h7h6,Mate
r2qnrk1/1p2pp2/p2p2pp/2pP4/P1PbPP1B/2NQ3P/1P4P1/4RR1K w - -,e4e5 d8c7 c3e2 a8c8 e5e6 f7f5 e2d4 c5d4 d3d4 e8f6,232
r1br4/1pk1n1pp/2p2p2/p3p3/PPP1P3/R2BP3/3N2PP/5RK1 w - -,f1b1 a5b4 b1b4 a8a5 b4b1 c8e6 b1a1 b7b6 d2b1 h7h5,-144
8/2b5/4K3/3B4/5pp1/6k1/6P1/8 w - -,,0
1r4k1/pP3pb1/1n1q2pp/3Np1B1/2n1P3/5Q1P/P4PP1/1R1B2K1 w - -,g5e7 d6d7 f3d3 b8b7 d1g4 f7f5 e4f5 e5e4 d5f6 g7f6,114
r2q1rbk/pp1np1bp/2pp1np1/1P3p2/P1PP4/5NP1/1B1NPPBP/R2Q1RK1 w - -,f1e1 f6e4 d1c2 d7f6 e2e3 a8c8 e1b1 d8d7 b1c1 c8c7,94
rn1qr1k1/ppp3pp/4b3/5p2/1bNPpB2/2N5/PPP2PPP/R2Q1RK1 w - -,c4a3 a7a6 c3e2 b8c6 c2c4 b4a3 d4d5 a3b2 a1b1 d8f6,-165
2rq1rk1/pp3p1p/5p2/b2b4/8/6P1/1P2PPBP/R2Q1RK1 w - -,a1a5 d8a5 g2d5 a5b5 d1d4 c8d8 d4g4 g8h8 d5c4 b5e5,-131
r1b1r2k/1p2b2p/p3p1pB/2npPp2/1q5P/1N1B2Q1/P1P2PP1/1R2R1K1 w - -,h6d2 b4g4 g3g4 f5g4 b3c5 e7c5 d2e3 c5e7 e3g5 e7c5,3
R7/3k3P/8/3P4/8/6K1/p7/7r w - -,a8a2 h1h5 a2a8 d7d6 h7h8q h5h8 a8h8 d6c5 h8h7 c5d4,9605
3R4/pp3pkp/4rnp1/3N4/4P1P1/5P2/PP5P/6K1 w - -,d5e3 e6e7 g4g5 f6h5 e3d5 e7e5 h2h4 f7f5 g5f6 h5f6,250
rq3r2/2bb1pkp/p1p1p1p1/Pp1nP1Pn/1P1P1P2/2NBB2P/2QN4/R4RK1 w - -,c3d5 c6d5 d2b3 h5g3 f1f3 g3f5 h3h4 c7d8 b3c5 b8a7,120
1r1q1rk1/5ppb/p1p4p/3p4/2pP1Q2/2P2NnP/PP3PP1/R3R1K1 w - -,f4g3 b8b2 e1e3 a6a5 a2a4 f7f6 a1e1 h7e4 g3f4 d8d7,-112
r1b2rk1/pppp1ppp/2n3q1/b2QP3/2B5/2P2N2/P4PPP/RN3RK1 w - -,c4b3 d7d6 e5d6 g6d6 d5d6 c7d6 b1d2 f8d8 a1d1 d6d5,-164
rn1qkbnr/2pbpppp/1p6/p7/8/8/PP1PPPPP/RNBQKBNR w KQkq -,g1f3 e7e6 e2e3 f8d6 b1c3 g8f6 d2d4 c7c5 f3e5 e8h8,24
r4rk1/1pp2pp1/2np1q1p/1p2p3/2B1P1b1/P1PP1NK1/1P3P2/R1BQ1R2 w - -,c4b5 g4h5 f1h1 f6g6 g3h2 g6f6 h2g2 f6g6 g2f1 h5g4,103
r4rk1/p5pp/2pq1n2/1p1p1b2/3Pn3/2NBPN1P/PPQ2P2/2KR2R1 w - -,f3d2 e4c3 c2c3 b5b4 c3c2 f5d3 c2d3 a7a5 g1g2 a5a4,-102
8/8/8/8/p5K1/P6Q/6p1/6k1 w - -,f3d2 e4c3 c2c3 b5b4 c3c2 f5d3 c2d3 a7a5 g1g2 a5a4,Mate
7k/q6p/4r1p1/1P6/2N2p2/2bp1Q2/5PPP/3R2K1 w - -,b5b6 a7e7 h2h3 c3d4 b6b7 d4a7 f3f4 h8g7 b7b8q e6e1,396
r6r/3qppk1/2bp2p1/p1p5/1p2PN1P/1P1P1P2/P1PQ4/1K1R3R w - -,h4h5 e7e5 f4g2 a5a4 g2e3 a4b3 c2b3 d7a7 h5g6 f7g6,154
2br4/1pk1n1pp/2p2p2/r3p3/P1P1P3/R2BP3/3N2PP/5RK1 w - -,h2h4 c8e6 f1a1 b7b6 h4h5 h7h6 g1f1 c6c5 f1e1 e7c6,-142
r2qkb1r/8/1pnpbp2/p1p1pNpp/P1P1PnP1/1P1PBP1P/6B1/RN1Q1RK1 w kq -,b1c3 e6f5 e4f5 c6b4 e3f4 g5f4 c3d5 b4d5 c4d5 f8h6,-52
r3kb1r/pp3ppp/2b5/R1Ppn3/1q1B4/1N2P3/2P2PPP/3Q1RK1 w kq -,d4e5 b4e4 e5a1 f8e7 b3d4 a8c8 f2f3 e4g6 d1d3 e8h8,73
8/p3b3/8/5k2/p1ppNP1P/1r1P3K/8/6R1 w - -,g1f1 c4d3 e4g3 f5e6 f4f5 e6d5 f5f6 e7f8 f1f2 a4a3,-531
rn2k2r/ppp1qppp/3b1n2/3p4/3P1Bb1/3B2Q1/PPP2PPP/RN2K1NR w KQkq -,g1e2 d6f4 g3f4 g4e2 d3e2 e8h8 b1c3 c7c5 e1a1 b8c6,-11
8/5p2/3p2p1/p1pP4/1PP2P1p/P1K3k1/8/8 w - -,c3d2 a5b4 a3b4 c5b4 c4c5 d6c5 f4f5 h4h3 f5g6 f7g6,-510
r1b2rk1/1p3ppp/2p5/p1Pp4/P3q3/1P2P3/4BPPP/R2Q1RK1 w - -,e2f3 e4h4 d1d2 h7h5 f1d1 f8e8 d2d4 h4d4 d1d4 g7g6,-7
r1bqkb1r/pp1p1pp1/2n1p3/4P2p/2B2Bn1/2N2N2/PP3PPP/R2QK2R w KQkq -,h2h3 g4h6 e1h1 f8e7 d1d2 b7b6 f1d1 c8b7 a1c1 c6b4,117
r1b1qrk1/ppp1b1pp/n2p1n2/3Pp1N1/2P2p2/2N3P1/PP2PPBP/R1BQR1K1 w - -,e2e4 e8g6 g5e6 c8e6 d5e6 c7c6 g3f4 e5f4 c3e2 f6h5,-42
r1bqk2r/pppn1ppp/3b1n2/3p2B1/8/3P1Q1P/PPP2PP1/RN2KBNR w KQkq -,f3e3 d6e7 f1e2 e8h8 g1f3 f8e8 e3d2 h7h6 g5f4 d7f8,-69
r4bk1/rp1b1p2/1ppp1np1/7p/PP2P3/2NN1B1P/2P2PP1/3RR1K1 w - -,d3f4 d6d5 e4d5 f8b4 d5c6 d7c6 e1e3 b4c3 e3c3 a7a4,-74
8/pp2Kp2/4p1p1/3pP2p/1P3P2/1kP5/6PP/8 w - -,e7f7 b3c3 f7e6 d5d4 e6f6 d4d3 e5e6 d3d2 e6e7 d2d1q,139
8/6Np/p7/Ppnnk3/6P1/2P5/4KP2/8 w - -,g7f5 d5c3 e2d2 c3d5 d2e2 c5b3 e2d3 b3a5 f5d4 a5c4,-601
2kr3r/pppq1pp1/2nb4/4p3/3P2n1/2P1B3/PP2BPP1/RN1Q1RK1 w - -,e3g5 g4f6 g5f6 g7f6 f1e1 e5e4 e2g4 f6f5 g4h3 h8h3,-329
r1bq1rk1/pp2bppp/1n2pn2/2pp4/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - -,d1c2 a7a5 a2a4 b6d7 e2e4 d5d4 e4e5 f6e8 c2e2 d7b8,71
r4b1r/ppp2kpp/3p3n/4pP2/8/2P5/PP1P1PPP/RNBR2K1 w - -,d2d4 h6f5 d4e5 d6e5 d1d7 f8e7 d7c7 h8d8 b1d2 f7e6,121
3r1rk1/p3nppp/1p1bqn2/2p1p3/2N1P3/2P1BBPP/PP2QPK1/R2R4 w - -,e3g5 h7h6 g5f6 e6f6 f3g4 g7g6 d1d3 d6c7 g4d7 g8h7,158
r1b3rk/1p2b2p/p3p1pB/3pPp1P/1q6/1N1P2Q1/P4PP1/1R2R1K1 w - -,g3h3 g6g5 e1c1 e7d8 b3c5 b4f4 h3e3 f4h4 e3h3 h4h3,-15
rn2kb1r/ppp2ppp/4p3/3P1b2/2P3Pq/2N5/PP1P3P/R1BQKBNR w KQkq -,e1e2 f5g4 g1f3 f8c5 d2d4 c5d4 c1e3 e6e5 h2h3 g4h5,25
1b2rr1k/pp4pp/2b5/2N5/3p4/PP3qB1/2PQ1P1P/3RRNK1 w - -,e1e2 f5g4 g1f3 f8c5 d2d4 c5d4 c1e3 e6e5 h2h3 g4h5,Mate
8/pp3K2/4p1p1/3pP2p/1P3P2/2k5/6PP/8 w - -,f7e6 d5d4 e6f6 d4d3 e5e6 d3d2 e6e7 d2d1q e7e8q c3b4,155
8/2b5/5K2/3B4/6p1/5pk1/6P1/8 w - -,,0
8/2n5/6k1/P4p1p/4K2P/5P2/6P1/8 w - -,e4e5 c7a6 e5f4 a6b4 g2g4 f5g4 f3g4 b4d5 f4g3 h5g4,28
2kr3r/pppq2p1/2nb4/4pp2/3P2B1/2P1B3/PP3PP1/RN1Q1RK1 w - -,g4h5 g7g6 e3g5 h8h5 g5d8 e5e4 f1e1 d7d8 d1b3 d8g5,-234
5n1r/pQ4pp/1p2kp2/2p5/5Bn1/5N2/Pq1N1PPP/R4RK1 w - -,g4h5 g7g6 e3g5 h8h5 g5d8 e5e4 f1e1 d7d8 d1b3 d8g5,Mate
r1b1kb1r/1pqp1ppp/p3p3/2p5/2Pn4/1P4P1/PB1P1PBP/RN1QR1K1 w kq -,b2d4 c5d4 d1g4 c7b6 d2d3 h7h5 g4e2 f8e7 b1d2 h5h4,-51
rn2kb1r/ppp1qppp/3pbn2/4p3/2Q1P3/1B5P/PPPP1PP1/RNB1K1NR w KQkq -,c4b5 c7c6 b5e2 b8d7 g1f3 g7g6 b1c3 f8g7 b3e6 e7e6,-38
r1b1kb1r/pp1p1ppp/4p3/4P3/8/5B2/Pq1B1PPP/RN1QK2R w KQkq -,b1c3 b2b6 e1h1 f8e7 a1b1 b6d8 c3e4 e8h8 f1e1 a8b8,464
r3qrk1/ppp1b1pp/3pPn2/2n1p3/2P5/2N3P1/PP2PPB1/R1BQR1K1 w - -,e2e4 c5e6 c1e3 c7c6 b2b4 e8f7 g2h3 g8h8 a1b1 f6g8,-58
8/2b5/5K2/3B4/8/5pk1/8/8 w - -,,0
2bqkr2/1r3pQ1/n1p1pP2/1p6/p2P2p1/3R4/PPBN1PPR/2K5 w - -,f6f5 f3f2 d5c4 g3f3 c4b5 c7b6 f5g5 f3g3 g5h5 g3f4,Mate
3r2k1/ppq2pp1/2pR1n1p/2P5/2B5/5P2/PPQ2P1P/6K1 w - -,c2b3 d8d6 c5d6 c7d7 b3e3 b7b5 c4f1 d7d6 e3a7 f6d5,-26
r4rk1/pp2qppp/2ppbn2/8/3Q1B2/1P3P2/P1P2P1P/4RR1K w - -,f1g1 f6h5 g1g5 e7f6 d4f6 h5f6 f4d6 h7h6 d6f8 h6g5,-746
1r4k1/2qb1ppp/p1nbpP2/3p2PQ/3B3P/P1N5/2P5/K2R1B1R w - -,d1b1 b8b1 c3b1 c6d4 f1d3 g7g6 h5d1 d7a4 a1a2 d6e5,-354
8/pp6/4K1p1/4P2p/1P1p1P2/2k5/6PP/8 w - -,e6f6 d4d3 e5e6 d3d2 e6e7 d2d1q e7e8q c3b4 e8e4 b4c3,172
rq3r2/2bb1pkp/p3p1p1/Pp1pP1Pn/1P1P1P2/3BB2P/2QN4/R4RK1 w - -,d2b3 h5g3 f1c1 a8a7 b3c5 c7d8 e3f2 g3f5 d3f5 e6f5,110
3R4/pp3p1p/4rkp1/8/4P1P1/5P2/PP5P/6K1 w - -,g1f2 e6a6 a2a3 a6b6 b2b4 b6a6 d8d3 a6a4 h2h4 a7a5,114
2k2r2/ppq2pp1/8/2bnp1N1/7r/5Q1P/PPP2PP1/R1B1R1K1 w - -,f3d5 h4d4 d5f3 d4d7 c1e3 c8b8 e3c5 c7c5 f3e2 f8d8,540
2r5/pp1r4/3pp1k1/8/1PPnPpPP/5P2/P4K2/2RR4 w - -,d1d4 e6e5 d4d5 g6f7 f2g2 b7b5 d5b5 d7c7 c4c5 a7a6,460
r3qrk1/ppp1b1pp/3pnn2/3Np3/2P5/6P1/PP2PPB1/R1BQR1K1 w - -,c4c5 d6c5 d1b3 g8h8 d5f6 f8f6 b3b7 a8b8 b7e4 e7d6,-42
r3k2r/pp1np2p/2bqN1p1/3pp3/8/2N5/P1PQ1PPP/RR4K1 w kq -,c3b5 c6b5 b1b5 d6e6 b5d5 a8c8 a1e1 h8f8 e1d1 d7f6,-477
8/2R2r2/4Pkp1/2p4p/3r3P/5KP1/5P2/8 w - -,e6e7 f7e7 c7c5 f6g7 c5c2 d4d3 f3g2 e7d7 c2c5 d3d5,-456
r1bqkb1r/p1p2ppp/1p2pn2/nPPp4/3P4/P7/4PPPP/RNBQKBNR w KQkq -,c5b6 c7b6 e2e3 a7a6 b5a6 c8a6 f1a6 a8a6 a3a4 a5c4,-60
r3kb1r/pp3ppp/2b5/R1PpB3/4q3/1N2P3/2P2PPP/3Q1RK1 w kq -,e5b2 f8e7 b3d4 c6d7 d1a1 a7a6 c5c6 b7c6 a5a6 a8a6,64
r1bq2nr/pppkbQ2/2n2p1p/1B1Np1p1/3NP3/8/PPP2PPP/R1B1K2R w KQ -,d4c6 b7c6 c1e3 c8b7 e1a1 d7c8 d5b4 e7d6 b4c6 b7c6,711
r2q1rk1/1p2ppn1/p5pp/2pPP3/P1Pb3B/2NQ3P/1P4P1/4RR1K w - -,d5d6 d4c3 h4e7 c3e1 e7d8 f8d8 f1e1 g7e6 d3d5 a8b8,444
8/8/1p3k2/1NbP4/P1N5/2K5/5n2/8 w - -,b5c7 f6f5 c7a8 f2e4 c3d3 b6b5 a4b5 e4f6 a8c7 c5g1,11
K7/P1k4p/6P1/5p2/5P1p/8/8/8 w - -,b5c7 f6f5 c7a8 f2e4 c3d3 b6b5 a4b5 e4f6 a8c7 c5g1,Mate
3r3r/pp2kp2/2p1b1pp/P1P1p2P/4P1P1/2K2PN1/2P5/3R3R w - -,d1d3 d8d7 h1b1 h8b8 d3d7 e6d7 a5a6 d7c8 c3d2 b7b6,73
2kr3r/pppq4/2nb4/4ppp1/3P4/2P1B2B/PP3PP1/RN1Q1RK1 w - -,f2f3 e5d4 e3g5 d7g7 d1d3 g7g5 d3f5 g5f5 h3f5 c8b8,-136
8/6Np/p7/Pp1nk3/4n1P1/2P5/3K1P2/8 w - -,d2c2 e4f2 g7h5 f2g4 c2b3 g4e3 h5g3 e3c4 b3c2 d5f4,-644
8/pp6/4PKp1/7p/1P3P2/2k5/3p2PP/8 w - -,e6e7 d2d1q e7e8q d1d6 f6g5 c3b4 e8g6 d6c5 f4f5 a7a5,191
8/2R2Pk1/6p1/2p4p/3r3P/5KP1/5P2/8 w - -,,0
2bq2r1/1r1k1pQ1/n1p1pP2/1p6/p2P2p1/3R4/PPBN1PPR/2K5 w - -,f7f8b g7f8 c7c5 f8g7 f3e3 d4a4 f2f3 a4a7 c5c4 a7a3,Mate
R6r/3k4/8/3P4/8/6K1/p7/8 w - -,,0
8/3k2p1/4pp1p/3n4/6P1/5PK1/7P/2R5 w - -,c1b1 d7e8 f3f4 d5e7 b1b7 e8f8 b7b8 f8f7 b8b5 f7e8,46
1r4k1/pP3pb1/1n1q2pp/4p1B1/2n1P3/1BN2Q1P/P4PP1/1R4K1 w - -,g5e3 d6d7 b1d1 d7b7 e3b6 c4b6 d1d6 g8h8 f3f7 b7f7,199
r2q1rk1/2p3pp/np1ppb2/p4p2/2PPb3/1P3NP1/PB2PPBP/2QR1RK1 w - -,f3e1 d8e8 c1e3 e4g2 e1g2 e6e5 d4e5 d6e5 e3d2 a6b4,22
r4rk1/p3q1pp/2p2n2/1p1p1bN1/3Pn3/2NBP2P/PPQ2P2/2KR2R1 w - -,d3e4 f6e4 g5e4 b5b4 c2b3 b4c3 e4c3 f5h3 g1g3 a8b8,-107
r3nrk1/pp2qppp/2ppb3/8/3Q1B2/1P3P2/P1P2P1P/4R1RK w - -,f4h6 g7g6 c2c4 e7f6 d4f6 e8f6 f3f4 e6f5 f2f3 f8c8,-761
8/6p1/8/pp1p2p1/3P2k1/1PP1K3/5P2/8 w - -,e3d2 g4f5 d2c2 g5g4 c2c1 f5e4 c1d1 a5a4 d1c2 a4b3,-666
6k1/p4pp1/7p/1p5P/4PB2/3N4/P1r3PP/6K1 w - -,f4e5 c2a2 d3c1 a2a4 c1b3 a4e4 e5d6 e4e1 g1f2 e1b1,-317
r2qkb1r/8/1pnpbp2/p1p1p1pp/P1P1PnP1/1PNPBPNP/6B1/R2Q1RK1 w kq -,g3f5 e6f5 e4f5 c6b4 e3f4 g5f4 d1e2 d6d5 g1h2 d8d7,-46
8/pp1R1p1p/1r3kp1/8/4P1P1/5P2/PP5P/6K1 w - -,b2b3 b6a6 a2a4 a6b6 d7d3 b6b4 g1f2 h7h6 h2h4 a7a5,70
r1bqk2r/pp1pbpp1/2n1p3/4P2p/2B2Bn1/2N2N2/PP3PPP/R2Q1RK1 w kq -,c3e4 d8a5 a2a3 c6e5 f3e5 g4e5 b2b4 a5c7 a1c1 c7b8,100
r6r/3q1pk1/2bp2p1/p1p1p3/1p2PN1P/1P1P1P2/P1PQ4/1K4RR w - -,f4e2 a5a4 h4h5 a4b3 c2b3 c6b5 e2g3 d7a7 g3f5 g7f6,103
r1b2rk1/1p3ppp/2p5/p1Pp4/P6q/1P1QP3/4BPPP/R4RK1 w - -,d3c3 c8f5 f1d1 f8e8 d1d4 h4f6 b3b4 a5b4 c3b4 a8a7,17
r1bnkb1r/ppp2ppp/5n2/8/4pN2/8/PPP2PPP/RNB1KB1R w KQkq -,b1c3 f8c5 c3d5 f6d5 f4d5 c5d6 c1e3 d8c6 e1a1 c8g4,-88
8/8/n5k1/P3Kp1p/7P/5P2/6P1/8 w - -,e5d4 a6b8 d4e3 b8a6 g2g3 a6c5 e3e2 c5a6 e2f2 a6b4,28
rq3r2/2bb1pkp/p3p1p1/Pp1pP1P1/1P1P1P2/4B1nP/2QNB3/R4RK1 w - -,c2d1 c7d8 f1f3 g3e2 d1e2 d8e7 d2b3 e7b4 h3h4 b8c8,-30
2k3rr/pppq4/2nb4/4ppB1/3P4/2P4B/PP3PP1/RN1Q1RK1 w - -,f1e1 g8g5 g1f1 e5e4 f1e2 c8b8 e2d2 c6e7 d2c2 e7d5,-164
2kr1br1/pbpq1ppp/1pn1p3/3n2P1/4N3/1P3Q2/PBPPNPBP/2KR3R w - -,c1b1 f7f5 g5f6 g7f6 b2f6 c6e7 f6b2 f8g7 b2g7 g8g7,53
rn2k1nr/pp3ppp/2P1bq2/2b5/8/8/PP2PPPP/RNBQKBNR w KQkq -,g1f3 b8c6 e2e3 g8e7 f1e2 e7d5 d1c2 c5e7 b1c3 d5c3,41
