7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
r5k1/ppp5/1b1p3p/3Pp1pN/4P3/2P2r2/PP2RPRK/8 w - -,h2h1 a8f8 h1g1 g8h7 h5g3 f8f4 a2a4 h7g6 g3f5 a7a5,-293
r2qk2r/1p1bbppp/p3p3/3n2B1/8/3B1N2/PPP1QPPP/3R1RK1 w kq -,d3e4 e7g5 e4d5 g5f6 d5b7 a8a7 b7c6 e8h8 b2b3 f8e8,227
r2qkb1r/5ppp/2pp1n2/pp6/3nP1b1/1B1N4/PPPPNPPP/R1BQK2R w KQkq -,d3e5 d6e5 f2f3 g4f3 g2f3 d4f3 e1f1 a5a4 e2g3 f3h4,-489
r2q1rk1/ppnb1pbp/2n1p1p1/3p2P1/3NPP2/2N1B3/PPPQ3P/1K1R1B1R w - -,e4e5 c6d4 e3d4 b7b5 d4c5 a8b8 c5f8 d8f8 c3e2 b5b4,214
r1bq1rk1/pppp1ppp/3b1n2/1B6/3pP3/P1NP4/1PP2PPP/R1BQK2R w KQ -,c3b1 c7c6 b5a4 d6c7 c1g5 d7d5 b1d2 d8d6 d1f3 f6d7,-103
8/3kn3/p5p1/Pp1KP2p/1P3P1P/8/8/4B3 w - -,d5c5 d7c7 e5e6 e7f5 e1f2 f5h6 f2d4 h6f5 d4e5 c7d8,692
8/8/5p2/5P2/3kb1pN/pK4P1/8/8 w - -,b3a3 d4e3 h4g6 e3f3 g6f4 f3g3 f4h5 g3f3 h5f6 g4g3,-819
r3k2r/1p3pbp/p4p2/8/2Pp4/8/PP4PP/R1Bb1RK1 w kq -,f1d1 f6f5 c1f4 e8a8 d1d3 h7h5 a1f1 h5h4 f4d2 h8h5,-15
4K3/r7/6p1/1p3k2/1P2R3/P1P5/6P1/8 w - -,e4e3 a7a3 e8d7 a3a6 g2g3 f5g4 e3e5 a6a3 e5c5 g4g3,320
r3k2r/pp1bbpp1/3p1n1p/q3pP2/1n2P3/2NBBN2/PPP1Q1PP/R3K2R w KQkq -,e1h1 a8c8 g1h1 e8h8 e2d2 f6g4 a2a3 b4d3 c2d3 e7d8,21
8/6p1/1k5p/1P6/8/6P1/r4K1P/1R1q4 w - -,a2a3 d6d5 f3e5 d5e4 e5d7 e4d3 d7f6 e7f6 c2d3 e8h8,Mate
rn1qkbnr/pp3ppp/8/1N2p3/2Pp2b1/5N2/PP1P1PPP/R1BQKB1R w KQkq -,d2d3 a7a6 b5a3 f8b4 c1d2 b4d2 d1d2 g4f3 g2f3 d8f6,-104
r4rk1/1p2ppbp/pqnp1np1/8/2P1P1b1/1PN2N2/PB1QBPPP/R3K2R w KQ -,e1h1 b6a5 f1d1 a8b8 h2h3 g4f3 e2f3 b7b5 c4b5 a6b5,7
7r/pp3pk1/2pbqpp1/3p4/3P2P1/5QNP/PPP2PK1/R7 w - -,f3e3 h8e8 a1e1 d6f4 e3e6 f7e6 h3h4 a7a5 h4h5 e6e5,-18
3r2k1/5pbp/6p1/8/p7/3b1N2/PP1P1PPP/R1B3K1 w - -,f3e1 d3a6 e1f3 g6g5 h2h3 h7h5 d2d4 g5g4 h3g4 h5g4,-65
rn1q1r2/pppkb3/6Q1/4P3/8/2n5/PPP2PPP/R1B1K2R w KQ -,b2c3 d7c8 c1h6 f8g8 g6e6 b8d7 a1d1 g8e8 e6h3 e7c5,182
r2q1rk1/1pp2bbp/2np1np1/p2N1p2/2P1pN2/P2PP1P1/1P3PBP/1RBQ1RK1 w - -,d5f6 d8f6 f4d5 f6d8 d3e4 f5e4 b2b3 c6e5 g2e4 c7c6,86
2rq1r2/pp2ppkp/1n1p2p1/5b1P/1n1P4/2N2N2/PPPQ1PP1/2KR1B1R w - -,a2a3 b4a2 c3a2 c8c2 d2c2 f5c2 c1c2 d8d7 f1d3 b6d5,98
3kr2r/pp3ppp/2pb1P2/8/2n2B2/2P3PB/P4P1P/3RR1K1 w - -,f6g7 e8e1 d1e1 h8g8 f4g5 d8c7 g5f6 c4b6 h3f5 b6d5,560
2r3k1/4q1pp/p1rpbpn1/Pp2n3/3BP3/2P2NQP/2P1BRP1/5R1K w - -,f3e1 g8h8 e1d3 e5d3 c2d3 g6e5 h1h2 e7d7 g3e3 d7c7,8
3r4/6R1/p7/1pp2p2/7k/1PPP1P2/1P4P1/5K2 w - -,f1e2 h4h5 e2e3 b5b4 g7c7 d8e8 e3f4 e8g8 g2g3 h5g6,544
8/8/8/5K2/p7/1p1k4/1B6/8 w - -,f1e2 h4h5 e2e3 b5b4 g7c7 d8e8 e3f4 e8g8 g2g3 h5g6,Mate
6r1/p3b1n1/nqp1k3/1p1pP2p/3P1P1P/2PQ4/PP1N1B2/2K3R1 w - -,f4f5 e6d7 f5f6 b6d8 d3h7 e7f6 e5f6 d8f6 h7g8 g7e8,653
1r2r1k1/3q2pp/p2b1p2/3p4/2pP1P2/P4NP1/4Q2P/3RRK2 w - -,e2f2 d6a3 e1e8 d7e8 d1e1 e8d7 f2e3 d7h3 f1f2 a3f8,-396
rn2kb1r/1p2pppp/2p5/4Pb2/1pP2P2/N7/PP4PP/2KR1BNR w - -,e5e6 b4a3 e6f7 e8f7 f1d3 a3b2 c1b1 f5d3 d1d3 b8a6,-435
r1b2rqk/pp1np2p/2pp3Q/4PpNP/3P4/2NB4/PPP2P2/2KR3R w - -,d1g1 g8g7 h6g7 h8g7 e5e6 d7b6 h5h6 g7h8 g1e1 h8g8,695
r4k2/ppp5/1b1p3p/3Pp1p1/4P3/2P2rN1/PP2RPRK/8 w - -,g3f5 f3f5 e4f5 f8g7 h2g3 g7f6 g2h2 a8h8 h2h5 f6f5,-61
r2q1rk1/ppnb1pbp/2n1p1p1/6P1/3NpP1P/2N1B3/PPPQ4/1K1R1B1R w - -,h4h5 c7d5 c3d5 e6d5 d2h2 h7h6 g5h6 g7f6 h5g6 f7g6,185
1R6/8/2Q5/8/K4k2/2P5/8/8 w - -,d4b3 g7c3 b2c3 c7d5 h4h5 d8c7 e3c5 c6a5 c5d4 a8d8,Mate
8/8/2p4p/8/3k4/8/P2K4/8 w - -,d2e2 d4c4 e2e3 c4b4 e3d3 h6h5 d3d4 h5h4 d4e4 b4a3,-3581
3r2k1/ppp1bp2/2n2n1p/4p1pP/2N1P3/2P2BP1/PP3P2/R1B3K1 w - -,g1g2 a7a5 a2a4 f6d7 c4e3 d7c5 e3f5 c5b3 a1b1 e7f8,52
8/2b2p2/4p3/6kp/8/2K5/8/8 w - -,c4e3 e7c5 e3f5 g8h7 g3g4 d8d7 g1f1 a7a5 a2a4 f6e8,Mate
8/r5p1/2R2p2/p7/Pp2k3/1P4P1/5PK1/8 w - -,c6c5 e4d4 c5c4 d4d3 c4c5 a7e7 g3g4 e7e5 c5c7 e5d5,-113
4K3/8/6p1/1p3k2/1P6/r1P1R3/6P1/8 w - -,e8d7 a3a6 g2g3 g6g5 d7c7 f5g4 c3c4 b5c4 b4b5 a6a7,400
6k1/3R2p1/7p/p3P3/1b1B4/5K2/6PP/4r3 w - -,g2g4 a5a4 d7b7 b4d2 b7a7 d2g5 a7a4 g8f7 a4a7 f7e6,37
3kr3/pp3ppp/2pb1P2/8/2n2B2/2P3PB/P4P1P/3R2K1 w - -,f4d6 g7f6 d6f4 d8e7 d1d7 e7f8 f4h6 f8g8 d7b7 f6f5,566
8/2r4K/5kp1/1p1p1n2/p2P2rP/5NP1/PP3R2/NR6 w - -,,0
r2qkb1r/5ppp/2pp1n2/pp6/4P2n/1B1N4/PPPPNK1P/R1BQ3R w kq -,d1f1 a5a4 b3f7 e8f7 f2e1 d8e7 d3f2 a8e8 d2d3 d6d5,-132
r2qkb1r/1p1n1pp1/2p1pn1p/7P/3P4/p2Q1NN1/PPP2PP1/1KBR3R w kq -,b2b3 d8c7 g3e4 f6e4 d3e4 d7f6 e4e2 f8d6 c2c4 d6f4,7
1r1qbnk1/2p3b1/1pnp4/p3pp1Q/4P2P/2PP2P1/PP4B1/R1B2RK1 w - -,h5f5 e8d7 f5f7 g8h8 g1h2 d8e8 g2h3 c6d8 f7f3 d7h3,118
1n2kb1r/1p2pppp/2p5/4Pb2/1pP2P2/8/rPN3PP/2KR1BNR w - -,f1e2 e7e6 e2d3 f5g4 d3e2 g4e2 g1e2 b8d7 e2d4 a2a8,-107
rnb1kb1r/1p2pppp/5n2/p2p4/3N4/8/PPPBPPPP/R3KBNR w KQkq -,d4b5 b8a6 d2a5 g7g6 e1a1 c8d7 e2e3 f8g7 f2f3 e8h8,44
