r1bqk2r/pppp2pp/2n2n2/2b1p3/2B1Pp2/3P1N2/PPPB1PPP/RN1Q1RK1 w kq -,b2b4 c5b6 b4b5 c6d4 f3d4 b6d4 d2c3 d4c3 b1c3 d7d6,83
4k3/5p2/1pN1pnp1/p2p1n2/P2P3P/1P1KPN2/5P2/8 w - -,f3e5 f5h4 b3b4 a5b4 c6b4 g6g5 b4c6 f6d7 e5g4 h4g6,-78
4k1n1/5p2/1pN1p1p1/p2p1n2/P2P3P/1P2PN2/4KP2/8 w - -,c6a7 f5d6 f3e5 g8e7 e2f3 e7f5 f3g4 d6e4 e5d3 e4c3,-22
8/3k4/8/r7/8/3K4/8/1R6 w - -,,0
r1bqkb1r/pp3ppp/2nppn2/2p5/4PP2/2NB1N2/PPPP2PP/R1BQK2R w KQkq -,e1h1 a7a6 b2b3 g7g6 e4e5 f6h5 e5d6 f8g7 c1a3 h5f4,-12
rn1qkb1r/pp2nppp/3p4/2p2P2/8/8/PPP2PPP/RNBQKB1R w KQkq -,b1c3 b8c6 f5f6 g7f6 c3e4 e7g6 d1d5 d8e7 f1b5 e8a8,87
rnb2rk1/pp2bppp/2p1pn2/q7/2BP4/2N2N2/PPP1QPPP/R1B2RK1 w - -,f1e1 b7b5 c4d3 b5b4 c3e4 c8a6 e4f6 e7f6 a2a3 a6d3,138
r1b2rk1/p1q3p1/2pb3p/n3pp2/8/3P1B2/PPP2PPP/RNBQ1RK1 w - -,g2g3 c8a6 f1e1 a8d8 f3g2 c6c5 b1c3 a5c6 b2b3 c6d4,56
8/pR2rppk/P4qnp/2QBp3/3nP3/4BP1P/6PK/8 w - -,b7a7 e7a7 c5a7 g6e7 d5c4 d4c2 e3f2 c2b4 a7b7 b4a6,592
2r4r/p2q1pk1/1p2nn2/1P1p2p1/P2Pp1bp/1Q2P2P/N3NPBK/1R5R w - -,h3g4 h4h3 e2g3 f6g4 h2g1 h3g2 g1g2 d7c7 a2b4 e6f4,-360
r1b1kb1r/1p2pppp/pqnp1n2/6B1/3NP3/2NQ4/PPP2PPP/R3KB1R w KQkq -,d4b3 e7e6 f1e2 b6c7 g5f6 g7f6 f2f4 b7b5 e1h1 b5b4,44
2r4r/p2q1pk1/1p2nn2/1P1p2p1/P2Pp1P1/1Q2P2p/N3NPBK/1R5R w - -,e2g3 f6g4 h2g1 h3g2 g1g2 d7c7 g3h5 g7g6 b1c1 c7d8,-392
Q3R3/6bk/1p1r4/1P6/P3p1N1/4Pq1p/5P1K/8 w - -,g4f6 d6f6 a8e4 f3e4 e8e4 f6f3 e4h4 h7g6 h4h3 f3f2,Mate
r2qkb1r/pp2nppp/2np4/2p2P2/8/3B4/PPP2PPP/RNBQK2R w KQkq -,b1c3 d8d7 e1h1 d6d5 c1g5 c5c4 d3e2 e8a8 f5f6 g7f6,53
4k1n1/5p2/1pN1p1p1/3p1n2/Pp1P3P/4PN2/4KP2/8 w - -,c6e5 g8e7 e2d2 f7f6 e5d3 e7c6 d2c2 f5d6 c2b3 d6e4,-62
8/5pk1/p3b1p1/1p2P3/3b1PP1/2Nr1B2/PP4K1/4R3 w - -,c3d1 e6a2 f4f5 g7f8 f5g6 f7g6 f3e4 d3d2 g2f3 a2b3,-137
1r6/2nr1kp1/1p1b1p2/pP1p3P/N2P1R2/2PKN1P1/8/1R6 w - -,f4f3 d6e7 e3g4 f7g8 h5h6 e7d8 b1h1 g8h7 h6g7 h7g7,183
3r1b2/4qp1k/p5pP/8/3r4/7Q/PP6/K4R1R w - -,h3b3 f7f5 h1g1 d4d3 b3c2 e7f6 f1d1 d3d1 g1d1 d8d1,-584
r7/1p3pk1/2pn2p1/7p/1P1N4/4PP1P/2R3P1/6K1 w - -,b4b5 c6b5 c2c5 b5b4 e3e4 f7f6 d4b5 b4b3 b5d6 b3b2,-60
7k/7p/4Pp2/2Bp1Pr1/5R1K/p1P5/P4R1P/6q1 w - -,b4b5 c6b5 c2c5 b5b4 e3e4 f7f6 d4b5 b4b3 b5d6 b3b2,Mate
rn1qk2r/pb2bpp1/2p1p2p/1p1nP3/2pP3P/2N2NP1/PP3PB1/R1BQ1RK1 w kq -,,0
4k3/4np2/1p2p1p1/3p1n2/PN1P3P/4PN2/4KP2/8 w - -,,0
7k/7p/4Pp2/2Bp1P1r/5R2/p1P4K/P4R1P/6q1 w - -,e2e1 f5d6 b4d3 e7f5 d3e5 f5h6 f3d2 e8e7 e1e2 h6f5,Mate
8/2K5/2N1B3/8/8/2k5/8/8 w - -,c7d6 c3c2 c6b4 c2b2 d6c5 b2c3 e6g8 c3d2 c5d4 d2c1,20000
r1b1Nk2/pp2nPrp/1qp5/2n3N1/2p2Q2/8/PPP3PP/R1B2R1K w - -,c7d6 c3c2 c6b4 c2b2 d6c5 b2c3 e6g8 c3d2 c5d4 d2c1,Mate
r2qkb1r/pp1b1ppp/2n1p3/3pP3/3P2Pn/N4N2/PP2BP1P/R1BQK2R w KQkq -,f3h4 d8h4 a3c2 f7f6 c1f4 f6e5 d4e5 f8c5 f4g3 h4e7,-55
r2q1rk1/3nb1pp/b1p1p3/pp1p1p2/2PPn3/1PN1PNP1/PBQ2PBP/R2R2K1 w - -,c4b5 c6b5 d1c1 b5b4 c3a4 a6b5 g2f1 b5a4 b3a4 g7g5,-44
3q1rk1/1b1nbppp/p2p1n2/1p2pP2/4P1P1/PNr2B2/1PP4P/R1BQ1RK1 w - -,f3g2 c3c8 g4g5 f6e4 d1e2 d8b6 g1h1 e4g5 b3a5 b7g2,-900
3q1rk1/1b1nbppp/p2p4/1p2pP2/4n1P1/PNP2B2/2P4P/R1BQ1RK1 w - -,d1d3 d6d5 f3e4 d5e4 d3g3 d7f6 c1e3 f6d5 a1d1 d8c7,-202
4k3/4P3/3K2p1/1p6/5P2/PpP5/1B6/5b2 w - -,,0
2n1k3/5p2/1p2p1p1/3p1n2/P2P3P/3NPN2/4KP2/8 w - -,,0
8/1p3pk1/2p3p1/7p/rPnN4/4PP1P/1R3KP1/8 w - -,b4b5 c6c5 b2c2 c5d4 e3d4 c4d6 c2b2 a4d4 g2g3 g7f6,-639
8/5pk1/p3b1p1/1p2P3/5PP1/2r2B2/P3R1K1/8 w - -,f3e4 e6g4 e2d2 a6a5 e4d5 g7f8 d5b3 f8e7 d2d4 g4e6,-248
rnb1k2r/pp2bppp/2p1pn2/3q4/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq -,c3c4 d5d8 c1f4 c6c5 b1c3 e8h8 e1h1 c5d4 f3d4 c8d7,76
6k1/p4p2/5p2/7p/P1p5/2P1b3/2B2rPP/2R4K w - -,c2e4 e3c1 g2g3 c1b2 e4d5 b2c3 d5c4 g8g7 c4b5 f6f5,-791
7k/4P2p/5p2/2Bp1P2/5RK1/p1P5/P5q1/8 w - -,g4h4 g2h1 h4g3 h1e1 g3h2 h8g7 f4a4 e1d2 h2h3 d2c3,Mate
3qn1k1/p3rpp1/P5np/2Q1p3/4P3/3B1PBP/6P1/2R3K1 w - -,d3f1 e7c7 c5e3 c7d7 c1b1 g8h7 b1b7 d7d1 b7f7 e8c7,256
8/5kp1/2R5/pr1p4/3Pr1b1/1P1N4/P4K2/2R5 w - -,d3e5 f7g8 c1g1 g4f5 c6c7 g7g6 e5g6 f5g6 g1g6 g8f8,214
2b1r1k1/5qp1/2p5/prNpp3/3B2P1/1PR1PQ2/P4K2/2R5 w - -,f3f7 g8f7 c5d3 e5d4 e3d4 c8d7 d3e5 e8e5 d4e5 a5a4,107
1q6/p3rppk/P3n1np/3Rp3/4P3/2Q2P1P/5BPK/5B2 w - -,d5b5 b8a8 c3b3 e6d4 f2d4 e5d4 b5b7 h6h5 b3b5 e7e5,332
4k3/5p2/1p1np1p1/3pNn2/P2P3P/4PN2/4KP2/8 w - -,,0
r1bqkbnr/ppp2ppp/8/3Pp3/3np3/4BP2/PPP3PP/RN1QKBNR w KQkq -,e3f2 e4f3 g1f3 d8d5 f3d4 e5d4 d1d4 d5d4 f2d4 c8e6,-113
