5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
r1b1kbnr/1pp1pppp/p1q5/3p4/2PP4/4P3/PP3PPP/RNBQK1NR w KQkq -,c4d5 c6d5 g1f3 c8g4 h2h3 g4f3 d1f3 d5f3 g2f3 e7e6,8
8/p3N1pk/4p2p/1p3p1q/nPb5/P5P1/3Q1PB1/6K1 w - -,d2d4 h5f7 e7c6 f7c7 c6e5 c4b3 g1h2 a7a6 e5d7 b3c4,-106
r4rk1/1b3pbp/p3p1p1/1p3q2/2pP4/2P1BN1P/PP1Q1PP1/1R3RK1 w - -,f3h2 a8d8 f1e1 h7h5 h2f1 e6e5 b1d1 f8e8 f2f3 f5c8,-44
1k1r3r/ppp1n1p1/5pq1/2Ppn1B1/6P1/2P4P/PP1NQP2/2KR3R w - -,g5f6 g6f6 f2f4 e5c6 f4f5 d5d4 c1b1 d4c3 d2e4 d8d1,-325
2r1r1k1/1p1n1p1p/p2p2p1/3B4/1PPb1P2/P3N1P1/2R2K1P/4R3 w - -,d5b7 c8c7 b7a6 c7a7 a6b5 e8e3 e1e3 d7f6 f2f3 d4e3,19
r5k1/P4pp1/2n1p2p/p2pP3/8/P1N5/1Qb2PPP/5K2 w - -,b2c2 c6a7 c2b2 a8c8 c3e2 d5d4 e2d4 c8d8 b2b6 d8d7,524
r1b1kbnr/1pp1pppp/p7/3q4/3P4/4P3/PP3PPP/RNBQK1NR w KQkq -,g1f3 c8g4 h2h3 g4f3 d1f3 e7e6 b1c3 d5f3 g2f3 f8e7,8
3Q4/p3N1pk/7p/1p2pp1q/nPb5/P5P1/5PB1/6K1 w - -,d8c8 a4c3 g2f1 h5f7 e7f5 c3d1 f1h3 c4d3 f2f3 a7a6,-43
r6k/bpp3pp/p1np2r1/P3pN2/3pPqP1/1Q5P/1PPN1P2/R3R1K1 w - -,b3b7 a8f8 b7c6 d4d3 e1e3 g6g4 g1h1 f4f2 h3g4 a7e3,59
8/8/1K6/1PPk4/3n4/8/8/8 w - -,,0
6k1/ppB2p1p/2n3p1/3r4/8/P2bPN2/1b3KPP/2R4R w - -,c1d1 b2a3 c7e5 a7a5 e5c3 a3b4 c3b4 c6b4 d1a1 d3c2,-51
r4rk1/1bq2ppp/p3p3/1pb5/3N4/2P1QN1P/PP3PP1/3R1RK1 w - -,f1e1 a8e8 f3e5 e8d8 e3e2 c5b6 a2a3 d8d5 d4f3 f8d8,-93
r4rk1/p1p2pbp/1qp1b1p1/3n4/3PN3/P4N1P/1P3PP1/R1BQR1K1 w - -,e4c5 e6f5 g2g4 f5e6 d1c2 a8e8 c1d2 b6b8 a1c1 e6c8,97
r4rk1/1b3pbp/p3p1p1/1p5q/2pP3N/2P1B2P/PP1Q1PP1/1R3RK1 w - -,g2g3 h7h6 f2f4 b5b4 d2f2 b7e4 g3g4 h5d5 b1d1 a6a5,-188
r4rk1/pppq1ppp/2n1b3/8/3P4/1NQ2N2/PP3PPP/R4RK1 w - -,b3c5 d7c8 c5e6 c8e6 f1e1 e6d5 a2a3 f8e8 e1e3 e8e3,2
r1b1k2r/pp2bppp/2npp3/q1pnP3/8/N1PP1N2/PP2BPPP/R1BQ1RK1 w kq -,c1d2 d6e5 d3d4 e5e4 f3e5 a5c7 e5c6 b7c6 d4c5 e7c5,-80
1r2n3/q2n1p1k/2Q3pp/pP1N4/1p2P3/1P5P/5PP1/3RR2K w - -,e4e5 d7f8 b5b6 a7b7 c6b5 f8e6 b5a5 h7g7 a5a7 e8c7,923
6k1/5pp1/b6p/2BNPp2/7P/3p1PK1/6P1/5r2 w - -,c5e3 f1e1 e3f4 e1e2 d5e7 g8f8 e7f5 d3d2 f4d2 e2d2,-549
rnb3nr/ppkp1p2/8/1B6/6pq/8/PPPP1PPP/RNBQR1K1 w - -,h2h3 g4h3 g2g3 h4d4 b1c3 b8c6 b5e2 a7a6 d2d3 g8e7,406
4R3/8/8/8/5K2/8/8/r2k4 w - -,,0
8/1pr5/6kP/3p2P1/4p3/P2bK3/1P6/7R w - -,h1h3 c7c8 a3a4 g6g5 e3d4 c8h8 h3g3 g5h6 d4d5 h8a8,-378
r1bq1rk1/1p3ppp/p1nbpn2/3p4/2P5/1P2PN2/PB1NBPPP/R2Q1RK1 w - -,d1c2 c8d7 f1d1 d8e7 a1c1 f8d8 c4d5 e6d5 c2b1 a8c8,50
r1bbk1nr/pppp1ppp/2n5/4P3/2B5/5N2/P4PPP/1N1Q1K1R w kq -,h2h4 g8e7 h4h5 h7h6 b1c3 c6a5 c4b5 a5c6 c3e4 e8h8,144
r1b1k2r/1ppp1ppp/p4n2/8/B1nPP2q/8/PPP3PP/RNBQ1RK1 w kq -,a4b3 b7b5 b1c3 c8b7 f1f4 h4h5 d1h5 f6h5 f4f5 g7g6,228
1n2kb2/r5p1/p2PP2p/3Q4/p2R4/8/1PP1q1PP/1K6 w - -,d6d7 e8d8 d5a5 a7c7 a5c7 d8c7 d7d8q c7b7 d8f8 e2e1,516
r4rk1/p3bppp/1qn1p3/3pP3/3P4/5N1P/PP2BPP1/R2QK2R w KQ -,a2a4 b6b4 e1f1 a8c8 g2g3 b4b2 a1b1 b2a3 b1a1 a3c3,-38
8/2p5/6k1/1PK2p2/8/8/6p1/3R3r w - -,a2a4 b6b4 e1f1 a8c8 g2g3 b4b2 a1b1 b2a3 b1a1 a3c3,Mate
8/8/1KP5/1P1k1n2/8/8/8/8 w - -,,0
r4rk1/ppp2ppp/2nqb3/8/3P4/1NQ2N2/PP3PPP/R4RK1 w - -,b3c5 e6d5 c5b7 d6f4 f1d1 f8b8 b7c5 d5f3 g2f3 b8e8,-4
rn1qkb1r/ppp1pppp/2b5/3n4/8/1Q2PN2/PP1P1PPP/RNB1KB1R w KQkq -,f3e5 d8d6 e5c6 b8c6 b3b7 a8b8 b7a6 g7g6 f1e2 f8g7,95
r2qkn1r/pb2bp2/2n1p1p1/3pP2p/1ppP3P/2P2NQ1/PPB2PPN/R1B1R1K1 w kq -,f3g5 d8a5 c1d2 b4c3 d2c3 a5c7 e1e3 a7a5 e3f3 e7g5,201
r5k1/n4pp1/4p2p/p2pP3/8/P1N5/2Q2PPP/5K2 w - -,c2b3 a8c8 c3e2 c8c4 b3b8 a7c8 f2f4 g8f8 f1e1 g7g5,533
r2q1rk1/pp3pbp/2nQ1np1/1N6/2b1P3/7P/PPB2PP1/RNB2RK1 w - -,f1d1 c4b5 b1c3 d8d6 d1d6 b5c4 c1g5 f6e8 d6d7 c4e6,-287
rn2k1nr/pp1qbppp/3pp3/2pP4/4P3/2N5/PPP2PPP/R1BQK1NR w KQkq -,g1e2 g8f6 e1h1 e8h8 e2g3 b7b5 d5e6 f7e6 e4e5 d6e5,51
r4rk1/ppp2pp1/2np2qp/2bBp3/4P3/3PBN1P/PPP2P2/R2Q1RK1 w - -,g1h2 c5e3 f2e3 c6e7 d5b3 g6h5 d1e2 a7a5 a2a4 g8h7,384
r2qkb1r/pp2ppp1/2n2n1p/3p1b2/3P3B/1QN5/PP2PPPP/R3KBNR w KQkq -,e2e3 c6a5 f1b5 f5d7 b3a4 a5c6 h4f6 e7f6 a4d1 f8d6,29
r4rk1/1b4bp/p3p1p1/1p3pBq/2pP3N/2P4P/PP1Q1PP1/1R3RK1 w - -,h4f3 b7f3 g2f3 h5h3 d2f4 h7h6 g5e7 f8e8 e7d6 g6g5,-221
8/p3N1pk/3Q3p/1p3p1q/nPb1p3/P5P1/5PB1/6K1 w - -,,0
6k1/3b4/3p3p/pp2b1p1/P2pPpP1/1PrP1B1P/2P2R1N/5K2 w - -,a4b5 d7b5 f3d1 a5a4 b3a4 b5a4 h2f3 c3a3 f2d2 a3a1,-82
1B6/8/1K1N4/6P1/4Bk2/8/2Q5/8 w - -,a4b5 d7b5 f3d1 a5a4 b3a4 b5a4 h2f3 c3a3 f2d2 a3a1,Mate
r3kb1r/p3pppp/b1pp1n2/q7/2B1P3/2N5/PPP2PPP/R1BQ1RK1 w kq -,b2b4 a5b6 c1e3 b6b7 b4b5 c6b5 a1b1 b7c6 c4b5 a6b5,140
8/2p5/6k1/1PK2p2/8/8/8/7q w - -,b2b4 a5b6 c1e3 b6b7 b4b5 c6b5 a1b1 b7c6 c4b5 a6b5,Mate
8/2P5/1K1n4/1P1k4/8/8/8/8 w - -,,0
5r2/p3Npkp/5bp1/2r5/2n2B2/8/P4PPP/1R3RK1 w - -,b1b7 f8e8 f1e1 g6g5 e7f5 g7f8 e1e8 f8e8 b7b8 e8d7,-300
r2q1rk1/p3bppp/1pn1p3/2PpPn2/3B4/2P2N1P/PP2BPP1/R2QK2R w KQ -,d1d2 b6c5 d4e3 f5e3 d2e3 d8b6 b2b3 a7a5 e1h1 a5a4,-77
1B6/8/1K1Nk3/6P1/4B3/8/2Q5/8 w - -,d1d2 b6c5 d4e3 f5e3 d2e3 d8b6 b2b3 a7a5 e1h1 a5a4,Mate
2r3k1/1p6/1p2b1pp/2p5/1P1pPpPb/r4P1P/3Q4/2R2BK1 w - -,f1c4 e6c4 c1c4 c8a8 b4c5 a3f3 c5b6 f3g3 g1f1 g3h3,-87
r3kb1r/p3pppp/2pp1n2/q7/2b1P3/2NQ4/PPP2PPP/R1B2RK1 w kq -,d3c4 a8c8 c1e3 g7g6 e3d4 e7e5 d4e3 f8e7 e3h6 f6g4,29
1n3rk1/r2b1ppp/p3p3/1p6/3PP3/3BKN2/P4PPP/1RR5 w - -,c1c2 f8d8 b1c1 g8f8 g2g4 d7e8 h2h4 b8d7 f3d2 d7b6,113
4r1k1/1Brn1p1p/p2p2p1/8/1PPb1P2/P3N1P1/2R2K1P/4R3 w - -,b7a6 c7a7 a6b5 e8e3 e1e3 d7f6 f2e2 d4e3 e2e3 a7a3,14
r2q1rk1/pp1n2bp/3ppnp1/2p5/4P3/2N2Q1P/PPP1BPP1/R1B2RK1 w - -,f3g3 d7e5 c1f4 d8b6 f4e5 d6e5 g3e3 a8d8 a2a4 b6c6,83
2b4r/p4k1p/1p1p3R/4p3/4P3/5pN1/PPP3P1/2K5 w - -,c1d2 f3g2 g3e2 c8a6 e2g1 f7g7 h6h3 a6f1 h3g3 g7f7,-369
8/8/3k4/1p3p1p/1P1K3P/6P1/6b1/8 w - -,c1d2 f3g2 g3e2 c8a6 e2g1 f7g7 h6h3 a6f1 h3g3 g7f7,Mate
r3kb1r/pp1qppp1/2n2n1p/3p1b2/3P3B/1QN1P3/PP3PPP/R3KBNR w KQkq -,h4f6 g7f6 b3d5 d7d5 c3d5 e8a8 d5c3 c8b8 e1a1 e7e5,77
r1bqkb1r/1p1p1ppp/p1n2n2/2pp4/4PB2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,e4d5 d8e7 f1e2 e7e4 f4g3 e4d5 d1d5 f6d5 b1a3 b7b5,50
rn1qkb1r/ppp2ppp/5n2/4p3/2pPP3/5P1P/PP3P2/RNBQKB1R w KQkq -,d4e5 d8d1 e1d1 f6d7 f3f4 b8c6 f1c4 e8a8 c4f7 g7g5,21
6K1/R7/5k1P/8/8/7r/8/8 w - -,h6h7 h3g3 g8f8 g3h3 a7a6 f6e5 f8g7 e5d4 a6h6 h3g3,658
r2q1rk1/pp3pbp/2nQ1np1/1b6/4P3/7P/PPB2PP1/RNBR2K1 w - -,d6f4 c6d4 b1c3 f6h5 f4e3 d4c2 d1d8 c2e3 d8a8 f8a8,-367
5r2/p3N1bk/1p5p/1Pp2Pp1/n1P4r/4BK1P/P1R1PP2/2R5 w - -,f3g2 h4e4 e7d5 f8f5 c1b1 g5g4 h3h4 f5d5 c4d5 a4c3,235
r4rk1/1bq2ppp/p2bp3/8/Pp1NBn2/1P6/1BPPQPPP/2KR3R w - -,e2e1 a8c8 c2c4 b4c3 d2c3 f4g2 e4g2 d6f4 c1b1 b7g2,-77
r3kb1r/pp1q1pp1/2n2p1p/3p1b2/3P4/1QN1P3/PP3PPP/R3KBNR w KQkq -,b3d5 f8d6 a2a3 e8h8 f1e2 c6e7 d5a5 f8c8 e2f3 a8b8,101
4rrk1/1b4bp/p3p1p1/1p3pBq/2pP3N/2P1Q2P/PP3PP1/1R3RK1 w - -,e3g3 e6e5 d4e5 g7e5 f2f4 e5c7 b1e1 b7e4 h4f3 h7h6,-254
4r1k1/r2n1p1p/B2p2p1/8/1PPb1P2/P3N1P1/2R2K1P/4R3 w - -,a6b5 e8e3 e1e3 d7f6 f2e2 d4e3 e2e3 a7a3 e3e2 a3b3,16
1k5r/ppp1nqp1/5p2/2P1n1B1/3r2P1/7P/PP1NQP2/2KR3R w - -,g5e3 d4a4 a2a3 e7d5 e2b5 f7g6 b5a4 e5d3 c1b1 d3f2,-22
r2r2k1/1b1nqpp1/2p1p2p/pPPnP3/3Q2PP/3N4/1B3PB1/2RR2K1 w - -,d3f4 d7f8 f4d5 d8d5 g2d5 e6d5 f2f4 a5a4 d4f2 a4a3,85
8/3p4/1K6/8/3Pk3/8/8/8 w - -,b5b6 e7h4 d3e1 a5a4 b2a3 h4e7 c1a1 d7f8 e1f3 f8g6,Mate
6k1/8/3p3p/p3b1p1/3pPpP1/1P5r/4KR1N/3B4 w - -,h2f3 h3g3 e2f1 h6h5 g4h5 g5g4 f3e5 d6e5 f2a2 d4d3,89
8/2p3kp/p3p1pN/1p2PbP1/2pP3P/P1P5/8/4K3 w - -,,0
r2r2k1/1bq2ppp/p3p3/1pb3Q1/3N4/2P2N1P/PP3PP1/3R1RK1 w - -,d4e2 h7h6 g5f4 c5d6 f4e3 a8c8 a2a3 d6c5 d1d8 c8d8,-114
1k1r3r/1pq2pp1/1n2p1b1/R2pP2p/3P1B2/1Nb1Q3/5PPP/3BR1K1 w - -,a5c5 c3e1 c5c7 e1b4 c7c1 b6c4 e3e2 g6f5 h2h4 g7g5,373
2n5/2P5/K7/1P1k4/8/8/8/8 w - -,,0
rn1qk1nr/ppp2p1p/3p4/6p1/2BPPpbb/2P2N2/PP4PP/RNBQ1K1R w kq -,g2g3 g4h3 f1e2 h7h6 d1b3 e8f8 g3h4 b8c6 c4f7 c6a5,93
rn2kb1r/ppp2ppp/5n2/4P3/2p1P3/5P1P/PP3P2/RNBqKB1R w KQkq -,e1d1 f6d7 f3f4 b8c6 f1c4 e8a8 c4f7 d7c5 d1e1 g7g5,19
r2qk2r/1p1b1pp1/pb2p1np/3pP3/1P1P2P1/P1NBPN2/7P/2RQ1RK1 w kq -,d1e1 e8h8 c1c2 a8c8 h2h4 g6e7 g1h1 d7b5 c3b5 c8c2,109
r3k1nr/pp1qbpp1/4p2p/3Pp3/4P3/2N5/PP3PPP/R1BQ1RK1 w kq -,d5e6 d7e6 d1a4 e6c6 a4a5 e7c5 c3d5 b7b6 a5c3 g8f6,142
r2qk2r/pb1n1pb1/1p1pp1np/2p5/2PPP1p1/2NBB3/PP1Q1PPP/2R1NRK1 w kq -,d4d5 d8e7 f2f4 g4f3 e1f3 e8a8 b2b4 c8b8 c1b1 d7e5,70
r1b2rk1/2q1bppp/p3pn2/2Np4/3n4/P4N1P/1P2BPP1/R1BQ1RK1 w - -,f3d4 c7c5 b2b4 c5d6 c1b2 e6e5 d4f3 f6d7 a3a4 d5d4,-100
r2q1rk1/2p1bpp1/Npn1p2p/5b2/2pP4/P3PN2/1P2BPPP/2RQ1RK1 w - -,e2c4 e7d6 c4e2 c6e7 f3d2 c7c6 d1b3 e6e5 d4e5 d6e5,109
r1bk3r/pp1n1p2/2pB3p/4p1p1/4P3/2PB4/P1P2PPP/R3K2R w KQ -,h2h4 g5g4 f2f4 e5f4 e1h1 d8e8 f1f4 d7b6 a2a4 c8e6,214
r1b1kb1r/1p1pqppp/p1n2n2/2pP4/5B2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1e2 e7e4 f4g3 e4d5 d1d5 f6d5 b1a3 d7d6 e1a1 d5b6,52
6k1/8/3p3p/p3b1p1/3pPpP1/1P3Nr1/4KR2/3B4 w - -,e2f1 h6h5 g4h5 g5g4 f3e5 d6e5 f2a2 d4d3 a2a5 f4f3,68
2r3k1/1p1p4/p3p2p/3n4/5b2/1N1P4/PP4PP/5R1K w - -,f1f2 f4e3 f2e2 b7b6 g2g3 c8f8 h1g2 g8h8 a2a4 a6a5,-541
r7/pp1b2q1/5kn1/3pb2Q/5p2/N1P4P/PP3PP1/R1B3K1 w - -,c1e3 a8h8 h5e2 f4e3 f2e3 g6h4 g2g4 f6e7 a1d1 d7c6,-552
5rk1/r2b1ppp/p1n1p3/1pR5/3PP3/3BKN2/P4PPP/1R6 w - -,b1c1 c6e7 h2h4 f8c8 f3e5 c8c5 c1c5 d7e8 d3e2 g8f8,120
8/bPB5/8/3K4/8/3k4/8/8 w - -,c7b6 a7b8 b6c5 d3c3 d5c6 c3c4 c5e7 b8a7 e7d6 c4d4,1266
rn1qk2r/ppp2ppp/5n2/5p2/1bpP4/2N1PN2/PP3PPP/R1BQK2R w KQkq -,f3d2 b4c3 b2c3 d8d5 e1h1 b8d7 c1a3 f6e4 d2e4 f5e4,-69
6k1/p4b2/r1p1R2p/1N6/2PP2K1/1P6/P5PP/8 w - -,e6h6 a6a2 h6c6 a2g2 g4f5 g2h2 d4d5 h2h3 b5d4 h3h5,525
6k1/r2n1p1p/3p2p1/1B6/1PPb1P2/P3r1P1/2R2K1P/4R3 w - -,e1e3 d7f6 f2e2 d4e3 e2e3 a7a3 e3e2 a3b3 c2d2 d6d5,10
6k1/1p1n1ppp/2pb4/3p4/3Pn3/rPNbP3/3B1PPP/2RBN1K1 w - -,h2h4 e4d2 e1d3 d2b3 d1b3 a3b3 g1f1 d7b6 f1e2 f7f5,-147
4rrk1/6bp/p3p1p1/1p3pBq/2pP4/2P1Qb1P/PP3PP1/1R3RK1 w - -,g2f3 h5h3 f3f4 h3h5 e3g3 h7h6 g5h6 g7h6 f2f3 g6g5,-362
2n5/2P5/KPk5/8/8/8/8/8 w - -,,0
r1b5/1pn2kpp/p1prpp2/2N5/PP1P1P2/4P3/5P1P/1RR2BK1 w - -,h2h4 a8b8 a4a5 f7f8 f1c4 c7d5 g1h2 d6d8 b1b3 d5c7,135
r1bq1rk1/ppppn1pp/5p2/2bPP1N1/2B5/2P5/P1Q2PPP/R1B1K2R w KQ -,h2h3 d6d8 a4a5 a8b8 g1h2 c8d7 f1c4 f7e7 h3h4 d7e8,Mate
r3k2r/pp1q1pp1/2nb1p1p/3Q1b2/3P4/2N1P3/PP3PPP/R3KBNR w KQkq -,a2a3 e8h8 f1e2 a7a6 g1f3 f5e6 d5e4 c6a5 e1h1 a8c8,83
r1b2rk1/2q2ppp/p3pn2/2bp4/3Q4/P4N1P/1P2BPP1/R1B2RK1 w - -,d4h4 e6e5 c1g5 f6e4 a1c1 e4g5 h4g5 f7f6 g5d2 c7d6,-159
r7/pp1n1pkp/2p1b1p1/4p3/2PrP3/2N2P2/PP2B1PP/1R1R2K1 w - -,g1f2 g6g5 f2e3 a8d8 b2b3 d7f8 g2g3 e6h3 f3f4 g5f4,-29
1r2kr2/b4p2/B1b1pQ2/p3P3/P2q1P2/7R/1P4PP/2B2R1K w - -,f6g7 d4d5 f4f5 e6f5 h3d3 d5e4 c1h6 a7c5 d3c3 b8b2,473
r1b1k2r/pp1q2pp/2Nb1n2/2p3B1/Q2Pp3/8/PPP2PPP/RN2K2R w KQkq -,d4c5 d6e7 b1c3 d7c6 a4c6 b7c6 e1a1 c8f5 h1e1 e8h8,-246
4rrk1/6bp/p3p1p1/1p3pB1/2pP4/2P1QP1q/PP3P2/1R3RK1 w - -,e3f4 h7h6 f4h4 h3h4 g5h4 f5f4 a2a4 g6g5 f1d1 g5h4,-385
6k1/r4p1p/3p1np1/1B6/1PPb1P2/P3R1P1/2R2K1P/8 w - -,f2e2 d4e3 e2e3 a7a3 e3e2 a3b3 c2d2 d6d5 c4d5 b3b4,14
r5k1/1bq2ppp/p3p3/1pbr4/3N2Q1/2P2N1P/PP3PP1/3R1RK1 w - -,d1c1 a8d8 f1e1 h7h5 g4h4 c5e7 h4e4 e7g5 c1c2 g5f4,-169
r4rk1/1np1qppp/p1ppb3/4p3/1PP1P3/3P1N1P/P4PP1/R1BQ1RK1 w - -,c1e3 f7f6 d1c2 c6c5 f1b1 c5b4 b1b4 b7d8 d3d4 d8c6,18
6k1/p4b2/2p4R/1N6/2PP2K1/1P6/r5PP/8 w - -,h6c6 a2g2 g4f5 g2h2 d4d5 h2h3 b5d4 h3h5 f5e4 a7a5,542
1k5r/ppp1nqp1/5p2/2P5/3r2P1/3nB2P/PP1NQP2/2KR3R w - -,,0
5rk1/r2bnppp/p3p3/1pR5/3PP3/3BKN2/P4PPP/2R5 w - -,h2h4 f8c8 f3e5 c8c5 c1c5 g8f8 g2g4 f8e8 g4g5 e7g6,110
rn1q1rk1/pb3ppp/1p3n2/2bp4/2PN4/5NP1/PPQ2PBP/R1B2RK1 w - -,d4b3 b8a6 b3c5 a6c5 f1d1 d8e7 b2b3 d5c4 c2c4 c5e4,29
rn3rk1/1q1pppbp/5np1/2pP4/4P3/2N2N2/PP1BQPPP/R3K2R w KQ -,a2a4 e7e6 d5e6 d7e6 e1h1 f6d7 f1b1 b8c6 c3b5 f8b8,94
r1bqrk2/pp1pn2p/5p2/b5B1/2B1P3/5N2/P4PPP/2R2K1R w - -,e1h1 e7e6 d5e6 d7e6 d2f4 f6d7 e4e5 b8c6 f1d1 a8a5,Mate
r4rk1/pp1q1pp1/2nb1p1p/5b2/3P4/1QN1P3/PP3PPP/R3KBNR w KQ -,a2a3 f8c8 g1f3 a7a6 b3d1 c6a5 f1d3 f5d3 d1d3 a5c4,65
5r1k/bQp3pp/p1np2r1/P3pN2/3pPqP1/7P/1PPN1P2/R3R1K1 w - -,b7c6 d4d3 e1e3 g6g4 g1h1 f4f2 h3g4 a7e3 a1f1 f2d2,49
b2qr1k1/2p2ppp/5n2/1p1pP3/1b1P4/6N1/2B2PPP/2BQR1K1 w - -,c1g5 b4e1 g5f6 g7f6 d1g4 g8f8 g3f5 e8e7 e5f6 e7e4,179
r3k2r/ppq4p/5np1/3pb3/7P/1N6/PPP1QPP1/2KR3R w kq -,h1e1 e8h8 e2e5 c7e5 e1e5 f6g4 e5e2 f8f2 e2f2 g4f2,109
r1br4/1pn2kpp/p1p1pp2/8/PP1PNP2/4P3/5P1P/1RR2BK1 w - -,a4a5 a8b8 h2h4 c8d7 e4c5 d7e8 f1c4 f7e7 f2f3 e8g6,121
r1b1k2r/pp1qb1pp/2N2n2/2P3B1/Q3p3/8/PPP2PPP/RN2K2R w KQkq -,h2h3 d7c6 a4c6 b7c6 b1c3 e8h8 e1a1 c8f5 g5e3 a7a5,-286
8/7P/1b3p1N/R7/8/6k1/5r2/6K1 w - -,a5a6 b6c5 a6c6 c5d4 c6d6 d4c5 d6d5 c5b6 d5b5 b6d4,Mate
2r2rk1/3b1ppp/Q7/2b1P1q1/2pN4/2P2P2/PP4PP/RN1R2K1 w - -,d1e1 d7h3 g2g3 f8d8 f3f4 g5f5 a6b7 c8b8 b7e4 b8b2,-228
2kr1br1/1ppb1p2/2np2q1/1p1Np1pp/B3Pn2/2PP3P/P4PPN/R1BQR1K1 w - -,a4c2 b5b4 c2a4 g5g4 c1f4 g4h3 f4g3 h5h4 e1e3 f7f5,-186
N7/pp4k1/4B3/P1Q1np2/4q2p/8/8/6K1 w - -,c5e7 g7g6 e6f5 e4f5 e7d6 g6h5 d6d1 f5g4 d1g4 h5g4,-506
8/2P5/1nk5/K7/8/8/8/8 w - -,,0
2r3k1/1p1p4/p3p2p/3n4/8/1N1Pb1P1/PP5P/5R1K w - -,h1g2 c8c2 g2f3 c2b2 b3a5 e3d4 a5b3 d4b6 d3d4 b2h2,-579
r2qkn1r/pb2bp2/4p1p1/n2pP1Np/2pP3P/2p2Q2/PPB2PPN/R1B1R1K1 w kq -,f3f7 e8d7 b2c3 a5c6 f7g7 d8a5 e1e3 f8h7 g5h7 d7c7,634
4r1k1/1prn1p1p/p2p2p1/3B4/1PPb1P2/P3NKP1/2R4P/4R3 w - -,e1e2 d7b6 c2d2 d4e3 e2e3 e8c8 f3g4 c7d7 e3c3 d7e7,-3
2kr1br1/1ppb1p1p/p1np2q1/3Np1p1/BP2Pn2/2PP1N1P/P4PP1/R1BQR1K1 w - -,b4b5 c6b8 b5a6 b8a6 a4d7 d8d7 a1b1 f4d5 e4d5 a6c5,39
1r6/4k3/RP2p2p/3p1p2/3P1P2/5PP1/5K2/8 w - -,g3g4 e7d7 g4g5 h6g5 f4g5 d7c6 b6b7 c6b7 a6e6 f5f4,353
8/pp3p2/8/8/1PP1p1k1/PN2bp2/6K1/8 w - -,g2h2 f7f5 b4b5 e3f4 h2g1 e4e3 b3c1 f4g3 g1f1 g3e5,Mate
4rrk1/6b1/p3p1pp/1p3pB1/2pP1Q2/2P2P1q/PP3P2/1R3RK1 w - -,f4h4 h3h4 g5h4 f5f4 b2b3 c4b3 b1b3 g6g5 g1h2 g5h4,-388
3r2k1/1b2qppp/p3p3/1pbr4/3N2Q1/2P2N1P/PP3PP1/3R1RK1 w - -,f1e1 e7f6 g4g3 h7h5 f3e5 c5d6 f2f4 g7g5 e1e4 f6g7,-207
5k2/2p4p/p3p1pN/1p2PbP1/2pP3P/P1P5/5K2/8 w - -,,0
r2qk2r/pb1n1pb1/1p2p1np/2p5/2P1P1p1/2NBB3/PP1Q1PPP/2R1NRK1 w kq -,f2f4 g4f3 e1f3 d7e5 f3e5 g6e5 c1d1 d8d3 d2d3 e5d3,-74
1rr3k1/5pp1/3npn1p/8/q2P4/2RQ2NP/4NPP1/2R3K1 w - -,g3e4 f6e4 c3c8 d6c8 d3e4 c8e7 c1b1 b8d8 e4e5 a4a7,-20
1k5r/ppp1nqp1/5p2/2Pr4/6P1/3nB2P/PP1NQP2/1K1R3R w - -,a2a3 f7e6 d2f3 h8d8 e2c2 e6e4 f3d2 e4g6 h1g1 d3f2,-7
6k1/1prn1p1p/p2p2p1/3B4/1PPb1P2/P4KP1/2R3NP/4r3 w - -,g2e1 d7f6 d5e4 g8f8 e4d3 h7h5 h2h3 d6d5 c4c5 c7e7,2
r1b2rk1/1p3pp1/1bp3qp/p7/P1B5/1PQ3B1/1P3PPP/1K1R3R w - -,b1c1 f8e8 c4d3 g6g5 c1b1 c8e6 h1e1 a8d8 f2f3 b6c5,-34
r2q1rk1/pp3pbp/2n1bnp1/3p4/4P3/2N4P/PPB2PP1/RNBQ1RK1 w - -,f1e1 d5d4 c3e2 f6h5 c2a4 a8c8 e2f4 h5f4 c1f4 c6a5,-133
8/p5bk/1p5p/1PpNr1p1/n1P4r/4B2P/P1R1PPK1/2R5 w - -,g2g3 e5e8 f2f3 a4b2 e3f2 e8e6 d5e3 h4f4 c1b1 g7d4,160
2r2rk1/pp1q1pp1/2nb1p1p/5b2/3P4/1QN1PN2/PP3PPP/R3KB1R w KQ -,a2a3 a7a6 b3d1 c6a5 f3d2 f8e8 f1e2 d7c7 a1c1 d6h2,85
6k1/1pr2p1p/pn1p2p1/3B4/1PPb1P2/P4KP1/2R4P/4N3 w - -,f3e4 d4h8 e1g2 b6a4 g2e3 g8f8 g3g4 c7e7 e4f3 a4c3,15
5r1k/b1p3pp/p1Qp2r1/P3pN2/4PqP1/3p3P/1PPN1P2/R3R1K1 w - -,e1e3 g6g4 g1h1 f4f2 h3g4 a7e3 a1f1 f2d2 f5e3 f8g8,74
2kr3r/ppqnn3/2pb1ppp/3pp3/3P2PP/1NN1P3/PPP1QP1B/1K1R3R w - -,e3e4 e5d4 h2d6 c7d6 b3d4 d7c5 f2f3 d5e4 d4b3 e7d5,67
