5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
7Q/4k1p1/3p2q1/2p1p2p/4P3/r2P2P1/5PK1/5R2 w - -,f1b1 a3a7 b1b8 e7e6 h8c8 e6f6 c8c6 f6e7 b8h8 h5h4,49
4r3/4rk2/1p2ppp1/p2p1n1p/P2P1N1P/2P5/1P2RPP1/4R1K1 w - -,g2g3 f5g7 g1g2 e7d7 g2f1 d7d6 e1d1 g7f5 f4d3 d6d7,11
3r1rk1/1ppb1pb1/3p4/pNnPp3/2P1PnPP/5P2/PP1Q4/R3K2R w KQ -,e1a1 d7b5 c4b5 b7b6 c1b1 f7f6 b2b3 g8f7 d1c1 d8a8,95
8/8/1p4p1/1Pk2p1p/P1p2P2/2K3P1/1P5P/8 w - -,b2b3 c4b3 c3b3 c5d5 a4a5 b6a5 b3a4 g6g5 f4g5 d5e6,822
r3q2k/ppp5/3p1nn1/8/4P3/1PN5/1PP3Q1/1K4R1 w - -,g2g6 e8g6 g1g6 a8f8 c3b5 h8h7 g6g1 f8f7 b5a7 f6e4,3
4q2k/4r1p1/ppp3p1/4P1Bp/1P1P4/PB3Q2/8/6K1 w - -,g5e7 e8e7 g1f1 h8h7 b3c2 e7g5 f3e4 h7g8 e4g6 g5f4,587
r3rbk1/1p1n1pp1/2p1bn1p/q2pp3/p3P3/P2P2NP/BPPNQPP1/R1BR2K1 w - -,d2f3 a5b6 d1e1 d5d4 a2e6 e8e6 c1d2 c6c5 e1b1 b6c6,-67
8/p1k5/2n4p/1pPn1K2/8/Pr1p2P1/1P1R1P1P/2R5 w - -,f5e6 c6e7 c5c6 b5b4 f2f4 b4a3 b2a3 b3b8 c1c5 b8d8,217
r4k2/p1pp2Rp/1p4b1/2nP4/5P2/2P5/P2K3P/6R1 w - -,h2h4 f8g7 f4f5 g7h6 f5g6 h7g6 g1e1 h6g7 e1e3 a8h8,-595
5k2/3p2pp/8/p1p1P3/p2q1n2/4N3/PP3KPP/R1B5 w - -,h2h3 a4a3 f2g1 f4e2 g1f2 e2c1 a1c1 a3b2 c1d1 d4e4,-607
1r4k1/5pp1/4p2p/p4q2/8/PP1R3P/2Q2PP1/6K1 w - -,c2c3 b8b5 d3g3 f5e5 c3e5 b5e5 g1f1 e5c5 g3d3 c5c2,2
rn2kb1r/p1p1pppp/1p3n2/2Nq1b2/8/3P1Q2/PPP2PPP/R1B1KBNR w KQkq -,f3d5 f6d5 c5e4 b8c6 c1d2 d5b4 e1d1 e7e5 a2a3 b4d5,-25
6k1/5pp1/b6p/2B1Pp2/3p1N1P/5P2/5KP1/3r4 w - -,h4h5 d1f1 f2g3 d4d3 c5e3 f1a1 g3f2 a1a5 f2e1 a5e5,-526
r1bqk2r/p1p2ppp/1pnbpn2/3p4/3P4/1P2PN2/PBP1BPPP/RN1QK2R w KQkq -,c2c4 e8h8 e1h1 c8b7 b1c3 c6b8 d1c2 b8d7 f1d1 a7a6,52
r3r1k1/ppp2ppp/5q2/3PB3/Bn1Pn2N/4P2b/P4PPP/2RQ1RK1 w - -,e5f6 b7b5 a4b5 b4a2 g2h3 a2c1 d1c1 e4f6 b5e8 f6e8,647
1r1q1rk1/pb4bp/3p2p1/8/2Pp1p2/1P3NPP/P2QNK2/R3R3 w - -,f2g2 f4g3 e2g1 g7e5 d2d3 f8f7 c4c5 d8f6 c5d6 b8f8,-883
3r1rk1/1ppbqpp1/p4n1p/4b3/2B1P3/2N4P/PPQB1PP1/3RR1K1 w - -,,0
r4knr/pp1Qpp1p/1q1p2pb/2pP4/4P3/2P3P1/PP1N1P1P/n1BK1BNR w - -,g1f3 a7a6 h2h3 h6g7 e4e5 d6e5 d2c4 b6d8 f3e5 g7e5,87
5rk1/pR1r4/2p5/8/P2PPbb1/4B3/5K2/1R6 w - -,d4d5 f4c7 f2g1 c6d5 b7a7 f8f3 a7a8 g8f7 e3h6 d5e4,-361
3r1rk1/pp3p1p/4pp2/2b1N3/6P1/2P4P/PP3P2/R3R1K1 w - -,b2b4 c5e7 e5c4 d8d3 e1e3 d3d7 a2a4 f8c8 c4a3 a7a6,-64
rn2kb1r/p1p1pppp/1p6/2Nn1b2/8/3P4/PPP2PPP/R1B1KBNR w KQkq -,c5e4 b8c6 c1d2 d5b4 e1d1 e7e5 h2h3 f7f6 a2a3 b4d5,-19
r6k/ppp5/3p1nq1/8/4P3/1PN5/1PP5/1K4R1 w - -,g1g6 a8f8 c3b5 h8h7 g6g1 f8f7 b5a7 f6e4 a7b5 c7c6,4
5rk1/pp1bnppp/4p3/2PpP3/8/4B3/P1rN1PPP/R4RK1 w - -,f1c1 c2c1 a1c1 f7f6 c1b1 d7c8 f2f4 f6e5 f4e5 e7c6,-147
rnbqk2r/p4ppp/2pbpn2/1p1p4/3P1B2/3BPN2/PPPN1PPP/R2QK2R w KQkq -,e1h1 e8h8 d1e2 d6f4 e3f4 a7a5 a2a3 b8d7 f3e5 d8b6,88
r2qkb1r/2p2ppp/bpP1p3/pQn5/2P4P/P7/1P2KPP1/RNB2BNR w kq -,b5a6 c5a6 b1c3 f8c5 e2e1 a6b8 c1g5 f7f6 a1d1 d8e7,-413
2b2rk1/1pp2p2/1r1p2pP/pq2b1P1/3pP3/3P4/PPPBB1Q1/1K3R1R w - -,d2c1 b5e8 h6h7 g8h8 f1f6 e8e7 h1f1 b6b5 g2h1 c8e6,129
rn1qkb1r/ppp2pp1/4pn2/5b1p/3P4/2N1BN1P/PPP3P1/R2QKB1R w KQkq -,f1d3 f5d3 d1d3 b8c6 e1h1 c6b4 d3e2 f8e7 a1e1 c7c6,5
1k1r3r/pp3pp1/2B1p1p1/8/8/1P4P1/P1QP3P/q1BR1K2 w - -,c1b2 a1b2 c2b2 b7c6 b2e5 b8b7 e5g7 h8h2 g7f7 b7b6,476
rr3k2/5pb1/2ppbN2/8/pp2P2P/P1N5/1PP5/1K4Q1 w - -,e4e5 g7f6 e5f6 b4c3 g1g3 b8b2 b1c1 a8d8 g3c3 b2b5,-351
7k/4q1p1/ppp3p1/4P2p/1P1P4/PB3Q2/8/6K1 w - -,g1f1 h8h7 b3c2 e7g5 f3e4 g5f5 e4f5 g6f5 c2f5 h7g8,528
r1bq1rk1/pp3ppp/1n2pb2/3n4/3N4/P4NP1/1P2PPBP/R1BQ1RK1 w - -,e2e4 e6e5 f3e5 f6e5 e4d5 b6d5 f1e1 e5f6 d4b3 d5e7,45
r2qr1k1/ppp2ppp/2n5/1B1p1b2/3PnB2/2P1PN2/P4PPP/2RQ1RK1 w - -,c3c4 f5g4 b5a4 e8e7 h2h3 g4f3 g2f3 e4f6 c4d5 d8d5,133
r1bqk2r/pppnnpb1/3pp1pp/8/3PP1P1/2N1B3/PPPQNP1P/R3KB1R w KQkq -,e2g3 a7a6 h2h4 b7b5 h4h5 g6g5 e1a1 d7b6 f1d3 b5b4,97
6rk/2p2prp/2pp1Q2/p7/5P1P/P5R1/b1P3P1/6K1 w - -,a2a4 b7b6 h2h4 a7a6 h4h5 g6g5 f2f4 g5f4 e2f4 c7c5,Mate
5N2/8/1p6/p1p2p1k/P1Pp1P2/3P2P1/2K3b1/8 w - -,f8d7 h5g4 d7b6 g2c6 b6d5 c6a4 c2d2 g4g3 d5c7 g3f4,-700
