rn1qk2r/ppp2ppp/3n4/b7/2bP4/P1N5/1PQ1NPPP/R1B1KB1R w KQkq -,b2b4 a5b6 c3e4 e8h8 e4d6 c4e2 f1e2 d8d6 b4b5 c7c6,-65
2b5/5k2/p7/1p1p2p1/2pP2P1/P4K2/1P1Bp3/8 w - -,,0
r1b1r1k1/ppqnbppp/2p2n2/4p3/P1B1P3/2N2N1P/1PP2PP1/R1BQR1K1 w - -,,0
r1b1k2r/1pqnbp2/2pp1n1p/p5p1/P1BpP3/2N1B2P/1PP2PPN/R2QR1K1 w kq -,e4e5 d6e5 e3d4 e5d4 d1d4 c7f4 c3e4 e8h8 g2g3 f4f5,-327
8/5B1k/5B2/8/8/8/8/6K1 w - -,e4e5 d6e5 e3d4 e5d4 d1d4 c7f4 c3e4 e8h8 g2g3 f4f5,Mate
6kr/2pR4/1p6/3q2p1/3P4/2P4P/6P1/5RK1 w - -,e4e5 d6e5 e3d4 e5d4 d1d4 c7f4 c3e4 e8h8 g2g3 f4f5,Mate
8/8/8/8/8/2k5/p1N5/6K1 w - -,e4e5 d6e5 e3d4 e5d4 d1d4 c7f4 c3e4 e8h8 g2g3 f4f5,Mate
8/5B2/5B1k/8/8/8/6K1/8 w - -,e4e5 d6e5 e3d4 e5d4 d1d4 c7f4 c3e4 e8h8 g2g3 f4f5,Mate
2b5/8/p3k3/1p1p2p1/2pP2P1/P5K1/1P1Bp3/8 w - -,,0
r1bqk2r/pp3ppp/2nb1n2/1B1p4/3Pp3/2N1P3/PP1N1PPP/R1BQK2R w KQkq -,b5a4 e8h8 f2f3 f6g4 f3g4 d8h4 e1f1 f7f5 f1g1 f5f4,-117
r1b1k2r/1pq1bp2/2pp1n1p/p3n1p1/P1BBP3/2N4P/1PP2PPN/R2QR1K1 w kq -,c4b3 h8g8 d1e2 h6h5 e2e3 c8e6 b3e6 f7e6 a1d1 f6d7,30
8/8/8/8/8/8/pk6/N5K1 w - -,b2b3 h8g8 d1d2 g5g4 h3g4 f6g4 f2f4 e5c4 b3c4 g4h2,Mate
4B3/8/5B1k/8/8/8/8/6K1 w - -,b2b3 h8g8 d1d2 g5g4 h3g4 f6g4 f2f4 e5c4 b3c4 g4h2,Mate
5R2/8/3k4/5P1p/4Q3/4K3/8/5r2 w - -,b2b3 h8g8 d1d2 g5g4 h3g4 f6g4 f2f4 e5c4 b3c4 g4h2,Mate
r1bqk2r/p3ppbp/1pn2np1/2pp4/4P3/2PPBN2/PP1NBPPP/R2QK2R w KQkq -,e4e5 f6g4 d3d4 g4e3 f2e3 e8h8 h2h4 f7f6 e5f6 f8f6,-40
r1bq1rk1/ppp2ppp/3p4/4n3/2P1Q3/2P5/PP2BPPP/R1B1K2R w KQ -,c1d2 f8e8 e1h1 c8d7 a1e1 d7c6 e4f5 d8h4 d2g5 h4e4,-24
r1b1kb1r/pp2pp1p/1qnp1np1/8/2PNP3/4BP2/PP4PP/RN1QKB1R w KQkq -,b1c3 b6d8 f1e2 f8g7 e1h1 a7a6 d1d2 e8h8 a1c1 c6d4,83
rn1q4/pppbbkpN/4p2p/3pp3/3P3P/2N5/PPP2PP1/R2QK2R w KQ -,d1f3 f7g8 h7g5 h6g5 h4g5 e7g5 d4e5 g5h6 c3d5 d7c6,-150
6k1/2p5/1p6/3R2pr/3P4/2P4P/6P1/5RK1 w - -,d1f3 f7g8 h7g5 h6g5 h4g5 e7g5 d4e5 g5h6 c3d5 d7c6,Mate
4B3/7k/5B2/8/5K2/8/8/8 w - -,d1f3 f7g8 h7g5 h6g5 h4g5 e7g5 d4e5 g5h6 c3d5 d7c6,Mate
r4r1k/pp2b1pp/1q6/3Bn3/3P1Bb1/6P1/PP2N2P/R2QK2R w KQ -,e1f1 g7g5 d1b3 e5g6 b3b6 a7b6 f1g2 g5f4 e2c3 a8d8,-483
5k2/pp3pp1/3qpn1p/2nrN2P/7R/5N2/PPP1QPP1/2K5 w - -,a2a3 f8g8 c1b1 d5d1 b1a2 a7a6 c2c3 b7b5 h4b4 c5d7,-67
8/8/8/8/7K/8/4kp2/8 w - -,a2a3 f8g8 c1b1 d5d1 b1a2 a7a6 c2c3 b7b5 h4b4 c5d7,Mate
r1bqk2r/p3ppbp/1pn2np1/2pp4/4P3/2PPBN2/PP2BPPP/RN1Q1RK1 w kq -,e4e5 f6g4 d3d4 g4e3 f2e3 e8h8 e2b5 d8c7 b1d2 a7a6,-30
4r1k1/1p2ppbp/p2p2p1/3P3q/1P1Bn3/P4P2/4B1PP/2QR2K1 w - -,d4g7 g8g7 g2g4 h5e5 f3e4 g7g8 e2f3 e8a8 d1d3 a6a5,293
r5k1/p2b3q/2p1pnp1/4Pn2/2Q5/8/PPB2PPP/3R2K1 w - -,c4a6 f6d5 h2h4 a8f8 a6a7 h7g7 a2a4 d7c8 a7g7 g8g7,-448
rnb1k1nr/pppp1ppp/4p3/4N3/1b1P4/2N5/PPP1BPqP/R1BQK2R w KQkq -,e2f3 g2h3 h1g1 d7d6 d1d3 b8d7 e5d7 c8d7 g1g3 h3f5,-20
r4r1k/pp4pp/1q6/8/1bnP1Bb1/6P1/PP2N1BP/R2Q1K1R w - -,f1f2 g4e2 f2e2 a8e8 e2f2 g7g5 g2d5 c4e3 d1d3 e3d5,-676
