rn1qk1nr/pp2bppp/2p1p3/3pPb2/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,g2g4 f5g6 g1e2 e7b4 c4d5 d8d5 h1g1 g8e7 a2a3 b4c3,67
8/8/8/8/1Q6/1K6/8/3k4 w - -,f1d3 d5c4 d3c4 e7b4 g1e2 g8e7 e1h1 e8h8 e2g3 b8d7,Mate
8/8/8/8/8/1KQ5/4k3/8 w - -,f1d3 d5c4 d3c4 e7b4 g1e2 g8e7 e1h1 e8h8 e2g3 b8d7,Mate
8/8/8/8/8/1KQ5/5k2/8 w - -,f1d3 d5c4 d3c4 e7b4 g1e2 g8e7 e1h1 e8h8 e2g3 b8d7,Mate
r2qkb1r/ppp2ppp/2n5/4p3/6b1/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 c6d4 f1e1 d4f3 g2f3 d8d1 c3d1 g4e6 e1e5 e8a8,-275
8/8/8/8/3Q4/8/2K3k1/8 w - -,d2d4 c6d4 f1e1 d4f3 g2f3 d8d1 c3d1 g4e6 e1e5 e8a8,Mate
8/8/8/8/8/5k2/2KQ4/8 w - -,d2d4 c6d4 f1e1 d4f3 g2f3 d8d1 c3d1 g4e6 e1e5 e8a8,Mate
8/8/2k5/8/K7/8/1P6/8 w - -,d2d4 c6d4 f1e1 d4f3 g2f3 d8d1 c3d1 g4e6 e1e5 e8a8,Mate
8/8/8/8/5k2/3Q4/2K5/8 w - -,d2d4 c6d4 f1e1 d4f3 g2f3 d8d1 c3d1 g4e6 e1e5 e8a8,Mate
rnb1kbnr/pp2qppp/2pp4/4p2Q/2B1P3/2N5/PPPP1PPP/R1B1K1NR w KQkq -,c4b3 g8f6 h5e2 a7a5 a2a4 b8a6 d2d3 a6c5 b3a2 c8g4,-19
r2q1rk1/pppbbppp/5n2/nB1Pp1N1/8/2N5/PPPPQPPP/R1B1K2R w KQ -,b5d7 d8d7 e1h1 f8e8 e2e5 c7c6 g5e4 a8d8 e4f6 e7f6,60
8/8/3Q4/5k2/8/2K5/8/8 w - -,b2b3 c7c6 d5c6 a5c6 b5c6 d7c6 c1b2 f6d5 c3d5 d8d5,Mate
8/8/8/4k3/8/2KQ4/8/8 w - -,b2b3 c7c6 d5c6 a5c6 b5c6 d7c6 c1b2 f6d5 c3d5 d8d5,Mate
rnb1kb1r/pp2qppp/2pp1n2/4p2Q/2B1P3/2N2N2/PPPP1PPP/R1B1K2R w KQkq -,c4f7 e7f7 h5f7 e8f7 d2d4 e5d4 f3d4 b8d7 c1f4 f6h5,-587
rn1qkb1r/pppb1ppp/4pn2/8/Q1p5/2N3P1/PP1PPPBP/R1B1K1NR w KQkq -,g2b7 d7a4 c3a4 b8d7 g1f3 a8b8 b7c6 f8d6 a1b1 d8c8,-791
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4P3/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,a2a4 c5c4 b3a2 b7e4 b1c3 e4f3 d1f3 b8c6 e1h1 b5b4,-240
r2qkb1r/ppp2ppp/2b2n2/4p3/4P3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 d8d1 f1d1 f8d6 d1e1 e8h8 c1g5 f6d7 a2a3 a7a5,-72
r1b1kb1r/ppp2ppp/2n1pn2/qB6/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3e5 c8d7 e5d7 e8d7 e1h1 f8d6 a2a3 a7a6 b5e2 a8d8,137
