3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
rn4k1/pbp1q1pp/1p2p1r1/3p4/2PPp3/2N3PB/PPQ1PP1P/R4RK1 w - -,c4d5 e6d5 c2b3 e7g5 c3e4 g5h5 g3g4 h5h4 f2f4 b8c6,132
8/4p3/N6k/8/1P6/2r5/1KP5/4r3 w - -,,0
2rq1rk1/1b2bpp1/p3pn1p/1pn5/5B2/4PN2/PPBN1PPP/2RQ1RK1 w - -,f4g3 c5d3 c2d3 d8d3 d2b3 d3f5 f3d4 f5e4 d1f3 b7d5,-74
r3kbnr/p2n1pp1/3p1q1p/1Q6/3Nb1P1/7P/PP2NP2/R1B2RK1 w kq -,c1f4 f8e7 a1c1 a8b8 b5a4 e7d8 f1d1 g8e7 d4b5 b8b5,-131
r1b1rbk1/1pq2p1p/2ppnnp1/4p3/PRP1P3/2NPB2P/2QNBPP1/5RK1 w - -,b4b2 e6d4 c2c1 d4e2 c3e2 a8a4 e2c3 a4a8 c1c2 c7e7,-62
8/5p2/6kp/2PR2p1/r7/2B5/1P2nP1P/7K w - -,b2b3 a4a3 c3d2 a3b3 c5c6 b3b6 d5d6 g6h5 h1g2 b6a6,196
8/8/6p1/1K4k1/6q1/8/8/7Q w - -,b5c5 g4h4 h1c1 h4f4 c1h1 f4e5 c5c6 g5f6 h1h6 e5e6,-26
8/3K1k2/8/5Pp1/3R2P1/2r5/8/8 w - -,d7d6 f7f6 d6d7 f6f7 d4e4 c3d3 d7c7 d3g3 c7d6 f7f6,3
r1bq1rk1/pp3pbp/2n1p1p1/3p4/3P4/2N1PNP1/PP2BPP1/R2Q1RK1 w - -,d1d2 h7h5 c3a4 b7b6 f1c1 c8b7 e2b5 d8d6 a4c3 f8c8,-12
r1bq1rk1/ppppbppp/5n2/1P6/1n6/1Q3N2/P1P1PPPP/RNB1KB1R w KQ -,b1d2 a7a6 c2c3 b4d5 e2e3 a6b5 f1b5 c7c5 c1b2 d5c7,-55
r2q1k2/pppb1p2/2np1p1N/1BbN4/4r3/8/PPP2PPP/R2Q1RK1 w - -,d1h5 f8g7 h6f7 d8f8 h5h6 g7f7 h6f6 f7g8 f6g6 g8h8,451
r1bq1rk1/pp3ppp/2nb1n2/1Bppp3/1P2PP2/B1N2N2/P1PP2PP/R2QK2R w KQ -,c3d5 f6e4 b5d3 c5b4 d5b4 c6b4 d3e4 e5f4 e1h1 f7f5,-167
r4rk1/ppq1b1pp/3pPn2/3Pp3/8/2N5/PP1BQPPP/R3K2R w KQ -,d2g5 a8c8 e1h1 c7c4 g5f6 e7f6 f1e1 h7h6 a1d1 f6d8,235
2r5/p3p1k1/3p1pp1/4n3/2p1P3/1PQ2P2/4Bq2/3KR3 w - -,e1f1 f2g3 c3c1 g3g2 b3c4 c8b8 c1c2 e5c6 e2d3 g2h3,-536
4q3/p2r1p1k/7p/3n4/3B1Q2/4PP1P/6P1/6K1 w - -,f4f5 h7g8 f5g4 g8f8 g4g7 f8e7 g7e5 e7d8 e5b8 d8e7,849
2rqr1k1/1b2bpp1/p3pn1p/1pn5/5B2/4PN2/PPBNQPPP/2R2RK1 w - -,c2b1 d8b6 f1d1 a6a5 f4e5 b5b4 d2c4 b6a6 e5f6 e7f6,-21
rn4k1/pbp1q1pp/1p4r1/3p4/3Pp3/2N3PB/PPQ1PP1P/R4RK1 w - -,c2b3 g6d6 f2f3 e4e3 a1c1 b8a6 c3d1 a8e8 c1c3 e7f6,128
8/8/N6k/4p3/1P6/2K5/2P5/4r3 w - -,a6c5 e5e4 c3d2 e1b1 c2c3 h6g5 c5e4 g5f4 d2d3 b1d1,6
8/3p4/1p1kp1p1/1P2n3/P2K1N1P/6P1/3N4/7b w - -,d2e4 h1e4 d4e4 e5f7 f4g6 d6c5 g3g4 d7d6 g4g5 d6d5,351
rn2kbnr/pp3ppp/2p1p3/q3Pb2/5NPP/2Pp4/PP1P1P2/RNBQKB1R w KQkq -,,0
2q5/8/6p1/2K3k1/8/8/8/7Q w - -,c5d4 c8e6 d4d3 e6b3 d3e2 b3c2 e2e3 c2c3 e3e2 c3d4,-6
r1b1k2r/p1p1qppp/2p2n2/2bpP3/3Q4/2N2P2/PPP3PP/R1B1KB1R w KQkq -,d4d2 e8h8 e1d1 e7e5 c3a4 c5d6 d2e3 e5e8 f1d3 e8d8,-189
r4rk1/4bppp/4p3/1p1q4/2nP4/2B1P3/2Q1NPPP/R4RK1 w - -,c3b2 b5b4 a1a8 f8a8 f1c1 c4b2 c2b2 b4b3 e2c3 d5c4,-107
rnbq1rk1/ppp2pp1/5b1p/3pp3/8/3P2P1/PPPNPPBP/RN1QK2R w KQ -,d2b3 a7a5 a2a4 c8g4 e1h1 f6e7 d3d4 e5e4 f2f3 e4f3,-79
8/8/4q1p1/6k1/3K4/8/8/7Q w - -,d4d3 e6g4 d3e3 g4g3 e3e2 g3e5 e2d2 e5f4 d2e2 f4c4,-3
8/1R3pk1/p1p3p1/2P5/1P6/r6P/5PPK/8 w - -,b7b6 a6a5 b4a5 a3a5 b6c6 a5a4 h2g3 g7f8 g3f3 f8e7,309
4q1k1/p2r1p2/7p/3n1Q2/3B4/4PP1P/6P1/6K1 w - -,f5g4 g8f8 g4g7 f8e7 g7e5 e7d8 e5b8 d8e7 d4c5 e7f6,844
r2q4/pppb1Nk1/2np1p2/1BbNr2Q/8/8/PPP2PPP/R4RK1 w - -,f7e5 c6e5 b5d7 d8d7 h5h4 d7f5 h4g3 g7f7 b2b4 c5b6,448
rn4k1/pbp2qpp/1p4r1/3p4/3Pp3/1QN3PB/PP2PP1P/R4RK1 w - -,f2f3 e4e3 a1c1 h7h5 f3f4 b8a6 c3d1 a8e8 d1e3 c7c5,135
rnb1k1nr/pp3pbp/2q1p1p1/1N6/2Bp4/2P1BN2/PP3PPP/R2QK2R w KQkq -,f3d4 c6d7 d1a4 e8f8 a4b4 d7e7 b5c7 e7b4 c3b4 g8f6,495
r5kr/p1p2ppp/b7/1NQ1P3/5P2/8/PPn2KPP/2Bq1B1R w - -,e5e6 d1e1 f2g1 f7e6 c5e5 e1e5 f4e5 a8d8 b5c3 a6f1,-353
rn3rk1/pp2ppb1/6p1/2pq2B1/2pP4/2P5/P3BPPP/R2Q1RK1 w - -,g5e7 f8e8 e2f3 d5d7 e7c5 b8a6 c5a3 a8b8 f3g4 f7f5,120
8/1R3p1p/1P2pkp1/8/8/6P1/2r2PP1/5K2 w - -,,0
8/P5p1/2R1p2p/1N4k1/3Pp3/1q4P1/4BK1P/8 w - -,b7c7 c2b2 b6b7 h7h5 f1e1 e6e5 e1d1 f6e6 d1c1 b2b5,Mate
8/6pk/3q2pp/3P4/pr6/3R1P1P/KP1Q4/8 w - -,,0
8/8/6p1/5qk1/8/3K4/8/7Q w - -,d3e3 f5f4 e3e2 f4g4 e2e3 g4f5 h1g1 g5f6 g1f2 f5f2,-3
8/8/5kp1/4p2p/7P/1R4PK/r7/8 w - -,g3g4 h5g4 h3g4 a2a4 g4h3 f6f5 b3f3 a4f4 f3a3 f4f2,-2
1k1r1b1r/pp1bpppp/2p2n2/2Np4/2PP4/1P2P3/1P3PPP/R1B1KB1R w KQ -,b3b4 d7f5 f2f3 e7e6 f1e2 f5g6 c1d2 d5c4 e2c4 f6e8,40
rnbqkbnr/pp2ppp1/8/2p5/2Pp3p/3P1NP1/PP2PPBP/RNBQK2R w KQkq -,f3h4 e7e5 e2e3 b8c6 h4f3 f8e7 e1h1 c8g4 f1e1 e8f8,86
8/3k4/2p4p/pp4p1/3Pr3/7N/PPPK1PPP/8 w - -,c2c3 e4h4 f2f3 b5b4 c3b4 h4d4 d2c3 d4b4 h3f2 d7e6,-243
r1bq1rk1/pp1ppp1p/n4npQ/2P5/8/2P5/PP2PPPP/RN2KBNR w KQ -,h6e3 f8e8 g1f3 e7e5 b1a3 d7d5 c5d6 f6g4 e3g5 d8b6,-53
8/8/6p1/5q2/2K2k2/8/8/7Q w - -,h1h2 f4g5 h2h1 g5f6 h1h8 f6f7 h8a8 f5f2 c4d3 f7g7,-17
1n1r1rk1/pp2b1pp/q7/8/b1p1PP2/2P1B3/P2RN2P/1Q1R1BK1 w - -,e2g3 a4d1 d2d1 g8h8 d1d8 f8d8 e4e5 b8d7 e3d4 e7c5,-142
6k1/p1p3p1/2p2rqp/7b/8/2P4P/P1P2Qp1/3R2K1 w - -,d1d8 g8h7 f2g2 g6f5 d8d5 f5d5 g2d5 c6d5 g1g2 h7g6,-1216
3b4/1p1P3p/2p1k1p1/p1P4r/P7/1P3KBP/6P1/3R4 w - -,,0
