3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
2r5/p3rk1p/1b2p1p1/5p2/2pN4/2P5/PP3PPP/3RR1K1 w - -,d4b5 f7f6 g1f1 g6g5 d1d6 c8b8 a2a4 a7a6 b5d4 b6d4,-6
6k1/5p2/2p3p1/1p5p/p3P3/2Pr1P2/P4K1P/2R5 w - -,h2h3 d3d2 f2e3 d2a2 e3d4 a2b2 d4c5 a4a3 c5c6 b5b4,-427
8/8/r4K1p/7k/5R2/8/8/8 w - -,f6f7 h5g5 f4b4 a6f6 f7g7 h6h5 b4b1 f6f4 b1g1 f4g4,-280
rn2kb1r/ppp1pppp/5n2/8/8/2N2N1q/PPPPBP2/R1BQ1RK1 w kq -,d2d4 h3g4 g1h1 b8c6 e2b5 h7h5 f3h2 g4d1 f1d1 a7a6,451
8/7k/5p2/1R4pp/P5Pr/1P3P2/6K1/8 w - -,b5b4 h7g6 a4a5 h5g4 f3g4 h4h6 a5a6 h6h8 a6a7 h8a8,612
3r1nk1/p4p1p/1p3bp1/2p1p3/B3P3/3P3P/PP1B1PP1/3R2K1 w - -,d2e3 h7h5 a4b5 f8e6 b5c4 e6d4 g1f1 g8g7 d1c1 h5h4,21
r2qk2r/ppp1bppp/2n1p3/3p1b2/3PnB1P/4P3/PPPNBPP1/RN1QK2R w KQkq -,d2e4 f5e4 b1c3 e4g2 h1g1 g2h3 g1g7 h3f5 h4h5 e7f8,37
r7/8/7p/5K1k/5R2/8/8/8 w - -,,0
r3r1k1/pppbqpp1/1bnp1n1p/4p3/4P3/1BPPBN2/PP3PPP/R2QRNK1 w - -,f1g3 b6e3 e1e3 c6a5 b3c2 c7c5 d1d2 g7g6 h2h3 g8g7,32
2r5/p3r2p/1b2pkp1/1N3p2/2p5/2P5/PP3PPP/3RR1K1 w - -,g1f1 g6g5 d1d6 c8b8 a2a4 a7a6 b5d4 b6d4 c3d4 b8b2,-4
1k1r4/pp4p1/2nb2b1/5RPp/N2p3P/P7/1P1B4/4R1K1 w - -,f5b5 a7a6 b5c5 d6c5 a4c5 g6f5 b2b4 b8c7 a3a4 c7b6,-122
r2n2k1/5ppp/2pbq3/8/1p1PN3/7P/rR2QPP1/1RB3K1 w - -,d4d5 a2b2 b1b2 c6d5 e4d6 a8a1 e2e6 a1c1 g1h2 f7e6,-113
rn3rk1/ppq1bppp/2p1pn2/8/3PP3/1QN1BP2/PP3P1P/1K1R1B1R w - -,b3c2 b8a6 f1a6 b7a6 c3a4 a8b8 d1d3 f8c8 a2a3 b8b5,122
5rk1/7p/p1N3p1/8/8/P3RpPb/5P1P/6K1 w - -,,0
r1b1k2r/1p1nbppp/p2ppn2/q5B1/3NPP2/PBN5/2PQ2PP/R4RK1 w kq -,a1e1 h7h6 g5h4 d7c5 f1f2 c8d7 e4e5 d6e5 f4e5 f6e4,-92
r2qk2r/pppn1ppp/3bpn2/3p4/3P4/1P1PPN2/PB3PPP/RN1QK2R w KQkq -,e1h1 c7c5 b1c3 e8h8 d4c5 d7c5 c3e2 a8c8 a1b1 f8e8,12
8/8/6k1/p3pp2/P3P2K/8/8/8 w - -,e1h1 c7c5 b1c3 e8h8 d4c5 d7c5 c3e2 a8c8 a1b1 f8e8,Mate
5rk1/p7/4pb2/1p4p1/2r4p/1P2B2q/P2R1PP1/3R2K1 w - -,,0
8/p3r2p/1brNpkp1/5p2/2p5/2P5/PP3PPP/3RR1K1 w - -,d1d2 e6e5 g2g3 a7a6 g1f1 b6c7 d6b7 e5e4 e1e2 c7e5,-79
1k1rb2r/pp4p1/2nb4/5pPp/N2p1N1P/P7/1P1B4/4RRK1 w - -,f4d3 b7b6 d2f4 d6f4 f1f4 g7g6 g1f2 c6a5 b2b4 a5c4,-258
8/8/8/p3pk2/P6K/8/8/8 w - -,f4d3 b7b6 d2f4 d6f4 f1f4 g7g6 g1f2 c6a5 b2b4 a5c4,Mate
6k1/p4p1p/2q1p1p1/4bn2/3r4/1QN4P/P4PP1/2RR2K1 w - -,c3e2 d4d1 b3d1 c6b6 d1b3 b6d6 b3c2 g8g7 c2c5 d6b8,131
8/r5b1/2R1P1k1/7p/6p1/6P1/5P2/6K1 w - -,e6e7 g6f7 e7e8q f7e8 c6c5 e8e7 c5h5 a7a4 h5c5 e7e6,-20
r2qk2r/ppp1bppp/4pn2/3p1b2/1n1P1B1P/4P3/PPPNBPP1/RN1QK2R w KQkq -,b1a3 h7h6 d2f3 b4c6 c2c3 e8h8 a3b1 e7d6 b1d2 a7a5,-34
8/8/4k3/8/3B4/3K4/8/1B6 w - -,b1a3 h7h6 d2f3 b4c6 c2c3 e8h8 a3b1 e7d6 b1d2 a7a5,Mate
r2q1rk1/1b1n2pp/p1p1pb2/1p4B1/3P1Q2/3B1N2/PP3PPP/R4RK1 w - -,f4e4 g7g6 h2h4 f8e8 a1e1 a8b8 e4g4 c6c5 e1e6 b7f3,168
6k1/4bp1p/8/p3P1p1/2R5/4r1P1/1r3PK1/2R5 w - -,c1c2 b2c2 c4c2 e3e5 c2c8 g8g7 f2f4 e5e3 f4g5 e3a3,-597
r3r1k1/ppp2pbp/2npbqp1/4p2n/2N1P3/2PP1NP1/PPQ2P1P/R1B1RBK1 w - -,c1g5 f6f3 f1e2 f3e2 c2e2 h7h6 g5d2 d6d5 c4a3 h5f6,274
5k2/8/4B3/2p5/1pb2K2/pP6/P7/8 w - -,e6c4 f8e7 f4e5 e7d7 e5d5 d7e8 d5d6 e8f8 d6c5 f8g7,802
2r5/p3rkpp/1bp1p3/5p2/3N4/2P5/PP3PPP/R3R1K1 w - -,a1d1 e7d7 d4f3 d7d1 e1d1 f7f6 d1d6 f6e7 d6d2 c6c5,-3
r3r3/3nb2k/pp4p1/3p2P1/Pnq5/1NN1B3/1PP3QP/5RK1 w - -,g2h3 h7g8 h3e6 g8h8 f1f7 e7g5 e6g6 g5e3 g1h1 c4f1,559
r4rk1/ppq1bppp/n1p1pn2/8/3PP3/2N1BP2/PPQ2P1P/1K1R1B1R w - -,f1a6 b7a6 d1d3 c7a5 c3a4 f8d8 h1c1 a5b5 a4c5 e7c5,118
r1bq1rk1/pp3pbp/2nPp1p1/2p1n3/5B2/2N2NP1/PP3PBP/R2QK2R w KQ -,h2h4 e5f3 g2f3 c6d4 a1c1 e6e5 f4e3 d8d6 c3e4 d6e7,-185
8/1B5q/1p5k/7p/7P/3P4/1P5P/1R5K w - -,b7a8 h7d3 b1g1 d3c4 h2h3 c4h4 a8g2 h4f2 b2b4 f2b2,-285
6k1/rb1q2p1/2p1p2p/1p1nPp2/1P1P4/1Q4P1/4NP1P/2R2BK1 w - -,e2c3 d5c7 c1d1 c6c5 b4c5 d7c6 d4d5 c6c5 d5e6 a7a3,58
5rk1/7p/p5p1/4N3/8/P3RpP1/5PbP/6K1 w - -,h2h4 f8c8 e5f3 g2f3 e3f3 c8c1 g1g2 c1a1 g3g4 a6a5,57
1r1q1kr1/6p1/p2Np3/2Q3Pp/8/5P2/PPP4P/2K5 w - -,c5e5 d8b6 b2b3 b8d8 e5f4 f8e7 d6e4 d8d5 c2c4 g8f8,-439
5rk1/p7/4pb2/1p4p1/4r2p/1P2B2P/P2R1P2/3R2K1 w - -,,0
r4rk1/1b1q1pbp/4p1p1/1pp5/3nPP2/p2PB1N1/PPB3PP/2RQ1RK1 w - -,b2b3 a8c8 g3e2 f7f5 e4e5 f8d8 e2d4 c5d4 e3d2 b5b4,-147
2k1r3/1pp3p1/p7/8/8/2P3QP/PP2pPP1/3qR1K1 w - -,g3g4 d1d7 g4d7 c8d7 f2f3 a6a5 g1f2 b7b5 e1e2 e8h8,421
3rr1k1/pppbqpp1/1bnp1n1p/4p3/4P3/1BPPBNN1/PP3PPP/R2QR1K1 w - -,e3b6 a7b6 h2h3 b6b5 a2a3 f6h7 b3a2 d7e6 a2e6 e7e6,43
q4rk1/1b1n1pb1/6p1/1P2p2p/P2pP3/3Q1NNP/3B1PP1/R5K1 w - -,a4a5 g7f6 h3h4 d7c5 d3a3 c5e4 g3e4 b7e4 a5a6 d4d3,234
r4rk1/p1q1bppp/p1p1pn2/8/3PP3/2N1BP2/PPQ2P1P/1K1R3R w - -,c3a4 a8b8 d1d3 f8d8 d3c3 c7a5 e3f4 b8b4 a4c5 f6d7,118
r1bqk2r/ppp2p1p/2np1npb/3Pp3/4P3/2N5/PPPQ1PPP/R3KBNR w KQkq -,d2h6 c6d4 e1a1 c7c6 d5c6 b7c6 g1f3 d4f3 g2f3 f6h5,32
r2qbrk1/pp2b1pp/2n1pp2/2pp4/3P4/2P1P1B1/PP1NBPPP/R2Q1RK1 w - -,d4c5 e7c5 c3c4 e8f7 c4d5 e6d5 a1c1 c5b6 d2f3 a8c8,17
2R5/4r1b1/4P1k1/7p/6p1/6P1/5P2/6K1 w - -,c8c6 g6f5 c6c5 g7e5 g1g2 e7e6 f2f3 g4f3 g2f3 e6g6,-385
5k2/1p6/p2p4/r2Bb3/1qP5/1P3P2/P3Q1PP/4R2K w - -,e1d1 a5d5 d1d5 b7b5 f3f4 e5f6 d5d1 f8g7 e2g4 g7f7,650
r1bqk2r/ppp2p1p/3p1npQ/3Pp3/3nP3/2N5/PPP2PPP/R3KBNR w KQkq -,e1a1 c7c6 f2f3 c6d5 e4d5 c8d7 f1d3 d8a5 g1e2 d4e2,19
6k1/3qn2p/3P2p1/1p2p3/2b2rP1/7P/3Q1PB1/2R3K1 w - -,c1c4 b5c4 g2d5 g8g7 d6e7 d7e7 d2b2 e7c7 b2c3 c7d6,-490
6k1/4bp1p/8/p3r1p1/2R5/6P1/1r3P2/2R2K2 w - -,c1c2 b2c2 c4c2 g8g7 c2c7 g5g4 c7c4 h7h5 c4f4 e7g5,-655
rn2kbnr/ppp2ppp/3p1q2/4p3/6b1/1P1P1N2/PBP1PPPP/RN1QKB1R w KQkq -,g2g3 b8d7 c2c4 g4f3 e2f3 g7g5 b1c3 g8e7 f1g2 h7h5,58
5nk1/rb2q1p1/1np1p2p/1p2Pp2/1P1P4/1Q6/4NPPP/2R1NBK1 w - -,e1d3 e7d8 d3c5 b7c8 g2g3 b6d5 f1g2 d8e8 b3b2 g7g5,107
2r5/4rkpp/1bp1p3/p4p2/3N4/2P5/PP3PPP/3RR1K1 w - -,d4f3 f7f6 g2g4 b6c7 h2h3 c6c5 g1f1 c8b8 b2b3 a5a4,2
r2qbrk1/pp4pp/2n1pp2/2bp4/8/2P1P1B1/PP1NBPPP/R2Q1RK1 w - -,c3c4 e8f7 c4d5 e6d5 d2b3 c5b6 e2f3 a7a5 a1c1 c6e5,17
3r2k1/5p2/2p3p1/1p5p/p3P3/2P2P2/P3K2P/2R5 w - -,c1g1 g8f8 h2h4 f8e7 f3f4 e7d6 g1g5 a4a3 e2e3 d8b8,-138
r3r1k1/3nb3/pp4p1/3p2P1/Pnq5/1NN1B2Q/1PP4P/5RK1 w - -,h3e6 g8h8 f1f7 e7g5 e6g6 g5e3 g1h1 c4f1 f7f1 e8f8,676
5r2/6kp/p5p1/4N3/7P/P3RpP1/5Pb1/6K1 w - -,g3g4 h7h6 g1h2 g6g5 h2g3 g5h4 g3h4 f8f4 e5d3 f4d4,108
4k1r1/1p1b1p2/1r2pQ1p/3pP2P/p1pP2BB/bq1P4/1P1R1PP1/3K3R w - -,d1e1 g8g5 g4d1 a3e7 f6h8 e7f8 h4g5 b3b4 g5h6 d7c6,632
2n3k1/3q3p/3P2p1/1p2p3/1Qb2rP1/7P/5PB1/2R3K1 w - -,b4e1 d7d6 c1a1 g8g7 a1a8 c8e7 g2f1 c4f1 e1f1 f4f6,-516
1r1q2r1/3k2p1/p2Np3/2Q3Pp/8/5P2/PPP4P/2K5 w - -,c2c3 d8c7 d6e4 c7c5 e4c5 d7c8 b2b4 b8b6 a2a4 b6c6,-504
1k2b2r/pp2r1p1/2nbN3/2N2pPp/3p3P/P7/1P1B4/4RRK1 w - -,g1f2 b7b6 c5d3 b8c8 d3b4 c8b7 b4c6 e8c6 e6d4 e7e1,-182
2r2rk1/1b1q1pbp/4p1p1/1pp5/3nPP2/pP1PB1N1/P1B3PP/2RQ1RK1 w - -,e4e5 f7f6 e5f6 g7f6 g3e4 f6g7 g1h1 e6e5 e3d4 e5d4,-157
r2q1rk1/p2nb1pp/1pb2p2/3pP3/3P4/1P1B1R2/PBPNQ1PP/4R1K1 w - -,e5f6 e7f6 e2e6 g8h8 e6c6 f6h4 g2g3 h4f6 c6d5 d7c5,591
rnbqk2r/pp3pp1/2pp1n2/4p2p/2P1P3/2P3P1/PP2NPBP/R1BQK2R w KQkq -,h2h3 c8e6 b2b3 b8a6 c1g5 a6c5 e1h1 d8d7 g5f6 g7f6,18
1r3rk1/p1q1bppp/p1p1pn2/8/N2PP3/4BP2/PPQ2P1P/1K1R3R w - -,d1d3 f8c8 a2a3 f6d7 d3c3 d7b6 a4c5 e7c5 d4c5 b6d7,126
rn2k1nr/ppp1qppp/3bb3/3p4/3P4/2N2N2/PPP1QPPP/R1B1KB1R w KQkq -,f3g5 b8c6 g5e6 f7e6 c1e3 g8f6 e1a1 d6b4 c3a4 e8h8,12
2k4r/3p4/8/8/5B2/7B/5K2/8 w - -,h3g4 h8h4 f2f3 c8b7 g4d7 b7a6 f4e3 h4b4 e3g5 b4b2,-10
r1b1kb1r/ppp1q1pp/2n2n2/3pN3/2BPpP2/8/PPP3PP/RNBQ1RK1 w kq -,c4b3 c8e6 b3a4 e6d7 b2b3 a7a6 c2c4 e8a8 a4c6 d7c6,87
r2q1rk1/pp1b1pbp/3Pp1p1/2p1n3/5B2/2N3P1/PP3PBP/R2Q1RK1 w - -,a1b1 e5c6 d1d2 c6d4 b2b4 c5c4 b4b5 a7a6 f4g5 d8b6,-62
r2q1rk1/p3ppbp/bp3np1/2p5/4P3/P1NPBN1P/1P2QPP1/R3R1K1 w - -,e2d2 d8d3 e4e5 f6d7 a1d1 d3d2 e3d2 f8d8 c3d5 a6b7,-74
6k1/p1n5/1p1p2p1/1PpP4/2P2P1p/PB1brN1P/1Q2pqPK/4R3 w - -,h2h1 e3f3 e1e2 d3e2 b2e2 f2e2 g2f3 e2e1 h1g2 e1g3,-4812
r1bq1rk1/pppn1pb1/3p1npp/4p3/2PPP3/2N2N2/PP2BPPP/1RBQ1RK1 w - -,d4e5 d7e5 f3e5 d6e5 c1e3 d8d1 f1d1 c7c6 b2b4 f8e8,71
r1b1kbnr/p1p3pp/2p5/3pp3/3P3q/3B4/PPP2PPP/RNBQK2R w KQkq -,d4e5 f8c5 e1h1 g8h6 c1h6 h4h6 d1d2 h6d2 b1d2 e8e7,78
8/6p1/kp1n1p2/3Pp2p/2P1P3/rB2RKP1/7P/8 w - -,e3d3 f6f5 d3e3 f5e4 f3f2 d6f5 d5d6 a6b7 d6d7 b7c7,-366
5rk1/3q3p/3n2p1/1p2Q3/2b3P1/7P/5PB1/2R3K1 w - -,e5d4 f8d8 c1b1 d7e7 d4c5 d6c8 c5c6 e7d6 c6b5 c4b5,-460
r1bq1rk1/1ppn1pb1/3p1npp/p3p3/2PPP3/2N2N2/PPQ1BPPP/1RB2RK1 w - -,d4e5 d6e5 f1d1 d8e7 c3d5 e7d6 a2a3 b7b6 b2b4 f6d5,91
r1bqk2r/pp3pbp/2n1pnp1/2pp4/2B1PB2/P1NP1N2/1PP2PPP/R2QK2R w KQkq -,,0
2R5/4bpkp/8/p3r1p1/8/6P1/1r3P2/2R2K2 w - -,f1g1 e5e2 c8e8 e7f6 e8e2 b2e2 c1c5 e2a2 c5f5 a5a4,-700
8/3r4/6k1/8/6P1/5NKP/8/8 w - -,f1g1 e5e2 c8e8 e7f6 e8e2 b2e2 c1c5 e2a2 c5f5 a5a4,Mate
r1bq1rk1/pp3pp1/1b1p3p/n2n4/5B2/N2B1N1P/P4PP1/R2Q1R1K w - -,d3h7 g8h7 d1d5 d8f6 f4e3 c8e6 d5d1 b6c5 a1c1 h7g8,-237
r2r1n1k/1b2q3/1np1p2p/RpN1Ppp1/1P1P4/1QN5/4BPPP/3R2K1 w - -,h2h3 d8c8 e2f3 a8b8 a5a7 c8c7 d1a1 b6c8 a7a3 c8b6,207
5rk1/3q1n1p/6p1/1p2Q3/2b3P1/7P/5PB1/3R2K1 w - -,e5h8 g8h8 d1d7 f7e5 d7b7 f8f7 b7b8 h8g7 g2e4 f7c7,-482
4n1k1/p7/1p1p1Qp1/1PpP4/2P2P1p/PB1brN1P/4pqPK/4R3 w - -,f6d8 g8f8 d8h4 e3f3 h4f2 f3f2 f4f5 g6f5 b3d1 e2d1q,-800
3rr1k1/ppp1qpp1/1bnpbn1p/4p3/4P3/2PPBNN1/PPB2PPP/R2QR1K1 w - -,c2a4 f6d7 d3d4 d6d5 e4d5 e6d5 e3f4 d5f3 d1f3 e7f6,34
q1r3k1/1b1n1pb1/6p1/1P2p2p/PB1pP3/3Q1NNP/5PP1/R5K1 w - -,a4a5 g7f6 h3h4 a8b8 b5b6 b7a8 g3f1 c8c6 f1d2 b8c8,220
5nk1/p4p1p/1p3bp1/2p1p3/BP2P3/3r3P/P2B1PP1/3R2K1 w - -,a4b5 d3d4 b4c5 b6c5 b5e2 d4e4 d2e3 f8e6 d1d7 e4a4,-96
2r5/4r1pp/1bp1pk2/p4p2/3N4/2P5/PP3PPP/3RRK2 w - -,,0
r2q1rk1/pp1b1pbp/2nPp1p1/2p5/5B2/2N3P1/PP2QPBP/R4RK1 w - -,a1c1 c6d4 e2e3 d8b6 b2b3 a8d8 f1e1 d7c6 c3a4 c6a4,-127
r2qk2r/pp1b1pbp/2n1pnp1/1Bpp4/4PB2/P1NP1N2/1PP2PPP/R2QK2R w KQkq -,e1h1 a7a6 b5c6 d7c6 e4e5 f6h5 f4g5 d8c7 d3d4 e8h8,4
r3r1k1/1pp2pp1/p1p1bn1p/4p3/4P3/2NPqN1P/PPP2PP1/3RR1K1 w - -,c3a4 e3a7 d3d4 e5d4 f3d4 e6c8 a4c3 a7c5 e1e3 g7g6,-1117
6R1/6b1/4r1k1/7p/6p1/6P1/5P2/6K1 w - -,g1f1 e6b6 f1e2 b6b7 g8a8 g6f5 a8a4 b7b2 e2f1 g7e5,-459
1k2b2r/pp4p1/8/2N1npPp/3p1N1P/P7/1P6/5RK1 w - -,f1c1 e8c6 g1f2 h8e8 f4h5 e5g4 f2g1 e8e3 h5g7 d4d3,-209
1rr3k1/p1q1bppp/p1p1pn2/8/N2PP3/3RBP2/PPQ2P1P/1K5R w - -,a2a3 f6d7 d3c3 d7b6 a4c5 e7c5 d4c5 b6d7 h1d1 d7f6,125
8/8/1b6/p7/P1B4k/1P2Pp1p/6rP/5RK1 w - -,a2a3 f6d7 d3c3 d7b6 a4c5 e7c5 d4c5 b6d7 h1d1 d7f6,Mate
8/5p2/6pp/8/B2K2P1/6kP/8/8 w - -,,0
r2n2k1/1p1q1pp1/2pb3p/r7/2QP4/2N1B2P/PR3PP1/1R4K1 w - -,,0
3r2k1/q4pp1/2p3p1/P1b1p3/2Q5/2P1R1PP/6P1/4R1K1 w - -,g1f2 d8d2 f2f3 c5e3 e1e3 a7a5 e3e1 a5c7 g3g4 c7d8,-182
R7/4bpkp/8/p4rp1/8/6P1/1r3P2/2R2K2 w - -,f1g1 f5f2 a8b8 a5a4 b8b2 f2b2 g1f1 a4a3 c1c7 a3a2,-845
1k2r3/1pp3p1/p7/8/6Q1/2P4P/PP3PP1/3q2K1 w - -,g4d1 g7g6 d1g4 b7b5 g1h2 e8f8 g4g6 b5b4 c3b4 f8f2,753
2r5/4r1p1/1bp1pk1p/p4p2/3N1P2/2P5/PP4PP/3RRK2 w - -,,0
3qnrk1/r4pNp/p2p3B/2p1p3/P3P2b/1b1P1Q2/1P3PPP/R4RK1 w - -,g7f5 h4g5 f3g3 f7f6 h2h4 b3e6 h4g5 e6f5 h6f8 g8f8,289
r2qk2r/1p1b1pbp/p1n1pnp1/1Bpp4/4PB2/P1NP1N2/1PP2PPP/R2Q1RK1 w kq -,,0
8/8/8/p7/P1B4k/1P2bp1p/6rP/5R1K w - -,c4d5 g2b2 d5f3 e3f4 f3d5 f4h2 f1d1 h2f4 d1f1 f4e3,Mate
r1bq1rk1/ppb2pp1/3p1n1p/n2P4/5B2/N2B1N1P/P4PP1/R2Q1R1K w - -,d1c1 c7b6 f4h6 f6d5 h6g5 f7f6 g5d2 c8e6 c1e1 f8e8,32
r3r2k/3nb3/pp2Q1p1/3p2P1/Pnq5/1NN1B3/1PP4P/5RK1 w - -,e6h3 h8g8 h3e6 g8h8 f1f7 e7g5 e6g6 g5e3 g1h1 c4f1,675
rn1qk1nr/pbp2ppp/1p1p4/4p3/4P3/PPB2N2/2PP1PPP/R2QKB1R w KQkq -,d2d4 g8f6 d4e5 f6e4 c3b2 e8h8 f1c4 d6d5 c4b5 b8a6,36
r2qk2r/1p3pbp/p1b1pnp1/2pp4/4PB2/P1NP1N2/1PP2PPP/R2Q1RK1 w kq -,,0
8/6k1/p5p1/4N2p/5rPP/P3Rp2/5PbK/8 w - -,h2g3 f4d4 g4g5 d4a4 e3c3 a4e4 c3c7 g7g8 e5g6 e4g4,99
8/1R3p1p/1P2pk2/6p1/6P1/8/5PPK/1r6 w - -,,0
1k6/p6r/1p2p3/2q2p1p/2PrbRpN/1P1pQ1P1/P2R3P/5K2 w - -,e3f2 h7d7 f2e1 e6e5 f4f2 d7f7 d2d1 b8b7 f2d2 a7a5,-517
8/6k1/4r3/7p/6p1/6P1/5P2/6K1 w - -,e3f2 h7d7 f2e1 e6e5 f4f2 d7f7 d2d1 b8b7 f2d2 a7a5,Mate
r1b1k1nr/pp1pppbp/1qn3p1/2p5/4P3/3P2P1/PPP1NPBP/RNBQK2R w KQkq -,c2c3 d7d6 e1h1 g8f6 d3d4 e8h8 h2h3 e7e6 b1a3 c8d7,34
1r6/pB2Rp1p/5kp1/5b2/8/3p4/PP1K1PPP/8 w - -,e7e3 b8b7 b2b3 b7c7 h2h3 c7c2 d2e1 c2a2 g2g4 d3d2,-598
r2r1nk1/pp1b2pp/3qpb2/n2p4/3P1P2/1PN1BNPB/P4R1P/2RQ2K1 w - -,h3g4 d7e8 f3e5 a5c6 h2h4 c6e7 h4h5 d8c8 f2c2 d6d8,100
3r4/5pk1/2p3p1/1p5p/p3P3/P1P2P2/4K2P/2R5 w - -,h2h4 g7f6 c3c4 f6e5 c4b5 c6b5 c1c5 e5f4 c5b5 f4g3,-100
r2qk2r/1p1n1pbp/p1b1p1p1/2ppP3/5B2/P1NP1N2/1PP2PPP/R2Q1RK1 w kq -,,0
2r5/4r3/1bp1pk1p/p4pp1/5P2/2P2N2/PP4PP/3RRK2 w - -,f3e5 b6c7 g2g3 c6c5 a2a4 c7e5 e1e5 c8c6 d1d8 c6b6,-3
r2q1rk1/p2b1pbp/1pnPp1p1/2p5/4NB2/6P1/PP2QPBP/R4RK1 w - -,f1e1 c6d4 e2d3 h7h6 b2b4 e6e5 f4e3 f7f5 e4d2 e5e4,-183
r1br2k1/pp3ppp/1n2p3/3n4/3N4/6P1/PP1NPPBP/2R2RK1 w - -,f1d1 c8d7 d2e4 d7e8 a2a3 a8b8 e4c5 d8c8 b2b4 g7g6,49
r1bqkb1r/p1pn1ppp/1p3n2/3p4/3P4/P1N2N2/1P2PPPP/R1BQKB1R w KQkq -,c1f4 a7a6 e2e3 f8e7 f1d3 c8b7 e1h1 c7c5 f3e5 e8h8,46
r1bq1rk1/ppb2ppn/3p3p/n2P4/5B2/N2B1N1P/P2Q1PP1/R4R1K w - -,a3b5 c7b8 a1e1 a7a6 b5d4 b8a7 f4h6 a7d4 f3d4 g7h6,256
5r2/6k1/p5p1/4N2p/6PP/P3RpK1/5Pb1/8 w - -,g4g5 f8d8 e3c3 d8d4 c3c7 g7g8 c7c4 d4d6 c4c6 d6c6,360
1rr3k1/p1qnbppp/p1p1p3/8/N2PP3/2R1BP2/PPQ2P1P/1K5R w - -,a2a3 a6a5 b1a1 e7f8 h2h4 b8b5 h1c1 b5h5 c2b3 c7b8,133
2k1r3/1ppq2p1/p7/8/6Q1/2P4P/PP2pPP1/4R1K1 w - -,g4d7 c8d7 f2f3 a6a5 g1f2 e8h8 e1e2 b7b5 e2e5 d7c6,433
6k1/q4pp1/2p3p1/P1brp3/4Q3/2P1R1PP/6P1/4R1K1 w - -,g1f1 f7f5 e4f3 e5e4 f3f4 c5e3 f4e3 a7e3 e1e3 d5a5,-291
r2q1rk1/1b1n3p/p1p1pbp1/1p4B1/3PQ3/3B1N2/PP3PPP/R4RK1 w - -,h2h4 f8e8 f1e1 a8b8 e4g4 c6c5 e1e6 b7f3 g2f3 f6g5,162
2r5/2b1r3/2p1pk1p/p3Npp1/5P2/2P5/PP4PP/3RRK2 w - -,g2g3 c6c5 a2a4 c7e5 e1e5 c8c6 d1d8 e7b7 e5e2 c6b6,-4
3rr1k1/1pp2pp1/p1p1bn1p/4p3/4P3/2NPRN1P/PPP2PP1/3R2K1 w - -,f3e5 e6a2 e5c6 b7c6 c3a2 e8e4 e3e4 f6e4 a2b4 c6c5,292
r1bqkb1r/pp1ppp1p/2n3p1/2p1P3/6n1/5N2/PPPPNPPP/R1BQKB1R w KQkq -,c2c3 d8a5 d2d4 c5d4 b2b4 a5c7 c1f4 e7e6 e2d4 g4e5,-81
r1bqk2r/1pp1nppp/8/p2n4/2BP4/1Q3N2/PP1N1PPP/R4RK1 w kq -,d2e4 e8h8 f1e1 c7c6 a1c1 a5a4 b3a3 e7f5 c1d1 d5f4,30
5k2/1p6/p2p4/3Bb3/1qP2P2/1P6/r3Q1PP/4R2K w - -,e2e4 b4e1 e4e1 a2a1 e1a1 e5a1 g2g4 f8e8 h1g2 e8d7,640
r2q1rk1/1p1bppbp/3p1np1/p7/Pn1NP3/2N1BP2/1PPQ2PP/2KR1B1R w - -,f1c4 a8c8 c4b3 b4a6 g2g4 a6c5 c1b1 d8e8 d4b5 d7b5,127
1Q6/8/4k3/8/8/4K3/8/7b w - -,f1c4 a8c8 c4b3 b4a6 g2g4 a6c5 c1b1 d8e8 d4b5 d7b5,Mate
r1nqkb1r/pp3pp1/2n1p3/1N1pP2p/3P4/2Q3N1/PP3PPP/R1B2RK1 w kq -,c1e3 d8b6 a2a4 a7a6 b5a3 b6b4 a3c2 b4c3 b2c3 h5h4,-44
6b1/8/8/8/p7/8/1P1k4/1K6 w - -,b1a1 d2d3 a1b1 g8e6 b1c1 d3d4 c1b1 e6c4 b1a1 c4d3,-34
r1b2rk1/ppp2ppp/2np1q2/2b1p3/2B1P1n1/2PP1N2/PP3PPP/RNBQ1RK1 w - -,b2b4 c5b6 h2h3 g4h6 a2a4 a7a6 g1h1 g8h8 b1a3 f6d8,56
q1r3k1/1b1n1p2/6pb/1P2p2p/PB1pP3/3Q2NP/3N1PP1/R5K1 w - -,a4a5 h5h4 g3f1 a8b8 d2c4 b8c7 f1d2 h6d2 c4d2 c7c2,242
3rr1k1/ppp1qpp1/1bnpbn1p/8/3pP3/2P1BNN1/PPB2PPP/R2QR1K1 w - -,c3d4 d6d5 e4e5 f6e4 c2a4 e6g4 d1c2 g4d7 a2a3 f7f5,44
r2q1rk1/p2b2bp/1pnPppp1/2p3B1/4N3/6P1/PP2QPBP/R4RK1 w - -,e4c5 c6d4 e2c4 b6c5 g5e3 a8c8 e3d4 c5d4 c4d4 d8a5,-304
r2qkb1r/ppp3pp/3ppnn1/8/4PPb1/2NB4/PPPQ2PP/R1B1K1NR w KQkq -,h2h3 g4h5 g2g4 c7c6 d2e2 d8b6 g4h5 g6f4 c1f4 b6b2,384
