rnbqkbnr/ppp3pp/5p2/3pp3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,c4b5 c7c6 b5f1 d5e4 f3h4 c8e6 g2g3 d8d4 b1c3 b8d7,-294
r1bqkbnr/pp2pp1p/6p1/1Npp4/4PP2/5N2/PPPP2PP/R1BQK2R w KQkq -,b5c3 d5e4 c3e4 b7b6 d2d3 f8g7 d1e2 g8h6 a2a4 c8b7,-121
rnbqk2r/ppp2ppp/3p1n2/4p3/2PP4/P1P2P2/4P1PP/R1BQKBNR w KQkq -,e2e4 b8c6 g1e2 c6a5 e2g3 e8h8 c1e3 f6d7 f1d3 d7b6,83
rnbqkb1r/ppp2ppp/4pn2/8/3P4/2N1B3/PPP2PPP/R2QKBNR w KQkq -,d1f3 f8e7 e1a1 f6d5 c3d5 d8d5 f3d5 e6d5 e3f4 c7c6,72
r2qk2r/pppbbppp/2np1n2/1B6/5p2/1P2P3/PBPPN1PP/RN1Q1RK1 w kq -,c2c4 f4e3 d2e3 f6g4 d1d2 e7g5 e2f4 e8h8 b1c3 f8e8,-82
r2q1rk1/pppbbppp/2np1n2/1B2p3/5P2/1P2P3/PBPPN1PP/RN1Q1RK1 w - -,f4e5 d6e5 e2g3 a7a6 b5c6 d7c6 d1e2 e7d6 d2d3 g7g6,9
8/8/1k6/R7/4K3/8/8/7R w - -,b1c3 a7a6 b5d3 c6b4 h2h3 b4d3 c2d3 c7c5 c3e4 f6e4,Mate
r2qk2r/pppbbppp/2np1n2/1B6/4pP2/1P2P3/PBPPN1PP/RN1Q1RK1 w kq -,c2c4 c6b4 b5d7 d8d7 b2d4 b4c6 d4f6 e7f6 b1c3 f6c3,54
rn1qkb1r/pp2ppp1/2p2n2/3p1b1p/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,d1e1 b8d7 b1d2 e7e6 e2e4 f5g6 g1h1 f8e7 f3h4 g6h7,89
r1bq1rk1/p3bpp1/2p4p/n2np3/4N3/3B4/PPPP1PPP/RNBQR1K1 w - -,e4g3 e7c5 b1c3 d8h4 d1e2 c8g4 e2f1 a8e8 c3a4 c5d6,155
rnb1k2r/pppp1ppp/5q1n/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,b1c3 c7c6 d2d4 c5d4 f3d4 e5d4 e4e5 f6h4 g2g3 h4h3,415
rn1qk2r/pp3ppp/3bpn2/3p1b2/3P1B2/P1N2N2/1P2PPPP/R2QKB1R w KQkq -,f4g5 b8c6 e2e3 e8h8 f1d3 h7h6 g5f6 d8f6 d3f5 f6f5,-37
r3kbnr/pppnpppp/4b3/8/2pP4/4P3/PP3PPP/RNB1KBNR w KQkq -,b1a3 d7b6 a3b5 e8d8 g1f3 e6d5 b5c3 d5f3 g2f3 f7f5,23
rnbqkb1r/pppppp1p/6pn/8/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq -,b1c3 d7d5 e2e4 d5e4 c3e4 f8g7 c2c3 e8h8 f1c4 b8d7,-24
rnbqk2r/pp3ppp/5n2/2bp4/8/4P3/PP3PPP/RNBQKBNR w KQkq -,f1b5 b8c6 g1f3 e8h8 e1h1 f8e8 b1c3 a7a6 b5c6 b7c6,-81
8/8/1p1K4/1p6/k7/2Q5/1P6/q7 w - -,f1b5 b8c6 g1f3 e8h8 e1h1 f8e8 b1c3 a7a6 b5c6 b7c6,Mate
