r2qk2r/ppp2ppp/2n2n2/2b1p1B1/4P1b1/2NP1N2/PPP3PP/R2QKB1R w KQkq -,d1d2 g4f3 g2f3 h7h6 g5e3 c5e3 d2e3 c6d4 e1a1 f6h5,-104
r2qkb1r/1pp1nppp/p1np4/4p3/B2PP1b1/5N2/PPP2PPP/RNBQ1RK1 w kq -,c2c3 e7g6 h2h3 g4d7 c1e3 f8e7 b1d2 e8h8 a2a3 g8h8,105
r1bq1rk1/2p2pbp/p1np1np1/1p2p3/B3P3/2PP1N1P/PP3PP1/RNBQR1K1 w - -,a4b5 a6b5 c1e3 f8e8 b1d2 c8d7 a2a3 h7h6 d1c2 g6g5,-440
r1bqkb1r/ppp1pppp/5n2/3P4/1n2P3/5N2/PP3PPP/RNBQKB1R w KQkq -,d1a4 c7c6 a4b4 e7e6 d5d6 f8d6 b4c4 d8a5 c1d2 a5c7,712
rnbqkbnr/ppp2ppp/4p3/3p4/8/8/PPPPPPPP/RNBQKBNR w KQkq -,d2d3 b8c6 g1f3 e6e5 g2g3 f7f5 f1g2 g8f6 e1h1 f8d6,-76
r2q1rk1/1bp2pbp/p1np1np1/1p2p3/4P3/2PP1N1P/PPB2PP1/RNBQR1K1 w - -,c1e3 f6d7 a2a4 b5b4 a4a5 f7f5 d3d4 e5d4 c3d4 f5f4,69
r1bqk2r/ppppn1pp/2n2p2/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4 c5d6 b5c4 c6a5 c4e2 e7g6 h2h4 a5c6 e2c4 h7h5,290
r1bqk2r/1pppnpbp/p1n3p1/1B1Pp3/4P3/2P2N2/PP3PPP/RNBQK2R w KQkq -,b5e2 c6b8 d5d6 c7d6 d1d6 b7b5 a2a4 c8b7 a4b5 e8h8,143
r1bq1rk1/ppppbpp1/2n2n1p/3Np1B1/2B1P3/3P1N2/PPP2PPP/R2QK2R w KQ -,g5f6 e7f6 a2a4 g7g6 d5f6 d8f6 c2c3 d7d6 h2h3 c8e6,59
rnbqk2r/pp1pbppp/4pn2/2p5/3P4/2P2NP1/PP2PP1P/RNBQKB1R w KQkq -,c1f4 b8c6 e2e3 e8h8 b1d2 c5d4 c3d4 a7a5 f1b5 d7d5,-40
r1bq1rk1/pp1pbppp/2n1pn2/2p5/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 w - -,c3c4 c5d4 f3d4 d8b6 d4b5 d7d5 c1e3 b6a5 e3d2 a5d8,-39
r1bq1rk1/pp2bppp/2n1pn2/2ppN3/3P4/2P3P1/PP2PPBP/RNBQ1RK1 w - -,c1e3 d8c7 e5d3 c5c4 d3e1 e6e5 d4e5 c7e5 b1d2 e5h5,-41
rnbqkb1r/ppp2ppp/5n2/4p3/2Pp4/1B2P3/PP1P1PPP/RNBQK1NR w KQkq -,a2a3 d4d3 b1c3 c8g4 f2f3 g4f5 e3e4 f5e6 c4c5 b8c6,-227
r1bqk1nr/p1p2ppp/2p5/2bpp3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e4d5 g8e7 f3e5 e8h8 d2d4 c5b6 e1h1 c6d5 c3a4 f7f6,148
rnbq1rk1/pp2ppbp/5np1/3p4/3P4/4PNP1/PP3PBP/RNBQK2R w KQ -,e1h1 b8c6 b1c3 c8f5 b2b3 a8c8 c1b2 f6e4 a1c1 d8d7,-24
rnbq1rk1/ppp1bppp/5n2/3p2B1/3P4/2N3P1/PP2PP1P/R2QKBNR w KQ -,f1h3 b8d7 g1f3 c7c6 e1h1 f8e8 a1c1 e7d6 f1e1 h7h6,-49
r1bqkb1r/pp3ppp/2nppn2/2p5/4P3/2NPB1P1/PPP2P1P/R2QKBNR w KQkq -,a2a3 f8e7 f1g2 e8h8 g1e2 a8b8 h2h3 b7b5 e1h1 a7a5,-37
rnb1kbnr/pp1p1ppp/2p2q2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq -,d4d3 b8a6 e2e4 f8b4 g1e2 a6c5 d3c2 f6e7 a2a3 b4c3,120
r1bqk1nr/ppp3pp/2pb4/4p3/4P3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 g8e7 b1d2 e8h8 d2c4 e7g6 c1g5 d8d7 d1d3 d7g4,-17
rnbqkb1r/ppp2pp1/4pn1p/3p2B1/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq -,g5h4 g7g5 e4e5 g5h4 e5f6 d8f6 c2c4 b8c6 c4d5 e6d5,-212
r2qk1nr/pbpnbppp/1p1pp3/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQkq -,c1f4 g8f6 d1c2 d7f8 f4e3 f8g6 h2h3 e8h8 e1h1 f6d7,138
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/2P1P3/1PN5/P2P1PPP/R1BQKBNR w KQkq -,f2f4 g7g6 g1f3 f8g7 c1b2 d7d6 g2g3 g8e7 f1g2 e8h8,-44
rnb1kbnr/ppp2ppp/8/4q3/3N4/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1e2 f8c5 d4f3 e5d6 d1d6 c5d6 c3b5 g8f6 b5d6 c7d6,268
r1bqk2r/pppp1ppp/2n1pn2/8/1b1P1B2/4P3/PPPN1PPP/R2QKBNR w KQkq -,c2c3 b4d6 f4d6 c7d6 e3e4 e8h8 f1d3 b7b5 d3b5 d8b6,96
rn1q1rk1/ppp1bppp/4bn2/3p2B1/3P4/2N2N2/PPP1BPPP/R2QK2R w KQ -,g5e3 f6e4 e1h1 f7f5 f3e5 f5f4 e3c1 b8c6 e5c6 b7c6,-26
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/2P2N2/PPBPQPPP/RNB1K2R w KQ -,a2a4 c8b7 d2d3 d7d5 e1h1 h7h6 b1d2 f8e8 e4d5 f6d5,13
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,b1d2 c7c5 c2c3 f8e7 h2h3 d8b6 d1b3 a7a6 f1e2 b6d8,34
r1bq1rk1/pppp1ppp/8/2b1n3/2P5/2N1PB2/PP3PPP/R1BQ1RK1 w - -,b2b3 d7d6 f3e2 c8f5 c1b2 a7a5 c3a4 f8e8 d1d5 c7c6,77
rnb2r2/pp2ppkp/5np1/q1Pp4/8/2N5/PPPQPPPP/2KR1BNR w - -,g1f3 a5c5 e2e3 f8d8 d2d4 c5c7 d4e5 c7e5 f3e5 b8c6,-60
r1bqk2r/2p1npbp/p2p2p1/np1P4/4P3/5N2/PPB2PPP/RNBQ1RK1 w kq -,f1e1 e8h8 b1c3 f8e8 h2h3 c8d7 a1b1 c7c6 c1g5 h7h6,61
r3k1nr/pp1qppbp/2np2p1/2p2b2/2P5/2N2NPP/PP1PPPB1/R1BQ1RK1 w kq -,g3g4 f5e6 c3d5 e8a8 e2e3 h7h5 f3g5 g8f6 g5e6 f7e6,-138
rnb1k1nr/ppp2ppp/1b3q2/4p3/2BP4/5N2/PP3PPP/RNBQK2R w KQkq -,e1h1 b8c6 c1g5 f6g6 f1e1 c8g4 b1d2 g6g5 c4f7 e8e7,51
r3kbnr/ppp1qp1p/2np4/6p1/2BPPpb1/2N2N2/PPP3PP/R1BQ1RK1 w kq -,c4e2 e8a8 e2b5 g4f3 f1f3 e7f6 b5c6 b7c6 g2g3 f8g7,-75
r2qk1nr/pbpn1pbp/1p1pp1p1/8/2BPPB2/2N2N2/PPPQ1PPP/R3K2R w KQkq -,e1h1 g8f6 f1e1 a7a6 a1d1 h7h6 h2h3 g6g5 f4h2 b6b5,89
rnb1k2r/p3ppbp/2pp1np1/qp6/3PP3/P1N1BP2/1PPQ2PP/R3KBNR w KQkq -,g2g4 h7h5 g4g5 f6d7 g1e2 e8h8 f1g2 c6c5 d4c5 d6c5,97
r1bqk2r/ppp2pbp/2nppnp1/8/2PPP3/2N1BP2/PP4PP/R2QKBNR w KQkq -,f1d3 e8h8 g1e2 f6d7 e1h1 c6b4 a2a3 b4d3 d1d3 e6e5,95
