r3k2r/1p2b1p1/p1nq4/2ppp3/5P2/2PQP1p1/PP4PN/RN2R1K1 w kq -,h2f1 e5e4 d3e2 d6h6 f1g3 h6h2 g1f2 h8h3 e1g1 h2g3,-586
r1b1kb1r/pp3ppp/2n5/3p4/8/1P6/PBP2PPP/R3KBNR w KQkq -,e1a1 c8e6 g1h3 e8a8 h3f4 d5d4 f1b5 e6d7 b5c4 f8e7,78
r4nk1/1p6/2p3p1/3p2P1/p1nPp3/4P1N1/PP4K1/3B1R2 w - -,f1e1 f8h7 b2b3 a4b3 d1b3 c4d6 a2a4 h7g5 e1a1 g8g7,-373
1k5r/ppq2p1p/6p1/3rb3/1QN1b3/2P3P1/R3BPP1/5RK1 w - -,c4e3 f7f5 e3d5 e4d5 c3c4 d5e4 f1d1 h8c8 a2a5 e5g7,102
r1b2k1r/pp2b1pp/2ppPnq1/5Q2/3p4/2P2N2/P4PPP/RNB1R1K1 w - -,f5h3 d4c3 b1c3 g6g4 h3g4 f6g4 c1f4 g4f6 h2h3 f8e8,8
r3k2r/ppR1b1pp/2b2p2/3p1p2/3P1B2/P3PN2/1P1K1PPP/7R w kq -,f4g3 e7d8 c7g7 e8f8 g7c7 d8c7 g3c7 a8c8 c7f4 f8f7,-98
5r2/1p4p1/p2pk2p/2p1p3/2P1P2R/1P4P1/1P1R2P1/5rK1 w - -,g1h2 f1e1 h2h3 f8f1 d2c2 g7g6 b3b4 c5b4 g3g4 f1h1,-513
r2r2k1/5p2/p3p1p1/1p5p/1bp1PP2/4B1P1/PPP2K1P/3R1R2 w - -,e3b6 d8b8 b6c7 b8b7 c7d6 b4a5 e4e5 a8c8 f2e2 b5b4,28
5Q2/4K3/2p5/1p5p/1P2k1pB/8/2b4P/8 w - -,e3b6 d8b8 b6c7 b8b7 c7d6 b4a5 e4e5 a8c8 f2e2 b5b4,Mate
1B6/8/4n3/6k1/6p1/8/6K1/8 w - -,,0
3r2k1/pp1q1ppb/1bp4p/4r3/2Qn1N2/3PB1N1/PP3PPP/2R1R1K1 w - -,e3d2 e5g5 c4a4 g5b5 a4a3 d4e6 f4e6 f7e6 b2b3 d7d3,-145
r1b2k1r/pp2b1pp/2ppPnq1/8/8/2p2N1Q/P4PPP/RNB1R1K1 w - -,b1c3 g6g4 h3g4 f6g4 h2h3 g4f6 c1f4 f8e8 f3d4 f6h5,11
5r2/1p4p1/p2pk2p/2p1p3/2P1P2R/1P4P1/1P1R2PK/4r3 w - -,g3g4 e1e4 g2g3 e4d4 d2e2 f8f3 g4g5 d4h4 g3h4 h6g5,-519
2kr4/1pp5/5p2/P6p/1b3B2/8/2bpBP2/R5K1 w - -,f4d2 d8d2 g1f1 c2f5 a5a6 b7a6 e2a6 c8d8 a6b7 d8e7,-613
1R6/p2Q2p1/5pk1/3b4/2p1q3/6PP/1P4NK/4r3 w - -,d7d5 e1h1 h2h1 e4d5 h1g1 g6h7 g2f4 d5f3 b8b5 f3g3,-588
r4k2/2p2pp1/p1p4r/7p/3PPb2/5P1q/P1P1QP2/R3K1R1 w - -,e2d3 g7g5 e1e2 h3e6 e2f1 c6c5 d4d5 e6e5 a1b1 h5h4,-548
