rn2k1nr/pp1qppbp/6p1/3p2B1/3PP3/8/PP3PPP/RN1QK1NR w KQkq -,e4e5 b8c6 b1c3 a8d8 g5c1 g8h6 g1f3 h6f5 g2g4 f5h6,-8
5k2/5p2/2N4p/6pN/3K2P1/7n/8/8 w - -,d4e3 f7f6 h5f6 h3f4 f6h5 f4d5 e3d4 d5b6 c6e5 f8e7,123
rnbqr1k1/ppp1bppp/3p1n2/8/3NPB2/2NQ4/PPP2PPP/R3KB1R w KQ -,e1a1 b8c6 f2f3 c6d4 d3d4 a7a6 d4f2 c7c6 g2g4 d6d5,52
8/4kp2/2K4p/p5pN/2N3P1/2n4P/8/8 w - -,c4a5 e7e6 a5b7 c3e2 b7c5 e6e5 c5d7 e5e4 c6d6 e2g1,77
r3qrk1/pp2nppp/2bbpn2/2ppN3/3P1P2/2PBP2N/PP4PP/R1BQ1R1K w - -,d4c5 d6c5 d1e2 a7a6 e5c6 e8c6 h3g5 h7h6 g5f3 c6c7,-48
r7/8/8/3p1pk1/1K4p1/P5P1/4R2P/8 w - -,,0
rnbq1rk1/p1p2pp1/1p1ppn1p/8/2PP3B/P1P2N2/4PPPP/R2QKB1R w KQ -,e2e4 e6e5 f1d3 c8g4 h2h3 g4f3 d1f3 b8c6 e1h1 g7g5,33
rnbqk2r/ppppbppp/5n2/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -,e5f6 e7f6 b1c3 f6c3 b2c3 b8c6 f1b5 e8h8 g1e2 c6e5,467
r1bqk2r/bp1pnppp/p1n1p3/8/4P3/1N1B4/PPP2PPP/RNBQ1R1K w kq -,c1g5 e8h8 g5h4 d7d5 b1c3 d5d4 c3e2 f7f6 f2f4 e6e5,-21
r3k1nr/1p1qppbp/p5p1/2p1Pb2/5P2/N1Pp1Q2/PP1P2PP/R1B1NRK1 w kq -,f1f2 a8d8 a3c4 g8h6 b2b3 b7b5 c4e3 f7f6 e5f6 g7f6,-68
q4rk1/4nppp/2b1pn2/1pbpN3/5P2/1PPBP2N/6PP/2BQ1R1K w - -,h1g1 e7f5 d3f5 e6f5 h3f2 f8c8 c1d2 a8a7 f1e1 h7h6,-86
8/8/3K4/3Q4/8/4kn2/8/8 w - -,h1g1 e7f5 d3f5 e6f5 h3f2 f8c8 c1d2 a8a7 f1e1 h7h6,Mate
