4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
r3k2r/p2nqp2/2pb3p/1p2p1p1/2BPPnb1/1QP2N2/PP1N1BPP/R4RK1 w kq -,d4e5 d7e5 f3e5 d6e5 h2h3 g4d7 c4f7 e7f7 b3f7 e8f7,-281
r1bqkb1r/1ppp1ppp/p4n2/8/Q1PpP3/8/PP1P1PPP/RNB1KB1R w KQkq -,d2d3 f8e7 f1e2 e8h8 e1h1 d7d6 b1d2 a8b8 a4d1 b7b5,12
rnb1k1nr/ppp2ppp/8/3qp3/8/b4NP1/PP1PPP1P/RNBQKB1R w KQkq -,b2a3 d5a5 b1c3 c8d7 f1g2 g8f6 a1b1 e8h8 e1h1 e5e4,517
6k1/q4pp1/2p1b2p/4P3/1p1Pp3/4RN1P/rPQ2PP1/6K1 w - -,c2e4 a2b2 e4c6 a7a2 d4d5 e6d5 c6c8 g8h7 c8f5 g7g6,-106
r7/2k2p2/3p1b2/3P3P/nR1N4/8/P1P2r2/1K5R w - -,b4c4 c7d7 h1e1 a8b8 d4b3 a4c3 b1b2 c3d5 b2c1 d5c3,-483
rnb1k1nr/pp2qppp/2p5/3p4/3PP3/5P2/PP1N2PP/R2QKBNR w KQkq -,f1d3 e7h4 g2g3 h4h6 g1e2 g8e7 d1c2 e8h8 e1h1 e7g6,51
r2k4/8/1b3P1p/3ppPp1/BPpP2P1/P3K2P/8/2R5 w - -,,0
r2q1rk1/4bp1p/3pb1p1/4n1PP/pp1pPB2/5PN1/PPPQ4/1K1R1B1R w - -,f4e5 d6e5 d2h2 h7h6 h5g6 e7g5 g6f7 g8f7 g3f5 d8f6,70
8/8/P1kb4/8/2K5/1P2B3/8/8 w - -,b3b4 d6b4 c4b4 c6c7 e3a7 c7c8 b4b5 c8d7 b5b6 d7e6,9605
r1bqk1nr/ppp2pbp/2n3p1/4p3/4P3/2NP1N1P/PP3PP1/R1BQKB1R w KQkq -,c1d2 g8e7 a1c1 e8h8 f1e2 c8e6 a2a3 b7b6 b2b4 d8d7,-35
r1b1kb1r/pp3ppp/5n2/q3P3/8/8/PPP2PPP/RNBQKB1R w KQkq -,c1d2 a5e5 d1e2 e5e2 f1e2 f8c5 b1c3 e8h8 f2f3 c8e6,142
rn1qr1k1/pp3pbp/2p3p1/4pb2/PP1Pp3/B1P1P3/3NBPPP/R2QK2R w KQ -,b4b5 b8d7 b5c6 b7c6 e1h1 e5d4 c3d4 c6c5 d4c5 g7a1,25
r1bk1b1r/p1pqn3/p2p1p2/N2Pp1p1/P1Q1P2p/2R5/1PP1NPPP/2B2RK1 w - -,f2f3 h8g8 h2h3 e7g6 a5c6 d8e8 c3b3 g6f4 g1h1 e8f7,235
r3r1k1/1bpq1nbp/p2p1pp1/1p1Pn3/5B2/5NNP/PPPQBPP1/R4RK1 w - -,a1d1 c7c6 b2b3 c6d5 f3d4 f6f5 f1e1 e8e7 c2c3 a8e8,-22
r2r4/p4ppk/1p2p3/8/2B2bn1/PP3q2/5P1P/R4RK1 w - -,a1d1 c7c6 b2b3 c6d5 f3d4 f6f5 f1e1 e8e7 c2c3 a8e8,Mate
r1b1k2r/ppp1bppp/2np2q1/8/3Pn3/2P2N1P/PP2BPP1/RNBQ1RK1 w kq -,d4d5 c6e5 f3e5 d6e5 e2h5 g6f5 h5g4 f5g6 d1a4 e8d8,53
r3N1k1/pp3ppp/2n2n2/5bB1/1b6/2P1QP2/1P4PP/q1KR1BNR w - -,c1d2 a1b2 d2e1 b4c3 d1d2 a8e8 e1f2 b2b4 e3e8 f6e8,-686
r2q1rk1/pp2npbp/2n3p1/3p4/3p4/1N3QPP/PPP2PB1/R1B2RK1 w - -,f1e1 a8c8 c1g5 h7h6 g5e7 c6e7 e1e2 d8d6 a1d1 c8c4,-30
r4rk1/4ppbp/bn1p2p1/q1pP4/4P1n1/1PN2NP1/P1Q2PBP/1RBR2K1 w - -,c1d2 a5a3 h2h3 g4e5 f3e1 f8c8 f2f4 e5d7 d1c1 c5c4,117
8/8/8/8/8/2K1R3/6k1/8 w - -,e4e5 a6c8 e5d6 c8f5 c3e4 e7d6 f3h4 f5e4 g2e4 g7d4,Mate
r3k2r/ppp1bppp/2npb1q1/8/3Pn3/2P2N1P/PP2BPP1/RNBQ1R1K w kq -,d4d5 e6h3 g2h3 c6e5 b1d2 e8h8 d2e4 g6e4 f1g1 a8e8,346
r1bqr1k1/pp2bp2/1n3p1p/2pp1B2/3P4/2N1P3/PPQ1NPPP/R4RK1 w - -,a1d1 c5c4 e2g3 e7d6 f5c8 d6g3 c8f5 g3d6 c2e2 d8c7,270
rn1q1rk1/pp3ppp/2p2n2/3pN3/1b1P2P1/2Nb3P/PPPB1P2/R2Q1RK1 w - -,c2d3 f6d7 a2a3 b4d6 f2f4 b8a6 c3e2 c6c5 d1a4 d7b6,-10
r1b1kb1r/pp3ppp/5n2/4q3/8/2N5/PPP2PPP/R1BQKB1R w KQkq -,c1e3 f8c5 d1d2 c5e3 d2e3 e5e3 f2e3 c8d7 e1a1 f6g4,130
rnbr2k1/pp2bpp1/1q1np2p/1N4N1/5B2/2PB4/PP2QPPP/R2R2K1 w - -,d3h7 g8f8 f4d6 e7d6 g5f7 f8f7 e2f3 f7e7 h7g6 d6h2,477
5n2/2R3p1/pp1r3p/4k2P/3pB3/P5P1/1P2P3/6K1 w - -,e4d3 f8e6 c7f7 e6c5 f7g7 c5d3 e2d3 d6c6 g7h7 a6a5,91
r4rk1/pp3ppp/8/8/3p4/P4BPP/n3PP2/2R2RK1 w - -,c1c7 a2c3 g1g2 a8b8 f3b7 c3b5 c7e7 f8d8 b7a6 g8f8,6
6k1/5pp1/2p1b2p/3pP3/1p1Pn3/qN2RN1P/rPQ2PP1/6K1 w - -,,0
1r1q1rk1/Q3b1pp/2p1bp2/4p3/3pN3/3P2P1/PP1NPP1P/R1R3K1 w - -,,0
r2qr1k1/p3bp1p/2b4B/2p1Pp1Q/2pp1N2/2P5/P1P3PP/R4RK1 w - -,e5e6 f7e6 f4e6 d8d5 f1f3 e7h4 e6c7 d5f7 h5h4 c6f3,364
2r2rk1/1p2qppp/pQb1pb2/8/P3P3/2N5/1PP1BPPP/3R1RK1 w - -,d1d3 f6c3 d3c3 c6a4 e2c4 f8d8 b6a5 a4e8 c4d3 h7h6,-28
5k2/5p2/2N3p1/p4b1p/1P6/P1p2PP1/4r2P/2K3R1 w - -,c1d1 e2b2 c6d4 b2b1 d1e2 b1g1 b4a5 c3c2 d4c2 g1g2,-637
r3k1nr/ppp5/7p/3q2p1/3p4/1R4BP/P1PNP3/3QKB2 w kq -,e2e4 d4e3 b3e3 g8e7 f1c4 d5c6 d1h5 e8d8 h5f7 h8e8,426
r3N1k1/pp3ppp/2n2n2/5bB1/1b6/2P1QP2/1P4PP/1qKR1BNR w - -,c1d2 b1b2 d2e1 b4c3 d1d2 a8e8 e1f2 b2b4 e3e8 f6e8,-712
rn2k2r/pbpp1pb1/1p2pqpp/8/3P4/2NBPN2/PPPQ1PPP/R3K2R w KQkq -,e3e4 d7d6 e1h1 e8h8 f1e1 b8d7 a1d1 a8c8 c3e2 c7c5,-14
r7/p4ppk/1p2p3/8/5bn1/PP1r1q2/5P1P/R4RK1 w - -,e3e4 d7d6 e1h1 e8h8 f1e1 b8d7 a1d1 a8c8 c3e2 c7c5,Mate
8/pR1n1kp1/2p2p2/2Pq1b2/4p3/P1P1B1pP/7K/8 w - -,e3e4 d7d6 e1h1 e8h8 f1e1 b8d7 a1d1 a8c8 c3e2 c7c5,Mate
3rr1k1/p4pp1/2p5/2b1q3/4N2p/7P/PPP1QPP1/R4RK1 w - -,f1e1 c5d6 g2g3 h4g3 e4g3 e5b2 e2e8 d8e8 e1e8 g8h7,-56
r4rk1/pp3ppp/2n5/8/3p4/P4BPP/4PP2/2R2RK1 w - -,f3c6 b7c6 c1c6 f8d8 f1d1 d8d7 d1d3 g7g6 c6c4 a8d8,27
r1b1k2r/pp3ppp/3b1n2/4q3/8/2N5/PPP1QPPP/R1B1KB1R w KQkq -,e2e5 d6e5 c1d2 e8h8 e1a1 c8e6 f1e2 f6d5 c3e4 a8c8,139
1n1q1rk1/1b3pp1/1rp1pn1p/pp6/PbpPP3/2N2NP1/1PQB1PBP/R2R2K1 w - -,h2h3 b8d7 d2e3 d8c7 f3e5 b7a6 e5d7 f6d7 d4d5 b6b8,-17
r3N1k1/pp3ppp/2n2n2/5bB1/1b6/2P1QP2/1q1K2PP/3R1BNR w - -,d2e1 b4c3 d1d2 a8e8 e1f2 b2b4 e3e8 f6e8 d2e2 c3d4,-700
2K5/5B2/p7/4b2p/1kn5/2p5/2R4P/8 w - -,c8d7 e5d4 d7e6 c4a3 c2c1 d4e3 c1h1 c3c2 f7h5 a6a5,-380
8/pR1n1kp1/2p2p2/2P2b2/4p3/P1PqB1KP/8/8 w - -,c8d7 e5d4 d7e6 c4a3 c2c1 d4e3 c1h1 c3c2 f7h5 a6a5,Mate
1rq1nrk1/4b1p1/p2p4/np1Npb2/6B1/P3B3/1PPQ1P2/1K4RR w - -,g4f5 g8f7 f5c8 e8f6 c8a6 a5c4 d2d3 e5e4 d3d4 c4e3,757
3rr1k1/p4pp1/2pb4/4q3/4N2p/7P/PPP1QPP1/R3R1K1 w - -,g2g3 h4g3 e4g3 e5b2 e2e8 d8e8 e1e8 g8h7 a1d1 d6e5,-45
r4rk1/pp3ppp/n7/8/3p4/P4BPP/4PP2/2R2RK1 w - -,f3b7 a8b8 b7a6 b8b3 a3a4 g7g6 h3h4 f8b8 g1g2 h7h5,536
1r1q1rk1/Q3b1pp/2R2p2/3bp3/3pN3/3P2P1/PP1NPP1P/R5K1 w - -,,0
r1b1k2r/pp3ppp/5n2/4b3/8/2N5/PPP2PPP/R1B1KB1R w KQkq -,c1d2 e8h8 e1a1 c8d7 f2f3 d7c6 f1d3 f8e8 h2h3 f6h5,121
rn1qk1nr/pbppppbp/1p4p1/4P3/1P1P4/8/P1P2PPP/RNBQKBNR w KQkq -,g1f3 g8h6 h2h4 c7c5 b4c5 b6c5 d4d5 d7d6 b1c3 b8d7,-9
8/4k1pp/8/2P5/R3K1r1/8/7P/8 w - -,g1f3 g8h6 h2h4 c7c5 b4c5 b6c5 d4d5 d7d6 b1c3 b8d7,Mate
8/pR1n1kp1/2p2p2/2P2b2/4pK2/P1P1B2P/4q3/8 w - -,g1f3 g8h6 h2h4 c7c5 b4c5 b6c5 d4d5 d7d6 b1c3 b8d7,Mate
2r2rk1/1p2qppp/pQb1p3/8/P3P3/2bR4/1PP1BPPP/5RK1 w - -,d3c3 c6a4 c3c8 f8c8 c2c3 c8d8 f1a1 a4e8 g2g3 h7h6,-17
r1br2k1/1pp2p1p/p1n3p1/4q2B/1PP5/P3P3/3NQPPP/R4RK1 w - -,e2e1 e5h5 f2f4 d8e8 h2h3 h5h6 e3e4 h6g7 e4e5 c8f5,-318
r5k1/1bpq2bp/p2p1pp1/1p1P1r2/4NQ2/5B1P/PPP2PP1/R4RK1 w - -,f4g3 b7d5 a1d1 d5c6 e4d2 f5e5 f3c6 d7c6 g3b3 c6d5,-108
r2q1rk1/4np1p/1p1p2pb/1NpPp2n/P1P1P3/B6P/5PP1/R2QRBK1 w - -,a3c1 h6c1 d1c1 f7f5 e4f5 g6f5 c1g5 h5g7 f2f4 e5e4,61
r1b1kbnr/pp2p2p/2pq2p1/3p1pQ1/3N4/2N1B3/PPP1PPPP/R3KB1R w KQkq -,f2f4 c6c5 d4b5 d6c6 e1a1 e7e6 e3f2 f8e7 g5g3 a7a6,189
3rr1k1/p4pp1/2pb4/4q3/4N3/6pP/PPP1QP2/R3R1K1 w - -,e4g3 e5b2 e2e8 d8e8 e1e8 g8h7 a1d1 d6e5 e8e7 e5g3,-45
5k2/5p2/6p1/p4N1p/1P6/P1p2PP1/2K4P/6r1 w - -,f5d6 a5b4 a3b4 g1g2 c2c3 f8e7 d6c8 e7e6 b4b5 g2h2,-423
r2q1rk1/pp1nnppp/2pb4/3pN3/3P4/2N4P/PPP1QPP1/R1B2RK1 w - -,e5f3 e7g6 e2d3 d8c7 a2a4 d7f6 f1e1 h7h6 c1d2 a7a6,-24
r2qr1k1/pp1n1pbp/2p3p1/5b2/PP1Pp3/B3P3/3NBPPP/R2Q1RK1 w - -,d2c4 g7f8 b4b5 d8g5 g1h1 c6c5 a3b2 a8d8 a1c1 b7b6,19
rn1qk1nr/pbpp1pbp/1p2p1p1/4P3/1P1P4/5N2/P1P2PPP/RNBQKB1R w KQkq -,b1d2 d7d6 c1b2 b8d7 f1d3 a7a5 e5d6 c7d6 b4b5 g8h6,-13
2r2rk1/p2bq1pp/1pp1pn2/3pNp2/N1PPn3/1P2P1P1/P4PBP/2RQ1RK1 w - -,c4c5 b6b5 a4b2 e4g5 f2f3 g5f7 e5f7 f8f7 b2d3 d7e8,126
r4rk1/p4ppp/2p5/8/3p4/P5PP/4PP2/2R2RK1 w - -,c1c6 f8d8 f1d1 d8d7 h3h4 h7h5 d1d3 a8e8 c6c2 e8e5,24
6k1/p1R4p/6pb/Pb2pp2/8/2P3P1/4PP1P/5K2 w - -,c3c4 b5a6 c4c5 h6d2 c7a7 a6b5 a7b7 b5c4 a5a6 c4a6,480
r2q1rk1/4b2p/3pb1p1/4n1P1/pp1pPB2/5PN1/PPPQ4/1K1R1B1R w - -,f4e5 d6e5 g3f5 e7g5 d2h2 a8a7 h2e5 f8e8 e5c5 a7c7,-164
2bq1rk1/3n1pp1/1rp1pn1p/pp6/PbpPP3/2N2NP1/1PQB1PBP/R2R2K1 w - -,d2f4 c8b7 h2h3 f8e8 f3d2 d8a8 b2b3 c4b3 d2b3 e8c8,-43
r2qr1k1/pp3pbp/1np3p1/5b2/PPNPp3/B3P3/4BPPP/R2Q1RK1 w - -,b4b5 c6b5 c4d6 b5a4 d1d2 f5e6 d6e8 d8e8 f1c1 e6b3,49
2kr3r/ppp1bppp/2npb1q1/8/3P4/2Pn1N1P/PP4P1/RNBQR1K1 w - -,e1e6 f7e6 b2b4 h8f8 b1a3 d6d5 c1e3 g6e4 a3c2 d3b2,-589
rn2k1nr/pbppqpbp/1p2p1p1/4P3/PP1P4/5N2/2P2PPP/RNBQKB1R w KQkq -,a4a5 f7f6 b4b5 b6a5 c1a3 e7d8 b1d2 a7a6 c2c4 a6b5,82
2r2rk1/1p2qppp/pQ2p3/8/b3P3/2R5/1PP1BPPP/5RK1 w - -,c3c8 f8c8 c2c3 c8d8 f1a1 a4e8 g1f1 h7h6 g2g3 d8d6,-17
3rr1k1/p4pp1/2pb4/8/8/6NP/PqP1QP2/R3R1K1 w - -,e2e8 d8e8 e1e8 g8h7 a1d1 d6e5 e8e7 e5g3 f2g3 b2a3,-55
r1bq1rk1/pp3pp1/5n1p/2PNb3/8/3BP3/PPQ1NPPP/3R1RK1 w - -,f2f4 e5c7 e3e4 a7a5 e2c3 c8e6 a2a3 a5a4 d3b5 a8a5,325
rnq1kb1r/ppp2pp1/4p2p/3p1b2/3PnB2/1QP1PN2/PP2BPPP/RN2K2R w KQkq -,c3c4 c7c6 b1c3 a7a5 c4d5 e6d5 e2d3 f8b4 a2a3 b4c3,46
3k4/8/5P1p/3B1Pp1/1PRbp1P1/7P/4K3/r7 w - -,c3c4 c7c6 b1c3 a7a5 c4d5 e6d5 e2d3 f8b4 a2a3 b4c3,Mate
rn2k1nr/pbppqpb1/1p2p1pp/4P3/PP1P4/5N2/2PB1PPP/RN1QKB1R w KQkq -,a4a5 b6a5 b4a5 d7d6 f1b5 b7c6 c2c4 a7a6 b5c6 b8c6,66
rn2k2r/p1pp1pb1/1p2pqpp/8/3P4/2NBPb2/PPPQ1PPP/R4RK1 w kq -,g2f3 f6f3 c3b5 f3b7 c2c4 b8c6 d4d5 c6e5 d3e2 a7a6,-80
8/1pp2pBk/p1n2Q2/3b4/3b4/2p3PP/PP4PK/R7 w - -,g2f3 f6f3 c3b5 f3b7 c2c4 b8c6 d4d5 c6e5 d3e2 a7a6,Mate
r4rk1/p1p1qppn/2p4p/1p5b/4P3/1P1P1N1P/PBP2PP1/R2QR1K1 w - -,g2g4 h5g6 d1d2 f8e8 d2c3 f7f6 c3c6 g6f7 f3h4 h7g5,309
2kr3r/ppp1bppp/2np2q1/8/3P2b1/2Pn1N2/PP2R1P1/RNBQ2K1 w - -,e2e3 d3e5 d1f1 e5f3 e3f3 g4f3 f1f3 d8e8 b1a3 e7f6,-626
r2qr2k/p3bp1p/2b4B/2p1PQ2/2pp1N2/2P5/P1P3PP/R4RK1 w - -,g2g3 e8g8 f5f7 c6e8 f7c4 a8b8 a2a4 b8b6 e5e6 e8c6,245
r3k2r/pp1b1ppp/5n2/1B2b3/8/2N5/PPP2PPP/R1B1K2R w KQkq -,b5d7 e8d7 c1d2 d7c6 e1a1 h8e8 h1e1 b7b5 h2h3 e5d4,109
8/4k1pp/R7/2PK4/p3p3/8/r5PP/8 w - -,h2h4 e4e3 a6e6 e7d7 c5c6 d7c7 e6e3 a2d2 d5c5 d2c2,-2
6k1/1pp2pB1/p1n4Q/3b4/3b4/2p3PP/PP4PK/R7 w - -,h2h4 e4e3 a6e6 e7d7 c5c6 d7c7 e6e3 a2d2 d5c5 d2c2,Mate
r3r1k1/5ppp/8/2p5/8/6QP/PPb2PP1/3R2K1 w - -,d1c1 c2g6 a2a3 a8b8 b2b3 b8d8 c1c5 e8e1 g1h2 h7h5,336
2K5/8/p7/7B/1k3b2/n1p5/7P/2R5 w - -,c1h1 c3c2 c8d7 a6a5 d7e6 c2c1r h5d1 a3b5 e6f7 b5c3,-489
r2qrbk1/pp1n1p1p/2p3p1/5b2/PPNPp3/B3P3/4BPPP/R2Q1RK1 w - -,d1b3 f5e6 b4b5 c6c5 d4d5 e6d5 f1d1 d7e5 a3b2 f8g7,12
rnq1kb1r/pp3pp1/2p1pn1p/3p1b2/3P1B2/1QP1PN2/PP2BPPP/RN2K2R w KQkq -,h2h3 f8e7 e1h1 e8h8 f1c1 a7a5 a2a4 f5h7 f4h2 b8a6,22
r2r2k1/1ppb1p1p/p1n3p1/4q3/1PP5/P3PB2/3NQPPP/R4RK1 w - -,f1d1 e5e7 d2b3 a8b8 b3c5 a6a5 e2e1 c6e5 f3b7 a5b4,164
1r6/4pk2/7p/2K4P/4P1p1/3P4/1p6/1R6 w - -,d3d4 g4g3 c5d5 f7f6 d5c6 f6e6 c6c7 b8b3 c7d8 g3g2,-838
4R3/p4ppk/2pb4/8/8/6NP/PqP2P2/R5K1 w - -,a1d1 d6e5 e8e7 e5g3 f2g3 b2a3 e7f7 a3g3 g1f1 g3h3,-64
r1bq1rk1/4np1p/1p1p1npb/1NpPp3/P1P1P3/B4N2/5PPP/R2QRBK1 w - -,a3c1 h6c1 d1c1 f6e8 c1h6 f7f6 a1a3 g6g5 h2h4 g5g4,58
r5k1/1ppbq1rp/4pnp1/1PP5/p1Qp1p2/P4B2/1B3P2/K1R1R3 w - -,f3b7 a8d8 c4d4 g8f7 c5c6 d7e8 d4f4 g6g5 f4a4 h7h5,290
r2q1rk1/pp3pp1/5n1p/2PNb3/5Nb1/3BP3/PPQ2PPP/3R1RK1 w - -,f2f3 e5f4 d5f4 g4d7 e3e4 d7c6 f4d5 a7a5 a2a3 a5a4,334
2r2rk1/p2bq1pp/1ppnpn2/3pNp2/N1PP4/1P2PPP1/P5BP/2RQ1RK1 w - -,c4c5 b6c5 a4c5 d7e8 d1c2 d6f7 c5d3 f7e5 d3e5 g7g5,156
rnbqkb1r/p4ppp/2p1pn2/4N3/PppPP3/2N3P1/1P3PBP/R1BQK2R w KQkq -,c3e2 c8a6 e1h1 f8d6 e5f7 e8f7 e4e5 d6e5 d4e5 d8d1,32
8/6pp/4k3/2P1pp2/p1K5/5P2/Pr4PP/3R4 w - -,a2a3 b2g2 c4c3 e6e7 d1d5 e5e4 f3e4 f5e4 c5c6 e4e3,-2
r1b4r/pp2kppp/5n2/1B2b3/8/2N5/PPP2PPP/R1B1K2R w KQ -,e1h1 e5d6 f1e1 c8e6 c3e2 h8d8 e2f4 d6f4 c1f4 a8c8,186
1r1q1rk1/Q3b1pp/8/3bpp2/3pN3/3P2P1/PPRNPP1P/R5K1 w - -,e4c5 h7h5 a1c1 h5h4 a7d7 e7c5 d7d8 f8d8 c2c5 b8b2,63
rnbqk1nr/pp2ppbp/6p1/3p4/3p4/2N2NP1/PPP1PPBP/R1BQK2R w KQkq -,c3b5 d8a5 c2c3 a5b5 a2a4 b5d7 c3d4 b8c6 a4a5 e7e6,-374
4R3/p4ppk/2p5/4b3/8/6NP/PqP2P2/3R2K1 w - -,e8e7 e5g3 f2g3 b2a3 e7f7 a3g3 g1f1 g3h3 f1f2 h3h2,-53
r4b2/1k3p2/2Np1r2/p1nP1q2/8/6Q1/PPP4P/1K1RR3 w - -,g3c3 b7c7 c3c4 f6g6 h2h3 g6g3 a2a3 g3h3 d1d4 h3f3,81
r1b3k1/1p2q1rp/2p1pnp1/1PP5/p1Qp1p2/P4B2/1B3P2/K1R1R3 w - -,b5c6 b7c6 f3c6 a8b8 c4d4 f6g4 d4f4 e7c7 f4g4 b8b2,261
1r6/4p3/5k1p/7P/3KP1p1/3P4/1p6/1R6 w - -,d4c3 g4g3 c3d2 f6g5 e4e5 g3g2 d2e3 g5g4 e3e4 b8c8,-910
2r3k1/1p2qppp/pQ2p3/8/b3P3/8/1PP1BPPP/5RK1 w - -,c2c3 c8d8 f1a1 a4e8 g2g3 h7h6 g1f1 d8d6 b6b4 e7c7,-21
r2q2rk/p3bp1p/2b4B/2p1PQ1N/2pp4/2P5/P1P3PP/R4RK1 w - -,f1f3 c6f3 f5f3 e7g5 h6g5 d8g5 h5f6 g8d8 f3e4 g5e3,-182
1r3rk1/3qb1pp/Qp1p4/1Np1P3/2P1p3/3P4/1P4PP/R4RK1 w - -,f1f8 b8f8 d3e4 d7g4 b5d6 e7d6 e5d6 g4f4 h2h3 f4d6,1
8/2pB2kp/p2p1bp1/1p2r3/4r3/7P/PPP2PP1/R4RK1 w - -,f1b1 e4c4 c2c3 b5b4 c3b4 c4b4 b1c1 e5e7 c1c7 f6d4,-113
2r2rk1/1p1q1p1p/pn1pb1p1/b2Np1Pn/4P2P/7B/PPP1QP2/1KBR2NR w - -,d5f6 h5f6 g5f6 b6a4 h3e6 d7e6 h4h5 a5d8 e2d2 c8c7,62
8/2R5/8/8/2K5/8/3k4/8 w - -,d5e3 h5f4 h3e6 f7e6 e2g4 d7c6 g1e2 d6d5 h4h5 f4h5,Mate
5k2/5p2/6p1/p6p/1P6/P1p1NPP1/2K4P/r7 w - -,e3c4 a5b4 a3b4 a1a2 c2c3 a2h2 b4b5 f8e7 b5b6 e7d8,-406
r1b3k1/1p2qr1p/2p1pnp1/1PP5/p2Q1p2/P4B2/1B3P2/K1R1R3 w - -,b5c6 b7c6 f3c6 a8a5 c6d5 a5b5 d5a2 g8g7 c5c6 f7f8,248
rn1qkb1r/p3pppp/2p1bn2/1p1p4/3PPB2/2N2P2/PPP3PP/R2QKBNR w KQkq -,e4e5 f6d7 f1d3 a7a6 c3e2 c6c5 c2c3 b8c6 f4e3 c5d4,87
2r3k1/5ppp/QBr1p3/2Pnq3/8/6P1/P3PP1P/2RR2K1 w - -,c1b1 h7h5 b1b3 h5h4 a6d3 c8a8 a2a3 c6c8 d1b1 f7f5,135
5rk1/1bqn1pp1/1rp1pn1p/pp6/PbpPP3/2N1BNPP/1PQ2PB1/R2R2K1 w - -,d4d5 c6d5 e4d5 b4c3 e3b6 d7b6 b2c3 b6a4 f3d4 a4c5,-25
8/8/1Bk5/P7/2K5/1P6/8/4b3 w - -,b6d8 c6b7 c4b5 b7a8 d8b6 e1c3 a5a6 c3d2 b6d4 d2e1,853
r1bqk1nr/ppp2ppp/2n1p3/3pP3/3P1P1b/5N2/PPP3PP/RNBQKB1R w KQkq -,g2g3 h4e7 c2c3 b7b6 f1d3 c6a5 e1h1 c7c5 g3g4 h7h5,98
8/r3rk2/R3p1p1/1pRp1p1p/1PpP1P1P/2P1PP2/1K6/8 w - -,a6a7 e7a7 c5b5 a7a8 b5a5 a8e8 b4b5 g6g5 f4g5 f5f4,538
3r2k1/1p2qppp/pQ2p3/8/b3P3/2P5/1P2BPPP/5RK1 w - -,f1a1 a4e8 g1f1 d8d6 b6b4 e7d8 f2f3 e8c6 b4a5 d8h4,-19
8/pp6/2p1R3/2Pn4/6kP/2PR4/7r/2K5 w - -,e6h6 a7a5 h6h8 h2h1 c1b2 g4f4 d3d4 f4f5 d4d2 h1h3,275
r5k1/1p2qr2/p1n2Bpp/3B2N1/1P6/P3P3/5PPb/R4R1K w - -,f6e7 h6g5 e7g5 h2e5 a1d1 g8g7 f2f4 e5d4 e3d4 f7d7,516
8/p3Rppk/2p5/8/8/6PP/P1q5/3R2K1 w - -,e7d7 c2a2 d1f1 a7a5 d7f7 a5a4 f1f2 a2b1 g1g2 c6c5,-21
r4rk1/pp2qppp/2b1p3/3pn3/3P1P2/5N2/PPP3PP/R2Q1RK1 w - -,d4e5 b7b5 f3d4 c6d7 d1d2 b5b4 a1e1 f8c8 e1e3 a7a5,47
2K5/8/p7/6bB/1k6/n1p5/7P/5R2 w - -,h2h4 g5e3 h5d1 a6a5 h4h5 a5a4 f1h1 a3c4 d1c2 a4a3,-7
rn1q1rk1/pp3ppp/2pb1n2/3p4/3P2P1/2NN3P/PPPB1P2/R2Q1RK1 w - -,c3e2 b8a6 d2f4 a6b4 f4d6 d8d6 d3f4 c6c5 d4c5 d6c5,-16
r1b1k1nr/pp2bppp/1qn1p3/3pP3/P2p4/1PP2N2/5PPP/RNBQKB1R w KQkq -,a4a5 b6c7 c3d4 c8d7 f1d3 e7b4 c1d2 b4a5 e1h1 a5d2,-35
rnbqkb1r/5ppp/p1p1pn2/1p2N3/P1pPP3/2N3P1/1P3PBP/R1BQK2R w KQkq -,a4b5 c6b5 c3b5 b8d7 e1h1 c8b7 e5d7 d8d7 b5c3 f8b4,106
8/p2R1ppk/2p5/8/8/6PP/q7/3R2K1 w - -,d1f1 a7a5 d7f7 a5a4 f1f2 a2b1 g1g2 a4a3 f7a7 b1d3,-5
r1bqk2r/pp2bppp/2np1n2/2p1p3/4PB2/2PP1N2/PP1NBPPP/R2QK2R w KQkq -,,0
r1bRr1k1/1p3ppp/p4n2/2n5/4P3/5P2/PPP3PP/2K2BNR w - -,d8d2 c8e6 b2b3 a8c8 c1b2 e8d8 d2d8 c8d8 g1e2 h7h5,-231
r1bqk1nr/ppp1bppp/2n1p3/3pP3/3P1P2/5NP1/PPP4P/RNBQKB1R w KQkq -,c2c3 b7b6 f1d3 h7h5 f3g5 g7g6 b2b4 g8h6 a2a4 a7a6,94
8/2pB2kp/p2p1bp1/1p2r3/8/2P4P/PP2rPP1/R4RK1 w - -,d7c8 e2b2 c8a6 e5c5 a2a4 b5a4 a1a4 c5c3 f1d1 f6e5,-179
r2q1rk1/pp3pp1/5n1p/2PN4/5bb1/3BPP2/PPQ3PP/3R1RK1 w - -,d5f4 g4d7 e3e4 d7c6 f4d5 a7a5 a2a3 f6d7 c2c3 a5a4,327
r2q3k/p3bQ1p/2b4B/2p1P2N/2pp4/2P5/P1P3rP/R4RK1 w - -,d5f4 g4d7 e3e4 d7c6 f4d5 a7a5 a2a3 f6d7 c2c3 a5a4,Mate
r4rk1/1ppb1pbp/4p1p1/p2nP3/Pq6/1B3N1P/1PP1QPP1/R1B1R1K1 w - -,a1a3 d7c6 c2c3 b4c5 f3d4 d5e7 h3h4 e7f5 d4c6 c5c6,78
