r2qkbnr/ppp2ppp/4p3/3p3b/1n1P3N/N5PP/PPP1PPB1/R1BQK2R w KQkq -,c2c3 b4c6 c3c4 g8f6 e1h1 f8a3 b2a3 d5c4 c1b2 e8h8,14
8/8/8/2N5/1K1kB3/8/8/8 w - -,e4d3 d4d5 d3c4 d5c6 c5b3 c6d7 b3d4 d7e7 b4c3 e7f6,7798
8/8/2B5/2N1k3/1K6/8/8/8 w - -,c6b5 e5f6 b4c3 f6g7 c5e6 g7h7 e6d4 h7g6 b5d3 g6g7,7798
r3kb1r/pp1npppp/1q1p1n2/2p5/3P1B2/2N1P3/PPP2PPP/R2QK1NR w KQkq -,a1b1 g7g6 g1f3 f8g7 e1h1 b6a5 f1e1 e8h8 a2a4 f8c8,-68
rnbqk2r/1pppppbp/p4np1/1P6/8/5N2/PBPPPPPP/RN1QKB1R w KQkq -,a2a4 e8h8 e2e3 d7d5 c2c4 c7c6 b1a3 a6b5 a4b5 c8g4,-16
5r1k/3R1K2/6PP/8/8/8/8/8 w - -,a2a4 e8h8 e2e3 d7d5 c2c4 c7c6 b1a3 a6b5 a4b5 c8g4,Mate
r1q1kb1r/pQ3ppp/2n2n2/3p4/3P1p2/2PB3N/PP3PP1/RN2K2R w KQkq -,b7b5 a8b8 b5a4 f8d6 a4c2 g7g6 b1d2 e8f8 e1f1 f8g7,-85
r2q1rk1/pp3ppp/2nbpn2/2pp4/3P2b1/2P1PNB1/PP1NBPPP/R2QK2R w KQ -,a2a4 b7b6 f3e5 d6e5 d4e5 g4e2 d1e2 f6e4 d2e4 d5e4,-21
r4rk1/1pp1bp1p/p4p2/4N3/8/2P5/PP3PPP/R1BqR1K1 w - -,c1h6 d1c2 e1e3 f6e5 e3g3 c2g6 g3g6 h7g6 h6f8 g8f8,-561
rn1q1rk1/pb3ppp/1p1ppn2/2p5/3PP3/P1PB4/2PN1PPP/R1BQ1RK1 w - -,f1e1 b8d7 e4e5 f6d5 d2c4 d6e5 d4e5 f7f5 c4d6 b7c6,48
rn1q1rk1/pbp2ppp/1p1ppn2/8/3PP3/P1bB4/1PPN1PPP/R1BQ1RK1 w - -,b2c3 b8c6 f2f4 c6a5 e4e5 f6d5 d1g4 d5c3 d2f3 b7e4,73
2kr3r/ppqb1pp1/2n1pn2/3p3p/3P4/2PB1NP1/PP1N1PP1/R2QR1K1 w - -,a1c1 c8b8 b2b4 f6g4 b4b5 c6a5 c3c4 d5c4 d3c4 d8c8,113
r1bqk2r/5ppp/p1nbpn2/1p1p4/2pP4/2P1PNB1/PPBN1PPP/R2QK2R w KQkq -,e3e4 f6e4 d2e4 d5e4 c2e4 c8b7 d1e2 e8h8 a1d1 c6a5,78
8/8/8/8/8/1k6/4K3/5BN1 w - -,e2d3 b3b4 d3d4 b4b3 f1d3 b3b2 d4c4 b2a3 c4c3 a3a2,188
rn2k2r/pbp2ppp/1p2p3/4P1N1/1b6/2N1q3/PPPB1PPP/R3K2R w KQkq -,c3e2 e3d2 e1f1 d2g5 e2g3 g5e5 a1d1 b8d7 c2c3 b4e7,-1530
r1b1k1nr/pp3ppp/1qn1p3/2bpP3/8/2N5/PPPQ1PPP/R1B1KBNR w KQkq -,b2b3 g8h6 c3a4 b6c7 f2f4 c5b4 c2c3 b4e7 f1d3 e8h8,-62
r2q1rk1/p2p2pp/1pnNpp2/3nP3/3P4/P4N2/1P1Q1PPP/R3K2R w KQ -,a1c1 d8b8 d6c4 b6b5 c4e3 d5f4 e1h1 f6e5 d4e5 c6e5,-64
8/8/8/1k6/4Q3/K7/8/8 w - -,a1c1 d8b8 d6c4 b6b5 c4e3 d5f4 e1h1 f6e5 d4e5 c6e5,Mate
1r1q1nk1/p3p1bp/bp1pn1p1/2pQ4/P1N1NB2/1P6/2P2PPP/3R1RK1 w - -,e4g5 d8d7 g5e6 d7e6 d5d2 a6c4 d1e1 e6d5 b3c4 d5d2,119
rn1qkb1r/ppp2ppp/4pn2/7b/3P4/3B1N1P/PPP2PP1/RNBQ1RK1 w kq -,g2g4 h5g6 c2c4 b8c6 b1c3 c6d4 d3g6 d4f3 d1f3 h7g6,98
rq3rk1/1b2nppp/p3pn2/1p2N3/6P1/2N5/PPB1QP1P/2RR2K1 w - -,e2e3 f8d8 g4g5 d8d1 c1d1 f6d5 c3d5 b7d5 h2h4 e7g6,-87
5r1b/4k1N1/P7/2R4p/2b3pN/6P1/4PK2/8 w - -,g7f5 e7d7 c5c4 h8f6 f2e3 f8e8 c4e4 f6g5 e3d3 e8a8,584
8/8/8/8/2p5/8/3k1K2/8 w - -,g7f5 e7d7 c5c4 h8f6 f2e3 f8e8 c4e4 f6g5 e3d3 e8a8,Mate
8/8/8/8/8/2p2K2/3k4/8 w - -,g7f5 e7d7 c5c4 h8f6 f2e3 f8e8 c4e4 f6g5 e3d3 e8a8,Mate
8/8/8/8/4K3/8/2pk4/8 w - -,g7f5 e7d7 c5c4 h8f6 f2e3 f8e8 c4e4 f6g5 e3d3 e8a8,Mate
rnbqkb1r/pp3ppp/4pn2/2Pp4/5B1P/8/PPP1PPP1/RN1QKBNR w KQkq -,g1f3 f8c5 e2e3 b8c6 c2c4 e8h8 b1c3 d8b6 d1b3 f8e8,-58
r2qkbnr/ppp2ppp/2n1b3/4p3/4P3/5NP1/PPPN1P1P/R1BQKB1R w KQkq -,c2c3 f8d6 f1c4 d8e7 c4e6 e7e6 d1b3 e6b3 a2b3 g8f6,34
rqb2rk1/1p3ppp/p3pn2/3nN3/8/2N5/PPB1QPPP/2RR2K1 w - -,h2h3 b7b5 c3d5 e6d5 e5c6 b8b7 e2e5 f8e8 e5d6 c8e6,-32
rqb2rk1/5ppp/p3pn2/1p1nN3/3R4/2N5/PPB1QPPP/2R3K1 w - -,c3d5 e6d5 c2h7 f6h7 e5c6 b8b6 d4h4 c8f5 c6e7 g8h8,177
rqb2rk1/5ppp/p4n2/1p1pN3/3R4/8/PPB1QPPP/2R3K1 w - -,c2h7 f6h7 e5c6 b8d6 c6e7 g8h8 c1c6 d6d8 d4h4 c8f5,166
r1b2rk1/5ppn/pqN5/1p1p4/3R4/8/PP2QPPP/2R3K1 w - -,d4h4 c8f5 c6e7 g8h8 e7f5 f8e8 f5e7 b6f6 e2h5 f6h6,177
rn1qkb1r/pb1n1ppp/2p1p3/1p2N3/P1pPP3/1P4P1/5PBP/RNBQ1RK1 w kq -,e5f7 e8f7 e4e5 b5b4 b3c4 f8e7 d1f3 f7g8 f3g4 g8f7,71
r1b2rk1/5p1n/pqN3p1/1p1p4/7R/8/PP2QPPP/2R3K1 w - -,c6e7 g8g7 c1c6 b6c6 e7c6 c8d7 e2e5 h7f6 h4f4 d7f5,485
r1b2r2/4Npkn/pq4p1/1p1p4/7R/8/PP2QPPP/2R3K1 w - -,c1c6 b6c6 e7c6 c8d7 e2e5 h7f6 h4f4 d7f5 h2h3 a8e8,479
r1b2r2/1q2Npkn/p1R3p1/1p1p4/7R/8/PP2QPPP/6K1 w - -,e2d2 b7c6 d2h6 g7f6 e7c6 c8f5 h6e3 f6g7 c6d4 f5b1,628
rn1qk2r/pppbbppp/3p1n2/1B2p3/P3P3/2N2N2/1PPP1PPP/R1BQK2R w KQkq -,d2d4 a7a6 b5e2 e5d4 f3d4 h7h6 e1h1 e8h8 c1f4 f8e8,29
r2qk2r/pb2bppp/2p1p3/1p1nP3/8/6P1/PPQ1PPBP/RNB2RK1 w kq -,a2a4 e8h8 b1c3 a7a6 h2h4 h7h6 c3d5 c6d5 a4b5 a6b5,10
r4rk1/1pp1qpp1/1bnp1n1p/p3p3/P1B1P3/2PP1N1P/1P3PP1/R1BQ1RK1 w - -,f3h4 g8h8 g1h2 e7d8 g2g3 d6d5 e4d5 f6d5 c1d2 d5f6,96
rnbq1rk1/pp1p1pbp/4pnp1/2pP4/2P5/2N2N2/PP1BPPPP/R2QKB1R w KQ -,e2e4 e6d5 e4d5 f8e8 f1e2 d7d6 e1h1 c8f5 f3h4 f5c8,26
rq3rk1/pb2bppp/2p1p3/1p1nP3/8/2N3P1/PPQ1PPBP/R1BR2K1 w - -,a2a4 b5b4 c3d5 c6d5 e2e4 d5e4 g2e4 f8c8 c2e2 a7a5,-17
r2q1rk1/ppp2ppp/1nn5/2b1p3/6b1/1BPP1N2/PP3PPP/RNBQR1K1 w - -,b3c2 f7f5 h2h3 g4h5 b1d2 d8f6 d2f1 e5e4 d3e4 c6e5,-28
8/6k1/8/6P1/4KP2/8/8/8 w - -,d1e2 a7a5 a2a4 g8h8 c1e3 c5e3 e2e3 b6d5 b3d5 d8d5,Mate
8/5k2/8/5PP1/4K3/8/8/8 w - -,d1e2 a7a5 a2a4 g8h8 c1e3 c5e3 e2e3 b6d5 b3d5 d8d5,Mate
