8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
r2q1rk1/pp2bppp/4bn2/3pN3/2pP1B2/4P3/PPB2PPP/R2Q1RK1 w - -,d1b1 a7a5 b2b3 c4c3 f4g5 g7g6 f2f4 f6g4 g5e7 d8e7,-15
8/5pp1/p4b1p/1pp4P/8/1P3P2/Pk2B1P1/3K4 w - -,e2d3 b2a2 d1c2 c5c4 b3c4 b5b4 c2d2 b4b3 c4c5 b3b2,-501
8/8/8/2k2K2/4B3/8/3Q4/8 w - -,e2d3 b2a2 d1c2 c5c4 b3c4 b5b4 c2d2 b4b3 c4c5 b3b2,Mate
r4r1k/1p3b1p/1pp3p1/6q1/8/4P2P/PPB1Q1P1/4RRK1 w - -,c2b3 f7b3 a2b3 b6b5 e3e4 g5e5 e2e3 f8f1 e1f1 a8d8,-14
8/7p/5pk1/p7/6PP/1p2RP1K/8/1r2B3 w - -,e1c3 b3b2 c3b2 b1b2 e3e6 h7h6 e6a6 b2b3 h3g3 b3b5,1
rn1qkb1r/ppp1pp2/5np1/3p1b1p/3P1P2/2PBP3/PP4PP/RNBQK1NR w KQkq -,g1h3 e7e6 e1h1 c7c5 h3f2 b8c6 b1d2 f8e7 d1e2 d8b6,-48
8/4R3/2p3p1/p1k2b2/1pPp3p/1P6/6PP/3K4 w - -,e7e5 c5b6 d1c1 b6a6 e5e8 a6b6 e8e7 b6c5 e7e5 c5b6,4
r2q2k1/p2brpnp/4pRpB/4P3/1p1p2P1/1B1P3P/P1PQ4/1R4K1 w - -,b1f1 d7c6 d2f4 d8e8 h3h4 a7a5 h4h5 a5a4 b3c4 b4b3,237
r1bq1rk1/pppn1pbp/3p1np1/8/1P1pP3/3B4/PBP1NPPP/RN1Q1RK1 w - -,e2d4 d6d5 b1c3 d5e4 d3e4 d8e7 f1e1 e7b4 a1b1 c7c6,-113
8/8/1p5k/pP1Pp2b/P3Pprp/q7/4QR2/5K1R w - -,f2h2 a3c1 f1f2 c1c5 f2f1 g4g1 h1g1 h5e2 h2e2 c5c4,-879
