8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
1rk4r/3p2p1/3P1p1n/pR5B/8/P4Q2/2P2P2/3K1R2 w - -,f1e2 e7d7 e2f1 d7c7 b5b8 c7c1 f1e2 c1c2 e2f1 d4e5,Mate
8/3r1p2/6p1/1R5p/3kp2P/6P1/4KP2/8 w - -,f2f3 e4f3 e2f3 d7d5 b5b4 d4e5 b4e4 e5f6 f3g2 d5c5,-2
r4k1r/1p3p2/2q1pnp1/p2p1b2/P2P1N1p/2N2P2/1PPQ2PP/R3R1K1 w - -,,0
8/3r1p2/6p1/1R5p/3k3P/5pP1/4K3/8 w - -,e2f3 d7d5 b5b4 d4e5 b4e4 e5f6 e4b4 f6f5 b4f4 f5e6,-2
r1bqr1k1/4bp1p/2p1nnp1/pp1pB3/P2P4/2NBP2P/1PQ1NPP1/2KR3R w - -,e2f4 e6f4 e5f4 b5b4 c3e2 f6e4 d3e4 d5e4 f4e5 c8d7,-115
r4rk1/ppqb3p/4pp2/b7/3PB3/1Q3N2/6PP/1R3RK1 w - -,,0
2r4k/1b1r2p1/p4pp1/Q7/p2Pp3/4N2P/1P3PP1/R5K1 w - -,a5a4 b7c6 a4c4 f6f5 c4e6 d7c7 g1h2 f5f4 e3g4 e4e3,573
8/5p2/6p1/1R1r3p/3k3P/5KP1/8/8 w - -,b5b4 d4e5 b4e4 e5f5 e4f4 f5e6 f4a4 f7f6 a4a6 e6e5,-1
rnb1k2r/pp1pppbp/1q4p1/2pP4/2P2B2/2n2N2/PPQ1PPPP/R3KB1R w KQkq -,h2h4 c3d5 c4d5 b6b2 c2b2 g7b2 a1b1 b2c3 e1d1 d7d6,-192
1r1k3r/3p2p1/3P1p1n/pR5B/8/P1Q5/2P2P2/3K1R2 w - -,h2h4 c3d5 c4d5 b6b2 c2b2 g7b2 a1b1 b2c3 e1d1 d7d6,Mate
r2q3r/ppp4p/n1k1bp2/6BB/8/P1N3b1/1P3PPP/2KR3R w - -,h1e1 d8d1 h5d1 f6g5 e1e6 c6d7 d1g4 g3f4 c1b1 h7h5,-389
4r1k1/1ppq1pp1/3b1n1p/1N2n3/p1PP2b1/P5P1/1B3PBP/2R1Q1K1 w - -,b5d6 e5f3 g2f3 e8e1 c1e1 g4f3 e1e3 f3h5 d6e4 f6e4,-541
r1bqr1k1/4bp1p/4nnp1/pPppB3/3P4/2NBP2P/1PQ1NPP1/2KR3R w - -,d4c5 e6c5 e2d4 c8d7 d4c6 d7c6 b5c6 d8b6 c6c7 c5d7,92
4r1k1/5pp1/p4n1p/1b1pq3/3N2PR/P3BPP1/1P1Q1K2/8 w - -,h4h1 b5d7 e3f4 e5e7 d2b4 e7b4 a3b4 e8c8 b2b3 c8c3,58
8/8/8/8/8/5K2/k7/r3R3 w - -,,0
8/pp1n3p/2pB1p1k/4pP2/6K1/8/P4P2/8 w - -,a2a3 c6c5 d6c7 h6g7 g4f3 g7f7 f3e4 h7h5 c7a5 b7b5,-629
8/8/8/8/8/7N/6nk/1K4nq w - -,h3f2 g2e3 f2h1 g1e2 h1f2 h2g3 f2e4 g3f4 e4f6 e3c4,Mate
2kr3r/ppqb3p/4pp2/b7/3PB3/1Q3N2/6PP/1R3RK1 w - -,f1c1 a5b6 c1c7 c8c7 b3e3 h8f8 b1b6 a7b6 d4d5 e6e5,501
2r2rk1/5ppp/b2b4/2pn4/p2qP3/P4QP1/1P1N1P1P/R1B1R1K1 w - -,e4d5 f8e8 e1e4 e8e4 f3e4 a6b7 e4d4 c5d4 d2f3 c8c4,-112
r3k2r/p2b1p1p/2p5/3pp3/3Nn3/8/PPP2PPP/R1B1K2R w KQkq -,d4b3 h8g8 f2f3 e4d6 e1f2 a8b8 b3c5 d6b7 c5b7 b8b7,-59
3r3k/1b1r2p1/p4pp1/8/Q2Pp3/4N2P/1P3PP1/R5K1 w - -,h3h4 d7d4 a4a5 h8h7 h4h5 b7c8 a1c1 h7h6 h5g6 c8e6,530
r1bq1rk1/2p1bppp/1pn1pn2/3p4/p1PP4/1P3NP1/P2NPPBP/R1BQ1RK1 w - -,b3a4 c8b7 c4d5 e6d5 c1b2 a8a7 d2b1 c6a5 f3e5 f6d7,10
r1b1kb1r/pp1n1pp1/1qn1p2p/3pP3/3p1P2/1NP2N2/PP2B1PP/R1BQK2R w KQkq -,f3d4 a7a5 a2a4 d7c5 c1e3 c5b3 d1b3 f8c5 b3b6 c5b6,69
8/8/5kpp/1p1Pp3/pBn1P1P1/6PP/P3K3/8 w - -,e2f3 a4a3 f3e2 f6f7 e2d3 f7e8 b4c5 g6g5 d3c3 e8d7,491
8/5p2/6p1/3rk2p/1R5P/5KP1/8/8 w - -,b4e4 e5f5 e4f4 f5e6 f4a4 f7f6 a4a6 e6f5 a6a3 d5c5,-1
r1bq1rk1/pppn3p/3b4/3PNpN1/2BP1ppP/3Q2n1/PPP3P1/R1B1K2R w KQ -,c1f4 g3h1 d3e3 h7h6 g5e6 d7e5 d4e5 c8e6 e5d6 e6f7,-44
4r1k1/1ppq1pp1/5n1p/1Nb1P3/p1P3b1/P5P1/1B3PBP/2R1Q1K1 w - -,e1f1 c7c6 h2h3 d7d2 b2c3 c5f2 g1h1 d2e3 c3d4 f6h5,-96
r1bqr1k1/4ppbp/p5p1/1p1nP3/8/2PB3P/PPQN1PP1/2K1R2R w - -,d2b3 c8e6 c1b1 a8c8 e1e4 e6f5 e4d4 g7e5 d3f5 g6f5,-517
8/5p2/5kp1/3r3p/4R2P/5KP1/8/8 w - -,e4b4 f6f5 b4f4 f5e6 f4a4 f7f6 a4a6 e6f5 a6a3 d5e5,-1
r1bq1rk1/pppn3p/8/3PbpNn/2BP1ppP/3Q4/PPP3P1/R1B1K2R w KQ -,d5d6 g8h8 d4e5 d7e5 d3c3 c7d6 g5f7 f8f7 c4f7 h5f6,-75
r1bqk2r/pp1pppbp/2n3p1/2P3B1/4n3/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,b1d2 e4c5 g5h4 d7d5 b2b4 c5e4 d2e4 d5e4 f3d4 a7a5,-7
2r2rk1/1b3ppp/3b4/2pP4/p2q4/P4QP1/1P1N1P1P/R1B1R1K1 w - -,e1d1 b7d5 d2e4 d4e4 f3e4 d5e4 d1d6 c8b8 d6a6 e4c2,-7
2k5/8/5K2/2B5/8/5B2/8/8 w - -,e1d1 b7d5 d2e4 d4e4 f3e4 d5e4 d1d6 c8b8 d6a6 e4c2,Mate
5r1k/pb3pR1/3p1q1p/1pnPpN2/4B3/P7/1P3PPP/2Q3K1 w - -,e4c2 b7c8 g7g3 c8f5 c2f5 f8g8 g3f3 f6g5 c1g5 h6g5,67
8/8/8/8/8/4n3/5N1k/1K4nq w - -,f2h1 h2h1 b1a2 g1e2 a2b3 e3c4 b3c4 h1g2 c4d5 g2f2,Mate
r1b1k2r/pp1n3p/2pbpq2/3p1pp1/1PPPn3/PQ1BPN2/1B3PPP/RN3RK1 w kq -,b4b5 g5g4 d3e4 f5e4 f3e5 d7e5 d4e5 d6e5 b2e5 f6e5,-22
r3k2r/pq1b3p/4pp2/b2p4/3P4/3BPN2/6PP/1R3RK1 w kq -,b1b7 a5d8 h2h4 a7a5 h4h5 a5a4 g2g4 d8e7 g4g5 d7c8,-82
8/6p1/3k1p2/3p1P1p/5rP1/2PK3P/4R3/8 w - -,d3e3 f4c4 e3d3 h5g4 e2e6 d6c5 h3g4 c4g4 e6e7 g4g3,-21
r1bq1rk1/ppp4p/3b4/3PnpNn/2BP1ppP/3Q4/PPP3P1/R1B1K2R w KQ -,d4e5 d6e5 c1d2 e5b2 a1b1 b2e5 e1d1 e5d6 g5e6 c8e6,-84
r1bq1rk1/pppnbppp/3ppn2/8/2PPP3/P4NP1/1P1N1P1P/R1BQKB1R w KQ -,e4e5 f6e8 d2e4 b7b5 e5d6 c7d6 c4b5 a7a6 e4c3 e8c7,49
r4rk1/pp3ppp/2p1pq2/4Q3/PnN5/6P1/1PKR3P/5B1R w - -,c2c1 f6f3 h1g1 f3b3 c4a3 b3a4 f1c4 b7b5 c4e2 b4d5,-26
3k4/pp5p/2n2pp1/P3p3/2P1K3/1PB5/5PPP/8 w - -,g2g4 d8d7 g4g5 f6f5 e4d5 e5e4 c3d2 a7a6 b3b4 c6d8,142
r3k2r/pQqb3p/1b2pp2/3p4/3P4/3BPN2/6PP/1R3RK1 w kq -,b7a8 c7c8 a8c8 d7c8 d3b5 e8e7 g1h1 h8f8 b5d3 e6e5,513
4k3/8/7B/1p1Pp1p1/1K2n1P1/p5PP/P7/8 w - -,b4a3 e8f7 a3b4 f7g6 h6f8 e4f6 b4b5 f6d5 f8b4 g6f6,504
8/1p1n3p/p1pB1p1k/4pP2/6K1/5P2/P7/8 w - -,g4h4 c6c5 d6c7 b7b5 c7a5 h6g7 f3f4 e5f4 h4g4 g7f7,-658
3r3k/3r2p1/p4pp1/3b4/Q2Pp3/4N2P/1P3PP1/3R2K1 w - -,d1c1 h8h7 a4a5 f6f5 c1c7 d5b3 c7d7 d8d7 a5e5 b3a4,536
8/8/8/1k6/R7/pr6/3K4/8 w - -,a4h4 a3a2 h4h5 b5b4 h5h1 b3b2 d2d3 b2b1 h1h4 b4b3,-9605
3r3k/6p1/p4pp1/3r4/Q2Pp3/7P/1P3PP1/3R2K1 w - -,g1f1 h8h7 f1e1 d5b5 b2b3 f6f5 d4d5 b5d5 d1d5 d8d5,466
4r1k1/1ppq1pp1/5n1p/1Nb1P3/p1P5/P5Pb/1B3PBP/2R1Q2K w - -,b2c3 h3g2 h1g2 f6g4 e1d1 d7c8 d1f3 g4f2 c3d4 c5d4,-170
br1r4/5ppk/p2pp3/4b1BP/N3P3/q4P2/1PQ1B3/1K4RR w - -,g5d8 a8c6 h5h6 g7g6 a4b6 a3b4 b6c4 c6a4 c2c1 b8c8,428
r1bqr1k1/4bp1p/5np1/pPnpB3/8/2NBP2P/1PQ1NPP1/2KR3R w - -,e2d4 c8d7 d4c6 d7c6 b5c6 d8b6 c1b1 e8c8 c6c7 c5d7,88
r1bq1rk1/pp2bpp1/3p1n1p/4p3/4P3/2NQ4/PPPN1PPP/R1B2RK1 w - -,f1d1 a7a6 d2c4 b7b5 c4e3 c8e6 c3d5 f6d5 e3d5 a8c8,28
8/8/5pp1/3r1k1p/R6P/5KP1/8/8 w - -,,0
r3k2r/pR1b3p/1b2pp2/3p4/3P4/3BPN2/6PP/5RK1 w kq -,g1h1 e8e7 g2g4 a8b8 b7b8 h8b8 d3h7 a7a5 h2h4 b6c7,-95
r5k1/3qppbp/p5p1/3p4/4n3/1PQ1BP2/P5PP/3R1RK1 w - -,c3a5 e4c3 d1d3 d7b5 a5b5 a6b5 e3d2 d5d4 d2c3 d4c3,24
r4rk1/pp3ppp/2p1p3/4Q3/PnN5/5qP1/1P1R3P/2K2B1R w - -,h1g1 f3b3 c4a3 b3a4 f1c4 b4d5 g1d1 a4b4 c4e2 a7a5,-17
3r4/6bk/r1pp3p/q1pPpp2/3nPpPP/P4P2/NP4Q1/KR4R1 w - -,b1d1 f5e4 g2h2 e4f3 g4g5 a5a4 a2c3 a4c2 h2c2 d4c2,-565
rnbqk2r/pp2b1pp/2pppn2/8/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,e4e5 d6e5 d1d8 e7d8 f3e5 d8c7 e5d3 e6e5 c1g5 c8f5,48
r2q1rk1/pp2bpp1/3pbn1p/4p3/2N1P3/2NQ4/PPP2PPP/R1B2RK1 w - -,f1d1 d8c7 c4e3 a7a6 a2a4 c7c5 h2h3 a8c8 a4a5 e7d8,29
8/8/8/r6P/6k1/4K3/8/8 w - -,f1e1 f6g4 c4e3 g4e3 c1e3 d8a5 b2b4 a5b4 e1b1 b4a5,Mate
8/8/5pp1/4rk1p/7P/R4KP1/8/8 w - -,,0
r2q1rk1/1bp1bppp/1pn1pn2/3p4/P1PP4/5NP1/P2NPPBP/R1BQ1RK1 w - -,c4d5 e6d5 c1b2 a8a7 a1c1 d8a8 d2b1 a7a4 b1c3 a4a5,1
5rk1/5ppp/p3pn2/q2p4/2pP1B2/bP2P3/P3NPPP/1QR3K1 w - -,c1c3 f6e4 c3c2 a5b4 f4c7 h7h6 h2h3 f8e8 h3h4 a6a5,-78
rn2k2r/pp2ppbp/3Pb1p1/q5B1/4nP2/2N5/PPP1N1PP/R2QKB1R w KQkq -,a1b1 e4g5 f4g5 b8c6 d1d2 e8a8 c3e4 a5b6 e2c3 e7d6,-229
4r1k1/1ppq1pp1/5n1p/1Nb1P3/p1P5/P4PP1/1B4bP/2R1Q2K w - -,h1g2 d7c6 e1c3 f6g4 c1e1 g4e3 e1e3 c5e3 c3e3 c6c4,-79
8/2Bn3p/ppp2p1k/4pP2/6K1/5P2/P7/8 w - -,g4h4 c6c5 c7d6 b6b5 h4g4 c5c4 d6b4 h6g7 g4g3 d7b6,-721
3r4/6pk/Q4pp1/3r4/3Pp3/7P/1P3PP1/3R2K1 w - -,a6c4 f6f5 g2g3 g6g5 b2b4 f5f4 b4b5 d8d6 g3g4 h7h6,535
8/8/5pp1/5k1p/7P/R5P1/4r1K1/8 w - -,,0
8/8/7P/r7/4K1k1/8/8/8 w - -,g2h3 g6g5 h4g5 f6g5 a3a5 f5f6 a5a6 e2e6 a6a8 f6g6,Mate
rnbq1rk1/1pp1bppp/3p1n2/p2Pp3/2P1P3/P4NP1/1P1N1PBP/R1BQ1RK1 w - -,b2b3 b8a6 c1b2 c8d7 f3e1 a6c5 d1c2 h7h5 e1f3 f6h7,33
8/8/5p2/5kpp/7P/R5PK/4r3/8 w - -,,0
3r4/6pk/5pp1/8/3rp3/Q6P/1P3PP1/3R2K1 w - -,d1d4 d8d4 g1f1 d4d1 f1e2 d1b1 e2e3 b1e1 e3f4 e1e2,469
r2qr1k1/4ppbp/p3b1p1/1p1nP3/8/1NPB3P/PPQ2PP1/2K1R2R w - -,g2g3 a8c8 e1e4 d8b6 c1b1 f7f5 e5f6 g7f6 c2e2 e6f7,-520
2n2rk1/1ppq1pp1/p6p/P2Br2b/7B/2P4P/5PP1/R2Q1RK1 w - -,d5f3 d7d1 f3d1 h5d1 f1d1 f7f5 f2f4 e5e8 h4f2 f8f6,-40
3R3r/pp2Q1pp/2k5/r3P3/6P1/1b2p2B/1P2q2P/1K6 w - -,d8d6 c6c5 d6d2 c5b6 d2e2 b3a2 b1c2 a5c5 c2d3 a2d5,598
r1bqkb1r/p4ppp/1p2pn2/2p5/4P3/2PnB1QP/PP1N1PP1/R3KBNR w KQkq -,e1d1 f6e4 d2e4 d3f2 d1c2 f2e4 g3f3 f7f5 a1d1 c8d7,-172
2r3k1/5ppp/p3pn2/q2p4/2pP1B2/bP2P3/P1R1NPPP/1Q4K1 w - -,b3c4 d5c4 h2h3 a5a4 b1b7 c8e8 b7b1 f6d5 e3e4 d5f4,-47
8/8/8/5kpp/8/R5PK/4r3/8 w - -,,0
5r1k/p4pR1/3p1q1p/1pnbpN2/8/P7/1PB2PPP/2Q3K1 w - -,g7g4 f8g8 f5h6 g8g4 h6g4 f6f4 c1f4 e5f4 g4f6 d5c4,78
r2qr1k1/pp1n1ppp/5b2/2Pp4/1P4n1/2P1BN2/P3QPPP/RN3RK1 w - -,f1d1 g4e3 f2e3 d7e5 b1a3 a7a5 a3c2 e5c4 f3d4 e8e4,-42
8/6pk/5pp1/8/3rp3/Q6P/1P3PP1/6K1 w - -,g1f1 g6g5 f1e2 d4c4 a3b3 c4c7 e2e3 h7g6 g2g4 c7c1,515
8/2Bn3p/pp3p1k/2p1pP2/P5K1/5P2/8/8 w - -,c7d6 b6b5 f3f4 e5e4 d6e5 b5a4 e5a1 h6g7 a1b2 c5c4,-853
8/8/4k3/R5pp/8/6PK/4r3/8 w - -,,0
8/8/7P/7r/6k1/4K3/8/8 w - -,a5g5 e6f6 g5h5 f6g6 h5b5 e2e4 b5b6 g6g5 b6a6 e4e5,Mate
rn1qkbnr/pp3pp1/4p3/2ppP2p/3P3P/8/PPP2P2/RNBQKBNR w KQkq -,g1f3 b8c6 c2c3 g8h6 c1h6 h8h6 h1g1 c5d4 c3d4 f7f6,303
2r1k1r1/p2npp1p/1qp2npQ/3p2N1/1p1P4/3PN2P/PP3PP1/2R1R1K1 w - -,g5f3 e7e6 e3g4 f6g4 h3g4 b6d8 h6h7 d7f6 h7h2 f6g4,131
r4rk1/pp3ppp/2p1p3/4Q3/PKN5/6P1/1P1R3P/5B1q w - -,f1g2 h1g1 e5d6 a8b8 b4b3 g1h2 b3a2 h2h5 c4e5 h5g5,-139
8/7P/8/5k1r/8/4K3/8/8 w - -,f1g2 h1g1 e5d6 a8b8 b4b3 g1h2 b3a2 h2h5 c4e5 h5g5,Mate
r3rk1b/1p3p2/p1np1np1/q4p2/2B1P3/2N2P2/PPPQ4/2KR3R w - -,h1h8 f6g8 d2d6 f8g7 d6h2 e8e6 h2h7 g7f6 c3d5 a5d5,1052
r1bq1rk1/pp2bppp/8/3pP3/3P4/B2n1Q2/P1P1N1PP/R4RK1 w - -,f3d3 e7a3 d3a3 c8g4 a1e1 d8d7 e2g3 b7b5 c2c3 a7a5,35
2r1r1k1/1b3ppp/3b4/2pP4/p2qQ3/P5P1/1P1N1P1P/R1B1R1K1 w - -,e4e8 c8e8 e1e8 d6f8 e8d8 b7d5 d2f1 d4e4 d8d5 e4d5,-271
3k4/8/3K4/2B5/8/5B2/8/8 w - -,e4e8 c8e8 e1e8 d6f8 e8d8 b7d5 d2f1 d4e4 d8d5 e4d5,Mate
2r4r/p1k4p/1b3p2/3ppB2/3P4/4P3/3N2PP/R5K1 w - -,f5c8 h8c8 d2f3 c7d6 g1f1 c8c3 f1e2 c3c2 e2f1 a7a5,-251
4r1k1/1p1q1pp1/2p2n1p/4P3/p1Pb4/P1N2PP1/1B4KP/2R1Q3 w - -,c3a4 e8e5 e1d1 d4b2 a4b2 e5e3 a3a4 d7f5 d1f1 f6d7,-143
r1bqk2r/pp1ppp1p/6p1/2P3B1/1n6/2b1P3/P2N1PPP/R2QKB1R w KQkq -,a2a3 c3a1 a3b4 a1g7 d2e4 e8h8 f1c4 h7h6 g5h4 a7a5,-239
r1bq1rk1/1ppnbp1p/3p1np1/3Pp3/p1P1P2N/P5P1/1P1N1PBP/R1BQ1RK1 w - -,b2b3 a4b3 d2b3 a8a4 c1h6 f8e8 b3d2 d7c5 h6e3 a4a8,-44
r1bqk1nr/pp4pp/2nb1p2/2ppp3/3P4/2P1PNB1/PP3PPP/RN1QKB1R w KQkq -,d4e5 d6e5 f3e5 f6e5 f1b5 g8e7 g3e5 e8h8 b5c6 e7c6,80
r1b2rk1/pp2bppp/3pp3/3nP3/2Bq4/2N5/PP2QPPP/R1B1R1K1 w - -,c1d2 d6e5 c3d5 e6d5 c4b3 c8g4 d2c3 g4e2 c3d4 e2c4,-85
R7/8/1k6/8/8/pr6/3K4/8 w - -,c1d2 d6e5 c3d5 e6d5 c4b3 c8g4 d2c3 g4e2 c3d4 e2c4,Mate
2r3k1/5ppp/p3pn2/q7/2pP1B2/b3P3/P1R1NPPP/1Q4K1 w - -,g1f1 c8c6 b1b7 a5a4 b7b8 a3f8 b8b1 c6b6 b1c1 f6d5,-78
r1b1kbnr/1p1p1ppp/p3p3/8/B2pP2q/3P4/PPP2PPP/RNBQ1RK1 w kq -,b1d2 b7b5 a4b3 f8c5 d2f3 h4d8 d1d2 c8b7 c2c3 d4c3,82
r2qr1k1/1p1n1ppp/5b2/p1Pp4/1P1N4/2P1P3/P3Q1PP/RN3RK1 w - -,f1d1 e8e7 e2f2 f6g5 d4c2 d7f6 f2f3 d8e8 d1d3 f6d7,-86
r5k1/1q2ppbp/p5p1/3p4/8/1PnQBP2/P2R2PP/5RK1 w - -,e3d4 a8c8 f1e1 c8c7 h2h4 b7b4 g1f1 a6a5 h4h5 g7d4,99
8/6pk/5pp1/2Q5/4p3/3r3P/1P3PP1/6K1 w - -,c5c4 d3d2 b2b4 f6f5 c4b3 d2d3 b3d3 e4d3 g1f1 h7g8,478
5rk1/1b1qb3/r4Rp1/3p2B1/p1pP3Q/2p1P3/PP4PP/5RK1 w - -,c5c4 d3d2 b2b4 f6f5 c4b3 d2d3 b3d3 e4d3 g1f1 h7g8,Mate
2n2rk1/1ppq1pp1/p6p/P3r3/7B/2P2b1P/5PP1/R2Q1RK1 w - -,d1d7 e5e4 d7c7 e4h4 c7g3 f3g2 g1g2 h4c4 g2h1 c8e7,469
r1bq1rk1/1ppnbp1p/3p1np1/3Pp3/2P1P2N/Pp4P1/3N1PBP/R1BQ1RK1 w - -,d2b3 d7b6 d1e2 a8a4 c1h6 f8e8 f1c1 f6g4 h6d2 e7h4,-44
7r/pp2Q1pp/3R4/r1k1P3/6P1/1b2p2B/1P2q2P/1K6 w - -,d6d2 c5b6 d2e2 b3a2 b1c2 h8c8 c2d3 c8c5 e7d6 c5c6,612
r1b1k2r/pp1n1pp1/1qn1p2p/2bpP3/3N1P2/1NP5/PP2B1PP/R1BQK2R w KQkq -,e1h1 c6d4 c3d4 c5e7 c1e3 a7a5 e2d3 a5a4 b3d2 d7b8,109
2r5/4k2p/1b3p2/p2p4/3Pp2N/4P3/6PP/R5K1 w - -,g1f2 c8c2 f2g1 e7e6 g2g4 b6c7 h2h3 c2c4 h4f5 a5a4,-203
r1b2rk1/pp2bppp/1q1pp3/1N1nP3/2B5/8/PP2QPPP/R1B1R1K1 w - -,e2d3 d6e5 c4d5 e6d5 d3d5 a7a6 b5c3 e7h4 g2g3 h4f6,-107
2kr3r/1pp1nppp/p1n5/3N4/1b1P4/1P3B2/1P3PPP/R1B2RK1 w - -,d5f4 c6d4 f3d1 e7c6 g2g3 g7g6 a1a4 h8e8 h2h4 a6a5,-225
7r/pp2Q1pp/3R4/rk2P3/6P1/1b2p2B/1P2q2P/1K6 w - -,d5f4 c6d4 f3d1 e7c6 g2g3 g7g6 a1a4 h8e8 h2h4 a6a5,Mate
8/6pk/5pp1/2Q5/1P2p3/7P/3r1PP1/6K1 w - -,g1f1 f6f5 c5c3 d2d1 f1e2 d1b1 e2e3 h7h6 c3c4 b1b2,531
r2qr1k1/1p1n1ppp/8/2Pp4/1P1b4/4P3/P2NQ1PP/R4RK1 w - -,d2b3 d4a1 f1a1 d8h4 a2a3 h4e4 e2d2 d7e5 b3a5 e5c4,-484
r4rk1/pbq1bppp/1p1npn2/2ppN3/3P1P2/2PBPQ2/PP1N1BPP/R3R1K1 w - -,f3e2 c5c4 d3c2 f6e4 a2a4 f7f6 c2e4 f6e5 e4c2 e5e4,-51
8/4k3/6p1/8/5n2/1KQ2P2/8/3q4 w - -,f3e2 c5c4 d3c2 f6e4 a2a4 f7f6 c2e4 f6e5 e4c2 e5e4,Mate
r1bq1rk1/1pp1bp1p/1n1p1np1/3Pp3/2P1P2N/PN4P1/5PBP/R1BQ1RK1 w - -,d1e2 a8a4 c1h6 f8e8 f1c1 f6g4 h6d2 e7h4 c4c5 b6d5,-53
8/4k2p/1b3p2/p2p4/3Pp1PN/4P3/7P/R1r3K1 w - -,a1c1 e7d7 h4f5 h7h6 g1h1 b6d8 c1c5 d8c7 c5d5 d7e6,605
8/1k6/8/8/8/R7/p2K4/8 w - -,a1c1 e7d7 h4f5 h7h6 g1h1 b6d8 c1c5 d8c7 c5d5 d7e6,Mate
8/3n3p/p2B1p1k/1pp1pP2/P5K1/5P2/8/8 w - -,a4b5 a6b5 g4g3 b5b4 g3f2 b4b3 f2e3 b3b2 e3e4 b2b1q,-1120
r3r2R/1p2kp2/p1np1np1/q4p2/2B1P3/2N2P2/PPPQ4/2KR4 w - -,g4h3 b5a4 d6c7 a4a3 c7a5 a3a2 a5c3 h6g7 c3b2 d7b6,Mate
r1bqr1k1/1p1nbp1p/2p1n1p1/p2pB3/P2P4/2NBP2P/1PQ1NPP1/2KR3R w - -,f2f4 f7f6 f4f5 f6e5 f5e6 d7f8 d4e5 e7c5 e2d4 f8e6,-73
8/4k2p/1b3p2/p2p4/3Pp1PN/4P3/2r4P/R5K1 w - -,h4f5 e7d7 h2h4 c2c4 g1f1 a5a4 a1a2 b6c7 f1f2 c4b4,-166
2k5/8/3K4/2B4B/8/8/8/8 w - -,h4f5 e7d7 h2h4 c2c4 g1f1 a5a4 a1a2 b6c7 f1f2 c4b4,Mate
2r3k1/p5b1/2rpNpQ1/q7/1p2P3/3P4/PP4PP/5R1K w - -,h4f5 e7d7 h2h4 c2c4 g1f1 a5a4 a1a2 b6c7 f1f2 c4b4,Mate
2kr3r/1pp1nppp/p7/8/1n1P4/1P3B2/1P3PPP/R1B2RK1 w - -,f3g4 c8b8 c1e3 b4c2 a1d1 e7d5 e3g5 f7f6 g4f5 d5b4,-84
r4rk1/pp3ppp/2p1p3/4Q3/PnN5/1K3qP1/1P1R3P/5B1R w - -,b3b4 f3h1 f1g2 h1c1 e5f4 c1a1 a4a5 a8d8 d2d8 f8d8,-137
r1b2rk1/p4ppp/2pq4/3p4/NP2n3/P3PN2/5PPP/2RQ1RK1 w - -,f3d4 c8d7 f2f3 e4f6 a4c5 f8c8 d1d2 a7a5 b4a5 d7e8,157
8/6pk/5p2/1PQ3p1/4p3/7P/3r1PP1/6K1 w - -,c5b4 d2d8 b4e4 h7h8 g1h2 d8d2 e4b4 d2f2 b5b6 f2e2,600
7r/pQ4pp/3R4/r3P3/k5P1/1b2p2B/1P2q2P/1K6 w - -,c5b4 d2d8 b4e4 h7h8 g1h2 d8d2 e4b4 d2f2 b5b6 f2e2,Mate
2kr3r/1pq2pp1/p2bpn1p/7P/2P1Q3/2B2NP1/PP3P2/2KR3R w - -,e4e2 d8d7 f3e5 d6e5 c3e5 c7c6 g3g4 h8d8 f2f3 f6e8,26
8/7p/1b2kp2/p2p1N2/3Pp1P1/4P3/2r4P/R5K1 w - -,h2h4 e6d7 f5g3 c2c4 g1g2 b6d8 g3h5 a5a4 g2g3 d8e7,-213
r1bqkb1r/ppp2pp1/n1n5/3pP3/7p/PNN1B1Q1/1P3PPP/R3KB1R w KQkq -,e3g5 h4g3 g5d8 h8h2 h1g1 c6d8 f1a6 b7a6 c3d5 d8e6,-578
8/4k3/6p1/8/q1K2n2/2Q2P2/8/8 w - -,e3g5 h4g3 g5d8 h8h2 h1g1 c6d8 f1a6 b7a6 c3d5 d8e6,Mate
r1b1k2r/pp1n1pp1/1q2p2p/2bpP3/3n1P2/1NP5/PP2B1PP/R1BQ1RK1 w kq -,c3d4 c5e7 a2a4 d7b8 a4a5 b6d8 e2d3 b8c6 c1d2 c8d7,118
r2qkb1r/pb3ppp/1p2pn2/2p1n3/4P3/2P1B2P/PP1NQPP1/R3KBNR w KQkq -,f2f4 e5d7 g1f3 f8e7 e4e5 f6d5 g2g3 e8h8 e3f2 c5c4,-2
8/7p/1b2kp2/3p1N2/p2Pp1P1/4P3/2r4P/R4K2 w - -,,0
rn1qkb1r/pp2nppp/4p3/3p1b2/3P3N/2N5/PP2PPPP/R1BQKB1R w KQkq -,c1f4 b8c6 d1b3 c6d4 b3b7 d8c8 b7c8 a8c8 a1d1 e7g6,32
r2qk2r/pp1nn1p1/4Q3/1Bbp3p/7P/2N5/PPP2P2/R1B1K2R w KQkq -,c1g5 a7a6 g5e7 c5e7 h1g1 e8f8 b5d7 h8h6 e6f5 f8g8,518
7r/p5pp/2QR4/1r2P3/k5P1/1b2p2B/1P2q2P/1K6 w - -,c1f4 a7a6 c3d5 a6b5 d5c7 d8c7 f4c7 h8h6 e6b3 h6a6,Mate
