6k1/5p1p/b3p1p1/p2nP1N1/2pP4/2P5/Pb1B1PPP/R5K1 w - -,a1e1 d5c3 d2c3 b2c3 e1b1 c3d4 g5f3 d4c5 b1b8 g8g7,272
r1r3k1/4pp2/p2p1np1/1pqP3p/P1P5/1P1Q1P2/4B1PP/2R2R1K w - -,,0
6k1/5p1p/b3p1p1/p2nP1N1/2pP4/2b5/P2B1PPP/1R4K1 w - -,d2c3 d5c3 b1b2 g8g7 b2c2 c3d5 g5e4 g6g5 e4c3 a6b7,340
6k1/5p1p/b3p1p1/p3P1N1/2pP4/2n5/P4PPP/1R4K1 w - -,b1b2 c3b5 g1h1 g8g7 g5e4 g6g5 e4c5 b5a3 b2b6 a6b5,337
r4rk1/2qnbppp/b1n1p3/p2pP3/2p2B1P/1p1P1NP1/PPP1QP1N/R3RBK1 w - -,d3c4 a6c4 e2d1 c4f1 e1f1 b3a2 d1e2 d5d4 a1a2 f8b8,-104
8/4k3/6p1/6P1/5K1P/8/8/8 w - -,d3c4 a6c4 e2d1 c4f1 e1f1 b3a2 d1e2 d5d4 a1a2 f8b8,Mate
r1r3k1/4pp2/3p1np1/2qP3p/2p2P2/1P1Q4/4B1PP/2R2R1K w - -,c1c4 c5d5 d3e3 d5e6 c4c8 a8c8 e3e6 f7e6 b3b4 f6d5,-149
r4rk1/2qnbppp/b1n1p3/p2pP3/5B1P/1P1p1NP1/PP2QP1N/R3RBK1 w - -,h4h5 d3e2 f1e2 h7h6 a1c1 c7b6 f4e3 b6b7 e2a6 b7a6,-625
2r3k1/4pp2/3p1np1/2qP3p/2P2P2/r2Q4/4B1PP/2R2R1K w - -,d3b1 g8g7 b1b2 c8a8 e2f3 a3a2 b2c3 a8a4 f1d1 a4a3,-200
r1bqk2r/ppp2ppp/3p1n2/2bNp3/2B1P3/2P2n2/PP1P1PPP/R1BQ1RK1 w kq -,,0
r5k1/4pp2/3p1np1/2qP3p/2P2P2/r7/4B1PP/1QR2R1K w - -,e2f3 g8g7 h2h3 a8a4 b1c2 c5d4 c4c5 d6c5 c1d1 d4c4,-206
1R6/5pkp/b3p1p1/p3P1N1/2pP4/2n5/P4PPP/6K1 w - -,b8b6 c3e2 g1f1 c4c3 b6a6 c3c2 a6c6 c2c1r c6c1 e2c1,232
r5k1/4pp2/3p1n2/2qP1Ppp/2P5/r7/4B1PP/1QR2R1K w - -,c1c2 g8g7 b1c1 c5e3 c1e3 a3e3 e2d1 h5h4 h1g1 f6e4,-268
R7/5pkp/b3p1p1/p3P1N1/2pP4/8/P3nPPP/6K1 w - -,g1f1 c4c3 a8a6 c3c2 a6c6 c2c1q c6c1 e2c1 a2a4 c1d3,254
R7/5pkp/b3p1p1/p3P1N1/3P4/2p5/P3nPPP/5K2 w - -,a8a6 c3c2 a6c6 c2c1q c6c1 e2c1 a2a4 h7h6 g5e4 c1b3,217
8/5pkp/R3p1p1/p3P1N1/3P4/8/P1p1nPPP/5K2 w - -,a6c6 c2c1q c6c1 e2c1 a2a4 h7h5 g5e4 c1d3 e4c5 d3f4,267
r5k1/4pp2/3p1n2/3P1P1p/2P3pP/r5q1/4B1P1/1QR1R2K w - -,h1g1 g3e3 g1h1 e3f2 c1c2 f2h4 h1g1 g4g3 e2f3 a3a1,-889
8/5pkp/2R1p1p1/p3P1N1/3P4/8/P3nPPP/2q2K2 w - -,c6c1 e2c1 a2a4 h7h6 g5e4 c1b3 f1e2 b3d4 e2d3 d4c6,263
8/4p3/5r2/4k3/5R2/5K2/5P2/8 w - -,f4f6 e7f6 f3g4 e5e4 f2f4 e4d3 g4f5 d3e3 f5f6 e3f4,Mate
8/pp6/3B1k1p/3P4/8/5K2/Pn5P/8 w - -,f3e4 b2c4 d6f8 h6h5 f8b4 a7a6 e4d4 c4e5 b4d6 e5d7,59
r1bqr1k1/ppppbppp/5n2/3NNQ2/1nP5/4P3/PP1P1PPP/R1B1KB1R w KQ -,e5g4 f6g4 f5g4 b4c2 e1d1 d7d6 g4f4 e7g5 f4f3 c2a1,-227
8/8/3KB3/8/2N2k2/8/8/8 w - -,e5g4 f6g4 f5g4 b4c2 e1d1 d7d6 g4f4 e7g5 f4f3 c2a1,Mate
r1bqr1k1/pppp1ppp/5n2/4NQ2/1bP5/4P3/PP1P1PPP/R1B1KB1R w KQ -,e5f3 d7d5 f5d3 c8e6 a2a3 b4f8 b2b3 d8d7 d3c2 e6f5,51
r1bq1rk1/pppp1ppp/5n2/4n3/2PNp3/P1P3P1/3PPPBP/R1BQK2R w KQ -,e1h1 f8e8 a3a4 e5c4 d2d3 e4d3 e2d3 c4e5 f2f4 e5g6,-19
rn2kb1r/p1qbpppp/2p2n2/1p6/2B5/2NP1P2/PPPBQ1PP/2KR2NR w kq -,h2h4 b5c4 d3c4 b8a6 g2g4 e7e5 g1h3 f8e7 d1e1 d7e6,-199
8/5pk1/4p1pp/p3P1N1/3P4/P7/5PPP/2n2K2 w - -,g5f3 f7f5 f1e1 c1d3 e1e2 d3f4 e2f1 a5a4 f3d2 g7f7,206
rn2kb1r/2qbpppp/2p2n2/pp6/8/1BNP1P2/PPPBQ1PP/2KR2NR w kq -,d1e1 a5a4 b3f7 e8f7 f3f4 f7g8 g1f3 h7h5 h2h3 c6c5,-167
5R2/1k6/p7/2p5/8/2r5/P7/1K6 w - -,,0
8/5R2/pk6/2p5/8/2r5/P7/1K6 w - -,,0
8/8/p4R2/k1p5/8/2r5/P7/1K6 w - -,,0
r1bqr1k1/p1p2pp1/2pp1n1p/2b5/4P3/2NB3P/PPP2PP1/R1BQR1K1 w - -,c3a4 f6d7 a4c5 d7c5 e1e3 d6d5 e3g3 d8f6 d1h5 c5e4,43
r1bq1rk1/4bppp/p3pn2/1pp5/3P4/2NBPN2/PP3PPP/2RQ1RK1 w - -,a2a4 c5c4 d3e2 a8b8 h2h3 e7d6 f3d2 d8c7 d1c2 c8b7,-49
rn2kb1r/ppq1pppp/2p2n2/5b2/2B2P2/2NP4/PPPBQ1PP/R3K1NR w KQkq -,g1f3 b8d7 h2h3 h7h5 e1a1 b7b5 f3d4 g7g6 c4b3 e7e6,99
r1r3k1/1b1q1pbp/p2ppnp1/n7/Pp1P4/3B1N1P/1PPNQPPB/R1R3K1 w - -,c2c4 c8e8 c1e1 a8d8 c4c5 d6c5 d3a6 b7a6 e2a6 d8a8,-25
r1bqk2r/p1pn1ppp/1pnp4/4p3/2P1P3/P1PP1NP1/5P1P/R1BQKB1R w KQkq -,f3h4 d7c5 f1g2 c6a5 a1b1 d8d7 d3d4 c5a4 c1d2 c7c5,23
r2qk2r/pbpn1ppp/1pnp4/4p3/2P1P3/P1PP1NP1/5PBP/R1BQK2R w KQkq -,e1h1 f7f6 a3a4 d8e7 f3e1 h7h5 h2h3 c6a5 e1c2 d7c5,15
2r3rk/ppN2p1p/5Pp1/3R4/1p4n1/1P6/P5PP/3R1K2 w - -,d1d4 g4e3 f1e2 e3d5 c7d5 g8d8 e2e3 d8d6 e3d3 c8d8,-478
