r1bqkbnr/ppp2ppp/2n5/3p3P/3Pp3/4P3/PPP2PP1/RNBQKBNR w KQkq -,b1d2 g8f6 c2c4 c6e7 g1e2 c7c6 e2c3 h7h6 a2a4 e7f5,-69
rnb1kb1r/ppp1qp1p/3p4/6p1/3Pn3/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1h1 h7h6 f1e1 e8d8 e2d3 f7f5 b1d2 e7f7 d2e4 f5e4,332
rn1qkb1r/pp2pppp/5n2/2pp4/6b1/3P1NP1/PPPNPP1P/R1BQKB1R w KQkq -,f3e5 g4h5 c2c4 b8d7 e5d7 d8d7 c4d5 f6d5 d2c4 b7b5,16
r2qkb1r/pp3p1p/2n1pnp1/2pp1b2/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 w kq -,h2h3 f8e7 d3e2 h7h5 b1d2 h5h4 f3e5 d8b6 a2a4 a7a6,-96
rnbqk1nr/ppp2pbp/3p2p1/4p3/2B1P3/2PP4/PP3PPP/RNBQK1NR w KQkq -,g1f3 g8f6 e1h1 c7c6 a2a4 e8h8 f1e1 f8e8 h2h3 h7h6,31
rnbqk1nr/pp3ppp/1bpp4/3N4/PP1pPB2/8/2P2PPP/R2QKBNR w KQkq -,f1c4 c6d5 e4d5 a7a5 g1f3 g8e7 e1h1 e8h8 b4a5 a8a5,-413
rnb1kbnr/p4ppp/2p1p3/qp6/2pPP3/1PN2N2/P4PPP/R1BQKB1R w KQkq -,f1e2 f8b4 e1h1 b4c3 a1b1 a5a2 c1f4 c4b3 b1b3 b5b4,-285
1rbq1rk1/p4ppp/2p2n2/3p4/5B2/1PbB1Q1P/P1P2PP1/R4RK1 w - -,a1b1 b8b4 a2a3 b4f4 f3f4 c8e6 d3f5 e6f5 f4f5 f8e8,-692
1Bbq1rk1/p4ppp/2p2n2/3p4/8/1P1B1Q1P/P1P2PP1/b4RK1 w - -,f1d1 a1d4 d3h7 f6h7 d1d4 d8b6 d4h4 b6b8 f3h5 c8f5,-631
2r3k1/1pq2p2/p3p1p1/P2pP2p/1P1P1Q1P/1R2R1P1/5PK1/2r5 w - -,g2h2 c7c4 e3d3 c1e1 b3c3 c4c3 d3c3 c8c3 f4f6 c3c8,-44
r1bq1rk1/ppppnppp/2n5/8/1b1PP3/2N2N2/PP3PPP/R1BQKB1R w KQ -,d4d5 c6b8 f1d3 d7d6 d3c2 b8d7 e1h1 d7e5 f3d4 b4c5,98
rnbqkbnr/pp3ppp/8/2p1p3/3p4/1PPP4/PB2PPPP/RN1QKBNR w KQkq -,g1f3 b8c6 e2e3 g8f6 f1e2 f8d6 e1h1 e8h8 b1d2 f6d5,-64
rnbqk2r/pp1pbppp/8/2pNP3/4n3/8/PPP2PPP/R1BQKBNR w KQkq -,d1g4 d7d6 g4g7 h8f8 f2f3 e4g5 f1b5 b8c6 d5e7 g5e6,814
6q1/6p1/7p/4k2B/3R4/8/2P3P1/2K5 w - -,d4d3 g8a8 h5f3 a8a7 g2g4 e5f4 f3e2 f4g5 c1d1 g5h4,-96
2r2rk1/pp2ppbp/2n1bnp1/q7/3P4/2N1BN1P/PP1QBPP1/R4RK1 w - -,a1c1 f8d8 f1d1 a7a6 f3g5 e6d5 c3d5 f6d5 d2a5 c6a5,-41
rnbqk2r/pp3pp1/2pb1n1p/3p4/2PP4/3B1N2/PP3PPP/RNBQ1RK1 w kq -,f1e1 c8e6 d3f5 e8h8 f5e6 f7e6 e1e6 d5c4 d1c2 d8d7,122
r1bqk1nr/2pp1pp1/p1p4p/2b5/2B1P3/2N5/PPP2PPP/R1BQK2R w KQkq -,c4f7 e8f7 d1h5 f7f8 h5c5 d8e7 c5c4 a8b8 e1h1 g8f6,399
rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P4/4PN1P/PPP1BPP1/RNBQ1RK1 w kq -,a2a4 c7c5 a4a5 b6a5 c2c4 e8h8 c4d5 f6d5 e3e4 d5b4,-27
rn1qkb1r/ppp1pppp/8/3p1b2/3Pn3/4PN1P/PPP2PP1/RNBQKB1R w KQkq -,c2c4 e7e6 d1b3 b8c6 c1d2 d8d7 f3h4 g7g6 g2g4 e4d2,43
r3kbnr/ppp1pppp/2nq4/3p1bB1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,c3b5 d6d7 g5f4 a8c8 c2c4 d5c4 b5c3 g8f6 e2e3 f6d5,70
r3kb1r/pppqpppp/2n2n2/3p1b2/3P1B2/2N2N2/PPPQPPPP/R3KB1R w KQkq -,e2e3 f6e4 c3e4 f5e4 a2a3 e7e6 h2h4 a7a6 h4h5 h7h6,34
rn1qkb1r/pp3ppp/2p1pn2/1B1p4/3P4/2N1PQ2/PPP2PPP/R1B1K2R w KQkq -,c3d5 e6d5 b5d3 f8d6 e1h1 e8h8 c2c4 f8e8 c4c5 d6c7,-366
rnb1kb1r/ppq1pppp/5n2/3p4/1P6/2P1PN2/P4PPP/RNBQKB1R w KQkq -,c1b2 e7e5 a2a3 b8d7 b1d2 a7a5 f1b5 f8e7 c3c4 e8h8,38
rn1qkbnr/pp4pp/2p1bp2/4p3/8/6P1/PPQPPPBP/RNB1K1NR w KQkq -,c2a4 g8e7 g1f3 b8a6 b1c3 e7f5 e1h1 f8e7 d2d3 e8h8,-59
rnbqkb1r/pppp1ppp/8/4p1P1/5n1P/8/PPPPPPB1/RNBQK1NR w KQkq -,h1h2 f4g2 h2g2 d7d5 b1c3 c8e6 d2d3 b8c6 e2e4 d5d4,-223
