r1b1kb1r/pp2pppp/1qn5/3pB2n/3p4/2PBP3/PPQ2PPP/RN2K1NR w KQkq -,f2f4 d4e3 d3e2 c6e5 f4e5 g7g6 b1a3 f8h6 e2h5 g6h5,-264
rnbqk2r/2pn1ppp/p3p3/1p1p2P1/1b1P1B2/2N1P3/PPP1NP1P/R2QKB1R w KQkq -,h2h4 b4e7 f1g2 c8b7 e2g3 b5b4 c3a4 e8h8 e1h1 b7c6,52
r1b1kb1r/pp1p1ppp/2n1pn2/2p3B1/3P4/3BPN2/PqPN1PPP/R2QK2R w KQkq -,a2a4 c5d4 a1b1 b2a3 e3d4 a3a4 d3b5 a4a5 e1h1 a7a6,-61
rnbq1rk1/ppp1np1p/3bpp2/6B1/3P4/3B4/PPP2PPP/R2QK1NR w - -,g5f6 d6b4 e1f1 d8d5 c2c4 d5a5 a2a3 e7g6 a3b4 a5b4,278
3r1r2/6Q1/2k5/8/8/8/8/6K1 w - -,,0
rnbq1rk1/ppp1np1p/4pB2/8/1b1P4/3B4/PPP2PPP/R2QK1NR w - -,e1f1 d8d5 c2c4 d5a5 a2a3 e7g6 a3b4 a5b6 c4c5 b6b4,289
r1bqkb1r/pp3pp1/2n1pn1p/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQkq -,g5h4 f8e7 a1c1 e8h8 g1f3 b7b6 d3b1 c8b7 e1h1 a8c8,42
rn1qkbnr/1b1p1ppp/p3p3/1p6/3P1B2/5N2/PPPN1PPP/R2QKB1R w KQkq -,a2a4 b5a4 c2c3 g8f6 d2c4 a4a3 c4a3 f8e7 f1d3 f6h5,49
rnb1kb1r/pp1p1ppp/4pn2/2p3B1/3P4/2qBPN2/P1PN1PPP/R2QK2R w KQkq -,g5f6 g7f6 d4d5 e6d5 e1h1 c5c4 d3f5 b8c6 f1e1 e8d8,71
rn1qk1nr/pp3ppp/2p1p3/2b2b2/5P2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,f1e2 c5b6 c3a4 g8e7 d2d4 b8d7 e1h1 e8h8 c2c4 d7f6,-24
r2qkb1r/ppp2ppp/2n1pn2/8/2BP2b1/2NQ1N2/PPP2PPP/R1B1K2R w KQkq -,c4b5 f8d6 b5c6 b7c6 h2h3 g4f5 d3e2 e8h8 e1h1 d8b8,29
rn1qk2r/pb1pb1pp/1p2pn2/2p2p2/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQkq -,b2b3 f5e4 d3e4 b8c6 e1h1 e6e5 f2f4 d7d6 a2a4 e8h8,63
rnb1kb1r/pp3ppp/4pn2/2pp2B1/3P4/2qBPN2/P1PN1PPP/R2Q1RK1 w kq -,f1e1 b8c6 g5f6 g7f6 e3e4 c5c4 d3f1 e8d8 e4d5 e6d5,71
8/2k5/8/3K4/8/8/1P6/8 w - -,d3b5 c8d7 a1b1 c5d4 g5f6 g7f6 e3e4 d7b5 b1b5 b8d7,Mate
rn1qkb1r/pp3pp1/2pp1n2/4p2p/4P1b1/6Q1/PPPP1PPP/RNB1KBNR w KQkq -,b1c3 h5h4 g3e3 b8d7 f1e2 g4e6 g1h3 d6d5 e4d5 c6d5,-76
rnqr1k2/pp3pbp/6p1/2pPn1B1/8/5N2/PP4PP/R2QKB1R w KQ -,f1b5 a7a6 g5d8 c8d8 b5e2 e5f3 e2f3 g7b2 e1h1 b2d4,-119
rn1q1k2/pp3pbp/6p1/2pPn3/8/5N2/PP4PP/R2QKB1R w KQ -,d1e2 e5f3 g2f3 d8d5 f1g2 b8c6 e1h1 a8e8 f3f4 d5d6,-191
r2r2k1/ppqbbppn/4p3/4N1B1/8/8/PPP1QPPP/3R1RK1 w - -,g5e7 d7e8 e7d8 a8d8 d1d8 c7d8 b2b3 h7f8 f1d1 d8a5,463
r3kb1r/ppq2ppp/2b1pn2/2p1N3/8/1PN5/PBPP1PPP/R2Q1RK1 w kq -,f1e1 f8d6 e5c6 c7c6 d2d3 e8h8 c3e4 f6e4 e1e4 f7f6,27
r2qk1nr/pBpn1ppp/8/8/4Ppbb/5N2/PPPPK1PP/RNBQ3R w kq -,b7c6 a8b8 b1c3 g8e7 c6a4 e8h8 d2d4 e7g6 e2f1 c7c5,-80
r3k2r/ppqnbppp/2b1p3/2p1N3/5P2/1PN5/PBPP2PP/R3QRK1 w kq -,e5c6 c7c6 c3e4 e8h8 d2d3 f7f6 e1e3 f8f7 a1e1 e7d8,42
r2q1rk1/1p1bbppp/2np1n2/p3p3/P3PP2/1NN1B3/1PP1B1PP/R2Q1RK1 w - -,f4e5 c6e5 b3d4 a8c8 d4b5 d7e6 e3d4 e5c6 d4f2 c6b4,46
r2q1rk1/1p1bbppp/3p1n2/p3p3/Pn2PP2/1NN1B3/1PP1B1PP/R2Q1R1K w - -,b3d2 e5f4 e3f4 d7c6 e2b5 d8c8 a1c1 c8e6 d1e2 a8d8,40
r2qk2r/4bppp/p3n3/1pp1P3/3nN3/4BN2/PP3PPP/R2Q1RK1 w kq -,b2b4 d8d5 e4d6 e7d6 e5d6 d4f3 g2f3 e6d4 e3d4 c5d4,56
8/8/2K5/8/5k2/8/6Q1/8 w - -,e3d4 c5d4 f3e1 d4d3 e1d3 e8h8 d1f3 d8d4 a1d1 f8d8,Mate
2rq1rk1/1p1bbppp/3p1n2/p3p3/Pn2PP2/1NN1BB2/1PP3PP/R2Q1R1K w - -,d1e2 d7e6 f1d1 f6d7 f4f5 e6c4 e2d2 c4b3 c2b3 d7c5,49
3b1q1k/7p/2p3rQ/p2pP3/3P4/1P4B1/P5K1/8 w - -,h6f8 g6g8 f8f5 g8g6 f5c8 g6g8 g2h3 a5a4 e5e6 d8f6,1036
