3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
4k3/R4pp1/1p1P3p/8/4KP2/3P2P1/P5r1/8 w - -,e4d5 g2e2 a7a8 e8d7 a8f8 e2e3 f8f7 d7e8 f7g7 e3d3,520
2R2rk1/3R4/N7/pp6/PP5p/8/3K4/8 w - -,g3g4 g2g4 e4d5 g4g2 a7e7 e8d8 e7f7 h6h5 a2a4 d8e8,Mate
1rbq1r2/4ppk1/p1pp1np1/np5p/2PPPN1P/2N2P2/PP1Q2P1/2KR1B1R w - -,c4c5 d6c5 e4e5 f6h7 d4c5 d8d2 d1d2 a5b7 b2b4 a6a5,52
rnbqk2r/4npbp/1pp1p1p1/p2pP3/5P2/P1NP1N2/1PPB2PP/R2QKB1R w KQkq -,g2g4 h7h5 f3g5 d8d7 h2h4 c6c5 g4h5 h8h5 f1e2 h5h6,50
3r1rk1/Q2nnpp1/2p1p3/3pP1Np/2P2PqP/2N5/PP4P1/R4RK1 w - -,a2a4 e7f5 a7f2 d5d4 c3e4 f5e3 a1a3 f7f6 e5f6 g7f6,-34
8/8/p7/kb6/8/1B2KR2/P7/4b3 w - -,e3d4 b5e2 f3f5 a5b4 d4d5 e2b5 f5f4 b4a5 b3d1 e1d2,82
r1bqk2r/3nbppp/p1pp4/8/3p4/5N2/PPP1QPPP/RNB1R1K1 w kq -,f3d4 d7e5 c1f4 d8c7 f4e5 d6e5 e2e5 c7e5 e1e5 c8d7,114
3rr1k1/pp1bqpp1/4np2/2P4p/P7/2PBB1PP/1P3QP1/R4RK1 w - -,d3c2 e6g5 f1e1 g5e4 f2f4 d7c6 e3d4 e7e6 b2b4 f6f5,187
rnbqkbnr/pp2pp2/2p5/3p1P1p/3PP1p1/2N5/PPP3PP/R1BQKBNR w KQkq -,h2h3 d5e4 h3g4 f8g7 g1e2 g8f6 e2g3 d8d6 g3e4 f6e4,72
rnb1k2r/1pp1qpbp/1n2p1p1/p3p3/P2PN3/1B3Q2/1PP2PPP/RNB1K2R w KQkq -,h2h4 f7f5 e4g5 b8c6 d4e5 c8d7 b1c3 e8a8 c1e3 c6e5,-263
5k2/3R4/N7/pp6/PP5p/8/3K4/8 w - -,h2h4 f7f5 e4g5 b8c6 d4e5 c8d7 b1c3 e8a8 c1e3 c6e5,Mate
2b3k1/1pP4p/3p2p1/4p3/4PP2/6P1/8/5BK1 w - -,f1h3 c8h3 f4f5 g6f5 c7c8q g8g7 e4f5 g7h6 c8f8 h6h5,20000
8/2r5/5p2/3k4/P7/6P1/P1p3KP/2R5 w - -,a2a3 d5e4 a4a5 e4e3 a5a6 e3d2 c1f1 c2c1r f1c1 c7c1,-254
3rr1k1/pp1bqpp1/5p2/2P2Qnp/P7/2PBB1PP/1P4P1/R4RK1 w - -,a1e1 d7f5 d3f5 e7e5 g1h2 h5h4 h2h1 h4g3 h1g1 g7g6,-534
2r1r3/p3bk1p/1pn1R1pB/3n4/3P2p1/PB3N2/1P3PPP/6K1 w - -,b3d5 e8d8 e6c6 d8d5 c6c8 g4f3 c8c7 a7a5 g2f3 f7e8,138
r3r1k1/2qbbppp/p2p1n2/n3p3/Pp1PP3/4NN1P/1PB2PP1/R1BQR1K1 w - -,b2b3 a8d8 c1b2 c7b7 d4d5 g7g6 c2d3 f6h5 a1c1 d8c8,99
5bk1/pp3pp1/2p2n2/2P1rNq1/1P1P2p1/P6P/1BQ2PP1/6K1 w - -,f5g3 e5e1 g1h2 g4h3 g2h3 f6d5 b4b5 e1e8 a3a4 g5g6,-553
8/2r5/5p2/8/P2k4/5KP1/P1p4P/2R5 w - -,f3f4 d4c3 h2h4 c3d2 c1c2 c7c2 h4h5 d2d3 f4f5 c2c5,-28
3r1rk1/Q2nnpp1/4p3/3pP1Np/5PqP/2N5/PP4P1/R4RK1 w - -,c3b5 e7f5 a1e1 f5h4 f1f2 h4f5 a7c7 g4g3 c7c2 d8c8,-43
r3r1k1/3Rnp2/2pbq1p1/3p3p/3P4/2NQP1N1/5PPP/1R4K1 w - -,g3h5 g6h5 d7b7 e8b8 b7b8 a8b8 b1b8 d6b8 c3a4 b8d6,-319
8/8/pp5B/8/2k1b3/P5P1/2p5/6K1 w - -,g1f1 c4b3 h6c1 b6b5 g3g4 a6a5 f1e2 e4g6 e2e3 b3c3,-781
r2qk2r/1pp2ppp/2np1n2/p1b1p3/4P1b1/1P1P1NP1/P1P2PBP/RNBQ1RK1 w kq -,h2h3 g4h5 c1e3 c5e3 f2e3 a5a4 b3a4 a8a4 g3g4 h5g6,-3
r2qr1k1/3n1pbp/ppnpb1p1/2p5/2P1P3/1PN1BPP1/P2Q3P/2RBK1NR w - -,g1e2 b6b5 e2f4 b5c4 f4e6 f7e6 b3c4 a8b8 f3f4 g7c3,-98
r1bq1rk1/pp2ppbp/2pn2p1/3p4/P2PnB2/2NBPN1P/1PP2PP1/R2Q1RK1 w - -,a4a5 c8e6 d3e4 d6e4 c3e4 d5e4 f3d2 c6c5 d2e4 c5d4,30
8/2r5/5p2/8/P7/2k3P1/P1p1K2P/2R5 w - -,g3g4 c7h7 c1h1 h7d7 h1c1 d7d2 e2e3 d2h2 e3e4 h2g2,-379
r6r/1pp2kpp/p1pb1pn1/8/4P3/4BN2/PPP2PPP/3R1RK1 w - -,f3d2 g6e5 e3d4 c6c5 d4e5 d6e5 c2c3 a8d8 f2f4 e5d6,28
r2qk1nr/pp2ppbp/2np2p1/2p3N1/2b5/2N3P1/PP1PPPBP/R1BQ1RK1 w kq -,a1b1 h7h6 d1a4 h6g5 a4c4 e8f8 d2d3 g7f6 b2b4 c5b4,-50
5bk1/pp3pp1/2p2n2/2P1PNq1/1P6/P6p/1BQ2PP1/6K1 w - -,f2f4 g5f4 e5f6 g7g6 f5e7 f8e7 f6e7 f4e3 c2f2 e3e7,336
2kr3r/ppp2ppp/2nq1n2/b3p1B1/3pP3/P2P4/1PPNNPPP/R2Q1RK1 w - -,d2c4 d6e6 b2b4 a5b6 f2f4 h7h6 g5h4 f6g4 h4d8 h8d8,204
3r1rk1/Q2n1pp1/4p3/3pPnNp/P4PqP/2N5/1P4P1/R4RK1 w - -,a7f2 d5d4 c3b5 d7c5 f2f3 f5e3 f1b1 c5d3 a4a5 d3f4,-20
rn1qkb1r/ppp2ppp/4bn2/3p4/8/2N2N2/PPP1QPPP/R1B1KB1R w KQkq -,c1g5 h7h6 g5f6 d8f6 c3d5 f6b2 e2b5 b2b5 d5c7 e8d7,-56
8/8/p7/kb6/3K4/1B3R2/P2b4/8 w - -,f3f2 d2e1 f2f5 a5b4 d4d5 b4a5 d5c5 e1b4 c5d4 a5b6,77
8/6kp/8/8/6p1/6P1/8/5K2 w - -,,0
2kr3r/ppp2ppp/2nq1n2/4p1B1/3pP3/P2P4/1PPbNPPP/R2Q1RK1 w - -,f2f4 d2e3 g1h1 h7h5 h2h3 f6g4 g5d8 c6d8 e2g3 g7g6,-445
1rbq1r2/4ppk1/2pp1np1/np5p/3PPN1P/2N2P2/PP1Q2P1/2KR1B1R w - -,,0
1Q6/3k4/N7/p7/1P6/8/3K3p/8 w - -,e4e5 d6e5 d4e5 d8d2 d1d2 f6d7 e5e6 d7b6 b2b3 c8e6,Mate
r3k2r/1ppb1p1p/p1p2npB/5q2/8/1QN5/PP3PPP/R4RK1 w kq -,b3b7 a8c8 h6g7 h8g8 f1e1 e8d8 g7f6 f5f6 c3e4 f6f5,495
8/2r5/5p2/8/P6P/3k1KP1/P1p5/2R5 w - -,f3g4 d3d2 c1c2 d2c2 g4f5 c2d3 h4h5 c7c5 f5f6 c5h5,-30
r3k2r/1p1b3p/p3pbpP/8/8/P7/1PP1QPP1/2KR4 w kq -,e2c4 a8c8 c4b3 c8c7 b3b6 e8d8 b6e6 f6g5 c1b1 h8e8,-19
8/7p/5k2/8/6p1/6P1/6K1/8 w - -,g2f2 h7h5 f2f1 f6f7 f1e2 f7g6 e2f2 g6h6 f2f1 h5h4,Mate
8/2r5/5p2/8/P5PP/5K2/P1pk4/2R5 w - -,c1a1 c7c3 f3f4 c3e3 f4f5 e3e1 a1e1 d2e1 a4a5 c2c1q,-487
r1b2rk1/ppp3bp/2n3p1/3Nnp2/2P1PB2/5N2/PP4PP/R3KB1R w - -,f4e5 c6e5 d5c7 a8b8 f3g5 f5e4 a1d1 g7h6 h2h4 c8f5,-131
8/7p/4p3/pr2k3/5RP1/1P6/5K2/8 w - -,f4f8 b5b3 f8a8 b3a3 a8c8 a5a4 c8c5 e5f4 c5c4 f4g5,-353
r1bqk2r/pp2bppp/2np1n2/1B6/3p4/5N2/PPP1QPPP/RNB1R1K1 w kq -,b5c6 b7c6 f3d4 c8d7 c1f4 e8f8 c2c4 c6c5 d4f3 f6h5,175
r2qk2r/pp1nbpp1/4pn1p/2p5/3P3P/3Q1NN1/PPPB1PP1/2KR3R w kq -,g3e4 e8h8 d2c3 d8c7 e4f6 d7f6 d4c5 a8c8 d3e2 f6d5,-37
8/7p/8/5k2/6p1/6P1/5K2/8 w - -,f2e3 f5g6 e3e2 h7h6 e2e3 h6h5 e3f2 g6h6 f2g2 h6g7,Mate
8/8/5p2/8/P5PP/5K2/P1rk4/8 w - -,g4g5 f6g5 h4g5 d2d3 g5g6 c2c6 f3f4 c6g6 f4e5 g6g5,-539
r3r1k1/1R1Rnp2/2pbq1p1/3p4/3P4/2NQP2p/5PPP/5NK1 w - -,d3d1 a8a3 c3b1 h3g2 g1g2 a3a1 h2h3 e7f5 d1g4 a1b1,-101
r2qk2r/pp3ppp/3bbn2/3p4/8/2PQ1N2/PP3PPP/RNB1R1K1 w kq -,c1g5 e8h8 b1d2 f8e8 g5h4 h7h6 d2f1 d6e7 f1e3 f6e4,48
4r1k1/ppq2pp1/2b1np2/2Pr3p/P6P/2P1B1P1/1PB2QP1/R3R1K1 w - -,b2b4 a7a6 g1h2 d5e5 e3d4 e6d4 c3d4 e5e1 a1e1 e8e1,176
8/8/p6B/1p6/2k1b3/P5P1/2p2K2/8 w - -,f2e2 c4b3 h6c1 b3c3 e2e3 e4g6 e3f4 a6a5 f4g5 g6d3,-602
8/7p/8/4k3/6p1/4K1P1/8/8 w - -,e3d3 h7h6 d3e3 h6h5 e3d3 e5f5 d3e3,Mate
r5r1/4n1p1/p1p1kp2/4p3/6R1/P3BP2/1PP3P1/3RK3 w - -,e3c5 e7f5 e1e2 g8h8 g4b4 h8h2 e2f2 f5h4 f2f1 a8h8,35
1rbq1r2/4ppk1/2pp1np1/n6p/1p1PPN1P/2N2P2/PP1QB1P1/2KR3R w - -,g2g4 b4c3 d2c3 h5g4 b2b3 d8b6 h4h5 b6b4 c3b4 b8b4,-281
5r2/pbr2pk1/1p4pp/1N6/8/P4q1P/1P1Q1P1P/3RR1K1 w - -,d2d4 g7h7 d4d5 b7d5 d1d5 c7c2 e1f1 f3d5 b5c3 d5g5,-1372
rnb1k2r/1pp2pbp/1n2p1p1/p3p1B1/P2qN3/1B3Q2/1PPN1PPP/R3K2R w KQkq -,e4f6 e8f8 e1a1 b8c6 c2c3 e5e4 d2e4 d4e5 g5f4 e5f6,791
r1bqkbnr/1p1p1ppp/p3p1n1/8/2PNPP2/2N5/PP4PP/R1BQKB1R w KQkq -,f1e2 f8e7 c1e3 d7d6 d1b3 e6e5 f4e5 g6e5 d4f3 e5f3,118
3r1r1k/5qpp/pp2p3/3b2Q1/P2P4/1P1N1P2/4R1KP/5R2 w - -,g5g4 d5b3 d3e5 f7b7 e2b2 b3d5 f1c1 d8c8 c1c8 f8c8,-130
r2qk2r/pp1bbppp/2np1n2/1B6/3N4/8/PPP1QPPP/RNB1R1K1 w kq -,b5c6 b7c6 c1f4 e8f8 c2c4 h8g8 d4f3 h7h6 e2d3 d7g4,156
r3r1k1/1R1Rnp2/2pbq1p1/3p4/3P3p/2NQP1N1/5PPP/6K1 w - -,d3b1 h4g3 h2g3 g8g7 c3e2 e8b8 b7b8 a8b8 d7b7 e6c8,-367
8/8/p7/kb6/3K4/1B6/P4R2/4b3 w - -,f2f5 a5b4 f5f3 e1d2 f3h3 b4a5 d4d5 a5b4 h3h4 b4a5,77
2r2rk1/p2R2pp/4p3/2N2p2/1P3P2/2P5/P5PP/3R1K2 w - -,d7a7 f8f6 d1d7 f6g6 a2a4 h7h6 a4a5 g8h7 a5a6 g6g4,750
rnb1k2r/2q1npbp/1pp1p1p1/p2pP3/3P1P2/P1N2N2/1PPB2PP/R2QKB1R w KQkq -,h2h3 h7h5 b2b4 c8d7 e1f2 h5h4 a1b1 a5b4 a3b4 e8h8,66
8/7p/8/5k2/6p1/3K2P1/8/8 w - -,d3e3 f5e5 e3d3 h7h5 d3e3 e5f5 e3f2 f5e4 f2e2 e4d4,Mate
r1bqnrk1/1p1nppbp/p2p2p1/2pP4/P1P1PB2/2N2N1P/1P3PP1/R2QKB1R w KQ -,f4e3 d7e5 f3e5 g7e5 d1d2 e7e6 d5e6 c8e6 f1d3 e8g7,89
8/8/p7/1b3R2/1k1K4/1B6/P7/4b3 w - -,b3d5 e1c3 d4e3 c3e1 d5b3 b4c3 f5c5 c3b4 c5d5 e1c3,77
r1b1k2r/2p2p1p/ppp2npB/5q2/8/1QN5/PP3PPP/R4RK1 w kq -,b3a4 b6b5 a4h4 c8e6 h6g7 e8e7 c3e4 g6g5 e4g5 h8g8,159
r2qk2r/p2bbppp/2pp1n2/8/3N4/8/PPP1QPPP/RNB1R1K1 w kq -,c1f4 e8f8 c2c4 h8g8 d4f3 d7g4 e2d3 g4f3 d3f3 g7g5,157
4r1k1/ppq2pp1/2b1np2/2P1r2p/PP5P/2P1B1P1/2B2QP1/R3R1K1 w - -,e3d4 e6d4 c3d4 e5e7 g1h2 g8f8 c2b3 e7e4 b4b5 c7a5,209
8/6kp/p7/8/p1KP2r1/8/8/R7 w - -,,0
5r2/pb2rp1k/1p4pp/1N6/3Q4/P6q/1P2KP1P/3RR3 w - -,e2d2 e7d7 d2c1 d7d4 b5d4 h3h2 c1b1 h2f2 e1f1 f2h4,-814
r3k1nr/pp3pp1/2p1p3/2npPqbp/1QP4P/2N2N2/PP3PP1/R4RK1 w kq -,c4d5 e6d5 h4g5 b7b6 f3d4 f5g6 c3a4 c5a4 b4a4 g8e7,-13
2kr3r/ppp2ppp/1bnq1n2/4p1B1/1P1pP3/P2P4/2PNNPPP/R2Q1RK1 w - -,d2c4 d6e6 f2f4 h7h6 g5h4 d8e8 f4e5 c6e5 c4e5 e6e5,213
r2qkbnr/pp3ppp/2n1p1b1/1BppP3/3P4/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,c3a4 c5c4 b5c6 b7c6 b2b3 a8b8 h2h3 h7h6 f1e1 d8a5,73
r1bq1rk1/1pnnppbp/p2p2p1/2pP4/P1P1PB2/2N2N1P/1P1Q1PP1/R3KB1R w KQ -,f1e2 e7e5 d5e6 c7e6 f4d6 f8e8 a1d1 e6d4 d6g3 b7b6,125
r2qr1k1/5pbp/p1npbnp1/1pp5/2P1P3/1PN1BPP1/P2Q3P/2RBK1NR w - -,d1e2 b5c4 b3c4 a8b8 e1f2 c6a5 e3f4 b8b4 d2d6 f6d7,-148
8/6k1/p7/7p/R1KP2r1/8/8/8 w - -,,0
r2q1rk1/p4ppp/2pb4/n3p3/6b1/3P1N2/PPP1QPPP/RNB2RK1 w - -,f1e1 f7f5 h2h3 g4h5 c1d2 f8e8 e2e3 d6c7 d2c3 c7b6,74
4r1k1/ppq2pp1/4np2/2Pbr2p/PP5P/2P3P1/2BB1QP1/R3R1K1 w - -,g1h2 e8d8 e1e5 f6e5 d2e3 e6f8 e3g5 d8d7 a1e1 b7b6,200
8/8/8/8/B2K4/8/1N6/2k5 w - -,b2c4 c1b1 a4e8 b1a2 e8g6 a2a1 d4c3 a1a2 g6d3 a2a1,195
5r2/pp4pp/4P1k1/3r1p2/1P6/2B2PP1/1P2K2P/5R2 w - -,f1a1 a7a6 e2f2 f8e8 b4b5 e8e6 b5a6 e6a6 a1c1 g6f7,-259
8/1p2r2p/1pr3k1/3p1pP1/3Pp3/P1B1P1P1/1P2KP2/7R w - -,f2f3 g6g5 f3f4 g5g6 e2d1 e7c7 d1e1 c7f7 e1f2 c6c8,-275
8/6k1/R7/8/2KP2rp/8/8/8 w - -,,0
r3k2r/1pq1b2p/p1b1pppP/3p4/3B4/P1N5/1PP1QPP1/2KRR3 w kq -,e2e6 e8f8 c3d5 c6d5 e6d5 a8d8 d5e4 d8d7 d1d2 c7c4,516
2r1kb1r/1p1npppp/3q4/1Q1P4/1n6/4BN2/PP3PPP/R4K1R w KQ -,g2g4 b4d5 f1h1 e7e6 a1c1 c8d8 b5b7 d6b4 b7b4 f8b4,-297
4r1k1/ppq2pp1/4n3/2Pbp2p/PP5P/2P3P1/2BB1QP1/R5K1 w - -,a1d1 e8d8 d2e3 g7g6 f2f6 d8d7 g1h2 a7a6 e3h6 g8h7,232
3r1r1k/6pp/pp2pq2/3bN1Q1/P2P4/1P3P2/4R1KP/5R2 w - -,h2h4 d5b3 e2b2 b3a4 b2b6 d8d4 e5g4 f6f5 g4e5 d4d5,-103
r3k1nr/p4pp1/1pp1p3/2npPqPp/1QP5/2N2N2/PP3PP1/R4RK1 w kq -,c4d5 e6d5 f3d4 f5g6 c3a4 c5a4 b4a4 g8e7 a1c1 e8h8,-24
r2q1k1r/p2bbppp/2pp1n2/8/3N1B2/8/PPP1QPPP/RN2R1K1 w - -,c2c4 h8g8 d4f3 h7h6 e2d3 f6e8 f4g3 g7g5 c4c5 d6d5,165
2kr3r/ppp2ppp/1bn1qn2/4p1B1/1PNpP3/P2P4/2P1NPPP/R2Q1RK1 w - -,f2f4 h7h6 g5h4 d8e8 f4e5 c6e5 c4e5 e6e5 f1f5 e5e7,202
1rbqnrk1/1p1nppbp/p2p2p1/2pP4/P1P1PB2/2N2N1P/1P1Q1PP1/R3KB1R w KQ -,f1e2 b7b6 f4e3 d7e5 f3e5 g7e5 e1h1 e7e6 f2f4 e5g7,101
8/R7/5k2/8/2KP2rp/8/8/8 w - -,,0
r3k1nr/p4pp1/1pp1p3/2npP1qp/1QPN4/2N5/PP3PP1/R4RK1 w kq -,c4d5 e6d5 d4c6 h8h6 f2f4 g5g4 c6d4 h6g6 b4b5 e8f8,-17
5r2/pb3p1k/1p4pp/1N6/3Q4/P6q/1Pr1KP1P/3RR3 w - -,c4d5 e6d5 d4c6 h8h6 f2f4 g5g4 c6d4 h6g6 b4b5 e8f8,Mate
r3k2r/pp1bbppp/1qn1p3/3pPn2/3P4/4BN2/PPB2PPP/RN1Q1RK1 w kq -,c2f5 e6f5 b1c3 d7e6 d1d2 e8h8 f1d1 f8c8 h2h4 h7h6,33
rnb1k2r/1pp2pbp/1n2p1p1/p5B1/Pq1pN3/1B3Q2/1PPN1PPP/R3K2R w KQkq -,c2c3 b4f8 e4f6 g7f6 g5f6 b6d7 f6h8 f8h8 e1h1 d4c3,101
1rb2r2/4ppk1/1qpp1np1/n6p/1p1PPN1P/5P2/PP1QB1P1/1NKR3R w - -,d2d3 e7e5 f4h3 c6c5 d4e5 d6e5 h3g5 c5c4 d3d6 a5c6,-259
8/1r6/4kp2/2p5/7R/1P4P1/6KP/8 w - -,h4e4 e6f7 e4e3 b7a7 g2f3 a7a2 e3c3 a2a3 h2h4 c5c4,4
3r2k1/pp3p2/2r3pp/3pR3/2PPn3/6PB/PPR3P1/6K1 w - -,g1h2 a7a5 b2b3 b7b6 a2a3 g8f8 h3g4 f7f6 e5e6 c6e6,-52
1rbqnrk1/3nppbp/pp1p2p1/P1pP4/2P1PB2/2N2N1P/1P1Q1PP1/R3KB1R w KQ -,f1e2 b6a5 e1h1 b8b4 f1b1 e7e5 d5e6 f7e6 b1d1 d8b6,48
5r2/p4p1k/1p4pp/1N6/3Q4/P4b1q/1PrRKP1P/4R3 w - -,a1a2 b6a5 f1d3 b8b4 d2c2 d7e5 f3e5 g7e5 f4e5 d6e5,Mate
R7/8/8/6k1/2KP2rp/8/8/8 w - -,,0
r1b2r2/pp3pkp/2p2np1/q1n1p3/4P3/2N2N1P/PPPQBPP1/R4RK1 w - -,f1e1 f8e8 d2e3 a5b6 e2c4 c5d7 e3c1 b6c5 c4d3 c5e7,17
r1b2b1r/ppp1k1pp/3q4/4p1NQ/8/8/PP1P1PPP/nNBK3R w - -,h1e1 g7g6 h5h4 e7e8 b2b3 c8f5 h4c4 f5c2 d1e2 d6a6,-335
3r2k1/pp3p2/2r3pp/2PpR3/3P4/6nB/PPR3P1/6K1 w - -,c2c3 g3e4 c3a3 b7b6 a3a7 b6c5 e5e7 c5d4 e7f7 e4g5,-29
1rb2rk1/ppN3bp/2n3p1/4np2/2P1PB2/5N2/PP4PP/R3KB1R w - -,f3e5 c6e5 c7d5 f5e4 a1d1 c8e6 f1e2 e6d5 f4e5 g7e5,-35
r2q1rk1/p4ppp/3b4/n1p1p3/6b1/3PBN2/PPP1QPPP/RN3RK1 w - -,h2h3 g4h5 g2g4 h5g6 b1d2 a5c6 a1e1 f7f5 d2c4 f5g4,14
r1bq1rk1/ppp1bppp/2n2n2/3pp3/4P3/P2P1NP1/1PPN1P1P/R1BQKB1R w KQ -,e4d5 f6d5 f1g2 c8g4 e1h1 d8d7 d1e1 f7f6 b2b4 a7a5,-16
2kr3r/ppp2p1p/1bn1qnp1/4p1B1/1PNpPP2/P2P4/2P1N1PP/R2Q1RK1 w - -,f4e5 f6h5 g5d8 h8d8 e2f4 h5f4 f1f4 c6e5 c4e5 e6e5,432
8/8/p7/3B1R2/1k1K4/8/P3b3/4b3 w - -,d5b3 e2b5 d4e3 e1c3 f5f4 b4a5 f4f3 a5b4 f3h3 c3e1,77
r2q1rk1/ppp1bppp/2n2n2/3pp3/4P1b1/P2P1NP1/1PPN1PBP/R1BQK2R w KQ -,e4d5 f6d5 e1h1 d8d7 d1e1 f7f6 b2b4 a7a6 c1b2 f8e8,-21
2r1kb1r/1p2pppp/p2q1n2/Q2P4/1n6/4BN2/PP2BPPP/R4K1R w KQ -,a5a4 b7b5 a4b3 f6d5 f1h1 e7e6 a1c1 c8c1 f1c1 d6b8,87
R7/8/8/2K3k1/3P2r1/7p/8/8 w - -,,0
r5rk/pp2bqp1/1n2b2p/2ppPp2/5B2/2PBPNRQ/PP3P1P/2K3R1 w - -,a8g8 g5f4 g8h8 g4g5 d4d5 f4g3 c5c4 g3g2 d5d6 g5g7,Mate
r2qr1k1/5pbp/p1npbnp1/2pN4/2p1P3/1P2BPP1/P2Q3P/2RBK1NR w - -,d5f4 d6d5 e3c5 d8c8 d1e2 d5e4 f4e6 e8e6 e1f1 e4f3,-341
8/8/p6B/1p6/4b1P1/Pk6/2p2K2/8 w - -,h6c1 e4g6 f2e3 a6a5 e3f4 b3a2 f4g5 g6d3 g5f4 b5b4,-819
2kr3r/ppp2pp1/1bn1qn1p/4p1B1/1PNpPP2/P2P4/2P1N1PP/R2Q1RK1 w - -,g5f6 g7f6 f4e5 f6e5 e2g3 h6h5 f1f5 h5h4 g3h5 h4h3,208
2r4k/2r3pp/pp2pq2/3bN3/P2P4/1P2QP2/3R1RKP/8 w - -,h2h3 h8g8 g2g3 c7c3 d2d3 c3c1 f2g2 f6e7 g3h2 e7c7,-128
5r2/p4p1k/1p4pp/1N6/3Qb3/P2K3q/1PrR1P1P/4R3 w - -,b3b4 f6h4 h2h3 h8g8 g2h2 c7c3 d2d3 c3d3 e5d3 c8c3,Mate
rnbqk1nr/ppp2pb1/3p2pp/8/3pP3/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,f3d4 g8f6 c1e3 e8h8 d1d2 f8e8 f2f3 d6d5 e3h6 d5e4,70
rnbqkbnr/5pp1/ppppp2p/8/2PPP3/3B4/PP2NPPP/RNBQ1RK1 w kq -,d1e1 g8f6 f2f4 b6b5 e4e5 b5c4 d3c4 f6d5 b1c3 b8d7,143
r3k2r/1b1qbppp/p1n1p3/1p2Pn2/1P1pN3/P4NP1/B1Q2P1P/3R1RK1 w kq -,a2b1 h7h5 f1e1 a6a5 e4c5 e7c5 c2c5 c6e7 b1f5 b7f3,-425
4r1k1/pp3p2/2q1nQp1/2Pbp2p/PP5P/2P3P1/2BB2P1/4R1K1 w - -,d2h6 d5g2 c2g6 f7g6 f6g6 g8h8 b4b5 c6c5 h6e3 c5c8,416
1R6/5k2/6p1/5r1p/5P1K/6P1/7P/8 w - -,h2h3 f7g7 b8b7 g7h6 b7e7 f5f6 e7e5 f6c6 g3g4 c6c4,4
rnbqk2r/1pp2pp1/p3pn1p/3p4/3P1bPP/2N1PN2/PPP2P2/R2QKB1R w KQkq -,e3f4 f6g4 f3e5 g4e5 f4e5 c8d7 d1g4 g7g6 h1h3 d8e7,-50
8/1p2r2p/1pr5/3p1pk1/3Pp2R/P1B1P1P1/1P2KP2/8 w - -,e2f1 c6h6 h4f4 h6h1 f1g2 h1b1 f4h4 h7h5 h4h2 e7c7,-352
8/3nk1p1/5p2/4p2Q/p1r5/4B3/qrNK2PP/2R2R2 w - -,f1d1 c4c2 d2e1 a2c4 c1c2 b2c2 h5f3 a4a3 e3c1 a3a2,-512
r4rk1/1b2qp2/p1n1p2p/2b1P3/R2p4/3B1N2/1PPQ1PPP/5RK1 w - -,,0
1rb2rk1/ppN3bp/6p1/4np2/2P1PB2/8/PP4PP/R3KB1R w - -,c7d5 f5e4 f1e2 c8e6 a1d1 e6d5 f4e5 g7e5 c4d5 e5d6,-34
3rk3/p3Npp1/1p5r/2nQP3/5Pq1/2N4p/PP3RP1/R5K1 w - -,d5f3 g4f3 f2f3 h3g2 g1g2 e8e7 a1d1 d8d1 c3d1 e7e6,-11
4r1k1/pp3p2/2q1nQp1/2P1R2p/PP5P/2P3P1/2BB2b1/6K1 w - -,c2g6 f7g6 f6g6 e6g7 e5e8 c6e8 g6e8 g7e8 g1g2 g8g7,565
r3k2r/1b1qbppp/p3p3/1p2Pn2/1n1p4/P1N2NP1/B1Q2P1P/3R1RK1 w kq -,a3b4 b7f3 c3e2 a8d8 e2f4 f3a8 c2e2 d7b7 f2f3 b7b6,-618
r4rk1/pppb2pp/2n1pbq1/3p4/2PP1R2/1P3NP1/P3QPBP/R1B3K1 w - -,c1e3 a7a5 a1d1 c6e7 f3e5 f6e5 f4g4 g6e8 d4e5 g8h8,115
rnb1k2r/ppp1qppp/3bpn2/3pN3/3P1B2/2N5/PPP1PPPP/R2QKB1R w KQkq -,e2e3 b8c6 d1f3 c8d7 a2a3 e8a8 h2h4 f6e8 g2g4 c6e5,31
r2q1rk1/1p2n1pp/p1p1bp2/3p4/3QP3/1P3N2/P1P2PPP/R1BR2K1 w - -,c1a3 f8e8 c2c4 d5e4 d4e4 d8c8 f3d4 e7g6 d4e6 c8e6,27
3rk3/p3Npp1/1p5r/2n1P3/5P2/2N2R2/PP4p1/R5K1 w - -,g1g2 e8e7 a1d1 d8d1 c3d1 e7e6 b2b4 c5a6 a2a3 a6c7,-5
2r5/p1P3k1/8/3p1p2/P4Ppp/8/2R3P1/6K1 w - -,c2c5 g7f6 g2g3 h4h3 c5d5 c8c7 d5d6 f6e7 d6d5 e7e6,-231
1R6/8/5kp1/5r1p/5P1K/6PP/8/8 w - -,b8b7 f5d5 g3g4 h5g4 h3g4 d5d1 h4h3 d1a1 b7c7 a1f1,4
8/8/7B/pp6/2k1b1P1/P7/2p2K2/8 w - -,f2e2 c4b3 h6c1 e4g6 e2e3 b3c3 e3f4 b5b4 a3b4 a5b4,-859
