3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
8/8/8/2P5/2R4p/5pkP/r7/5K2 w - -,c4g4 g3h3 g4g8 a2g2 g8f8 h3g3 f8g8 g3h2 g8d8 g2c2,Mate
rn1q1rk1/5ppp/4pn2/Pp1p4/2pP4/b1P1PNB1/P1QN1PPP/R3K2R w KQ -,g3b8 a8b8 e1h1 d8a5 d2b1 a3e7 b1d2 b8a8 f1b1 e7a3,-182
8/5b2/3k2p1/p1p3P1/1pp1pP2/2P1P1KB/PP6/8 w - -,f4f5 d6e5 f5g6 f7g6 h3g4 e5d6 g3f4 d6e7 a2a3 e7f7,601
r1bqk2r/3nbpp1/p1n1p2p/3pP3/Pp1P4/1Pp1BN1P/N1P1BPP1/R2Q1RK1 w kq -,a2c1 c8b7 f3e1 d8b6 f2f4 e8a8 g1h1 g7g6 e1f3 b6c7,-44
4r2r/pkp3pp/8/2p5/b4B2/2PR4/P4PPP/4R1K1 w - -,f4e3 e8d8 d3d8 h8d8 e3c5 d8d1 e1d1 a4d1 f2f3 a7a6,24
r2q1rk1/pp3p1p/2b2bp1/3pp3/4PP2/1PP1B1N1/1P1Q2PP/R4RK1 w - -,f4e5 f6e5 e4d5 c6d5 a1a7 a8a7 e3a7 d5b3 d2d8 f8d8,-34
5rk1/pp4pp/8/5p2/8/2P2n1K/PP5P/RB6 w - -,b1c2 g7g6 a1d1 g8g7 d1d5 f8e8 d5d7 g7f6 h3g3 f3h2,-185
r1r3k1/1p2ppbp/3pb1p1/1P6/4P3/1nN2P2/P2BB1PP/R1R3K1 w - -,d2e1 b3a1 c1a1 g7c3 e1c3 c8c3 a2a4 c3c2 g1f1 c2a2,-590
rnbq1r2/pp2ppkp/2pp2p1/7n/3PP3/2N2P2/PPPQ2P1/R3KBNR w KQ -,g2g4 b8d7 g4h5 d7f6 h5g6 f7g6 d2h6 g7g8 e1a1 f8f7,456
8/8/8/2P5/6Rp/5p1k/r7/5K2 w - -,g4g8 a2c2 c5c6 c2c6 f1f2 c6f6 g8g5 f6f4 g5g1 f4f8,-1
rnbq1bnr/pp2pkpp/5p2/2pp4/2B2P2/4PN2/PPPP2PP/RNBQK2R w KQ -,c4e2 e7e6 d2d4 b8c6 c2c4 c5d4 e3d4 f8b4 b1c3 g8e7,44
r4rk1/1bq1bppp/pp1p1n2/4pP2/P3n3/1NN1BBQ1/1PP3PP/R4RK1 w - -,g3h4 e4c3 b2c3 a8c8 h4g3 b7f3 f1f3 g8h8 g1h1 d6d5,-294
r1b1k2r/p3pp1p/3p2p1/q1pP4/Np2nP1Q/1P2n3/P1P3PP/R3KBNR w KQkq -,a1c1 c8d7 f4f5 g6f5 g1f3 d7a4 f3d2 a4d7 d2e4 f5e4,-500
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/4BN2/PP1NPPPP/R2QKB1R w KQkq -,g2g3 b4e7 f1g2 c8b7 e1h1 e8h8 a1c1 c7c5 d2b1 c5d4,15
8/5r2/1P1k4/3p4/1RpK2P1/2P5/8/8 w - -,b6b7 f7f4 d4e3 f4e4 e3d2 e4e8 b7b8q e8b8 b4b8 d6c7,1469
r2qkb1r/pp1n1ppp/2n1p3/2Pp1b2/5B2/4PN1P/PPPN1PP1/R2QKB1R w KQkq -,f3d4 d8f6 d4f5 f6f5 f1b5 f8c5 e1h1 e8h8 c2c4 a8d8,50
8/8/8/8/8/5b2/2Q4K/4k3 w - -,f3d4 d8f6 d4f5 f6f5 f1b5 f8c5 e1h1 e8h8 c2c4 a8d8,Mate
r1r3k1/pp3pp1/3p1b1p/4pP2/2q1P3/2N5/PPP3PP/R3QR1K w - -,f1f2 c4b4 a1b1 c8c4 c3d5 b4e1 b1e1 g8f8 g2g3 a8c8,82
6R1/8/8/2P5/7p/5p1k/2r5/5K2 w - -,,0
4r3/pkp3pp/8/2p5/b4B2/2P1R3/P4PPP/6K1 w - -,e3e5 g7g6 f2f3 e8e5 f4e5 a4b5 g2g4 a7a5 a2a3 a5a4,16
3rr1k1/1b3R2/p2pp1p1/2p3qp/1nP1P3/1PN4Q/P5BP/4R2K w - -,f7b7 g5e5 e1d1 b4c6 h3e3 e8e7 b7e7 c6e7 c3e2 e7c6,363
r1b2rk1/ppq2ppp/2pbpn2/3p4/2PP4/2N1P3/PP1NBPPP/R2Q1RK1 w - -,h2h3 b7b6 a1c1 c7e7 a2a3 f8d8 d1c2 c8d7 d2f3 d7e8,-5
2r3k1/1p2ppbp/3pb1p1/1P6/4P3/1PN2P2/3BB1PP/r1R3K1 w - -,c1e1 a1e1 d2e1 g7d4 g1h1 d4c3 e1c3 c8c3 h2h3 c3b3,-612
rnbq1r2/pp2ppkp/2pp1np1/8/3PP1P1/2N2P2/PPPQ4/R3KBNR w KQ -,d2h6 g7g8 e4e5 d6e5 d4e5 f8e8 e5f6 e7f6 g1e2 d8d6,507
8/8/8/7b/8/8/2Q5/4k1K1 w - -,d2h6 g7g8 e4e5 d6e5 d4e5 f8e8 e5f6 e7f6 g1e2 d8d6,Mate
r1bk1b1r/ppp1qBpp/2np4/4pnN1/8/3P4/PPP2PPP/RNBQ1RK1 w - -,b1c3 h7h6 c3d5 h6g5 d5e7 f8e7 c2c3 e7f6 f7h5 c6e7,372
4r3/pkp4p/6p1/2p1B3/b7/2P1R3/P4PPP/6K1 w - -,e5f4 e8e3 f4e3 b7b6 e3f4 c7c6 f2f3 b6b5 g1f2 b5c4,5
2r3k1/1bq3b1/p2prpP1/1p2p2Q/4P3/1N1B4/PPP5/1K3R1R w - -,h5f5 e6e8 h1h7 b7c6 a2a3 c7d7 f5h5 c8c7 f1f6 g7f6,503
8/1P6/3k4/3p4/1RpK1rP1/2P5/8/8 w - -,h1h3 g8f8 h5f5 f8e7 b3c1 d6d5 h3h7 c8g8 e4d5 b7d5,Mate
