r2qkb1r/pp2npp1/2n1p2p/3pPb2/NPpP4/2P1B3/P3BPPP/R2QNRK1 w kq -,g2g4 f5h7 e1g2 h6h5 f2f3 e7g6 d1d2 h5g4 f3g4 f8e7,61
8/8/8/8/1QK5/8/2k5/q7 w - -,,0
rn1qk2r/pp2bppp/2p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B1K2R w KQkq -,e1h1 e8h8 c1d2 b8d7 a1d1 d8b6 b2b3 b6a6 a2a4 e7b4,21
r2qkbnr/pp1npp1p/6p1/3p4/3P4/5N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 a8c8 f1e1 e7e6 c2c3 d8c7 b1d2 g8f6 a2a4 f8g7,29
r2qk1nr/pp1nppbp/6p1/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq -,c1f4 g8f6 f1e1 e8h8 b1d2 a8c8 c2c3 e7e6 d1b3 d8b6,25
r1bqk2r/ppp1bppp/2nppn2/6B1/2PPP3/5N2/PP3PPP/RN1QKB1R w KQkq -,b1c3 e8h8 g5c1 e6e5 d4d5 c6d4 f3d4 e5d4 d1d4 f6d7,82
rnbqk2r/pp2b1pp/2p2n2/3p1p2/3P1B2/2NBP3/PP3PPP/R2QK1NR w KQkq -,d1b3 a7a5 a2a3 e8h8 g1f3 g8h8 e1h1 f6e4 b3c2 c8e6,96
r2qkbnr/pp3ppp/2n1p3/3pPb2/3p1P2/2P2N2/PP4PP/RNBQKB1R w KQkq -,f1d3 d4c3 b1c3 g8h6 c1e3 f5d3 d1d3 h6f5 e1a1 f5e3,-212
8/1r4k1/1p1n2pp/p1pPp3/P1P1p3/3K1PPP/5B2/1R6 w - -,d3c3 b7f7 f3f4 e5f4 b1b6 f4g3 f2g3 f7f3 c3c2 d6c4,-407
3Rqk1r/ppN1ppbp/5p2/8/5P2/8/PPP3PP/2K4R w - -,d3c3 b7f7 f3f4 e5f4 b1b6 f4g3 f2g3 f7f3 c3c2 d6c4,Mate
1r6/5pk1/1p1n2pp/p1pnp3/P1P1P3/2P2PPP/4KB2/1R6 w - -,f2d4 c5d4 e4d5 d4c3 e2d3 d6b7 d3c3 b7c5 b1a1 g7f6,-576
rn1qkb1r/ppp1pppp/5n2/3p4/3P1Pb1/3BP3/PPP3PP/RNBQK1NR w KQkq -,d3e2 g4e2 g1e2 c7c5 e1h1 b8c6 c2c4 e7e6 c4d5 d8d5,-70
r1bqk2r/2pp1ppp/p1n5/1p1Np3/1b2n3/1B3N2/PPPP1PPP/R1BQK2R w KQkq -,d5b4 c6b4 d2d4 e8h8 a2a3 b4c6 d4e5 e4c5 b3d5 c8b7,93
r1bqk1nr/ppp2pp1/1bnp3p/8/1PBPP3/5N2/P4PPP/RNBQK2R w KQkq -,b1c3 g8f6 b4b5 c6a5 c4d3 c8g4 c1e3 c7c5 d4c5 b6c5,56
r1b1kb1r/pppp1ppp/2n2q2/4p3/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,c4d3 c6d4 b1c3 f8c5 f2f3 c7c6 b2b3 d7d6 c1b2 f6g6,-921
7k/8/4N2p/8/8/8/8/6RK w - -,c4d3 c6d4 b1c3 f8c5 f2f3 c7c6 b2b3 d7d6 c1b2 f6g6,Mate
rnbqkb1r/pp2pppp/8/8/3p4/2P2N2/P3PPPP/R1BQKB1R w KQkq -,c3d4 e7e5 d4e5 d8d1 e1d1 b8c6 e2e3 c8e6 f1d3 e8a8,78
