r1bqk2r/ppp1ppbp/2n2np1/3p4/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq -,d2d4 a7a5 c2c4 a5a4 e1h1 e8h8 e2e3 c8f5 c4d5 f6d5,46
r1b1kbnr/pppp1ppp/8/4p3/2B1P3/5N2/PPPP1PqP/RNBQK2R w KQkq -,h1g1 g2g1 f3g1 g8f6 d2d4 d7d6 g1f3 c8e6 c4e6 f7e6,976
rnbqkb1r/5ppp/p1p1pn2/1p6/3P4/2NBP3/PP3PPP/R1BQK1NR w KQkq -,d1c2 c6c5 d4c5 c8b7 g1f3 b8c6 a2a3 f8c5 e1h1 a8c8,-25
rnbq1rk1/pp3pp1/2p2b1p/3p4/3P4/2NBPN2/PP3PPP/R2QK2R w KQ -,h2h3 b8d7 d1c2 f6e7 e1h1 e7d6 a1e1 a7a6 e3e4 d5e4,21
r2qkb1r/pppn1ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 f6e4 f1e1 f7f5 d4e5 d6e5 b1d2 d7f6 f3e5 d8d4,51
rnbqk2r/ppp2ppp/5n2/3p2B1/3P4/P1b5/1PP2PPP/R2QKBNR w KQkq -,d1d2 c3d2 g5d2 f6e4 d2e3 b8c6 f1d3 e8h8 a1b1 e4d6,-1194
r2qkbnr/3bpppp/p1np4/1pp5/4P3/5N2/PPPP1PPP/RNBQRBK1 w kq -,a2a4 b5a4 a1a4 e7e6 a4a6 a8a6 f1a6 g8f6 b2b3 f8e7,138
6k1/3B4/4KB2/8/8/8/8/8 w - -,b1c3 g8f6 d2d4 c5d4 f3d4 c6d4 d1d4 e7e5 d4d3 f8e7,Mate
8/8/3K4/8/4rk2/8/6Q1/8 w - -,g2f2 f4g5 f2g3 g5f5 g3f3 e4f4 f3h5 f5e4 h5e2 e4f5,6115
rnbqkbnr/pp3ppp/4p3/3pP3/3p4/4BN2/PPP2PPP/RN1QKB1R w KQkq -,e3f4 b8c6 b1d2 f7f6 f1b5 c8d7 d1e2 g8e7 e1a1 e7g6,-65
r1bq1rk1/pp2ppbp/2n2np1/3p4/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQ -,g4g5 f6e8 e4d5 c6b4 e1a1 e8c7 d4e2 a7a5 d5d6 c8f5,138
3qrk2/p1r2pp1/1p3b2/nP1bNp2/3PN3/P6R/5PPP/R5K1 w - -,e4f6 g7f6 e5c6 d5c6 b5c6 d8d4 a1f1 e8e5 h3e3 e5b5,-1363
8/1k3K2/4B3/4B3/8/8/8/8 w - -,e4f6 g7f6 e5c6 d5c6 b5c6 d8d4 a1f1 e8e5 h3e3 e5b5,Mate
