r1bqkb1r/ppp3pp/2n2n2/4pp2/8/2N3N1/PPPP1PPP/R1BQKB1R w KQkq -,d2d3 c8e6 f1e2 d8d7 f2f4 f8c5 f4e5 c6e5 c1f4 e5g6,-223
rnbqkb1r/ppp1pppp/8/8/8/2n5/PPPPBPPP/R1BQK1NR w KQkq -,e2h5 c3d1 h5d1 g7g6 g1f3 f8g7 e1h1 e8h8 d2d4 e7e6,-1200
r1bqkb1r/ppp2ppp/2n5/4p3/8/2P2N2/P1PPBPPP/R1BQK2R w KQkq -,d2d4 f8d6 e1h1 e8h8 f1e1 f8e8 a1b1 h7h6 e2b5 e5d4,33
r2qkbnr/ppp1pppp/8/3P4/2p1PPb1/5n2/PP4PP/RNBQKB1R w KQkq -,e1e2 f3h2 e2e1 g4d1 h1h2 d1c2 b1c3 g8f6 f1c4 c2e4,-1279
r1b1kb1r/ppp2Npp/2n5/3np3/4P2q/8/PPPP1PPP/RNBQK2R w KQkq -,e1f1 d5f4 d2d3 f8c5 c1e3 c8h3 e3c5 h3g2 f1e1 e8f7,-794
r3kb1r/ppp2Npp/2n5/3Pp3/6bq/8/PPPP1PPP/RNBQK2R w KQkq -,c2c3 g4d1 e1d1 h4g4 d1c2 e8f7 d5c6 g4g6 d2d3 e5e4,-803
rnbqkb1r/ppp1pp1p/3p2p1/8/3PP1n1/3BB3/PPP2PPP/RN1QK1NR w KQkq -,e3d2 f8g7 g1f3 e8h8 h2h3 g4f6 b1c3 b8c6 d4d5 c6e5,70
r1b1kb1r/ppp2Npp/2n5/4p3/4Pn1q/8/PPPP1PPP/RNBQ1RK1 w kq -,d2d3 e8f7 g2g3 f4h3 g1g2 h4d8 c1e3 h7h5 c2c3 g7g5,-763
rnbqkbnr/ppp3pp/5p2/4p3/3Pp3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f1b5 c7c6 f3e5 f6e5 d1h5 e8d7 b5c4 g8f6 h5f7 d8e7,-360
rn1qkbnr/p3pppp/2p1b3/1p6/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,a2a4 d8a5 c1e3 b5b4 c3e2 g8f6 e2f4 e6c8 f1c4 f6e4,87
rnbqkb1r/pp3ppp/2p1pn2/3p2B1/4P3/3P1N2/PPP2PPP/RN1QKB1R w KQkq -,e4e5 h7h6 g5e3 f6d7 c2c3 c6c5 d3d4 d8b6 d1c1 b6c7,71
r3kb1r/ppp2ppp/2n5/3Pp1q1/8/7b/PPPP1PPP/RNBQ1RK1 w kq -,g2g4 h3g4 d2d4 g5g6 d1d3 c6d4 d3g6 h7g6 b1d2 d4c2,Mate
rnbqk1nr/pppppp1p/7b/6p1/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq -,d2d4 b8c6 h2h4 e7e6 b1c3 h6g7 c1g5 g8e7 g1f3 h7h6,231
rn1qkbnr/ppp1ppp1/6b1/3p3p/3P1BPP/5P2/PPP1P3/RN1QKBNR w KQkq -,e2e3 e7e6 d1d2 c7c5 b1c3 b8c6 e1a1 a8c8 d4c5 f8c5,-100
rn1qkb1r/ppp2ppp/5n2/3pp2b/8/4P1PP/PPPPNPB1/RNBQK2R w KQkq -,e1h1 b8d7 g3g4 h5g6 d2d4 e5d4 e3d4 f8e7 f2f4 g6e4,71
