2rq1rk1/pb2bppp/1p6/4n3/3PPB2/P2B4/5PPP/RQ3RK1 w - -,f1d1 e5d3 b1d3 f7f5 d3b3 g8h8 e4e5 d8d5 b3d5 b7d5,-659
5k2/q1nbp2p/3p1bpP/1pnP4/p2BPP2/2Q2NN1/PP6/5BK1 w - -,g1h2 b5b4 c3b4 a4a3 b2a3 d7g4 f3e5 g4c8 e5c6 a7b7,315
r2q3r/pppb4/2n2Pk1/2p3Pp/5p1P/1QPP2N1/P7/RN2K2R w KQ -,b1d2 f4g3 e1h1 d7h3 b3c4 d8d7 d3d4 c5d4 f6f7 g6g7,-209
2r2rk1/p3bpp1/bq2pn1p/p2p4/7B/P3PN2/1PP1NPPP/R2QR1K1 w - -,d1b1 f8d8 e2d4 g7g5 h4g3 f6e4 b1d1 e4g3 h2g3 b6b2,-127
2rqr2k/1p5p/pn1p2p1/3Pbp2/1PP5/1Q3N2/P3BRPP/4R1K1 w - -,c4c5 d6c5 b4c5 c8c5 e2f1 b6d7 b3b7 e5f6 e1e8 d8e8,7
8/1p1kNppp/4b3/8/1B6/Rn3P1P/5KP1/r7 w - -,a3a1 b3a1 f2e2 a1c2 b4c5 b7b6 c5b6 d7e7 b6c5 e7f6,-360
rnbq1b1r/pp1k2p1/2pPn2p/7Q/5P2/BB6/P5PP/RN2K1NR w KQ -,a3a1 b3a1 f2e2 a1c2 b4c5 b7b6 c5b6 d7e7 b6c5 e7f6,Mate
2kr3r/pp1nq2p/2p1p2p/2P5/2QPB3/6P1/PP5P/2KR1R2 w - -,e4c2 d7f6 c4e2 f6d5 h2h4 h8e8 e2e5 d8d7 d1e1 e7g7,89
2kr3r/pppq1pp1/8/2n1Pb1p/2B5/2P5/PPQ2PPP/RN3RK1 w - -,c2c1 f5d3 e5e6 c5e6 f1d1 e6c5 c1g5 d7f5 g5f5 d3f5,-58
8/3b2k1/8/4p3/3pP2p/P2P1p1P/5P1K/5B2 w - -,a3a4 d7a4 h2g1 g7f6 f1g2 f3g2 g1g2 f6g5 g2f1 g5f4,Mate
8/b2r1kpp/p1r1pp2/1p6/1PnP4/P4P2/2N1RBPP/4RK2 w - -,f3f4 c4b6 d4d5 b6d5 f2a7 d7a7 c2d4 c6c4 d4e6 d5f4,-121
r2qk2r/1b1nppb1/pp1p1np1/7p/3NP3/2N1BP1P/PPPQB1P1/2KR3R w kq -,c1b1 b6b5 g2g4 b5b4 c3a4 d8a5 b2b3 d7c5 a2a3 c5a4,95
1k6/5p2/PB6/8/4K3/6pp/8/8 w - -,,0
5n2/7p/N3p3/1k3p2/1P1P1n2/6q1/P6P/7K w - -,h2g3 b5a6 g3g4 f5g4 d4d5 e6d5 a2a3 d5d4 h1h2 d4d3,-789
rnb2b1r/pp1kqQp1/2pPn2p/8/5P2/BB6/P5PP/RN2K1NR w KQ -,h2g3 b5a6 g3g4 f5g4 d4d5 e6d5 a2a3 d5d4 h1h2 d4d3,Mate
r2q3r/pppb4/2n2Pk1/2p3Pp/7P/1QPP1p2/P3N3/RN2K2R w KQ -,h2g3 b5a6 g3g4 f5g4 d4d5 e6d5 a2a3 d5d4 h1h2 d4d3,Mate
2kr3r/ppp2ppp/5q2/2BB1N2/3PP3/2Nn4/PPb2PPP/R4RK1 w - -,d5b3 d3c5 b3c2 d8d4 e4e5 f6e5 a1e1 e5f6 f5d4 f6d4,-270
5k2/q2bp2p/3p1bpP/1pnnP3/p2B1P2/2Q2NN1/PP6/5BK1 w - -,c3e1 a7b7 e5f6 e7f6 e1f2 b7c6 f3h4 d7e8 g1h2 c5e6,296
r1b1q1k1/p1p2ppp/2p5/2b5/8/2Nn4/PPPB1PPP/4R1K1 w - -,e1e3 c5e3 d2e3 d3e5 c3e4 g8h8 e4d2 c8f5 d2f1 f5c2,-974
6k1/ppr2p1p/8/4P1p1/3R4/8/bP2B1PP/5K2 w - -,d4a4 a2d5 e2f3 d5c4 f1f2 b7b6 a4a3 c4b5 f2e3 a7a6,-131
7k/1p3p2/p3b2p/3p4/R7/2r1P2P/P4P1K/5B2 w - -,h2g2 h8g7 g2g3 g7f6 f1e2 c3c2 e2g4 c2c4 a4a3 d5d4,-150
8/2b5/6k1/6p1/6P1/5K2/4N3/8 w - -,,0
2r2rk1/p3bp2/bq2pn1p/p2p2p1/7B/P3PN2/1PP1NPPP/1R1QR1K1 w - -,h4g5 a6e2 e1e2 h6g5 f3g5 b6c7 f2f4 f8d8 d1e1 f6e4,-293
r2q1rk1/3b1pbp/3p1np1/pppPp1B1/PnP1P1P1/2N2N1P/1P1QBP2/2KR3R w - -,c4b5 d8c7 c1b1 g8h8 d1g1 f6g8 h3h4 f7f6 h4h5 f6g5,269
r1b1k2r/2qp1ppp/p3pn2/1p2n3/3NP3/2b1BP1P/PPP3P1/2KRQB1R w kq -,d4b5 c3b2 c1b2 a6b5 e1b4 e5c4 f1c4 c7c4 a2a3 c8b7,-427
2r3k1/5ppp/1p6/p1b5/8/1K2PNP1/1P3P1P/3R4 w - -,,0
r1bq1rk1/pp3ppp/2p5/3pP3/1PPpnP2/3P4/P2QB1PP/RN2K2R w KQ -,d3e4 d5e4 b1c3 d4c3 d2c3 a7a5 b4a5 a8a5 e1h1 d8b6,-24
r2qkb1r/1p2nppp/2n1p3/pBPpP3/6b1/4BN2/PPP2PPP/RN1Q1RK1 w kq -,c2c3 g4f3 d1f3 e7f5 b1a3 f8e7 a3c2 d8d7 f3e2 e8h8,104
4r2k/R1p2rb1/2np3p/3Np3/1P2Pp2/1Q3P1q/5R1P/6BK w - -,b3a4 c6a7 a4e8 f7f8 e8a4 a7c8 d5c7 g7f6 a4a6 f8g8,135
r1b2rk1/2pp1ppp/pbn1q3/1p1NP3/3P2n1/5N2/PPB2PPP/R1BQ1RK1 w - -,f3g5 e6h6 d1g4 d7d6 g4d1 h6h4 g5f3 h4h5 d5f4 h5g4,618
5n2/2N4p/4p3/5p2/1k1P1n2/6q1/P6P/7K w - -,h2g3 f4d5 c7e8 b4c4 a2a4 c4d4 h1g2 f8d7 a4a5 d5b4,-452
1b6/8/6k1/6p1/4K1P1/8/4N3/8 w - -,,0
8/1p1kNppp/4b3/8/1B6/R4P1P/5KP1/1rn5 w - -,b4a5 d7e7 a5d2 e7d7 g2g4 c1b3 d2e3 d7c6 h3h4 b3c5,-548
2kr3r/pppq1pp1/8/2n1P2p/2B5/2Pb4/PP2QPPP/RN3RK1 w - -,e5e6 f7e6 c4d3 c5d3 e2e3 d3b2 e3a7 d7a4 a7e3 b2c4,-92
8/3r1kpR/p4p2/1p6/1P5P/r4P2/5KP1/8 w - -,f2g3 a3a2 h7h8 d7d2 g3f4 d2g2 f4f5 a2a3 h8a8 a3f3,-726
r4rk1/4bpp1/2Q1b2p/8/8/4PN2/Pq2BPPP/R4RK1 w - -,e2d3 a8a2 a1a2 b2a2 c6e4 g7g6 f3d4 g8g7 f1b1 f8c8,50
r1nqkb1r/ppp2ppp/2n5/2Pp3b/3P4/1P3N1P/P3BPP1/RNBQK2R w KQkq -,b3b4 a7a6 b1c3 f8e7 c1e3 e7f6 g2g4 h5g6 g4g5 f6e7,119
1k6/5p2/PB6/8/8/5K1p/6p1/8 w - -,f3g3 g2g1q b6g1 b8c7 g3h3 c7c6 h3g3 c6c7 g3g4 c7c6,43
