rnb1k1nr/ppp2p1p/3p1qp1/2b1p2Q/2B1P3/3P1N2/PPP2PPP/RNB1K2R w KQkq -,c4b5 c7c6 h5g5 f6g5 c1g5 c6b5 b1c3 c8d7 c3d5 b8a6,-653
r1bqk2r/p2pnpbp/1pn1p1p1/2p5/2P5/1PN1P1P1/P2PNPBP/R1BQK2R w KQkq -,e1h1 e8h8 d2d4 c5d4 e2d4 d7d5 d4c6 e7c6 c1b2 c8a6,59
rnb1k2r/ppp2p2/3p1npp/2b1p3/2B1P3/3P1N2/PPP2PPP/RNB1K2R w KQkq -,c1d2 a7a5 a2a4 e8e7 h2h3 c7c6 c4a2 b8d7 b1c3 d7f8,-17
r2qkbnr/1p1b1ppp/p1n1p3/1B1pN3/3P4/2N5/PPP2PPP/R1BQK2R w KQkq -,e5d7 d8d7 b5c6 d7c6 c3e2 f8d6 e1h1 g8f6 c1f4 e8h8,-28
r1bqk2r/pp2bppp/2nppn2/8/2BNP3/2N2P2/PPP3PP/R1BQK2R w KQkq -,c1e3 e8h8 c4b3 c8d7 d1e2 d8b8 a2a4 a7a6 e1h1 c6d4,29
r1bqkb1r/ppp2ppp/2np1n2/4p3/4P3/3P2P1/PPP1NP1P/RNBQKB1R w KQkq -,e2c3 c8g4 f1e2 g4d7 f2f4 c6d4 b1d2 c7c6 d2f3 d8b6,-71
r1bqkb1r/pp1p1p1p/2p2np1/4p3/2B1P3/2NQ1n2/PPPP1PPP/R1B1K2R w KQkq -,e1e2 f3d4 e2f1 f8g7 c3e2 d7d5 e4d5 c8f5 d3c3 f6d5,-766
r2qkb1r/pppb1ppp/5n2/3Pp3/QnB5/2N1P3/PP3PPP/R1B1K1NR w KQkq -,c4b5 b4d5 c3d5 f6d5 g1f3 f7f6 b5d7 d8d7 a4d7 e8d7,-182
rnbqk2r/pp3ppp/4pn2/3p4/2pP4/2P1PNb1/PP2BPPP/RN1QK2R w KQkq -,e3e4 g3c7 e4e5 f6e4 b1d2 e4d2 d1d2 b8c6 b2b3 b7b5,-456
rn1qkb1r/pbpp1ppp/1p2pn2/8/3PP3/2N3P1/PPP2P1P/R1BQKBNR w KQkq -,f1g2 f8b4 c1g5 b4c3 b2c3 d7d6 g5f6 g7f6 d1h5 b8d7,31
r1bqk2r/pp2ppbp/2n2np1/3p4/4P3/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 f6e4 c3e4 d5e4 d3e4 d8d1 e1d1 c8e6 c2c3 a8c8,-58
r1bqkb1r/pp3ppp/2n2p2/2P5/3p4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,f3d4 d8d4 c3d5 f8c5 d1d4 c6d4 e1a1 d4e6 f2f4 c5b6,-526
rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP4/1P2P3/P4PPP/RNBQKBNR w KQkq -,f1d3 g8f6 g1e2 f8d6 e1h1 b8d7 e2f4 d7e5 c1a3 e5g6,75
r1bqkb1r/ppp2ppp/2np4/4p3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d1e2 f7f5 b2b4 f5e4 e2e4 d6d5 e4e2 f8d6 b4b5 c6e7,-70
rnbqkbnr/ppp2p1p/3p4/8/2BPPp1P/5p2/PPP3P1/RNBQK2R w KQkq -,e1h1 c8g4 f1f3 d8f6 b1a3 g4f3 d1f3 f6d4 g1h1 b8d7,-653
r1bqk2r/1p1pbpp1/p1n1pn1p/2p5/P1B1P2B/2NP4/1PP2PPP/R2QK1NR w KQkq -,c4a2 b7b5 g1f3 b5b4 c3e2 c8b7 e1h1 e8h8 h4g3 f6h5,-112
8/6p1/6P1/8/8/4k3/2K5/8 w - -,c2d1 e3f4 d1e2 f4g5 e2f3 g5g6 f3g4 g6f6 g4f4 g7g5,Mate
rnbq1bnr/p2p1kpp/2p5/1p2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQ -,c2c4 d7d6 d2d4 e5d4 e1h1 b5c4 d1d4 g8e7 b1a3 f7g8,-221
r1bqk2r/pppp1pb1/2n2n1p/4p1p1/4P3/3P1NB1/PPP2PPP/RN1QKB1R w KQkq -,b1d2 d8e7 c2c3 e8h8 b2b4 d7d6 h2h3 f6h5 d2c4 h5g3,-60
r2qkbnr/pp1n1ppp/2p5/4p2b/2BPP3/5N1P/PPP3P1/RNBQK2R w KQkq -,b1d2 f8d6 e1h1 g8f6 c2c3 e8h8 a2a4 f8e8 d1b3 d6c7,-63
2k5/4K3/8/2B5/4B3/8/8/8 w - -,b1d2 f8d6 e1h1 g8f6 c2c3 e8h8 a2a4 f8e8 d1b3 d6c7,Mate
r1bqk2r/1ppp1ppp/1pn2n2/4p3/4P3/P4N2/1PPP1PPP/R1BQKB1R w KQkq -,d1e2 d7d5 d2d3 d8d6 c2c3 c8g4 h2h3 g4h5 g2g4 h5g6,-93
rnbqkb1r/pp2pp1p/5p2/2pp4/2PP4/8/PP2PPPP/RN1QKBNR w KQkq -,d4c5 d5d4 e2e3 d8a5 d1d2 a5d2 b1d2 d4e3 f2e3 b8a6,-79
8/8/8/8/2B5/2K5/8/1kN5 w - -,d4c5 d5d4 e2e3 d8a5 d1d2 a5d2 b1d2 d4e3 f2e3 b8a6,Mate
rn1qkb1r/pp3ppp/2p1p1b1/3pPn2/3P1P2/3B1N2/PPP3PP/RNBQ1RK1 w kq -,g2g4 f5h4 f4f5 e6f5 f3h4 d8h4 d3f5 b8a6 b1c3 a6c7,78
r3kbnr/ppp1pppp/2n3q1/5b2/8/2N5/PPPPBPPP/R1BQNRK1 w kq -,c3d5 e8a8 d5e3 h7h5 e3f5 g6f5 a2a4 e7e5 c2c3 g8e7,59
r1b1kb1r/pp1npppp/2pp1n2/q7/2PPPP2/2N5/PP4PP/R1BQKBNR w KQkq -,e4e5 f6e4 d1c2 e4c3 c1d2 g7g6 g1f3 f8h6 d2c3 a5c7,96
rnbqk2r/pp4pp/2p2n2/2bp4/8/2N1PN2/PPP2PPP/R1BQKB1R w KQkq -,f1d3 c8g4 h2h3 g4f3 d1f3 d8e7 e1h1 e8h8 f3d1 b8d7,107
