8/8/8/3K4/6k1/7R/8/8 w - -,d1c2 d7e5 d4e5 f6d7 h2h3 g4f5 c2c4 f8e7 c1f4 g7g5,Mate
8/8/8/3K4/8/3k4/8/1R6 w - -,d1c2 d7e5 d4e5 f6d7 h2h3 g4f5 c2c4 f8e7 c1f4 g7g5,Mate
8/8/8/3K4/8/5R2/3k4/8 w - -,d1c2 d7e5 d4e5 f6d7 h2h3 g4f5 c2c4 f8e7 c1f4 g7g5,Mate
r1bqk2r/p1pnppb1/1p1p1npp/8/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQkq -,d4d5 d7c5 f3d4 e8h8 f1e2 c8d7 e1h1 g6g5 h4g3 a7a5,91
r1bqk2r/1pp2ppp/p1np1n2/4p3/2B1P3/2NPbN1P/PPP2PP1/R2QK2R w KQkq -,a2a3 e3a7 f3g5 e8h8 e1h1 c6d4 g5f7 f8f7 g1h1 d8e7,-902
r1bqk2r/ppp1nppp/1bnp4/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQkq -,e1a1 e8h8 f1e2 c8d7 f2f4 c6d4 e3d4 b6a5 d2d3 e7c6,133
r2qkb1r/pp2pppp/2n2n2/2P5/3p1Bb1/5N2/PPP1PPPP/RN1QKB1R w KQkq -,f3e5 d8d5 e5c6 b7c6 f2f3 e7e5 e2e4 f6e4 f3g4 e5f4,-65
rnbqkb1r/pp2ppp1/5n1p/4p3/2B5/2N2N2/PP3PPP/R1BQK2R w KQkq -,c4f7 e8f7 d1d8 b8c6 d8d3 c8e6 d3b5 e5e4 f3d2 a8b8,823
r1b1kbnr/pp1ppppp/8/2p5/3Pq3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1f1 c5d4 d1d4 e4d4 f3d4 a7a6 c2c4 e7e5 d4c2 d7d6,-310
r1bqkbnr/ppp1p1pp/2n2p2/4P3/3p1B2/3P4/PPP2PPP/RN1QKBNR w KQkq -,h2h3 b7b6 f1e2 c8b7 c2c3 e7e6 b1d2 f6e5 f4h2 f8d6,-53
r2qkb1r/pppnpppp/5n2/3p4/3P1B2/4PQ2/PPP2PPP/RN2KB1R w KQkq -,b1d2 c7c5 g2g4 h7h6 e1a1 c5d4 e3d4 d8b6 d2b3 e7e6,94
rn1qk2r/ppp1ppbp/3p1np1/8/3PP1b1/1P1B1N2/P1P2PPP/RNBQK2R w KQkq -,b1d2 c7c5 h2h3 g4f3 d2f3 c5d4 f3d4 e8h8 e1h1 b8d7,-16
rn1qk2r/pbppppbp/1p4p1/7n/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,f4g3 h5g3 h2g3 e8h8 a2a4 a7a6 f1d3 d7d6 f3g5 h7h6,-27
rnbqk2r/ppp1bppp/3p1n2/4p3/4P3/3P4/PPPBBPPP/RN1QK1NR w KQkq -,c2c4 e8h8 g1f3 c7c5 e1h1 b8c6 b1c3 a7a5 h2h3 c8d7,20
rn1qk2r/ppp2ppp/4pnb1/3p4/3P1bPP/2N1PP2/PPP5/R2QKBNR w KQkq -,e1e2 f4d6 h4h5 g6h5 g4h5 c7c5 d4c5 d6c5 c3a4 c5d6,-524
rnbqk1nr/pp1p1ppp/2p5/2b1p3/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq -,f4e5 d7d5 e5d6 c5d6 f1c4 h7h6 b1c3 g8e7 e1h1 d6c7,320
r2qkb1r/pp1npppp/2p2n2/4Q3/3P4/8/PPP2PPP/R1B1KBNR w KQkq -,e5e2 e7e6 g1f3 f8d6 g2g3 e8h8 f1g2 f8e8 e1h1 e6e5,53
rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/3Q1P2/PPP3PP/RNB1KBNR w KQkq -,d3e3 b8c6 f1b5 c8d7 b1c3 c6b4 e3e2 d7b5 e2b5 d8d7,-299
rnbqkbnr/ppp3pp/3p4/4pP2/8/5P2/PPPP2PP/RNBQKBNR w KQkq -,g1e2 b8c6 d2d4 e5d4 e2g3 d8f6 f1d3 g7g6 d1e2 f8e7,-55
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2N2Q2/PPPP1PPP/R1B1KBNR w KQkq -,f3d1 d7d5 e4d5 f6d5 g1f3 d5c3 b2c3 e5e4 d2d4 e4f3,-182
rnb1kbnr/ppp2ppp/8/q3p3/8/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,f1c4 a5b4 d2d3 b8c6 g1f3 g8f6 a2a3 b4e7 f3g5 c6d8,144
rnb1k2r/ppp2ppp/5n2/2P1p3/4P3/2N5/PPP2PPP/R1BqKB1R w KQkq -,e1d1 b8d7 c5c6 b7c6 f2f3 d7c5 c1e3 f6d7 d1c1 a7a5,102
7R/P4P2/8/3k4/8/8/8/K7 w - -,c3d1 f6e4 b2b4 b8c6 a2a3 a7a5 a1b1 a5b4 a3b4 e4f6,Mate
