r2qk1nr/pp3ppp/2n1p3/1NbpPb2/8/5N2/PPP2PPP/R1BQKB1R w KQkq -,c2c3 f5g4 b2b4 c5e7 c1f4 g4f3 g2f3 g7g5 f4g3 h7h5,-53
7Q/5kpp/3Ppp2/1bppq3/8/8/6PK/7R w - -,h2h3 e5h5 h3g3 h5h1 h8b8 h1e1 g3h2 e1e2 b8b7 f7g6,-651
r2qkbnr/pp2pp1p/2n3p1/2ppP3/3P4/2P2b1P/PP2BPP1/RNBQK2R w KQkq -,e2f3 e7e6 e1h1 g8e7 d1d3 c5d4 c3d4 e7f5 c1e3 d8b6,-30
7Q/5kpp/3qpp2/1bpp4/8/8/6P1/6KR w - -,h8h7 d6e5 h1h3 c5c4 h3a3 b5d7 g1h1 e5f5 h7h4 e6e5,-516
r1b1kbnr/pp3ppp/2n1p3/2ppP3/q2P4/1NP5/PP3PPP/R1BQKBNR w KQkq -,f1e2 c5c4 b3d2 a4d1 e2d1 b7b5 g1e2 b5b4 e1h1 a7a5,15
r2q1rk1/ppp1bppp/2n1b3/3n4/3P4/P1NB1N1P/1P3PP1/R1BQ1RK1 w - -,f1e1 f8e8 c1e3 d8d7 d1c2 h7h6 a1d1 a8d8 e3c1 g8h8,40
r3k2r/pbqnbppp/2n1p3/1pppP3/8/2PP1NP1/PP1N1PBP/R1BQR1K1 w kq -,d2b3 a7a5 a2a4 b5a4 a1a4 e8h8 d3d4 c5d4 b3d4 c6d4,-32
r1bqk1nr/p4ppp/2pp1b2/np2p3/3PP3/2PB1N2/P1Q2PPP/RNB1K2R w KQkq -,b1d2 a7a6 a2a4 g8e7 e1h1 e8h8 c1a3 c8e6 a4b5 a6b5,-42
r1bqkbnr/pp3ppp/2np4/2p1p3/4P3/3P2N1/PPP2PPP/RNBQKB1R w KQkq -,b1c3 g7g6 f1e2 h7h5 c3d5 c8e6 c2c3 f8h6 c1h6 g8h6,-31
r1r1b1k1/Bnq1bppp/3p1n2/1p1Pp3/2p1P3/R1P2N1P/QPBN1PP1/R5K1 w - -,b2b4 c4b3 a2b3 e7d8 c2d3 c7d7 b3b2 h7h6 d3f1 g8h7,174
r3k2r/1bqnbppp/2n1p3/ppppP3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 w kq -,h2h4 a5a4 a2a3 e8h8 d2f1 c5d4 c3d4 c6a5 c1f4 a5c4,-37
3q1rk1/Q7/2Nn3p/1P1b4/5PP1/P7/1b5P/2R3K1 w - -,c1e1 d5c6 b5c6 d8h4 e1f1 h4g4 g1h1 g8h8 a7f2 b2g7,-439
r4k2/pp3ppp/2p5/8/2PP4/8/PP3PPP/2K1R3 w - -,c1d2 a8d8 d2d3 g7g6 a2a4 c6c5 d4d5 a7a5 e1e3 d8d6,253
rnb1kbnr/pp1qpppp/8/8/8/2N5/PP1PBPPP/R1BQK1NR w KQkq -,g1f3 e7e6 d2d4 f8d6 f3e5 d6e5 d4e5 g8e7 c1e3 e8h8,88
r1bqk2r/1pp2ppp/2n2n2/p3p3/1bPp4/N2P1NP1/PP1BPPBP/R2QK2R w KQkq -,h2h3 e8h8 a3b5 b4d2 d1d2 h7h6 e1h1 c8f5 f1e1 d8d7,-48
rnb2rk1/1p3ppp/p1qp4/3Qp3/4n3/BBP2N2/P1P2PPP/R4RK1 w - -,a1d1 e4c3 d5c6 b8c6 d1d6 e5e4 f3d2 c6d4 d6d4 c3e2,-51
q3rkr1/5p2/1p4p1/2p3Pp/8/1PQN2Pb/1P5P/3R1RK1 w - -,a1d1 e4c3 d5c6 b8c6 d1d6 e5e4 f3d2 c6d4 d6d4 c3e2,Mate
r2qk2r/ppp2ppp/2npB3/2b1p1N1/4PP2/2NP4/PPP2nPP/R1BQK2R w KQkq -,e6f7 e8d7 f7e6 d7e8 d1h5 g7g6 h5h6 d8f6 h1f1 f6f8,683
1r3rk1/1p2ppbp/p2pbnp1/q3n3/2P1P3/NPN1BP2/P2QB1PP/3R1RK1 w - -,a3c2 b7b5 c2d4 f8c8 f3f4 e5g4 d4e6 f7e6 e3d4 e6e5,64
