r1bq1rk1/p4ppp/1p3n2/n1ppN3/3P4/P1PBP3/2Q2PPP/R1B1K2R w KQ -,a3a4 c5c4 d3e2 f6e4 e1h1 f8e8 a1a2 d8c7 c1a3 f7f6,-84
4Q3/8/8/3K4/8/8/5k2/8 w - -,a3a4 c5c4 d3e2 f6e4 e1h1 f8e8 a1a2 d8c7 c1a3 f7f6,Mate
rn1qkb1r/1b2pppp/p7/1p1p4/3Nn3/1BN2Q2/PPP2PPP/R1B2RK1 w kq -,c3e4 b8d7 f1e1 e7e5 e4g3 f8c5 b3d5 b7d5 f3d5 e8h8,479
r2qr1k1/pb1nbp1N/1p5p/2pp4/3P3P/P2BP3/1P3PP1/R2QK2R w KQ -,d1g4 g8h8 h7g5 e7g5 h4g5 e8e6 h1h6 e6h6 g5h6 d8f6,318
8/5pkp/6p1/4p3/3r2PP/R7/5PK1/8 w - -,g2g3 h7h5 g4g5 d4g4 g3h3 g4f4 h3g3 g7f8 a3a5 f4g4,-4
r1bq1rk1/p4ppp/1p3n2/n2pN3/2pP4/P1PBP3/2Q2PPP/R1B2RK1 w - -,d3h7 f6h7 a3a4 a5b3 a1b1 b3c1 b1c1 f7f6 e5g6 f8e8,-334
8/5pk1/6pp/4p3/3r2PP/R5K1/5P2/8 w - -,f2f3 d4d8 a3a7 g7f6 a7a6 f6e7 g3h3 d8d6 a6a7 d6d7,-5
rn1qkb1r/1b2pppp/p7/1p6/3Np3/1B3Q2/PPP2PPP/R1B2RK1 w kq -,f3f7 e8d7 d4e6 d7c8 e6d8 b8d7 d8b7 g7g6 f7e8 c8c7,1867
8/Q7/8/3n4/4k3/6K1/8/8 w - -,f3f7 e8d7 d4e6 d7c8 e6d8 b8d7 d8b7 g7g6 f7e8 c8c7,Mate
r1bq1rk1/p4ppp/1p3n2/3pN3/2pP4/PnP1P3/2Q1BPPP/R1B2RK1 w - -,c2b2 b3a1 b2a1 f6e4 f2f3 e4d6 e3e4 d5e4 f3e4 c8b7,-234
r2q2k1/ppbn2pp/2p1pr2/1PPp1p1b/3Pn3/2N1PN2/PB2BPPP/2RQ1RK1 w - -,f3h4 h5e2 d1e2 f6h6 g2g3 g7g5 h4f3 g5g4 f3e1 d8g5,-112
r3kb1r/ppp2pp1/7p/3Pp3/2BnN2q/3P1b2/PPPQ1PPP/R1B1K2R w KQkq -,h1g1 h4h2 e1f1 f3e2 d2e2 d4e2 f1e2 f7f5 c4b5 e8d8,-428
8/4r2n/p2R2QP/1p2p3/4q3/P4kP1/1PP4K/8 w - -,d6d3 e4d3 c2d3 f3e2 g3g4 b5b4 a3b4 h7f8 g6f5 e7e8,715
r2qkb1r/ppp1pppp/2n5/3p1bP1/3P4/4PN2/PPP2PP1/RN1QKB1R w KQkq -,c2c4 e7e6 b1c3 f8b4 a1c1 g7g6 c4d5 e6d5 a2a3 b4c3,75
r3kb1r/ppp2pp1/7p/3Pp3/2B1N2q/3P1b2/PPPQnPPP/R1B2RK1 w kq -,d2e2 f3e2 f1e1 e2g4 c1e3 f8d6 c4b5 g4d7 e3c5 d7b5,Mate
r2q1rk1/2p1b1pp/p1nppn2/4p3/Pp2P3/2PP1N2/1P3PPP/RNBQR1K1 w - -,d3d4 a8b8 d1e2 d8d7 b1d2 b4c3 b2c3 e5d4 f3d4 c6e5,36
r3kb1r/ppp2pp1/7p/3Pp3/2B1N3/3P1b1q/PPPQnPPP/R1B2R1K w kq -,c1e3 f6g4 e3c1 a8b8 b1d2 d8e8 a4a5 g4f6 d3d4 h7h6,Mate
rnb1k1nr/pp3ppp/8/qN2B3/1bPp4/8/PP1QPPPP/R3KBNR w KQkq -,e1a1 b4d2 d1d2 b8c6 e5d4 c6d4 d2d4 g8f6 e2e4 e8h8,-542
r1bqkb1r/1pp2ppp/p1n1pn2/3p4/3PP3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,f1d3 d5e4 c3e4 b7b6 e1h1 c8b7 f1e1 f8e7 c1f4 f6h5,96
r1bqkb1r/1pp2ppp/p1n1p3/3pP3/3Pn3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,d1d3 f7f5 e5f6 e4f6 g2g3 f8d6 f1g2 e8h8 e1h1 c8d7,56
r1bqk2r/ppp3pp/2n2n2/2bp1PN1/2B1p3/2N4P/PPPP1PP1/R1BQK2R w KQkq -,c3d5 c8f5 d2d4 c5d4 d5e3 d4e3 c1e3 d8e7 c4f7 e8f8,46
8/4K3/8/8/8/1Q6/2p5/k7 w - -,,0
5rk1/p3bppp/2p1p3/3r4/3P4/4B3/PP3PPP/R2R2K1 w - -,d1c1 f8b8 c1c6 b8b2 c6c7 e7f6 c7a7 h7h6 a7a8 g8h7,-3
rnb1kbnr/pp3ppp/1q2p3/2pp4/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,f1b5 c8d7 b5d7 b8d7 e4d5 g8f6 d5e6 b6e6 e1h1 e8a8,254
r2qkb1r/1pp1pppp/p1n2n2/1B6/6b1/2N2N2/PPPP2PP/R1BQK2R w KQkq -,b5d3 d8d7 e1h1 e7e5 d3e2 e8a8 d2d3 f8c5 g1h1 h7h6,-236
r2q2k1/ppbn2pp/2P1pr2/2Pp1p2/3Pn3/2N1Pb2/PB2BPPP/2RQ1RK1 w - -,f1e1 c7h2 g1f1 f3g2 f1g2 f6g6 e2g4 b7c6 e1h1 g6g4,Mate
8/8/8/6k1/8/7K/2R5/r7 w - -,,0
rnb1k1nr/pp1p1ppp/2pq4/3Np3/1b2P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq -,d5b4 g8f6 d2d4 e5d4 e4e5 d6e7 d1d4 d7d6 d4d6 e7d6,531
8/8/8/6k1/8/7K/1R6/2r5 w - -,,0
r1b2rk1/p1q2ppp/1p3n2/3pN3/2pP4/PnP1P3/R1Q1BPPP/2B2RK1 w - -,e3e4 f6e4 e2c4 d5c4 c2e4 c8b7 e4f4 f7f6 e5g6 f8f7,-63
rnb1k2r/3p1ppp/1q2pn2/8/8/P7/3NPPPP/R2QKBNR w KQkq -,a3a4 b8a6 g1f3 a6c5 e2e3 c8a6 f1e2 c5d3 e2d3 a6d3,-137
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2P1P3/5N1P/PPQP1PP1/RNB1KB1R w KQkq -,d2d3 f6d7 f1e2 d7f8 e1h1 a7a5 b1c3 f8e6 c2d1 e8h8,-50
8/8/8/8/2K5/1Q6/n7/k7 w - -,d2d3 f6d7 f1e2 d7f8 e1h1 a7a5 b1c3 f8e6 c2d1 e8h8,Mate
rnbqkb1r/ppp1pp1p/6p1/3p4/8/2PB1N2/PPP2PPP/R1BQK2R w KQkq -,c1f4 c7c6 d1d2 b8d7 h2h4 h7h5 e1h1 f8g7 a1e1 d7c5,-77
r1b1nrk1/p1q2ppp/1p6/3pN3/2pP4/PnP1PP2/R1Q1B1PP/2B2RK1 w - -,c2b2 e8d6 e2d1 b3c1 b2c1 f8e8 f1e1 e8e7 a3a4 c8e6,-80
rn1qkb1r/ppp1pppp/8/3p4/6b1/2PB1N2/PPP2PPP/R1BQK2R w KQkq -,c1e3 e7e5 h2h3 g4f3 g2f3 g7g6 h3h4 d8e7 d1e2 f8g7,-111
8/Q2nkp2/1ppp2p1/8/4q3/7R/PPP3PP/7K w - -,h3e3 e4e3 h2h3 e3c1 h1h2 c1b2 a7a4 b2e5 h2g1 e5e1,-590
5k2/1b3p2/p1p1p1p1/4P1Kp/1P2B2P/8/5PP1/8 w - -,g5f6 b7a8 f2f3 f8e8 g2g4 a8b7 g4h5 g6h5 f3f4 b7c8,583
rn1qkb1r/ppp1pppp/8/3p3b/8/2PB1N1P/PPP2PP1/R1BQK2R w KQkq -,d1e2 e7e6 c3c4 b8c6 g2g4 h5g6 d3g6 h7g6 c1g5 f8e7,-74
r1b1nrk1/p1q2ppp/1p6/3pN3/2pPP3/P1P2P2/R1Q1B1PP/2n2RK1 w - -,a2a1 c1e2 c2e2 e8d6 e4d5 c8b7 e5g4 b7d5 e2e5 d5e6,-492
8/2k2p2/3r2p1/P6p/R2K3P/5PP1/8/8 w - -,d4e4 d6e6 e4f4 e6f6 f4e3 f6e6 a4e4 e6a6 e4e5 c7d7,379
r2q2k1/pp1n2pp/2P1pr2/2Pp1p2/3Pn3/2N1PB2/PB3PPb/2RQ1RK1 w - -,g1h1 f6h6 f3g4 f5g4 d1g4 h2g3 g4h3 h6h3 g2h3 d8h4,-655
rnbq1rk1/pp2ppbp/3p1np1/8/P2NP3/2N5/1PP1BPPP/R1BQK2R w KQ -,e1h1 b8c6 c1e3 c8d7 h2h3 c6d4 e3d4 d8a5 e2c4 a8c8,24
r2qkbnr/ppp2ppp/3p4/8/3nP3/2N2b1P/PPPP1PP1/R1BQKB1R w KQkq -,g2f3 d8f6 f1g2 g8e7 h3h4 c7c6 h4h5 g7g6 d2d3 h8g8,60
r1b2rk1/p1q2ppp/1p1n4/3pN3/2pPP3/P1P2P2/R1Q1B1PP/2R3K1 w - -,c1e1 f7f6 e5g4 c8g4 f3g4 d5e4 c2c1 g7g5 h2h4 h7h6,-113
r1bqkb1r/1p3ppp/p1n1pn2/1B6/8/5N2/PPPP1PPP/RNBQ1RK1 w kq -,b5c6 b7c6 b2b3 c6c5 c1b2 c8b7 f3e5 f8d6 f1e1 e8h8,81
rnb1k1nr/pppp1ppp/4q3/2bN4/3pPB2/2P2N2/PP3PPP/R2QKB1R w KQkq -,d5c7 e8e7 f4g5 f7f6 c7e6 d7e6 c3d4 c5b4 g5d2 a7a5,679
rnbqkbnr/p3pppp/2p5/1p1p4/Q7/2P2N2/PP1PPPPP/RNB1KB1R w KQkq -,a4c2 g8f6 d2d4 g7g6 a2a4 a7a6 a4b5 c6b5 c1f4 c8f5,18
r4rk1/pbq2ppp/1p1n4/3PN3/2pP4/P1P2P2/R1Q1B1PP/2R3K1 w - -,a2a1 a8e8 c2d2 e8e7 e2f1 b7d5 e5g4 f7f6 g4e3 d5f7,-39
rnbq1rk1/pp2bpp1/2p4p/8/3Pp2B/2N1PN2/PP3PPP/R2QK2R w KQ -,e1h1 e7h4 c3e4 h4e7 e4g3 b8d7 d4d5 c6d5 d1d5 d7f6,-725
r1bqkb1r/pp2pppp/2n2n2/8/3p1B2/2N2N2/PPPQPPPP/R3KB1R w KQkq -,e1a1 d4c3 d2c3 d8b6 f3e5 c8e6 e5c6 b6c6 c3c6 b7c6,-285
r1bqr1k1/p1pp1ppp/1p3P2/2bp4/2P2Pn1/2N4N/PP4PP/R1BQKB1R w KQ -,f1e2 d5c4 c3a4 g4e3 c1e3 c5e3 h3f2 d7d5 e1h1 c7c6,-167
8/8/8/1K6/2Q1N3/8/8/1k6 w - -,f1e2 d5c4 c3a4 g4e3 c1e3 c5e3 h3f2 d7d5 e1h1 c7c6,Mate
rn1qkb1r/1p2npp1/2p1p2p/p2pPb2/3P4/5N2/PPPNBPPP/R1BQ1RK1 w kq -,a2a4 b8d7 d2b3 f5g6 c2c3 e7f5 g2g3 b7b6 f3e1 f8e7,55
rnb1kb1r/pppq1ppp/3Pn3/3Q2B1/8/5N2/PPP2PPP/RN2KB1R w KQkq -,b1c3 f8d6 e1a1 e6g5 d5g5 e8h8 c3b5 d7e6 b5d6 c7d6,96
r1bqr1k1/pppp1pbp/2n2np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 w - -,d4c6 b7c6 e2f3 d7d6 d1d2 c8a6 f1e1 f6d7 a1d1 d7e5,15
rnb1kbnr/pp1ppp1p/1q4p1/2pP4/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -,e2e4 d7d6 b1c3 f8g7 f3d2 g8f6 f1e2 b6d8 a2a4 e8h8,97
r1b1k2r/ppq1nppp/2p5/8/3pPPnP/8/PPPQB1P1/R2NK1NR w KQkq -,,0
r2qr1k1/pbp2pbp/2pp1np1/8/4P3/2N1BB2/PPPQ1PPP/R4RK1 w - -,h2h3 a7a5 f1e1 a5a4 a1d1 d8b8 b2b3 c6c5 e3g5 b7c6,30
rnbq1knr/p1pp1ppp/1p2p3/8/8/1P6/P1PPPPPP/RN1QKBNR w KQ -,c2c3 g7g6 g1f3 c7c5 e2e3 f8g7 d2d4 g8f6 f1e2 b8c6,-10
4r1k1/pbp2p1p/3pqnpQ/2p1r3/4P2P/2N1RB2/PPP2PP1/4R1K1 w - -,b2b3 e6c8 e3e2 c8a8 c3b5 e8e7 h6f4 g8g7 c2c4 h7h6,-13
rnbqk1nr/pp1p1ppp/8/2bpN2Q/4P3/8/PPPP1PPP/R1B1KB1R w KQkq -,b2b3 e6c8 e3e2 c8a8 c3b5 e8e7 h6f4 g8g7 c2c4 h7h6,Mate
8/p1pqrpk1/3p1n1p/2pPr1p1/5Q1P/1P2RB2/P1P2PP1/4R1K1 w - -,f4h2 e5e3 f2e3 d7f5 h2g3 f6d5 f3d5 f5d5 c2c4 d5f5,-189
r1bqkb1r/ppp1pppp/2np4/3nP3/2N5/8/PPPP1PPP/R1BQKBNR w KQkq -,c2c3 d6e5 g1f3 f7f6 d2d4 e5d4 f3d4 c6d4 c3d4 c8f5,-101
8/p1p2pk1/3p1n2/2pPrqp1/2P5/1P2PBQ1/P5P1/4R1K1 w - -,g3h2 f5d3 h2g3 d3c3 g1h1 g7f8 e1f1 c3e3 h1h2 f8g7,-325
r2qkb1r/ppp1pppp/2np4/3nP3/2N3b1/5N2/PPPP1PPP/R1BQKB1R w KQkq -,h2h3 g4f3 d1f3 d6e5 g2g3 e7e6 f1g2 f8d6 c2c3 d8d7,-72
2qr2k1/5ppp/6b1/p1b4Q/5P2/P1N5/1P1K1PPP/R1B4R w - -,d2e2 c8a6 e2e1 g6h5 g2g4 a6e6 c1e3 c5e3 a1d1 d8d1,Mate
8/p1p2pk1/3p1n2/2pPr1p1/2P5/1P1qP1Q1/P5P1/3BR1K1 w - -,d1f3 d3c3 g1h2 a7a5 e1f1 c3e3 f3d1 e3d4 g3f3 e5e4,-326
8/4K3/8/4Q3/8/8/p7/1k6 w - -,,0
8/2p2pk1/3p1n2/p1pPr1p1/2P5/1Pq1PBQ1/P5PK/4R3 w - -,e3e4 g5g4 f3g4 c3g3 h2g3 e5g5 g3f4 g5g4 f4f3 g4g5,-496
5k2/2p2p2/3p1n2/p1pPr1p1/2P5/1Pq1PBQ1/P5P1/4R2K w - -,a2a3 g5g4 f3g4 f6g4 e1b1 e5g5 g3f4 g5g6 b1d1 c3e3,-562
r2qk2r/1b2bppp/p3pn2/1p2n3/3NP3/P1NB4/1P3PPP/R1BQR1K1 w kq -,d3b1 e7c5 c1e3 a8c8 d4f3 d8d1 c3d1 e5f3 g2f3 e8e7,-95
8/2p2pk1/3p1n2/2pPr1p1/p1Pq2P1/1P3B1Q/P7/5R1K w - -,h3g2 a4b3 a2b3 e5e3 g2c2 d4e5 c2h2 e5h2 h1h2 e3b3,-516
