r2qk2r/pp3ppp/2pbB3/8/8/2PP1P2/P1P2P1P/R1BQ1RK1 b kq -,h7h5 e6f5 d8f6 f1e1 e8d8 f5e4 g7g5 c1e3 d8c7 g1h1,443
3rr3/1ppqbbkp/p1n2npB/4p3/P3P3/2P2N2/BP1Q1PPP/R2R2K1 b - -,g7g8 a2f7 g8f7 f3g5 f7g8 d2c2 c6a5 d1d7 d8d7 g5f3,424
rnbqkb1r/ppp1pppp/8/3pP3/6n1/5N1P/PPPP1PP1/RNBQKB1R b KQkq -,g4e5 f3e5 g7g6 d2d4 f8g7 c2c3 e8h8 f1e2 c7c5 e1h1,334
r1b1kb1r/1p1q1ppp/p1N1pn2/8/8/2P1BN2/PP3PPP/R2QKB1R b KQkq -,f6g4 d1d7 c8d7 c6e5 g4e3 f2e3 d7a4 b2b3 a4b5 a2a4,448
rnbr2k1/pp3pbp/2p2np1/4N3/2P1P3/2N5/PP2BPPP/R1B2RK1 b - -,a7a5 f2f4 f6d7 e5g4 f7f5 g4f2 f5e4 f1d1 g7c3 b2c3,90
r1bqkb1r/pp3ppp/4pn2/8/3Q4/2P2N2/PP2BPPP/R1B1K2R b KQkq -,d8a5 e1h1 f8e7 f1d1 e8h8 d4e5 a5b6 a2a4 f8d8 a4a5,34
r1b1kb1r/pp3ppp/4pn2/8/3N4/2P5/PP2BPPP/R1B1K2R b KQkq -,f8d6 c1e3 c8d7 e1a1 d6c5 e2f3 e8a8 h1e1 c5b6 d1d2,33
rq3rk1/5ppp/2npb3/p2Np1b1/1pP1PP2/1P4P1/P1N3BP/R2Q1RK1 b - -,g5e7 d5e7 c6e7 f4f5 e6d7 f5f6 g7f6 f1f6 a5a4 f6d6,74
r1bqrnk1/pp2bppp/2p2n2/3p2B1/3P2P1/2NBPN1P/PPQ2P2/R3K2R b KQ -,f6e4 g5e7 d8e7 e1a1 e4c3 c2c3 e7f6 d3e2 c8e6 c1b1,3
k3r3/1P3R2/K7/8/8/8/8/8 b - -,,0
r1bqk2r/ppp2p2/3p1n1p/2b1p1p1/4P3/1PNP3P/1PP2PPN/R1BQ1RK1 b kq -,g5g4 b3b4 c5d4 h2g4 f6g4 h3g4 h8g8 g4g5 h6g5 c3d5,-8
rnbqk1nr/ppp2ppp/8/8/1bpQ4/4PN2/PP1B1PPP/RN2KB1R b KQkq -,d8d4 f3d4 b4d2 b1d2 c8d7 f1c4 b8c6 d4f3 g8f6 a1c1,28
rn2k1nr/pp3pp1/q1p1p3/4P1Bp/1bNP3P/3Q4/PP3PP1/R4KNR b kq -,b7b5 c4e3 b8d7 h1h3 g8e7 g1e2 e7g6 d3e4 b4d2 a1d1,148
r5k1/ppp3pN/5NQ1/4n3/3p1qb1/8/PPP2PPP/4R1K1 b - -,b7b5 c4e3 b8d7 h1h3 g8e7 g1e2 e7g6 d3e4 b4d2 a1d1,Mate
1r3k2/2B2pn1/p5p1/2p5/2Bqp1RQ/1P6/P1K2P1P/8 b - -,g7f5 g4e4 d4a1 h4f4 a1a2 c2c1 a2a1 c1d2 a1b2 d2e1,448
r1bqk1nr/ppp3bp/2np2p1/4pp2/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 b kq -,g8e7 a1b1 a7a5 a2a3 e8h8 c1d2 c6d4 f3d4 e5d4 c3d5,-6
1r3k2/2B2p2/p5p1/2p2n2/2BqR2Q/1P6/P1K2P1P/8 b - -,d4a1 h4f4 a1a2 c2c1 a2a1 c1d2 a1a2 d2e1 b8b3 c4b3,461
8/1k1K4/1Q6/8/8/8/8/8 b - -,,0
rnbq1rk1/ppp2ppp/5n2/2p1p3/2B1P3/3P4/PPP1NPPP/R1BQK2R b KQ -,d8d6 e1h1 b8c6 e2g3 c8e6 c4e6 f7e6 c1e3 b7b6 a2a4,59
8/1k6/3K4/4N3/8/B7/8/8 b - -,d8d6 e1h1 b8c6 e2g3 c8e6 c4e6 f7e6 c1e3 b7b6 a2a4,Mate
rnb1kbnr/p1pp1ppp/1p2pq2/8/3P4/4PN2/PPP1BPPP/RNBQK2R b KQkq -,c8b7 e1h1 f6d8 c2c4 g8f6 b1c3 d7d5 c4d5 e6d5 d1a4,61
rn2kbnr/pbpp1ppp/1p2pq2/8/3P4/2N1PN2/PPP1BPPP/R1BQK2R b KQkq -,f8b4 c1d2 f6e7 e1h1 d7d6 a2a3 b4c3 d2c3 g8f6 b2b4,41
r2q1r2/ppp2pkp/2npbb2/8/2B1P3/2NQ1N2/PP3PPP/3R1RK1 b - -,a8c8 c3e2 g7h8 e2g3 f8g8 g1h1 f6b2 c4e6 f7e6 d3b3,87
r1r3k1/1bq2ppp/4pn2/p1P5/1p1P4/4PP2/1BBQ2PP/R1R3K1 b - -,c7d8 c1d1 b7c6 e3e4 d8e7 g1h1 c8d8 d2d3 f6d7 d3c4,31
6rk/pp2pp1p/3q4/3P1b2/3P1Q2/1P3RrP/PB1N3K/2R5 b - -,c7e7 e3e4 e6e5 d4e5 f6d7 d2d6 e7e6 c2a4 b7c6 a4c6,Mate
r2q1rk1/pp2b1p1/4p2p/2P2p1P/6n1/5N2/PPPBQP2/1K1R3R b - -,e7f6 d2h6 d8e7 h6c1 a8d8 f3d2 e7c5 e2e6 g8h8 d2e4,132
r2r2k1/5ppp/1q1pb2b/p3p3/1pP1P2P/1P1Q2P1/P1N2PBK/3R1R2 b - -,e6d7 d3d6 b6d6 d1d6 d7g4 d6d5 g4e6 d5d1 g8f8 g2h3,83
r4rk1/2pn1ppp/pp1bp3/3P2q1/3P4/2NBPP2/PBQ2P1P/R4R1K b - -,d7f6 f3f4 g5h6 f1g1 e6d5 g1g5 c7c6 c3e2 g7g6 c2c6,791
rn1qkbnr/1p2pp1p/2p3p1/5b2/p1B5/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,g8f6 f3d1 e7e5 a2a3 f8c5 d2d3 e8h8 b1c3 e5e4 g1e2,-141
2kr1bnr/ppp1qppp/2n5/4P2b/QPPp4/P4N1P/3NPPP1/R1B1KB1R b KQ -,c8b8 g2g4 h5g6 c1b2 f7f6 f1g2 d4d3 e2d3 h7h5 g4g5,134
r3k2r/1p1qbppp/p4n2/4pPB1/3n4/2NB4/PP3PPP/R2QR1K1 b kq -,d4c6 g5f6 e7f6 d3e4 a8d8 d1g4 c6d4 c3d5 d7d6 a1c1,91
rnbqk2r/pp2bppp/4pn2/3P4/3N4/4P3/PP1N1PPP/R1BQKB1R b KQkq -,e6d5 f1b5 c8d7 b5d7 d8d7 b2b3 b8c6 c1b2 c6d4 b2d4,30
8/2Q5/8/3k4/4n3/8/2K5/8 b - -,e4c5 c2d2 c5e6 c7d7 d5e5 d2e3 e5f6 d7d6 f6f5 d6g3,9605
r1bqk2r/ppp2ppp/2n1pn2/3p4/Q2P1P2/2P2N2/PP3PPP/RN2KB1R b KQkq -,,0
8/8/4BK2/4N3/4k3/8/8/8 b - -,e4e3 f6f5 e3d2 e5c4 d2c2 f5e4 c2c3 e4d5 c3c2 e6f5,164
8/8/2R5/K1P1k3/1r6/8/8/8 b - -,,0
