r1bqkbnr/pp3ppp/2n1p3/2ppN3/3P1B2/4P3/PPP2PPP/RN1QKB1R b KQkq -,c5d4 e3d4 d8b6 b1c3 c6e5 f4e5 c8d7 f1d3 b6b2 c3e2
8/1PK5/2n5/8/8/7k/8/8 b - -,c6e5 f4e5 c5d4 e5d4 c8d7 b1d2 g8f6 f1d3 d8c7 c2c4
8/5k2/6r1/3KQ3/8/8/8/8 b - -,g6f6 e5e4 f6b6 e4c4 b6e6 c4c8 e6g6 c8f5 f7g7 d5e5
rnbqkbnr/pp1p1ppp/4p3/2p1P3/2P2P2/2N5/PP1P2PP/R1BQKBNR b KQkq -,b7b6 g1f3 b8c6 d2d4 c6d4 f3d4 c5d4 d1d4 g8h6 c1e3
r1bq1rk1/pp2bppp/2n1pn2/8/2BP1B2/2N2N2/PP3PPP/R2Q1RK1 b - -,b7b6 a2a3 c6a5 c4e2 c8b7 f3e5 f6d5 c3d5 b7d5 a1c1
rnbqkbnr/pp3ppp/4p3/2pPP3/5P2/2N5/PP1P2PP/R1BQKBNR b KQkq -,a7a6 d5d6 f8d6 e5d6 d8d6 d2d4 c5d4 g1f3 g8f6 c1e3
r1bqkbnr/p1pp1ppp/1pn5/4p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R b KQkq -,f8e7 d2d4 e5d4 f3d4 g8f6 c1f4 e8h8 f1e2 c8b7 d4f5
6k1/4bpp1/1p6/6qp/1P2R3/4P1B1/4R2K/8 b - -,g5b5 e2d2 e7f6 d2f2 b5d3 e4f4 h5h4 g3h4 f6e5 h2g1
r1bqkb1r/pp2pppp/2n5/2pN4/5P2/5N2/PPPP2PP/R1BQKB1R b KQkq -,g7g5 d5c3 g5f4 f1b5 h8g8 b5c6 b7c6 e1h1 e7e5 d1e2
rnbqk2r/pp3pp1/2pp1n1p/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq -,a7a6 c3e2 b8d7 e2g3 e8h8 c2c3 d6d5 c4b3 f8e8 d3d4
r1bqk2r/pppp1ppp/2n2n2/2b1N3/4PB2/3P4/PPP2PPP/RN1QKB1R b KQkq -,a8b8 f1e2 d7d5 e5c6 b7c6 e4e5 f6d7 d3d4 c5e7 e1h1
