r2qkbnr/ppp2ppp/3p4/4n3/2B1P3/2N2P2/PPPP3P/R1BQK2R b KQkq -,e5c4 d1e2 c4b6 d2d4 f8e7 c1f4 e7h4 f4g3 h4g3 h2g3
4k1r1/R6p/4Nb2/4n3/6Pq/2P4P/4Q2K/5R2 b - -,
rn1qkbnr/pp2pppp/2p5/3p1b2/5B2/3P2P1/PPP1PPBP/RN1QK1NR b KQkq -,g8f6 b1d2 b8d7 g1f3 f6h5 f4e5 d7e5 f3e5 g7g6 e2e4
r2q1rk1/pp2ppbp/2n3p1/2p1P3/2BP2b1/2P1BN1P/P1P3P1/R2Q1RK1 b - -,g4f3 f1f3 a8c8 c4b5 d8d5 a1b1 f8d8 b5c6 d5c6 d1f1
r2q1rk1/pp2ppbp/2n3p1/2p1P3/2BP4/2P1BR1P/P1P3P1/R2Q2K1 b - -,a7a6 e3f2 a8c8 c4e2 d8a5 f3d3 b7b5 d1b1 e7e6 a2a4
rnb1kb1r/pp3ppp/2p5/3pN1q1/B3n3/8/PPPP1PPP/RNBQ1RK1 b kq -,g5e5 d2d4 e5c7 f1e1 f8e7 c2c4 e8h8 b1c3 c8f5 d1f3
r3kbnr/pppbqppp/2np4/1B2p3/4P3/2P2N1P/PP1P1PP1/RNBQ1RK1 b kq -,g7g5 d2d4 a7a6 b5a4 f8h6 d4d5 c6b8 f3h2 h6g7 c3c4
rn1qkbnr/1b1p1ppp/p3p3/1p6/2pPPP2/2P2N2/PPB3PP/RNBQK2R b KQkq -,g8h6 e1h1 d7d5 e4e5 b5b4 g2g4 d8a5 c3b4 f8b4 b1c3
rnbqkb1r/ppp3pp/3p1n2/5p2/1PPPp3/4P3/P2N1PPP/RNBQKB1R b KQkq -,c7c6 b1c3 d6d5 d1b3 c8e6 f1e2 a7a6 a2a4 f8d6 c1a3
r2qk1nr/ppp3pp/2B2p2/3p4/3P4/4Pb1P/PP1N1PP1/R2QK2R b KQkq -,d8d7 c6d7 e8d7 d1f3 d7e6 f3g3 g8e7 g3c7 b7b6 c7c3
