rnbq1rk1/4bppp/p3pn2/3pP3/Np1N4/1B2BP2/PPPQ2PP/R3K2R b KQ -,f6d7 f3f4 d7c5 a4c5 e7c5 e1h1 a6a5 c2c3 b4c3 b2c3,50
r1bq1rk1/p4ppp/1p2pn2/8/P1BPP3/5N2/3Q1PPP/R3R1K1 b - -,d8e7 c4d3 c8b7 h2h3 f8c8 a1b1 c8c7 a4a5 b6a5 d2a5,53
8/8/8/2pk4/3r4/4K3/8/7R b - -,,0
r3k2r/ppqnbpp1/2p1pnp1/3P4/3P4/1QN1PPP1/PP1B3P/R3KB1R b KQkq -,d7f8 d5e6 f8e6 f1c4 c7d7 c3e2 e8a8 c4e6 f7e6 e3e4,196
r1bqk2r/ppppbppp/2n2n2/4p3/2P5/P1N1P1P1/1P1P1P1P/R1BQKBNR b KQkq -,d7d5 c4d5 f6d5 d1c2 c8e6 b2b4 d8d7 c1b2 e8a8 b4b5,-70
rnbq1rk1/3nbppp/p3p3/3pP3/Np1N1P2/1B2B3/PPPQ2PP/R3K2R b KQ -,d7c5 e1h1 c5e4 d2e1 c8d7 c2c4 b4c3 a4c3 e7b4 f4f5,36
8/8/5K2/5N1k/8/3B4/8/8 b - -,h5g4 d3e4 g4f4 e4b7 f4g4 f6e5 g4g5 b7f3 g5g6 f3e2,194
8/1K2k3/1RP5/8/8/8/8/2r5 b - -,e7d6 b6b2 c1c3 b2b1 c3c2 b1d1 d6e5 c6c7 c2b2 b7c8,955
r1bq1r1k/pp3ppp/2p1nB2/4p3/4P2Q/2NB4/PPP3PP/R4R1K b - -,d8e8 f6e5 e8d8 h4g3 b7b5 e5d6 f8g8 e4e5 c6c5 a1d1,624
7k/4R3/6pp/8/5P2/6PP/6K1/r7 b - -,a1a3 g2f2 h8g8 e7e4 a3a2 f2f3 g8f7 e4e3 a2h2 f3g4,3
r3k1r1/pp2R3/2q3p1/P1P5/2P3p1/5R2/1B4P1/5QK1 b - -,a1a3 g2f2 h8g8 e7e4 a3a2 f2f3 g8f7 e4e3 a2h2 f3g4,Mate
r5r1/pp2k3/2q3p1/P1P5/2P3p1/4R3/1B4P1/5QK1 b - -,a1a3 g2f2 h8g8 e7e4 a3a2 f2f3 g8f7 e4e3 a2h2 f3g4,Mate
r2qkb1r/pp1bpppp/2np1n2/8/2PN4/1P2P3/PB3PPP/RN1QKB1R b KQkq -,e7e5 d4c6 d7c6 b1c3 a8c8 d1c2 d6d5 c4d5 f6d5 c2f5,42
r2k2r1/pp3Q2/2q3p1/P1P5/2P3p1/4R3/1B4P1/6K1 b - -,e7e5 d4c6 d7c6 b1c3 a8c8 d1c2 d6d5 c4d5 f6d5 c2f5,Mate
8/5k2/6pp/8/5P2/r3R1PP/5K2/8 b - -,a3a2 f2f3 a2h2 f3g4 h2a2 e3d3 a2a4 g4f3 a4a5 d3e3,3
rnbqkbnr/ppp2pp1/3p3p/4p3/2P3P1/1Q6/PP1PPPBP/RNB1K1NR b KQkq -,b8c6 g1f3 e5e4 f3g1 c6d4 b3c3 c7c5 d2d3 e4d3 c3d3,-75
r3k2r/1pq2pp1/p2Qbn1p/2p1p3/4P3/2N2PP1/PPP3BP/3R1RK1 b kq -,a8c8 f3f4 c5c4 f1f2 c7c5 g2f3 h6h5 h2h4 c5d6 d1d6,80
r7/2pbnq1k/p2p4/3Pp1PR/2p1Pr2/P1N5/1P1Q1P2/1K5R b - -,f7h5 h1h5 h7g7 f2f3 d7e8 h5h1 e8g6 d2e2 a8e8 e2c4,382
r2q1rk1/2p2ppp/p1N1b3/1p1pP3/4n3/1BP5/PP3bPP/RNBQRK2 b - -,d8d7 e1e4 d7c6 e4e2 f2b6 b1d2 d5d4 d2f3 d4c3 b2c3,239
r1bqkb1r/pppp2pp/2n2pn1/4p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,,0
8/5k2/6pp/8/5P2/4RKPP/r7/8 b - -,a2a5 f3g4 a5a2 g4h4 a2a4 e3c3 a4a2 c3d3 a2a1 d3b3,2
r1bq1rk1/2pp1ppp/p1n5/1pb1p3/3Pn3/1BP2N1P/PP3PP1/RNBQ1RK1 b - -,,0
r3k2r/1pq2pp1/p2p1n1p/2b1p3/4P1b1/2N1BPP1/PPPQ2BP/3R1RK1 b kq -,g4d7 e3c5 c7c5 g1h1 d7b5 c3b5 a6b5 d2d6 c5d6 d1d6,43
r2q1r2/p5kp/2b2n2/4Q2p/2B4B/8/P5PP/5R1K b - -,c6e8 h2h3 a8c8 c4b3 c8c6 f1d1 d8b6 e5e7 e8f7 d1d3,-213
r2qkb1r/ppp1pppp/2n2B2/3p1b2/3P4/2N4P/PPP1PPP1/R2QKBNR b KQkq -,g7f6 e2e3 d8d7 f1d3 h7h5 g1f3 e8a8 d3f5 d7f5 d1d3,-14
r1bqk1nr/ppp2ppp/2np4/2b1p3/P1B1P3/8/1PPPNPPP/RNBQ1RK1 b kq -,g8f6 d2d3 c8e6 c4e6 f7e6 b1d2 a7a5 d2f3 h7h6 c2c3,5
r2q1rk1/2p2ppp/p1n1b3/1p1pP3/3Nn2b/1BP3P1/PP3P1P/RNBQR1K1 b - -,d8e8 d4c6 e8c6 g3h4 a8e8 b1d2 e4c5 b3c2 f7f6 e5f6,280
r1bqkb1r/pp1npppp/8/2ppB2n/3P4/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,e7e6 b1d2 f8e7 h2h3 e8h8 e5h2 h5f6 a2a4 b7b6 f1d3,21
r2qkbnr/pp2ppp1/2bp3p/8/3QP1P1/2N2N2/PPP2P1P/R1B1K2R b KQkq -,g8f6 h2h3 d8d7 c1e3 b7b5 g4g5 h6g5 f3g5 d7b7 e1a1,-118
rnbqk2r/p2pppbp/1p3np1/2p5/2PP4/1P3NP1/PB2PP1P/RN1QKB1R b KQkq -,c5d4 f1g2 c8b7 d1d4 e8h8 e1h1 d7d6 d4d2 b8d7 b1c3,19
1r1r2k1/1p2qppp/2p2n2/p1P1p3/N2nP3/P2Q4/1P2BPPP/1K1RR3 b - -,d4e6 d3e3 d8d4 d1d4 e5d4 e3g3 b8e8 e2c4 f6d7 c4e6,-148
1r1r2k1/1p2qppp/2p1nn2/p1P1p3/N1Q1P3/P7/1P2BPPP/1K1RR3 b - -,d8d4 d1d4 e5d4 e4e5 f6e4 c4c2 e4c5 a4c5 e6c5 f2f4,-209
r1bqk2r/pp1pbppp/2N2n2/8/2B1P3/8/PP3PPP/RNBQK2R b KQkq -,b7c6 b1c3 f6e4 c3e4 d7d5 d1a4 d5c4 a4c6 c8d7 c6c4,14
r3kb1r/pp1qpppp/2np1n2/2p5/4P3/1PNP4/PBP2PPP/R2QK1NR b KQkq -,d6d5 c3d5 f6d5 e4d5 d7d5 d1f3 d5f3 g1f3 c6b4 e1e2,-18
2r3k1/8/2P4p/p4qp1/P2Q1p2/1P2p2P/6P1/2R4K b - -,g8f7 h1g1 c8c7 d4d6 c7e7 c6c7 e3e2 g1f2 e2e1q c1e1,22
rn2kbnr/ppp2ppp/4b3/3qP3/8/5N2/PPPP2PP/RNBQKB1R b KQkq -,d5a5 c2c3 b8d7 d2d4 f7f6 b1d2 e8a8 b2b4 a5b6 f1c4,165
rnbqkbnr/1pp1pppp/3p4/p7/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq -,a5a4 a2a3 c7c6 g1f3 d8a5 e2e4 g8f6 d1d2 b8d7 e1a1,81
8/8/8/8/4K3/5N2/4Q3/5k2 b - -,,0
r5k1/p1pp1p1p/b1p3p1/3P4/5P2/1P2r1P1/P5BP/RN3RK1 b - -,c6d5 f1c1 c7c6 b1a3 a6d3 a3c2 d3c2 c1c2 a7a5 g1f2,267
4k3/8/r5Q1/3K4/8/8/8/8 b - -,a6g6 d5e4 e8e7 e4f3 g6d6 f3g3 e7e6 g3f4 d6d4 f4f3,-9605
8/8/2k5/8/3K4/1N6/8/1B6 b - -,c6d6 b3c5 d6e7 d4e5 e7f7 c5e6 f7e7 b1g6 e7d7 e6c5,161
rnbq1rk1/ppppb1pp/4pn2/5p2/2PP1B2/P1N5/1PQ1PPPP/R3KBNR b KQ -,b7b6 e2e3 c8b7 f4g3 f6e4 g1e2 d7d6 e1a1 e7g5 d4d5,50
rnbq1rk1/ppppp1bp/5np1/5p2/2PP1B1P/4P3/PP2BPP1/RN1QK1NR b KQ -,c7c5 h4h5 c5d4 e3d4 d7d6 h5g6 h7g6 g1f3 e7e5 f4g5,53
r5k1/p1pp1p1p/2p3p1/3P4/5P2/1P2r1P1/P5BP/RN3K2 b - -,a8d8 d5c6 d7c6 b1a3 e3c3 f1e2 c3d3 a3c4 d3c3 g2c6,78
rnbqkbnr/ppp3pp/5p2/4p3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,b8c6 f1b5 g8e7 b5a4 a7a6 c1e3 c8g4 h2h3 e5d4 h3g4,88
r1bq4/pppp2pk/4n2p/2b5/2B1P1n1/2NP2Q1/PPP2RPP/R1B3K1 b - -,c5f2 g3f2 g4f2 c1d2 f2g4 a1f1 g4e5 c3d5 e5c4 d3c4,-599
r2q1rk1/pb1nbppp/1pp1pn2/3p4/1PPP4/1QB2NP1/P2NPPBP/R4RK1 b - -,d8c8 e2e3 d5c4 d2c4 f6d5 f3e5 c6c5 d4c5 b6c5 e5d7,40
rnb1kb1r/pp1ppp1p/5p2/2q5/8/5N2/PPPNPPPP/R2QKB1R b KQkq -,d7d5 e2e3 f8g7 d2b3 c5d6 c2c4 f6f5 c4d5 e8h8 d1d2,8
rnbqk1nr/1pp1ppbp/3p2p1/p7/3PPB2/2N5/PPPQ1PPP/R3KBNR b KQkq -,c7c6 e1a1 b7b5 e4e5 b5b4 c3a4 d6e5 d4e5 d8d2 f4d2,82
4r1k1/p1pp1p1p/2p3p1/3P4/5P2/1P2r1P1/P2N2BP/R4K2 b - -,,0
r1bq2k1/ppp1b1pr/2n3Bp/3p4/8/B1p2Q2/P1P2PPP/R3R1K1 b - -,c6d4 f3f7 g8h8 e1e7 c8e6 e7e6 d4e6 f7e6 d8f6 a1e1,406
r2q1rk1/bpp2pp1/p1np1n1p/P3p2b/1PB1P3/2PP1N1P/5PP1/R1BQRNK1 b - -,d8d7 f1g3 h5g6 b4b5 a6b5 c4b5 f8b8 d3d4 e5d4 f3d4,91
