6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
8/8/8/8/7k/4KB2/2N5/8 b - -,h4g5 c2d4 g5g6 e3f4 g6f6 f3e4 f6f7 f4f5 f7g7 f5g5,172
rnbq3r/ppp2k2/5b2/3p2pp/6n1/2N2NP1/PPPB1P1P/R2QKB1R b KQ -,b8c6 f1g2 h8e8 e1f1 d5d4 c3d5 g4e3 d5e3 d4e3 d2e3,14
1r4k1/5ppp/1q2p3/p2p2b1/2pP1P2/2P4P/PP1Q2P1/1R1R2K1 b - -,g5e7 b2b3 c4b3 b1b3 b6d8 f4f5 e6f5 b3b8 d8b8 d2e2,161
1k6/7R/3p4/2p1p2p/1p6/7P/8/6K1 b - -,b4b3 h7h8 b8b7 h8h7 b7c6 h7h8 c5c4 h8b8 c6c5 g1g2,-681
r1bkr3/1p4p1/2pp3p/p7/2B1PN2/2P2P2/3K2PP/2R4R b - -,b7b5 c4d3 d8c7 c1a1 a5a4 h2h4 e8f8 f4e2 c8e6 a1a3,275
8/5k1p/5p2/6p1/2b1N3/4P1PP/6K1/8 b - -,c4d5 g2f2 d5e4 f2e2 f6f5 e2d2 f7e6 h3h4 g5h4 g3h4,-943
2b1kb2/p1p1p1p1/8/8/8/5P2/PPPPP1PP/4K3 b - -,e7e5 h2h4 f8e7 h4h5 e5e4 f3e4 c8g4 c2c3 g4h5 e1d1,-525
rnbk1b1r/pp4pp/4Pp2/2P2p2/2p5/2N1B3/PPP3PP/2KR2NR b - -,d8e8 g1h3 c8e6 h3f4 e6d7 h1e1 d7c6 f4e6 b8a6 e3g1,63
r3r1k1/1p1Nqppp/p1p5/3p1b2/PP1Pn3/2NBP3/2Q2PPP/1R3RK1 b - -,f5d7 d3e4 d5e4 c3e2 h7h5 h2h3 h5h4 c2c5 e7d8 a4a5,84
8/8/1p1k4/p2p2p1/P2P3p/3N1P2/1P3Kn1/8 b - -,h4h3 f2g3 g2h4 f3f4 h4f5 g3h3 g5f4 h3g4 f5d4 g4f4,-325
rnbqr3/ppp2k2/5b2/3p2pp/6n1/5NP1/PPPBNP1P/R2QKB1R b KQ -,b8c6 f1g2 d8e7 h2h3 f7f8 h3g4 c8g4 d2g5 f6g5 e1h1,-1
5b2/1k3pp1/p7/3qPP2/6Q1/P1R5/1PP5/2K4R b - -,d5b5 c3b3 b5b3 c2b3 a6a5 c1b1 f8d6 e5d6 g7g6 g4c4,1240
r2qr1k1/2p2ppp/p2b4/3b2B1/Pp1Q4/5N2/1P3PPP/R4RK1 b - -,d8d7 g5f4 c7c6 f4d6 d7d6 a1d1 h7h6 h2h3 d6g6 f3h4,-265
r3r1k1/p7/1pb1pnR1/8/P1N5/1P2R3/2P2PP1/6K1 b - -,g8f7 c4e5 f7e7 e5c6 e7f7 c6e5 f7e7 g6g7 e7d6 e5f7,493
r2q1rk1/3bppbp/p1np1np1/1p4B1/3NP3/1BN5/PPP1QPPP/3R1RK1 b - -,b5b4 d4c6 d7c6 c3d5 f6d5 e4d5 c6b5 b3c4 h7h6 g5d2,-51
r1b1kb1r/p1q1nppp/4p3/2ppP3/8/1P1B2B1/P1P2PPP/RN1QK2R b KQkq -,h7h5 h2h3 c8b7 b1d2 g7g5 h3h4 g5g4 e1h1 f8h6 f2f4,-63
2b1kb2/p1p3p1/8/4p3/7P/5P2/PPPPP1P1/4K3 b - -,f8e7 h4h5 e5e4 f3e4 c8g4 h5h6 g7h6 c2c3 h6h5 a2a4,-533
6k1/5bpp/5p2/2N5/2P5/4P2P/6P1/7K b - -,,0
r2q2kr/ppp3p1/2n4p/2bpPb2/8/2N2NQ1/PP3PPP/R1B2RK1 b - -,a7a6 f3h4 f5e6 h4g6 e6f5 g6h8 g8h8 c1d2 d8d7 f1e1,88
r3r1k1/2pq1ppp/p2b4/3b4/Pp1Q1B2/5N2/1P3PPP/R4RK1 b - -,c7c6 f4d6 d7d6 f1e1 h7h6 f3h4 c6c5 d4d2 e8e1 a1e1,-269
4B3/R6p/6p1/8/1p4P1/2k5/p4PKP/r7 b - -,a1e1 a7a2 e1e8 a2a7 e8e4 g2f3 e4c4 a7h7 b4b3 h7e7,-327
8/8/P2p4/2b5/2P2k1P/6p1/4B1K1/8 b - -,f4e5 h4h5 e5f6 g2g3 f6e6 e2g4 e6f7 g3f4 f7g7 f4e4,787
8/6p1/8/7P/4k2P/8/5K2/8 b - -,,0
2rq1rk1/3bppbp/p1np1np1/1p4B1/3NP3/1BN4P/PPP1QPP1/3R1RK1 b - -,b5b4 g5f6 g7f6 d4c6 d7c6 c3d5 c6b5 d5f6 e7f6 e2d2,-134
r6r/1bkn3p/2n1p1p1/pp1pPp1P/2pP1P2/P1P1B1N1/1PBK2P1/R6R b - -,a8g8 h1h2 b5b4 a1h1 g8g7 h5g6 g7g6 g3f5 e6f5 c2f5,113
5b2/1k3pp1/p7/4PP2/8/P1R5/1PP5/2KQ3q b - -,h1c6 c3c6 b7c6 d1d8 f8c5 e5e6 f7e6 f5e6 a6a5 c1d2,9605
5b2/5p1p/6p1/k1Np4/P2P4/1K2P3/5PPP/8 b - -,f8g7 c5b7 a5b6 b7d8 f7f5 d8e6 g7f6 e6f4 b6c6 f4d3,492
6k1/5p1p/p3p1p1/2n5/2P5/2P5/P4KPP/3B4 b - -,f7f5 d1f3 e6e5 f3c6 g8g7 f2e2 g7f6 e2e3 f6f7 c6d5,-317
2b1k3/p1p1b1p1/8/4p2P/8/5P2/PPPPP1P1/4K3 b - -,e5e4 f3e4 c8g4 c2c3 g4h5 d2d3 e8d7 b2b3 h5g6 e1d2,-535
6k1/6pp/5p2/8/2b1N3/4P2P/6P1/7K b - -,,0
3r2k1/5pp1/p6p/8/4q3/P1Q4P/5PP1/4R1K1 b - -,,0
1k6/8/3p4/2p1p2R/8/1p5P/8/6K1 b - -,b3b2 h5f5 b2b1q f5f1 b1e4 f1f8 b8c7 f8f7 c7c6 f7a7,-814
r3kb1r/pp2pppp/2p2n2/q7/P5b1/1P2QN2/1BPP1PPP/2KR1B1R b kq -,a8d8 f1e2 e7e6 h1e1 f6d5 e3g5 g4f5 e2c4 f5g6 g5e5,62
q2r2k1/5pp1/p6p/8/8/P6P/2Q2PP1/4R1K1 b - -,,0
r7/3PPk2/p1R4p/Pp6/8/2P3P1/2P2P1K/8 b - -,a8d5 e1e4 g7g6 e4f4 d5d1 c2d1 d8d1 g1h2 d1d5 f4a4,Mate
rn1qkb1r/ppp2ppp/1n6/4p3/3PP3/2N1BP2/PP3P1P/R2QKB1R b KQkq -,e5d4 e3d4 d8h4 d4e3 b8d7 f3f4 f8c5 d1f3 e8a8 e1a1,23
2b1k3/p1p1b1p1/8/7P/4P3/8/PPPPP1P1/4K3 b - -,c8g4 d2d4 g4h5 e1d2 c7c5 c2c3 c5d4 c3d4 e7g5 d2d3,-525
r1bqr3/ppp2k2/2n2b2/3p2pp/6n1/5NP1/PPPBNPBP/R2QK2R b KQ -,g4e5 f3e5 c6e5 e1h1 e5c4 d2c3 c7c6 e2d4 c8g4 d1d3,47
r3r1k1/1p1nqppp/p1p5/3pN3/PP1PN3/4P3/2Q2PPP/1R3RK1 b - -,d5e4 e5d7 e7d7 f1c1 e8e6 c2e2 h7h6 c1c5 a8e8 b1c1,89
8/1p1b1pk1/6p1/p3p3/PqPpP1P1/1P1BbP2/4N1K1/3Q4 b - -,g7f6 e2g3 f6e7 g3f1 e3g5 g2f2 e7d6 f2e2 b4c3 f1d2,-212
r1bqk2r/ppppb1pp/8/n3N3/8/2P2Q2/P4PPP/R1B1R1K1 b - -,d7e6 e2g3 g7f6 g2f1 f6e7 f1e2 e3g5 g3f1 g5f4 d1c2,Mate
r3kb1r/pp2pppp/2p2n2/q7/6b1/1P2QN2/PBPP1PPP/1K1R1B1R b kq -,a8d8 h2h3 f6d5 e3e2 g4h5 g2g4 h5g6 a2a3 f7f6 e2e1,45
6k1/6pp/5p2/3b4/8/4P2P/3N2P1/7K b - -,,0
r6r/1bkn3p/2n1p1p1/p2pPp1P/1PpP1P2/2P1B1N1/1PBK2P1/R6R b - -,h8b8 h5g6 h7g6 b4b5 c6a7 h1h6 d7f8 a1a5 c7b6 a5a4,214
2kr4/ppp2p2/4pp1b/5r1p/3n1P2/P1NB2P1/1PP4P/1K1R3R b - -,f5c5 c3e4 c5a5 e4f6 h5h4 d1g1 c7c6 g3h4 d4f5 f6g8,32
rn1qkb1r/ppp2ppp/1n6/8/3BP3/2N2P2/PP3P1P/R2QKB1R b KQkq -,d8h4 h1g1 b8c6 d4g7 f8g7 g1g7 h4f6 g7g3 c6d4 a2a4,35
6k1/pbr2pp1/2q4p/4PB2/1Q1p1P2/4r3/5RPP/1R4K1 b - -,e3c3 b4d4 g7g6 f5g4 c3c4 d4d2 c4c1 d2c1 c6c1 b1c1,-26
r3r1k1/5ppp/p1pq4/3b4/Pp1Q4/5N2/1P3PPP/R3R1K1 b - -,h7h6 f3h4 c6c5 d4d2 d6d7 h2h3 e8e1 a1e1 d5e6 d2e3,-281
r1R5/3Pk3/p6p/Pp6/8/2P3P1/2P2P1K/8 b - -,a6a5 h2h3 d6g6 d4f4 h7h6 a1c1 a8d8 g1h2 g8h7 f3h4,Mate
8/5kpp/5p2/3b4/8/4P2P/3N2P1/6K1 b - -,,0
r1bqkr2/ppppb1pp/8/n3N2Q/8/2P5/P4PPP/R1B1R1K1 b - -,g7g6 e3e4 d5c6 g1f2 g6g5 f2g3 h7h6 g3g4 f7g6 h3h4,Mate
5b2/1k3pp1/p7/4PP2/8/P1R5/1PP5/3K4 b - -,g7g6 f5g6 f7g6 c3f3 f8c5 e5e6 b7b6 f3b3 b6a5 b3b7,821
r1bq1bk1/ppp3p1/7r/3p3p/1n1P4/N3Q3/PPP1NPPP/R1B1K2R b KQ -,h6e6 e3c3 d8f6 c1e3 e6c6 c3d2 c8f5 e1h1 b4c2 a1c1,-121
4k3/p1p1b1p1/8/7P/4P1b1/3P4/PPP1P1P1/4K3 b - -,g4h5 e1d2 c7c5 c2c3 e7g5 e2e3 e8d7 b2b3 h5g6 d2e2,-525
r3r3/p4k2/1pb1pnR1/4N3/P7/1P2R3/2P2PP1/6K1 b - -,f7e7 e5c6 e7f7 c6e5 f7e7 g6g7 e7d6 e5f7 d6c5 g7g6,506
8/R4B1p/6p1/8/6P1/1pk5/p4PKP/r7 b - -,b3b2 f7a2 a1a2 a7a2 b2b1q a2a3 c3d4 a3e3 b1b7 g2g1,-237
6R1/4P2k/5K2/7p/8/8/2pp3P/8 b - -,a1c1 a7a2 b3a2 f7a2 g6g5 a2d5 c3d3 h2h3 h7h6 h3h4,Mate
q4r2/3R1p1k/6pp/p7/8/P6P/2Q2PP1/6K1 b - -,a8e8 c2d1 e8e6 d1d4 f8c8 d4d5 e6d5 d7d5 h6h5 d5a5,4
r1bqkr2/ppppb2Q/6p1/n3N3/8/2P5/P4PPP/R1B1R1K1 b - -,a8e8 c2d1 e8e6 d1d4 f8c8 d4d5 e6d5 d7d5 h6h5 d5a5,Mate
8/5kpp/8/3b1p2/8/4P2P/3N1KP1/8 b - -,,0
r3kb1r/pp2pppp/2p5/q2n4/4Q1b1/1P3N2/PBPP1PPP/1K1R1B1R b kq -,d5f6 e4f4 a5f5 f4c7 f5d7 c7g3 g4f3 g3f3 d7g4 f1e2,37
r1bq1bk1/ppp3p1/4r3/3p3p/1n1P4/N1Q5/PPP1NPPP/R1B1K2R b KQ -,d8f6 c1e3 e6c6 c3d2 c8f5 e1h1 b4c2 a1c1 f8b4 d2d1,-103
8/6pp/5k2/3b1p2/8/4P1PP/3N1K2/8 b - -,,0
4k3/p1p1b1p1/8/7b/4P3/3P4/PPPKP1P1/8 b - -,e8d7 e2e3 c7c5 c2c3 h5f7 b2b3 f7g6 d2c2 e7g5 c2d2,-530
r1b3k1/1p1p4/p1n1p2p/2Nn4/4N3/3Bb3/PPP3PP/R6K b - -,c6e5 c2c4 d5e7 d3c2 b7b6 a1e1 e3c5 e4c5 b6c5 e1e5,-379
2r2rk1/3bppbp/pqNp1np1/1p4B1/4P3/1BN4P/PPP1QPP1/3R1RK1 b - -,d7c6 c3d5 c6d5 e4d5 a6a5 c2c3 a5a4 b3c2 b6b7 f1e1,-8
R7/3k4/p6p/Pp6/8/2P3P1/2P2P1K/8 b - -,d7c6 c3d5 c6d5 e4d5 a6a5 c2c3 a5a4 b3c2 b6b7 f1e1,Mate
8/8/4k3/p7/Pp3KP1/8/8/8 b - -,d7c6 c3d5 c6d5 e4d5 a6a5 c2c3 a5a4 b3c2 b6b7 f1e1,Mate
8/8/8/8/8/2K1Bk2/2N5/8 b - -,f3e4 c3c4 e4e5 e3g1 e5d6 g1h2 d6c6 c2d4 c6d7 c4d5,164
r5k1/5pp1/3p1q1p/2p1p2b/2N1P3/3PQ2P/2P2PP1/5RK1 b - -,f6e6 f1b1 a8a6 e3g3 e6e7 c4e3 e7d8 b1b7 a6a2 g1h2,83
r3k1nr/1bq2ppp/p2bp3/3N4/8/3B1Q2/PPP2PPP/R1B1R1K1 b kq -,b7d5 f3d5 a8d8 d5g5 g8e7 g5g7 d6h2 g1f1 h8g8 g7f6,222
2r2rk1/4ppbp/pqbp1np1/1p4B1/4P3/1BN4P/PPP1QPP1/3R1R1K b - -,b5b4 g5f6 g7f6 c3d5 c6d5 d1d5 f6b2 f2f4 a6a5 h3h4,-154
8/p1pkb1p1/8/7b/4P3/2PP4/PP1KP1P1/8 b - -,c7c5 b2b3 e7f6 a2a3 f6g5 d2d1 h5e8 d1c2 d7c8 c2d1,-525
8/ppp5/1b1p1k2/4pP2/7P/1P1P2K1/P1P5/8 b - -,f6f5 b3b4 d6d5 g3f3 b6d4 f3g3 d4c3 a2a3 c3d4 g3f3,-582
R7/3k4/p6p/P7/1P6/6P1/2P2P1K/8 b - -,b6d4 g3g4 c7c6 b3b4 d6d5 c2c4 d4e3 g4f3 e3h6 c4d5,Mate
3r3k/1b4pp/p1q5/3QnR2/2P5/P7/4B1PP/7K b - -,d8e8 d5c6 b7c6 h1g1 a6a5 c4c5 g7g6 f5f6 h8g7 f6d6,-422
1r4k1/4bppp/1q2p3/p2p4/2pP1P2/P1P4P/1P1Q2P1/1R1R2K1 b - -,e7d6 d1f1 b8b7 g1h1 g7g6 g2g4 b6d8 b1e1 h7h5 d2f2,139
2r2rk1/1q2ppbp/p1bp1np1/1p4B1/4P3/1BN2P1P/PPP1Q1P1/3R1R1K b - -,b5b4 c3a4 c6b5 e2f2 b5f1 f2f1 c8c6 f1e1 f8c8 g5d2,-193
8/p2kb1p1/8/2p4b/4P3/2PPP3/PP1K2P1/8 b - -,h5g6 b2b3 e7g5 a2a3 d7c8 e4e5 c8d7 c3c4 d7e6 b3b4,-526
5r1k/8/1N6/2b4p/2P2pp1/2R5/4N3/5K2 b - -,c5b6 c4c5 b6c7 e2d4 c7e5 c3c4 f4f3 d4c2 h8h7 c5c6,-383
8/p2kb1p1/6b1/2p5/4P3/1PPPP3/P2K2P1/8 b - -,e7f6 d2c2 f6g5 c2d2 g6h5 a2a3 h5g6 c3c4 g5f6 b3b4,-529
8/6pp/8/5p2/4k2P/4P1P1/4K3/8 b - -,,0
r3kb1r/pp2pppp/2p5/q2n1b2/2Q5/1P3N2/PBPP1PPP/1K1R1B1R b kq -,a8d8 f3d4 f5c8 f2f4 e7e6 g2g3 f8a3 f1g2 e8h8 h1e1,37
2r2rk1/1q2ppbp/p1bp1np1/3N2B1/1p2P3/1B3P1P/PPP1Q1P1/3R1R1K b - -,c6b5 e2d2 b5f1 g5f6 f1g2 h1g2 g7f6 d5f6 e7f6 h3h4,-251
8/6pp/8/3k1p2/7P/4PKP1/8/8 b - -,,0
8/8/R3k2p/P7/1P6/6P1/2P2P1K/8 b - -,d5e6 f3f4 e6f6 h4h5 h7h6 e3e4 f5e4 g3g4 g7g5 h5g6,Mate
3r3k/1b4pp/p7/3PnR2/8/P7/4B1PP/7K b - -,e5d7 f5f1 d8e8 e2d3 d7c5 d3c4 c5e4 h1g1 e4d2 f1f7,-393
8/p2k2p1/5bb1/2p5/4P3/1PPPP3/P1K3P1/8 b - -,d7d6 c2d2 d6d7 d2c2 f6g5 c2d2 g6h5 g2g3 h5g6 d2e2,-535
rnbqkbnr/p3pppp/1ppp4/8/3P4/4PN2/PPPB1PPP/RN1QKB1R b KQkq -,g8f6 c2c4 g7g6 b1c3 f8g7 f1e2 b8d7 e1h1 e8h8 e3e4,47
5r1k/8/1b6/2P4p/5pp1/2R5/4N3/5K2 b - -,b6c7 c5c6 f8d8 e2f4 c7f4 c3c5 h8h7 c5h5 h7g6 h5c5,-412
8/6pp/8/4kp2/7P/4P1P1/5K2/8 b - -,,0
2r5/1K6/8/8/8/8/5Q2/7k b - -,c8g8 f2f1 h1h2 b7c6 g8a8 c6d7 a8a2 f1e1 a2a3 e1d2,Mate
r4rk1/pp1n2p1/1qpb1pB1/3p2B1/3P2P1/2N2P2/PPP3Q1/2K4R b - -,b6b2 c1b2 f8f7 g2h3 g8f8 h1e1 d6e5 h3h8 f8e7 h8a8,1105
8/3K2p1/8/3k3P/7P/8/8/8 b - -,,0
6k1/p1R3pp/8/8/P1p5/4P1P1/3r1P1P/6K1 b - -,d2c2 c7a7 c2a2 a4a5 c4c3 a7c7 c3c2 g1g2 h7h5 a5a6,332
5b2/7p/4N1p1/k2p1p2/P2P4/1K2P3/5PPP/8 b - -,f5f4 e6f8 f4e3 f2e3 a5a6 b3b4 a6b6 f8d7 b6c7 d7e5,700
r2r2k1/2p2ppp/1bp2q2/p7/Pn4b1/1P1B4/1BPQ1PPP/R2NR1K1 b - -,f6g6 e1e8 d8e8 d3g6 h7g6 d1e3 a8d8 d2c3 b6d4 c3d4,76
rnbqkb1r/pp1n2pp/4p3/2pppP1Q/3P4/2N1B3/PPP3PP/R3KBNR b KQkq -,g7g6 f5g6 d7f6 g6g7 f6h5 g7h8q e5d4 h8h7 h5f6 f1b5,411
rnbqkbnr/4pppp/1ppp4/p7/2PP4/4PN2/PP1B1PPP/RN1QKB1R b KQkq -,g8f6 b1c3 g7g6 f1e2 f8g7 e3e4 e8h8 e1h1 e7e5 d4d5,63
8/8/7R/P2k4/1P6/6P1/2P2P1K/8 b - -,g8f6 b1c3 g7g6 f1e2 f8g7 e3e4 e8h8 e1h1 e7e5 d4d5,Mate
2r2rk1/1q2ppbp/p2p1np1/1b1N2B1/1p2P3/1B3P1P/PPPQ2P1/3R1R1K b - -,b5f1 g5f6 f1g2 h1g2 g7f6 d5f6 e7f6 d2f4 g8g7 d1d6,-291
8/p5p1/3k1bb1/2p5/4P3/1PPPP3/P2K2P1/8 b - -,d6d7 a2a3 f6e7 c3c4 e7f6 d2c2 a7a5 c2d2 g6h5 d2c2,-533
r2qkb1r/1p3ppp/p2pbn2/4p3/2NnP3/2N5/PPP1BPPP/R1BQ1RK1 b kq -,a8c8 c4e3 d4e2 d1e2 f8e7 e2d3 e8h8 a2a4 d8d7 f1d1,24
r1bq1rk1/ppp2pb1/n2p1npp/3Pp3/2P1P1P1/2N4P/PP1NBP2/R1BQK2R b KQ -,f6e8 h1g1 c7c6 d2f3 a6c5 b2b4 c5d7 c1e3 c6d5 c4d5,108
8/2K1k3/8/8/5Q2/8/8/8 b - -,f6e8 h1g1 c7c6 d2f3 a6c5 b2b4 c5d7 c1e3 c6d5 c4d5,Mate
r2r2k1/5pp1/pQ1N2qp/4p3/4P3/P6P/5PP1/2RR2K1 b - -,g6e6 b6c5 g8h7 d6f5 a8c8 c5e3 d8d1 c1d1 a6a5 e3f3,525
6k1/8/3Q4/5K2/8/8/8/6r1 b - -,g1f1 f5e6 f1e1 e6d7 e1g1 d6d4 g1g5 d7e6 g5g6 e6e7,9605
rnbqkb1r/pp1n3p/4p1P1/2ppp2Q/3P4/2N1B3/PPP3PP/R3KBNR b KQkq -,d7f6 g6g7 f6h5 g7h8q e5d4 h8h7 h5f6 f1b5 b8c6 h7g6,416
rnb1k1nr/pppp1ppp/5q2/4p3/4P1Q1/2P2N2/P1PP1PPP/R1B1KB1R b KQkq -,b8c6 d2d4 d7d6 g4g5 f6g5 c1g5 g8e7 f1d3 b7b6 a2a4,14
r2r2k1/pp2ppbp/2nqb1p1/3P3P/2B1P3/2R1B3/P3NPP1/3Q1K1R b - -,c6a5 e3d4 g7d4 d1d4 a5c4 c3c4 a8c8 f2f3 c8c4 d4c4,28
r7/1K6/8/8/8/8/5Q2/7k b - -,a8e8 f2f1 h1h2 f1f7 e8e2 f7h5 h2g3 h5e2 g3f4 e2e7,9605
6k1/p5pp/8/8/P7/2R1P1P1/3r1P1P/6K1 b - -,d2d7 c3c6 h7h5 g1g2 g8h7 h2h4 d7f7 c6a6 f7e7 g2f3,476
r2qkb1r/1p3ppp/p2pbn2/4p3/2N1P3/2N5/PPP1QPPP/R1B2RK1 b kq -,b7b5 c4e3 f8e7 f1d1 d8d7 c3d5 f6d5 e3d5 d7c6 c2c3,42
rn1qkb1r/pb3ppp/2p1pn2/3p4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,b8d7 c1f4 f8e7 c4d5 f6d5 c3d5 c6d5 d1a4 e8h8 a1c1,55
8/8/4K2p/7P/5k2/8/8/8 b - -,,0
rn3rk1/1p4qp/p3p1b1/3pPpN1/2pP4/P1N5/1PPQ1PP1/2KR3R b - -,g7d7 d2f4 f8f7 g5f7 d7f7 h1h3 b7b5 f4g5 b8d7 d1h1,369
6k1/8/3Q4/4K3/8/8/8/5r2 b - -,g7d7 d2f4 f8f7 g5f7 d7f7 h1h3 b7b5 f4g5 b8d7 d1h1,Mate
r1b1k1nr/1ppp1ppp/p1B2q2/4p3/4P1Q1/2P2N2/P1PP1PPP/R1B1K2R b KQkq -,b7c6 d2d4 d7d6 g4g3 e5d4 e4e5 f6g6 c1a3 g6g3 h2g3,39
8/ppp5/1b1p4/4pk2/2P4P/1P1P2K1/P7/8 b - -,b6d4 g3f3 c7c6 f3g3 e5e4 d3e4 f5e4 g3g2 d4e3 g2f1,-631
1q3rk1/p3bppp/b1nppn2/2p5/4PP2/P1NP2P1/2P1N1BP/2BQ1RK1 b - -,c6d4 f4f5 e6f5 e4f5 a6b7 e2d4 b7g2 g1g2 c5d4 c3e2,-56
2r4k/1R4P1/7K/8/6P1/8/8/8 b - -,h8g8 b7b6 c8e8 g4g5 e8d8 b6e6 g8f7 e6g6 f7g8 g6b6,6014
rnbqk2r/ppp1bP2/8/3p2pp/3N1B2/2N3PP/PPP2n2/R2QKB1R b KQkq -,e8f7 d1f3 g5f4 f3f2 c7c6 e1a1 b8d7 f2f4 e7f6 c1b1,138
r2r2k1/pp2pp1p/2nqb1p1/3P3P/2B1P3/2N1B3/P4PP1/3Q1K1R b - -,d6e5 d1e1 c6a5 f2f4 e5g7 c4d3 b7b6 h5h6 g7f8 f1g1,82
2r3k1/3br2p/1p4p1/p2R1p2/2P1p3/1P5P/P1B2PP1/3R2K1 b - -,d7c6 d5d8 c8d8 d1d8 g8f7 d8b8 e7b7 b8c8 c6d7 c8h8,-32
rnbqkb1r/pp4Pp/4pn2/2ppp2Q/3P4/2N1B3/PPP3PP/R3KBNR b KQkq -,f6h5 g7h8q e5d4 h8h7 h5f6 f1b5 b8d7 h7g6 e8e7 e3g5,424
2R3k1/p5pp/8/8/P7/4P1P1/r4P1P/6K1 b - -,g8f7 c8c7 f7f6 c7a7 h7h6 a7a6 f6f7 h2h4 a2c2 g1g2,521
1k1r1b2/1B2qpp1/p7/4PP2/6Q1/P1R5/1PP4r/2KR4 b - -,b8b7 d1d8 e7d8 c3b3 b7a7 g4g1 a7a8 g1h2 d8c7 h2g2,702
r1b1kbnr/p1q2ppp/4p3/2ppP3/5B2/3B4/PPP2PPP/RN1Q1RK1 b kq -,c5c4 d3e2 g8e7 b2b3 e7g6 f4g3 c8a6 c2c3 h7h5 h2h4,-21
1r4k1/4bppp/4p3/p2p4/2pP1P2/PqP4P/1P1Q2P1/1RR3K1 b - -,h7h6 c1f1 g7g6 g2g4 g8h7 g1h1 b8g8 f1g1 e7d6 b1f1,162
8/p1R2kpp/8/8/P7/4P1P1/r4P1P/6K1 b - -,f7g6 c7a7 h7h5 h2h4 a2c2 a7a5 c2c6 g1f1 g6h6 f1g2,529
3r3k/1b4pp/p5n1/3P1R2/8/P4B2/6PP/7K b - -,g6h4 f5f7 d8c8 h1g1 h4f3 f7f3 b7d5 f3d3 c8c5 g2g4,-464
8/p2k2p1/8/2p3bb/4P3/1PPPP1P1/P2K4/8 b - -,d7e6 a2a4 e6d6 d3d4 c5d4 c3d4 h5g6 e4e5 d6d5 b3b4,-612
1r3rk1/pp3pbp/4b1p1/4p3/4P3/3B1N1P/PPP2PP1/R4RK1 b - -,f7f6 f1d1 f8d8 g1f1 b8c8 f1e2 g7f8 f3d2 f8c5 d3b5,53
r2qkb1r/1pp2ppp/p1n1p3/3nP3/2QP4/2N2N2/PP3PPP/R1BR2K1 b kq -,f8b4 c4d3 h7h6 c3e4 d8d7 a2a3 b4e7 a1b1 a6a5 c1e3,21
r2qkbnr/pbpn1ppp/1p6/1B1p4/8/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,c7c6 b5a4 f8d6 c3e2 b6b5 a4b3 g8f6 e1h1 e8h8 e2d4,-29
8/R5pp/6k1/8/P7/4P1P1/r4P1P/6K1 b - -,g6f6 g1g2 a2c2 a7a6 f6e7 a6a5 c2c7 a5b5 e7d6 a4a5,553
2r2rk1/4ppbp/p2p2p1/1q1B2B1/1p2P3/5P1P/PPPQ2P1/1R5K b - -,e7e6 d5b3 a6a5 c2c4 b4c3 b2c3 c8c3 a2a4 b5c5 b3d1,-386
3r3k/1b3Rpp/p7/3P4/7n/P4B2/6PP/7K b - -,d8c8 h1g1 h4f3 f7f3 b7d5 f3f5 d5c4 g2g4 c4b5 g4g5,-469
1k3b2/1B2qpp1/p7/4PP2/8/P1R5/1PP4r/2KQ4 b - -,b8a7 d1d4 a7b7 d4d5 b7b8 c1b1 h2h6 f5f6 h6f6 c3b3,769
2q3k1/Rbp2pp1/3r3p/1Pp5/2B1P3/1QBn1PPn/3N3P/5K2 b - -,h3f4 g3g4 c8d8 c4d3 d6d3 a7b7 d3e3 b7c7 d8d3 f1f2,-83
8/8/8/4k3/1N1B4/3K4/8/8 b - -,e5d6 d3e4 d6c7 e4d5 c7b7 d5d6 b7a8 d6c6 a8b8 d4g1,144
r2n1rk1/p2qbppp/1p1p1n2/3Pp3/4P3/2N1BN1P/PP3PP1/R2QR1K1 b - -,f6e8 a2a4 g7g6 a4a5 b6a5 a1a5 f7f5 d1a1 d8f7 e1b1,132
4K3/8/7p/7P/8/3k4/8/8 b - -,,0
8/8/8/P7/1Pk4R/6P1/2P2P1K/8 b - -,d3e4 e8f8 e4f4 f8e7 f4g5 e7e6 g5h5 e6f5 h5h4 f5f4,Mate
1r1b2k1/5ppp/4p3/p2p4/2pP1P2/PqP4P/1PQ3P1/1RR3K1 b - -,d8c7 c2f2 h7h5 c1f1 b3b6 g2g4 h5g4 h3g4 g7g6 f4f5,141
6k1/5pp1/3p1q1p/2p1p2b/2N1P3/3PQ2P/r1P2PP1/2R3K1 b - -,f6e6 e3e1 h5g6 e1c3 a2a4 c1e1 a4a6 c3b3 f7f5 b3b7,73
r1bqk1nr/pp1pppbp/2n3p1/2p5/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq -,c5d4 e3d4 c6d4 f3d4 g7d4 c2c3 d4g7 d2e4 g8f6 e4f6,-63
