6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
r2q1rk1/pp2p1bp/2n1bpp1/2Np4/3P4/2N1BQ2/PPP2PPP/R4RK1 b - -,e6f7 c5b7 d8b8 b7c5 b8b2 c3d5 c6d4 d5e7 g8h8 e3d4,-1
rnbq1rk1/ppp1ppbp/3p2p1/3N4/3PP3/2P2N2/PP3PPP/R2QKB1R b KQ -,b8d7 f1d3 e7e5 e1h1 e5d4 c3d4 c7c5 d4c5 d7c5 a1b1,-40
8/5pk1/6p1/3R3p/4PKPP/1r3P2/8/8 b - -,h5g4 f4g4 b3b1 g4g3 b1h1 d5a5 h1g1 g3h2 g1f1 h2g2,11
5R2/8/8/1r2p3/4Kp2/8/5k2/8 b - -,b5b4 e4d5 f4f3 d5e5 f2g3 f8g8 b4g4 g8b8 f3f2 b8b3,-976
2rq1rk1/1p3ppp/2n1bn2/3p4/1b1N4/4PN2/1B2BPPP/RQ3RK1 b - -,d8e7 d4c6 b7c6 f3g5 f6e4 g5e4 d5e4 b1e4 b4d6 e2d3,20
5k2/6pp/pq6/4p3/8/1P3P1P/1r3PK1/2R1Q3 b - -,,0
4rbk1/1bpr1pp1/p3q2p/1p2p3/nP2P3/PBP2N2/3BQPPP/1R2R1K1 b - -,e6f6 c3c4 e8d8 c4b5 d7d2 f3d2 a4c3 e2e3 c3b1 e1b1,3
B4rk1/p1p2ppp/8/4q3/6b1/2N5/PPP2BQb/R4K2 b - -,e5e6 g2h2 f8a8 a1e1 e6g6 c3d5 g6c2 h2g2 c2d3 f1g1,145
rr3nk1/p1q1nppp/3bp3/3p4/3P2NB/2PBR2Q/P4PPP/4R1K1 b - -,e7f5 d3f5 e6f5 g4e5 f5f4 e3e2 d6e5 e2e5 f8g6 e5d5,-187
8/8/2p5/5k1p/8/4Kp2/8/Bb6 b - -,f5g4 a1e5 c6c5 e3d2 h5h4 e5c7 c5c4 c7b6 h4h3 b6g1,-949
1k1r4/p5P1/2p2pP1/3pp3/4P3/2Nb4/P4b1B/3K2R1 b - -,f2g1 h2g1 d8g8 e4d5 g8g7 d5c6 d3g6 g1c5 b8c7 c5a7,-443
r1bqkb1r/pp1npppp/2p2n2/8/8/1P3NN1/P1PP1PPP/R1BQKB1R b KQkq -,g7g6 c1b2 f8g7 a2a4 e8h8 f1c4 b7b6 e1h1 c8b7 f1e1,9
r3r3/pkq5/1pb3Qp/2p3p1/8/6P1/PPPB1P1P/2KRR3 b - -,a8c8 h2h4 e8g8 g6h6 c7f7 b2b3 g5h4 h6h4 c8e8 e1e8,180
rnb2rk1/1p2p1b1/p2p3p/2pPP3/5Qp1/2N2N2/PPP1BPP1/1R2R1K1 b - -,f8f4 f3h4 d6e5 h4g6 f4f7 a2a4 h6h5 e2c4 c8f5 g6e5,101
r1bqk1nr/pppp1ppp/1bn5/4P3/2BP4/1QN2N2/P4PPP/R1B1K2R b KQkq -,g8h6 c1h6 e8h8 e1h1 d7d6 h6g5 c6d4 g5d8 d4b3 a2b3,320
rnbqk2r/ppp2ppp/3b1n2/1N1p4/8/3P1N2/PPP1BPPP/R1BQK2R b KQkq -,e8h8 b5d6 d8d6 e1h1 f8e8 c2c3 h7h6 f1e1 c8f5 c1d2,13
rnbb1rk1/p4pp1/7p/1pp1P3/2p1Q3/5N2/PP3PPP/1K3B1R b - -,d8b6 e4a8 c8f5 b1a1 b8a6 a8b7 a6b4 a2a3 b4c2 a1a2,410
r1b1k2N/pppp3Q/2n3p1/4p3/8/8/PPPP1K1P/RNB4q b - -,d7d5 b1c3 c6d4 h7f7 e8d8 f7d5 h1d5 c3d5 c8f5 h8f7,207
2rq1rk1/1p3ppp/4bn2/3p4/8/2B1PN2/4BPPP/RQ3RK1 b - -,f6e4 c3d4 e6g4 b1b2 f8e8 f1c1 c8c1 a1c1 d8d6 c1a1,444
r3kn1r/pbq2p2/1ppbp2p/6pB/3P2Q1/5N2/PPPB1PPP/2KR3R b kq -,d6f4 d2f4 c7f4 g4f4 g5f4 f3e5 h8h7 h1e1 e8e7 e5d3,182
rnb3k1/1p2p1b1/p2p3p/2pPP3/5rp1/2N2NP1/PPP1BP2/1R2R1K1 b - -,,0
8/5p2/5kp1/3R3P/4P1K1/1r3P2/8/8 b - -,g6h5 d5h5 b3b4 h5c5 f6g6 c5g5 g6f6 g4h5 b4b1 g5f5,16
5k2/6p1/pq6/4p2p/1QR5/1P3P1P/1r3PK1/8 b - -,,0
3q1rk1/1Q3ppp/4bn2/3p4/8/2r1PN2/4BPPP/R4RK1 b - -,d8c8 b7b1 e6f5 b1d1 f5g4 f3d4 g4e2 d4e2 c3c4 h2h3,23
1rb2rk1/2q1bppp/N2ppn2/np6/2P1PP2/1PN1B1P1/P3Q1BP/R4RK1 b - -,c7d7 a6b8 d7c7 c3b5 c7b8 e4e5 f6d5 e3a7 b8b7 e5d6,633
8/5p2/5k2/7R/4P1K1/1r3P2/8/8 b - -,b3b4 h5a5 f6g6 a5g5 g6f6 g4f4 b4a4 g5g8 a4a5 f4g4,12
r2qkb1r/pp3pp1/5n2/4p3/6bp/2N2nPP/PPPP1PB1/R1BQ1RNK b kq -,f3g1 h3g4 f8c5 d2d4 h4g3 h1g1 g3f2 g1f2 c5d4 f2e1,188
5k2/6p1/p7/4p2p/1R6/1P3P1P/1r3PK1/8 b - -,,0
r1bqk2r/1p2bppp/p2p4/4p3/2P1P3/1P1Q4/PB3PPP/RN3RK1 b kq -,b7b5 c4b5 e8h8 b1c3 a6b5 f1d1 c8g4 f2f3 g4e6 c3b5,117
r2qkbnr/pp1npppp/2p3b1/3pP1B1/3P4/2NB4/PPP2PPP/R2QK1NR b KQkq -,h7h6 g5h4 g6d3 d1d3 g7g5 h4g3 e7e6 h2h4 g5g4 f2f3,45
r1bqkb1r/pp1npppp/2p2n2/8/8/5NN1/PPPPQPPP/R1B1KB1R b KQkq -,g7g6 g3e4 f6e4 e2e4 d7b6 e4h4 c8f5 f3d4 d8d5 a2a4,-28
r1b1nrk1/1p1nqpbp/p3p1P1/P2pP3/3B4/1BN2N2/1PP1QPP1/R3K2R b KQ -,f7g6 e2e3 e8c7 e1a1 h7h6 h1h6 g7h6 e3h6 e7h7 h6e3,319
rnb3k1/1p2p1b1/p2p3p/2pPP3/6p1/2N2BP1/PPP2P2/1R2R1K1 b - -,g7e5 c3a4 c8f5 a4b6 g4f3 b6a8 b8d7 e1e3 f5c2 b1e1,233
2rr2k1/pp2Nnp1/2pp1p1p/8/2P5/3PBBPP/1P1q1PK1/5R2 b - -,g8h8 e3d2 c8c7 e7g6 h8h7 g6f4 c7e7 f3e4 e7e4 d3e4,380
8/8/2p5/5k2/7p/4Kp2/1B6/1b6 b - -,f5g4 b2e5 c6c5 e3d2 c5c4 e5d4 h4h3 d4g1 b1d3 d2c3,-1225
1r3rk1/2q1bppp/b2ppn2/nP6/4PP2/1PN1B1P1/P3Q1BP/R4RK1 b - -,h7h5 a1c1 a6c8 h2h3 e7d8 e4e5 d6e5 b3b4 e5f4 e3f4,126
2rq1rk1/pp3ppp/3bbn2/1N1pn3/1P6/P3PN2/1B2BPPP/R2Q1RK1 b - -,a7a6 f3e5 a6b5 e2b5 f6e4 e5f3 d6b8 b5e2 e6g4 a1c1,128
r1bq1rk1/p2n2pp/1pn1p3/2ppPp2/5P2/2PBP1BQ/PP1N2PP/R3K2R b KQ -,d8e8 h1g1 a7a5 g3h4 c8a6 d3c2 h7h5 g2g4 h5g4 h3g3,67
8/5kp1/p7/4p2p/1R6/1P3PKP/1r3P2/8 b - -,,0
8/3k4/2b5/1p3p1N/3Pp3/1PK3Bp/5P2/8 b - -,c6b7 h5f4 e4e3 f2e3 b7g2 d4d5 d7e8 g3h2 e8f8 b3b4,652
8/8/8/5B2/8/5K2/2k1N3/8 b - -,c2b3 f5e6 b3b4 f3e4 b4b5 e2c3 b5b4 e4d4 b4a3 c3e2,9605
3KQ3/6p1/4kn1p/4N2P/6P1/8/8/8 b - -,f6e8 d8e8 e6e5 e8f7 e5f4 f7g7 f4g4 g7h6 g4f5 h6g7,953
r1bq2nr/pppp1kpp/1b6/n3P1N1/3P4/2N5/P4PPP/R1BQK2R b KQ -,d8g5 c1g5 d7d6 d1f3 f7g6 h2h4 h7h5 c3e2 d6e5 d4e5,Mate
8/6p1/pR3k2/4p2p/8/1P3PKP/1r3P2/8 b - -,,0
r1bq1rk1/1p1nbppp/p1n1p3/3pP3/5P2/1NNBB3/PPPQ2PP/2KR3R b - -,b7b5 c1b1 c6b4 b3d4 c8b7 h2h4 b4d3 c2d3 a8c8 h4h5,48
1r3rk1/4bppp/P2ppn2/n7/4PP2/1Pq1B1P1/P3Q1BP/R4RK1 b - -,e7d8 e4e5 f6d5 a6a7 b8a8 e3f2 d6e5 e2b5 c3c6 a2a4,54
r1n1r1k1/1pq2pb1/p2ppnp1/P1pP3P/4PP1Q/2N1B2R/1PP1B2P/R5K1 b - -,c7e7 h5g6 b7b5 d5e6 e7e6 f4f5 e6e5 e3h6 e5d4 g1h1,586
2rr3k/pp2Nnp1/2pp1p1p/8/2P5/3P1BPP/1P1B1PK1/5R2 b - -,d8f8 e7c8 f8c8 d2c3 f7e5 f3e2 d6d5 f1a1 c8d8 c4d5,506
8/r7/5ppk/7p/p7/R5PP/5PK1/8 b - -,h6g5 g2f3 g5f5 f3e3 f5e5 e3d3 e5d5 d3d2 a7a6 d2d3,-254
8/6p1/R7/4pk1p/8/1P3PKP/1r3P2/8 b - -,,0
8/8/8/1R3k2/4p3/r4p2/8/3K4 b - -,f5f4 d1c2 e4e3 b5b6 e3e2 b6b1 f4g3 c2d2 g3f2 b1h1,-1500
8/8/2k2p1p/2p1p1pP/r3P1P1/1K1R4/3B1P2/8 b - -,a4e4 d3f3 e4g4 f3f6 c6d5 f6h6 g4g2 d2e3 g2h2 h6h8,481
2rq1rk1/pp3ppp/3bbn2/1N1p4/1P6/P3PB2/1B3PPP/R2Q1RK1 b - -,a7a6 b5d6 d8d6 e3e4 d6f4 g2g3 f4h6 e4d5 f6d5 d1d4,84
3k3r/2p2Rpp/1b6/p1p5/P3p3/2P1B3/6PP/6K1 b - -,,0
8/4R1kp/p5pR/6Pn/Pp4B1/8/1PPr3r/6K1 b - -,g7g8 g4h5 h2h5 h6h5 g6h5 e7a7 d2c2 b2b3 c2b2 a7a6,Mate
rnbqk2r/pp3ppp/2pb1n2/3p2B1/8/2NP1N2/PPP1BPPP/R2Q1RK1 b kq -,c8f5 d1d2 e8h8 g5f4 d6e7 f1e1 b8d7 h2h3 f8e8 e2f1,-13
rnb1k2r/ppp2ppp/4pq2/3p4/QbPP4/2N2N2/PP2PPPP/R3KB1R b KQkq -,c8d7 a4b4 b8c6 b4c5 b7b6 c5a3 c6d4 f3d4 f6d4 c4d5,431
r1b1k1nr/1pqpbppp/p1n1p3/5N2/4P3/2N1BQ2/PPP2PPP/2KR1B1R b kq -,e7f8 e3f4 c7a5 f5d6 f8d6 f4d6 g8e7 h2h4 e8h8 a2a3,274
R5k1/3bqppp/1p2p3/8/8/7P/5PP1/5RK1 b - -,d7e8 f1c1 g8f8 g2g3 b6b5 h3h4 f7f5 c1a1 e7c5 a1a7,-381
1brq1rk1/pp3ppp/4bn2/1N1p4/1P6/P3PB2/1B3PPP/2RQ1RK1 b - -,d8d7 b5d4 d7d6 g2g3 c8c1 d1c1 e6h3 f1e1 f6e4 c1d1,41
5k2/7R/p4B2/1n1b2Kp/3p4/3P2P1/5P2/1r6 b - -,b1e1 h7h5 a6a5 h5h8 f8f7 h8d8 d5c6 f6d4 a5a4 d4f6,-263
r1b1nrk1/1p1nqpbp/p3p1p1/P2pP2P/3B4/1BN1QN2/1PP2PP1/R3K2R b KQ -,e8c7 h5g6 f7g6 e1a1 f8f5 g2g4 f5f8 c1b1 d7b8 c3a4,338
8/8/2p5/5k2/8/4Kp1p/8/Bb6 b - -,f5g4 a1e5 c6c5 e3d2 c5c4 d2e3 c4c3 e5c3 h3h2 c3e1,-1495
r1bqk1nr/pppp2pp/1b6/n2NP1N1/3P4/8/P4PPP/R1BQK2R b KQ -,g7g6 d1f3 g8h6 e1h1 b6d4 d5f6 e8f8 f1d1 h6f5 d1d4,347
6k1/pp3p2/3b2p1/3p2qp/8/5Q1P/PP4P1/5R1K b - -,g5e7 f3d5 d6b8 f1d1 e7e2 d5f3 e2e7 f3c3 g8h7 a2a4,83
8/r7/5pp1/5k1p/p7/R5PP/4KP2/8 b - -,f5e6 e2d1 e6d5 d1d2 a7a6 d2d1 a6a8 d1d2 f6f5 d2d1,-273
r2k3r/pbqn4/1ppbQ1pp/6p1/3P4/5N2/PPPB1PPP/2KRR3 b - -,d6f4 f3e5 f4d2 d1d2 d8c8 e5f7 h8d8 e6g6 d8f8 e1e7,342
r1bqkb1r/1pp1nppp/2n5/p3P1B1/2Pp4/P3PN2/1P3PPP/RN1QKB1R b KQkq -,c8g4 h2h3 g4f3 d1f3 h7h6 g5f4 g7g5 f4h2 f8g7 b1d2,3
r4rk1/2p3pp/1p3p2/n2qp3/1R6/3PB1P1/P1Q1PP1P/2R3K1 b - -,f8f7 d3d4 d5d6 b4a4 a8e8 d4e5 d6e5 a4h4 g7g6 c2a4,21
8/4bpk1/4p1p1/3pPn1p/5P2/2Q2B2/4NBKP/q7 b - -,a1a2 c3d3 e7d8 g2h3 d8a5 f2g1 a2a1 g1c5 a5b4 c5b4,26
2r3k1/5p1p/2q2Pp1/p2n4/5P2/P2R3P/2p3PK/2R2Q2 b - -,d5f6 d3d2 c6a4 f1d3 a4f4 h2g1 f6e4 c1c2 c8e8 d2e2,182
r1b1k1nr/1pqpbppp/p1n5/3N1p2/4P3/4BQ2/PPP2PPP/2KR1B1R b kq -,c7d6 e3f4 f5e4 f3g3 d6g6 d5c7 e8f8 c7a8 g6g3 h2g3,211
r1k4r/pbqn4/1p4Qp/2p1P1p1/8/8/PPPB1PPP/2KRR3 b - -,d7f8 g6f5 c7d7 f5f6 f8h7 f6h8 c8c7 e5e6 d7d2 d1d2,373
r2qkb1r/pp3p2/2n1ppb1/7p/3P3P/4B1N1/PP2BPP1/R2Q1RK1 b kq -,f8e7 e2f3 d8d7 d4d5 e6d5 f3d5 a8d8 d5f3 e7d6 a1c1,135
6k1/p6p/6p1/4bp2/1P2p2P/P3P1P1/4bP2/2r2NK1 b - -,f8e7 e2f3 d8d7 d4d5 e6d5 f3d5 a8d8 d5f3 e7d6 a1c1,Mate
