r2qkb1r/pbpn1ppp/1p1ppn2/8/3PP3/2NB1N2/PPP1QPPP/R1B2RK1 b kq -,f8e7 c1f4 f6h5 f4d2 e8h8 f1e1 g7g6 a1d1 c7c5 d4d5,113
r1bk1b1r/ppp2ppp/2n2n2/4p1B1/4P3/2N5/PPP2PPP/R3KBNR b KQ -,d8e8 e1a1 f8d6 g1f3 c8e6 g5f6 g7f6 f1b5 h8g8 g2g3,63
r2qkb1r/ppp1nppp/3p1n2/3Pp3/4P1b1/2NB1N1P/PPP2PP1/R1BQK2R b KQkq -,f6e4 h3g4 e4c3 b2c3 e7d5 d3b5 c7c6 d1d5 c6b5 a1b1,428
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/6P1/PP3PBP/RNBQK1NR b KQkq -,b7b5 c4b5 a7a6 b5a6 c8a6 c1d2 d8b6 d2c3 e8h8 g1e2,-31
8/8/4b3/3k4/8/5Q2/3K4/8 b - -,d5d6 f3f6 d6d5 d2d3 e6d7 f6f7 d7e6 f7b7 d5e5 b7e7,6156
8/8/4b3/3k4/8/6Q1/3K4/8 b - -,e6f5 g3f4 f5d7 d2c3 d7e6 f4d4 d5c6 d4e4 c6d6 c3d4,6170
2b2rk1/2q2pp1/1r5n/1p1Bp1QN/p3P3/3P1P2/PP4P1/4K2R b - -,h6f5 e4f5 c7c1 g5c1 c8f5 c1c7 b6h6 c7e5 h6h5 h1h5,Mate
rnb1kb1r/ppp2pp1/4p2p/3q4/3P4/4PN2/PP3PPP/R1BQKB1R b KQkq -,c7c5 c1d2 b8c6 d4c5 f8c5 f1e2 e8h8 d2c3 d5d1 a1d1,31
rnb1kb1r/pppq1pp1/3p1n1p/4p3/2B1P3/1QPP1N2/PP3PPP/RNB1K2R b KQkq -,g7g6 d3d4 f8g7 e1h1 e8h8 f1e1 f8e8 c4d3 c7c6 c1e3,40
rnbqkbnr/pp2pppp/2p5/3p4/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,e7e5 d2d4 e5e4 c2c4 f8d6 b1c3 g8f6 g1e2 b8a6 c4d5,-88
rn1qkb1r/ppp2ppp/4pn2/8/2BP2b1/4PN2/PP3PPP/RNBQK2R b KQkq -,b8d7 e1h1 f8e7 h2h3 g4h5 b1c3 e8h8 e3e4 d7b6 c4e2,25
rn1qkb1r/pp3ppp/2p1pn2/8/2BP2b1/4PN1P/PP3PP1/RNBQK2R b KQkq -,g4f3 d1f3 f8d6 b1c3 e8h8 e1h1 b8d7 f1d1 e6e5 d4d5,100
r1bqk1nr/ppp1bppp/2np4/1B6/3NP3/8/PPP2PPP/RNBQK2R b KQkq -,e7f6 d4c6 b7c6 b5c6 c8d7 c6a8 d8a8 e1h1 g8e7 d1d3,281
r1bqk1nr/ppp2ppp/2n5/2bP4/3N4/2P5/PP3PPP/RNBQKB1R b KQkq -,c6e5 f1b5 e8f8 b2b4 c5b6 e1h1 d8d5 b5a4 h7h5 b1a3,167
rnb1kb1r/pp3p1p/1q2pp2/2pp4/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,f6f5 c4d5 e6d5 d4c5 f8c5 f1d3 e8h8 d2b3 b6b4 e1f1,89
r1bqkbnr/1p1ppppp/p1n5/2p5/3PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq -,a8b8 d4c5 g8f6 f2f3 b7b6 c5b6 d8b6 c3d5 b6d8 d5f6,144
