r1b2rk1/p4ppp/1pnqp3/2pp4/3P1P2/2PBP3/PP1N2PP/R2Q1RK1 b - -,a7a5 d1h5 f7f5 f1f3 d6e7 d3b5 c6d8 f3h3 g7g6 h5h6,24
3r1r2/3k2Q1/8/8/8/8/8/6K1 b - -,,0
rnbq1rk1/ppp1np1p/3bpB2/8/3P4/3B4/PPP2PPP/R2QK1NR b - -,d6b4 e1f1 d8d5 c2c4 d5a5 a2a3 e7g6 a3b4 a5b6 c4c5,271
r3qrk1/pppR2pp/4p3/2N3b1/8/3Q4/PPP3PP/1K4NR b - -,g5e3 b2b4 e3c5 b4c5 e8h5 g1f3 h5c5 a2a3 h7h6 h1e1,388
3r1r2/1pk4p/2q2Pp1/R3p3/4P3/2P5/5QPP/5RK1 b - -,c6d6 f2a7 f8f6 a5c5 c7d7 c5d5 d7c8 d5d6 f6d6 a7c5,663
1rbq1rk1/1pp1p1bp/p2p2p1/3P2N1/1n1PB3/1P4P1/P4P1P/R1BQ1RK1 b - -,c8f5 d1e2 d8c8 a2a3 h7h6 g5e6 f5e6 d5e6 b4c6 e4g6,112
rnbq1rk1/ppp1nppp/3bpN2/6B1/3P4/3B4/PPP2PPP/R2QK1NR b - -,g7f6 g5f6 d6b4 e1f1 d8d5 c2c4 d5a5 a2a3 e7g6 a3b4,284
r2qk2r/4bppp/p3n3/1pp1P3/1P1nN3/4BN2/P4PPP/R2Q1RK1 b kq -,d4c6 e4d6 e7d6 e5d6 c5c4 d1d5 a8c8 a1d1 d8d7 a2a3,132
rn1qkb1r/pp3ppp/2pp1n2/4p3/4P1b1/6Q1/PPPP1PPP/RNB1KBNR b KQkq -,h7h5 b1c3 h5h4 g3e3 b8d7 f1e2 g4e6 g1h3 f6g4 e2g4,-78
rnbq1rk1/pppp2bp/4pnp1/5p2/2PP1B2/3BPN2/PP3PPP/RN1Q1RK1 b - -,f6h5 f4g5 h5f6 b1c3 d7d6 e3e4 h7h6 g5c1 b8c6 e4f5,69
rnb1r1k1/pp3qpp/3p4/2pP1P1n/6P1/P1P1BP2/4Q2P/R3KBNR b KQ -,h5f4 e3f4 e8e2 g1e2 b8d7 a1d1 h7h5 e2g3 d7f6 f1g2,-77
8/2k5/1P6/K7/8/8/8/8 b - -,,0
rn2kb1r/pb1ppppp/8/qppP4/4n2B/2PQ1N2/PP2PPPP/RN2KB1R b KQkq -,f7f5 b1d2 c5c4 d3d4 b5b4 c3b4 a5d5 d4c4 d5c4 d2c4,28
r2q1rk1/pp1bbppp/2nppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1RK1 b - -,h7h6 g1h1 a8c8 d4b3 b7b6 e2a6 c8a8 b3d4 c6b4 a6e2,28
8/8/8/RR6/2k5/4K3/8/8 b - -,h7h6 g1h1 a8c8 d4b3 b7b6 e2a6 c8a8 b3d4 c6b4 a6e2,Mate
rn1qk1nr/pBp2ppp/8/8/4Ppbb/5N2/PPPPK1PP/RNBQ3R b kq -,c7c6 b7a8 g8e7 d2d3 b8d7 c1f4 e8h8 b1d2 f7f5 h2h3,246
r3k2r/pp1nbppp/2q1p3/2p2P2/8/1PN5/PBPP2PP/R3QRK1 b kq -,e8a8 f5e6 c6e6 e1e6 f7e6 a1e1 e7f6 e1e6 f6d4 g1h1,78
3b1q1k/6rp/2p3NQ/p2pP3/3P4/1P4B1/P5K1/8 b - -,g7g6 h6f8 g6g8 f8f5 g8g6 f5c8 g6g8 g2h3 a5a4 e5e6,813
r2q1rk1/1p1bbppp/2np1n2/p3p3/P3PP2/1NN1B3/1PP1B1PP/R2Q1R1K b - -,a8c8 c3d5 f6d5 e4d5 c6b4 c2c3 d7f5 c3b4 f5c2 d1e1,68
2rq1rk1/1p1bbppp/3p1n2/p3p3/Pn2PP2/1NN1BB2/1PP2RPP/R2Q3K b - -,h7h5 h2h3 d8c7 f2d2 f8e8 d1g1 d6d5 e3b6 c7b8 f4e5,77
3b1Q1k/7p/2p3r1/p2pP3/3P4/1P4B1/P5K1/8 b - -,g6g8 f8f7 g8g7 f7e8 g7g8 e8c6 d8g5 g2h3 h8g7 e5e6,1081
rn1q1rk1/pp3pbp/2p1p1p1/3n4/3PP3/2N2B1P/PP3PP1/R1BQ1RK1 b - -,d5c7 c1e3 b8a6 a2a3 d8d7 d1a4 f8d8 a1d1 e6e5 d4d5,124
8/8/1K2k3/1N1Q4/8/8/8/8 b - -,,0
3q1rk1/1p1bbppp/5n2/p3p3/Pnr1P3/1NN1BB2/1PPR2PP/R2Q3K b - -,b7b6 f3e2 c4c8 e3g5 c8c7 g5f6 e7f6 e2b5 d7b5 c3b5,197
5rk1/1pqbbppp/5n2/p3p3/Pnr1P3/1NN1BB2/1PPR2PP/R5QK b - -,c7c8 b3a5 c4c3 b2c3 c8c3 a5b7 b4c2 d2c2 c3c2 a4a5,93
5b2/1R4p1/6k1/8/1n1PP1P1/1K6/P7/8 b - -,b4d3 a2a4 d3f2 e4e5 f2g4 a4a5 g6g5 a5a6 g4e3 a6a7,731
5rk1/1qrn1pp1/p2b1np1/1p1Pp3/2p1P2P/2N1BPP1/PP2B3/1KRQ3R b - -,f6h5 h1g1 d7c5 g1g2 f8b8 e2f1 c7c8 c3e2 c5d3 c1c2,-60
r3k2r/pp2qppp/1bn1bn2/8/8/1NN3P1/PP2PPBP/R1BQ1RK1 b kq -,a8b8 c1g5 b8d8 d1c1 h7h6 g5e3 e8h8 e3b6 a7b6 c1c2,86
8/8/8/8/8/5K1p/5R2/6k1 b - -,a8b8 c1g5 b8d8 d1c1 h7h6 g5e3 e8h8 e3b6 a7b6 c1c2,Mate
rnbk1bnr/ppp3pp/5p2/4p3/2B1P3/8/PPPN1PPP/R1B1K1NR b KQ -,a7a5 f2f4 b8c6 d2f3 c6b4 e1d1 e5f4 c2c3 b4c6 c1f4,16
rnbq1rk1/1pp2ppp/1p1p1n2/4p3/4P3/6P1/PPPPNPBP/R1BQ1RK1 b - -,c8d7 f2f4 h7h6 h2h3 b6b5 d2d3 c7c5 c1e3 b8c6 a2a3,47
r1b1kb1r/pp1p1ppp/2n1pn2/2p3B1/3P4/3BPN2/PqPN1PPP/R2Q1RK1 b kq -,f8e7 d2c4 b2c3 d4c5 b7b5 c4d6 e7d6 c5d6 a7a6 e3e4,85
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/1P1B4/P1PP1PPP/RNBQK1NR b KQkq -,g8f6 b1c3 b8c6 g1f3 f8e7 e1h1 d7d6 f1e1 a7a6 a2a4,-19
r2qkb1r/pp1bnppp/2n1p3/2ppP1B1/3P4/2P2N2/PP1N1PPP/R2QKB1R b KQkq -,d8b6 d2b3 c5d4 c3d4 e7f5 f1d3 c6d4 f3d4 f5d4 g5e3,-46
r1b1kbnr/ppppqppp/8/3Np2Q/2B1P3/8/PPnP1PPP/R1BK2NR b kq -,g8f6 d5f6 g7f6 d1c2 h8g8 c2b1 c7c6 a2a4 d7d5 e4d5,177
