r1bq1rk1/p3b3/1p2p1Q1/3pP3/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,g8g7 b4c3 f7f6 e8b8 c6b8 c3c7 f6f7 c7b8 f7e7 b8b7,Mate
rnb2k1r/1p3ppp/p2qp3/6Q1/2PN4/3BP3/P4RPP/R5K1 b - -,b8c6 a1f1 c6d8 f2f7 d8f7 g5h5 d6d7 d3g6 h7g6 h5h8,220
r3kb1r/5qpp/bp1Rp3/p1p1Pp2/P6Q/1P2BN2/2P2PPP/4R1K1 b - -,f7c7 h4h5 c7f7 h5f7 e8f7 f3g5 f7e8 d6b6 a6c8 g5e6,413
6R1/2p5/8/6p1/8/2P1K1kp/8/8 b - -,h3h2 g8g5 g3h3 e3f2 h3h4 g5g8 h2h1q g8h8 h4g5 h8h1,3576
3R4/8/8/p4K1p/2k4P/3p4/8/8 b - -,d3d2 d8d2 c4b5 d2d5 b5b6 d5d3 b6a7 f5f4 a7b6 f4g5,916
2b5/1p6/p4k2/2P4p/1P1KB1pP/6P1/8/8 b - -,f6e6 e4g6 e6f6 g6h5 c8e6 d4e4 f6g7 e4e5 e6d7 e5f4,817
5rk1/3r2q1/2p1pPp1/1p2P1p1/1P1P4/3R3R/5Q1K/8 b - -,d7d5 d3f3 g5g4 f6g7 f8f3 h3f3 g4f3 f2f3 g8g7 f3f6,524
1Q5R/4k3/8/8/8/4K3/8/8 b - -,d7d5 d3f3 g5g4 f6g7 f8f3 h3f3 g4f3 f2f3 g8g7 f3f6,Mate
1r3rk1/pqpn1ppp/3p4/1P1Pp3/2P5/3P2P1/4NPKP/R1BQ1R2 b - -,b8a8 d3d4 a7a6 d4e5 a6b5 a1b1 d7e5 b1b5 b7a6 e2d4,385
r4rk1/1bq1bppp/p3p3/3pP1Pn/1p1B3P/5P2/PPP1NQ2/2KR1B1R b - -,f8c8 c2c3 a6a5 c1b1 b7a6 f3f4 g7g6 h1h3 a5a4 h3f3,-119
8/7P/6K1/8/8/4p1k1/8/8 b - -,,0
