rn1qkbnr/pp2pppp/8/2p1N3/Q2pP3/2P5/PP1PbPPP/R1B1KB1R b KQkq -,b8c6 f1e2 a8c8 e5c6 b7c6 e2a6 c8c7 d2d3 e7e5 c1d2,188
rn1q1rk1/pp3ppp/2p1pn2/2bp4/4P3/2N2QPP/PPPP1PB1/R1BR2K1 b - -,c5e7 d2d4 d5e4 c3e4 f6e4 f3e4 e7g5 c1g5 d8g5 c2c4,57
r1bqk2r/ppppnppp/2n5/1B2p3/1b2P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,e8h8 c2c3 b4a5 b1a3 f7f5 d2d3 d7d6 a3c4 a7a6 b5c6,20
rn1qkbnr/1bpppppp/p7/1p6/4P3/1PN2N2/P1PP1PPP/R1BQKB1R b KQkq -,b5b4 c3e2 b7e4 e2g3 e4b7 a2a3 e7e6 a3b4 f8b4 a1a4,-69
rnbqkb1r/ppp2pp1/3p1B1p/4p3/4P3/2PP4/PP3PPP/RN1QKBNR b KQkq -,d8f6 g2g3 h6h5 g1f3 g7g5 h2h4 g5g4 f3d2 b8c6 f1g2,-44
r4Bk1/qp3ppp/p1n1pn2/8/4P3/2N3QP/PP2BPP1/R5K1 b - -,g7g6 f8h6 a7b6 g3e3 c6d4 e2f1 e6e5 g1h1 a8d8 a1b1,496
r1b1k2r/ppN2ppp/8/3qP3/1b2n3/2P5/PP2PPPP/R3KBNR b KQkq -,e8f8 c7d5 b4c5 e2e3 c8f5 g1f3 a8d8 d5f4 g7g5 f4d3,710
r1b2k1r/pp3ppp/8/3NP3/1b2n3/2P5/PP2PPPP/R3KBNR b KQ -,b4c5 e2e3 c8f5 a1d1 c5e7 f1d3 a8d8 c3c4 b7b5 g1f3,450
8/1k1r4/3Q4/2K5/8/8/8/8 b - -,,0
rnbqkb1r/5ppp/p3pn2/1pppP3/5P2/2NP1N2/PPP1Q1PP/R1B1KB1R b KQkq -,f6g4 h2h3 g4h6 e2f2 b8c6 g2g4 h6g8 f1g2 h7h5 g4g5,42
R7/P5k1/5p1p/7P/8/r4P2/8/6K1 b - -,a3a1 g1f2 a1a2 f2f1 a2a1 f1e2 a1a5 e2e3 a5a4 e3d2,21
rnb1k1nr/pppp1p1p/5qp1/2b1p3/4P3/2N2N1Q/PPPP1PPP/R1B1KB1R b KQkq -,b8c6 h3g3 h7h5 c3d5 h5h4 d5f6 g8f6 g3h3 d7d5 g2g4,71
rnbqkb1r/pp2pppp/1n6/3pP3/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,b8c6 f1b5 c8f5 f3h4 f5b1 a1b1 e7e6 h4f3 b6c4 e1h1,42
