1r5k/6pp/2p5/P5Q1/1P2B3/2P5/5PPK/3RNRn1 b - -,c1c8 e1e2 c8c1 e2e1 c1c7 e1e2 c7d7 e3c3 d6d1 e2e1,Mate
3rkr2/p2qn2p/3pb1p1/1pp2P2/4P3/4B3/PPPN1QPP/R4RK1 b - -,g6f5 e3h6 f8f7 e4f5 e7f5 h6g5 h7h6 g5d8 e8d8 f2f3,307
5kr1/1p3p2/4p3/p3PnPb/4QP2/P1pP4/5KR1/R1Bq4 b - -,d1c2 f2f1 c2d1 e4e1 d1d3 f1g1 h5f3 e1f1 d3e4 a1a2,-515
r1kr4/3P1p1p/np4p1/pB2Bn2/8/1P3N2/P1P3PP/2KR3R b - -,d8d7 b5d7 c8b7 d7f5 a6c5 f5d7 f7f6 e5b2 a5a4 h1e1,962
8/8/8/8/7p/6p1/4Kpkq/R5br b - -,d8d7 b5d7 c8b7 d7f5 a6c5 f5d7 f7f6 e5b2 a5a4 h1e1,Mate
6k1/Q4bb1/1p3p2/2p3pp/2P5/1P6/P1q1rNPP/2B2RK1 b - -,e2f2 f1f2 c2c1 f2f1 c1e3 g1h1 e3e2 f1g1 f7g6 a7b6,-506
8/8/p5p1/1Pp1k1Pp/7P/1P1K4/P7/8 b - -,c5c4 b3c4 a6b5 c4b5 e5d5 a2a3 d5d6 d3c4 d6e6 a3a4,1232
3rr1k1/1p3pb1/2p2qp1/p6p/P2P3n/R2Q3P/1P2NP1K/2B2R2 b - -,f6e7 c1e3 c6c5 d4d5 e7e5 h2h1 d8d5 d3c4 e5f5 c4h4,-468
2r2rk1/pp1bbpp1/1q2p2p/3pPn2/3N1PB1/2N5/PP4PP/R1BQ1R1K b - -,,0
rnbqk2r/ppppbppp/4pn2/3P4/2P5/2N5/PP1BPPPP/R2QKBNR b KQkq -,c7c6 e2e4 c6d5 c4d5 e6d5 e4d5 e8h8 f1d3 b8a6 g1f3,33
1Rr3k1/3n1ppp/p3p3/3p4/P4b2/2qB1P1P/P4BP1/3QR1K1 b - -,d7b8 d1b1 h7h5 d3h7 g8f8 h7d3 f4d6 b1b6 c3c6 a4a5,-172
r1bqkb1r/pp1p1pp1/2n2n1p/2p1p3/2B1P3/2P2N2/PPNP1PPP/R1BQK2R b KQkq -,f6e4 c2e3 e4d6 c4b3 e5e4 f3g1 c6e5 b3c2 f8e7 d2d4,-95
3rkr2/p2qn2p/3pb2B/1pp2p2/4P3/8/PPPN1QPP/R4RK1 b - -,f8f7 e4f5 e7f5 h6g5 h7h6 g5d8 e8d8 f2f3 d8c7 f3e4,318
r1q1k2r/1b1np2p/pp3np1/3p1pN1/3N4/3BP3/PPP2PPP/2RQR1K1 b - -,d7c5 c2c4 c8d7 d3f1 e7e5 c4d5 b7d5 d4f3 d7e7 b2b4,124
r2q1rk1/ppp2pp1/2np1n1p/2b1p1N1/2B1P1bP/2PP2Q1/PP3PP1/RNB1K2R b KQ -,d8c8 c4b3 a7a5 a2a4 c6e7 b1a3 f6h5 g3h2 e7g6 f2f3,-106
8/8/6p1/1pp1k1Pp/P6P/1P1K4/8/8 b - -,d8c8 c4b3 a7a5 a2a4 c6e7 b1a3 f6h5 g3h2 e7g6 f2f3,Mate
rn2kb1r/ppp2ppp/4pn2/qB5b/8/P1N2P2/1PPPQ1PP/R1B1K1NR b KQkq -,c7c6 b5c4 f8d6 d2d3 b8d7 g1h3 e8h8 c1f4 d6f4 h3f4,-43
