r1bqk2r/ppp2ppp/2B5/2bpP3/3pn3/5N2/PPP2PPP/RNBQ1RK1 b kq -,b7c6 c2c3 c8a6 c3d4 a6f1 d4c5 f1a6 f3d4 e8h8 b2b4,-129
1r2r1k1/5pp1/1ppq1n1p/p2p1Nn1/3P4/P3P2P/1PQ1NPP1/2RR2K1 b - -,d6c7 c2c6 c7d8 c6d6 d8d6 f5d6 e8d8 c1c6 b6b5 d1c1,265
8/8/2k5/8/8/1R2K3/Q7/8 b - -,d6c7 c2c6 c7d8 c6d6 d8d6 f5d6 e8d8 c1c6 b6b5 d1c1,Mate
8/8/8/8/4k3/5R2/5K2/3r4 b - -,,0
r4rk1/pppqbppp/3p1n2/3Pp3/PnBP4/5N2/1PP2PPP/R1BQR1K1 b - -,a8d8 c1d2 b4d5 d4e5 d6e5 f3e5 d7c8 d1f3 c7c6 a1d1,74
r4rk1/1b1nq2p/pp1ppp2/4nPp1/1PP1P1Pb/P1N1B2P/2Q1N3/1BR2K1R b - -,e5c4 e3f2 e6f5 g4f5 a8c8 c2d1 g8h8 c3d5 e7f7 f2h4,-212
r1bq1rk1/pppnbppp/4pn2/6B1/Q1BP4/4PN2/PP3PPP/RN3RK1 b - -,c7c6 a4c2 h7h6 g5h4 b7b5 c4e2 c8b7 f1d1 a8c8 b1c3,17
r4rk1/pppqbppp/3p1n2/3P4/PnBN4/8/1PP2PPP/R1BQR1K1 b - -,f8e8 c4b5 c7c6 d5c6 b4c6 a4a5 a7a6 d4c6 b7c6 b5d3,57
r5k1/2p3pp/p2p2n1/1p3rN1/1P3P1P/P1P3P1/7K/4RR2 b - -,g6f8 g3g4 f5d5 e1e7 h7h6 g5e4 f8g6 e7c7 a8f8 f4f5,69
r2r2k1/1p2pp1p/q1p3pb/p1Pp1b2/P2P2n1/1PQnPNP1/5PBP/RNB2RK1 b - -,b7b6 c5b6 c6c5 d4c5 a8c8 c5c6 a6b6 f3d4 f5e4 g2e4,-163
rnb1kb1r/ppp2ppp/3n4/8/5B2/5N2/PPP2PPP/RN2KB1R b KQkq -,b8c6 b1c3 c8d7 e1a1 e8a8 f1d3 g7g6 f3e5 c6e5 f4e5,7
r1bq1b1r/ppk1n1p1/2p4p/3Bp3/3P3B/2N2Q2/PPP2PPP/R4RK1 b - -,g7g5 h4g3 e7d5 c3d5 c6d5 g3e5 f8d6 f3d5 d6e5 d5e5,276
r4rk1/1b1nq2p/pp2pp2/3P1Pp1/1P4P1/1QN4P/4NK2/1R5R b - -,e6f5 d5d6 e7f7 h1d1 f5g4 h3g4 f6f5 b3f7 f8f7 f2g1,-237
r2q1r1k/1p2bBpp/p2p4/5R1Q/8/6P1/PPP4P/1K2R3 b - -,d8a5 f5a5 f8f7 h5f7 e7f8 a5f5 h7h6 f7f8 a8f8 f5f8,Mate
rnb2rk1/pp1p2bp/2pPpnp1/q7/2B1N3/8/PPPBNPPP/R2QK2R b KQ -,a5d8 e2g3 c6c5 c2c3 b8c6 d2g5 c6e5 c4e2 e5f7 g5h4,91
rnbqkb1r/pp1p1ppp/4p2n/2p1P3/2B5/5N1P/PPPP1PP1/RNBQ1RK1 b kq -,a7a6 d2d4 c5d4 f3d4 d8c7 d1e2 b7b5 c4d3 c8b7 a2a4,92
r1bq1b1r/ppk1n1p1/7p/1N1pp3/3P3B/5Q2/PPP2PPP/R4RK1 b - -,c7d7 d4e5 a7a6 b5d6 d7c6 c2c4 c6b6 c4d5 b6a7 a1c1,434
8/8/8/8/6k1/8/8/3K1R2 b - -,c7d7 d4e5 a7a6 b5d6 d7c6 c2c4 c6b6 c4d5 b6a7 a1c1,Mate
rnbq1rk1/ppppppb1/5npp/8/3P3B/2NQ1N2/PPP1PPPP/R3KB1R b KQ -,d7d5 e2e3 c7c5 d4c5 b8a6 e1a1 g6g5 h4g3 a6c5 d3b5,-47
8/8/8/4P3/7k/8/6K1/8 b - -,h4h5 g2h2 h5g6 h2g3 g6g5 e5e6 g5f6 g3f3 f6e6 f3f4,Mate
3r4/pp3kpp/8/3p1p2/3R4/Pr2P1P1/5P1P/2R3K1 b - -,f7e6 a3a4 e6d6 c1d1 d6c5 d1c1 c5b6 g1g2 a7a5 g2f3,-51
rn1q1rk1/p1p1bppp/1p1pp3/8/2PP1B2/P2QPN2/1P3PPP/R4RK1 b - -,f8e8 a1d1 a7a5 e3e4 a5a4 f1e1 b8d7 h2h3 h7h6 e4e5,23
8/pp1r1kpp/8/3p1p2/P2R4/1r2P1P1/5P1P/2R3K1 b - -,a7a6 c1c5 b3b6 d4d5 d7d5 c5d5 f7e6 d5d4 g7g6 d4h4,-24
rnbqk1nr/pp3ppp/8/2p1P3/1bPp4/4PN2/PP1N1PPP/R1BQKB1R b KQkq -,c8g4 e3d4 c5d4 a2a3 b4d2 c1d2 b8c6 h2h3 g4h5 d2b4,142
r1bqkbnr/ppp2ppp/2n5/1B2p3/3pP3/2P5/PP1P1PPP/RNBQK1NR b KQkq -,g8e7 g1f3 a7a6 b5c4 e7g6 d2d3 h7h6 c4d5 f8d6 c3d4,-54
r4rk1/4qp1p/p1np2p1/2bNp3/1p2P2P/1B3P2/PPPQ2P1/1K1R3R b - -,g8h8 d5e7 c6e7 h4h5 g6g5 d2g5 f7f6 g5g4 a6a5 h5h6,601
r2qkb1r/pp3pp1/2n1p3/2ppP2p/3P4/2PQ1NP1/PP4PP/R1B2RK1 b kq -,f7f5 e5f6 g7f6 c1d2 d8e7 f3h4 h8g8 h4g6 e7f7 g6f8,170
r5k1/3nqppp/1p2pn2/p2pN3/Q2P1B2/6P1/PP2bPBP/2R3K1 b - -,d7f8 a4c6 e7a7 c6c7 a7c7 c1c7 f8g6 e5g6 h7g6 g2f1,26
r2qk2r/pp2bpp1/2n1p3/2ppP2p/3P3P/2PQ1NP1/PP4P1/R1B2RK1 b kq -,d8c7 c1g5 c5d4 c3d4 c6b4 d3d2 c7c2 d2c2 b4c2 a1c1,104
3r1R2/6P1/6K1/8/4k3/8/8/8 b - -,d8c7 c1g5 c5d4 c3d4 c6b4 d3d2 c7c2 d2c2 b4c2 a1c1,Mate
