r4rk1/3nnp2/p1p1p1p1/qp2P2p/P2PNQ1P/4N3/4KPP1/1RR5 b - -,e7f5 a4b5 a6b5 e2f1 a5a3 e3f5 e6f5 e4g5 f8c8 e5e6,27
rn1qkbnr/pppb3p/5pp1/3pp3/8/1Q2P3/PPPP1PPP/RNB1KBNR b KQkq -,g8e7 b1c3 e8f7 d2d4 e5d4 e3d4 b8c6 c3e2 h7h5 h2h4,-48
r4rk1/p1n1qpbp/3P1np1/2p5/5B2/2p1P2P/PP3PP1/R2QKB1R b KQ -,e7e4 f2f3 e4b4 b2c3 b4c3 e1f2 c7d5 a1c1 c3a3 f1c4,-442
6k1/2rn1p2/3R2p1/p2N4/2p3P1/4KP1P/P3P3/8 b - -,c7a7 d6d7 a7a8 d5c3 a5a4 h3h4 a4a3 g4g5 a8c8 d7a7,612
5n2/8/2k5/5P2/1PPK1B2/5N1p/8/8 b - -,h3h2 f4h2 f8h7 f3e5 c6b7 c4c5 h7f6 b4b5 f6g8 c5c6,2029
2k5/1pp1Q3/p1np1p2/4p2p/4P3/3P1N1P/PPP2P2/2K5 b - -,,0
2r2rk1/pp3ppB/1nb1p3/2qpP2N/5P2/P7/1PP3PP/R2Q1R1K b - -,g8h8 d1g4 g7g6 g4h4 f8g8 h5f6 h8g7 h7g8 g7f8 h4h7,Mate
8/2B3pk/P2p3p/4p3/2p1b3/2P5/6PP/6K1 b - -,h6h5 c7d6 h7g6 d6e5 g6f7 g1f2 g7g6 g2g3 f7e6 e5b8,43
1q5k/1R4p1/6bp/1Q6/8/8/5PPP/4R2K b - -,h6h5 c7d6 h7g6 d6e5 g6f7 g1f2 g7g6 g2g3 f7e6 e5b8,Mate
r2qk1nr/ppp2pbp/2n3p1/3Pp3/4P1b1/2N1BN2/PPP3PP/R2QKB1R b KQkq -,c6b4 a2a3 b4a6 h2h3 g4c8 f1a6 b7a6 d1d3 g8e7 e1a1,238
4n3/p2r1k1R/bpp1p1p1/4P3/2P2PP1/3B4/P1K1N3/8 b - -,e8g7 h7h6 b6b5 d3g6 f7g8 g6h7 g8f7 f4f5 e6f5 g4f5,589
