r4b1r/p1q2kp1/2pPppn1/2p4p/2P1QB1P/5N2/PPP2PP1/R3K2R b KQ -,c7d8 e1a1 d8d7 f4e3 f8d6 e3c5 d6f4 c1b1 d7c8 g2g3,631
8/2KB4/k7/8/3N4/8/8/8 b - -,c7d8 e1a1 d8d7 f4e3 f8d6 e3c5 d6f4 c1b1 d7c8 g2g3,Mate
rn1qkbnr/pp2pppp/2p1b3/3pP3/8/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq -,d8d7 d2d4 e6f5 f1d3 f5d3 f3d3 e7e6 c1e3 g8e7 g1f3,39
8/8/8/8/5r2/5k2/3K4/8 b - -,d8d7 d2d4 e6f5 f1d3 f5d3 f3d3 e7e6 c1e3 g8e7 g1f3,Mate
r1bqk2r/pp2ppbp/3p1np1/3P4/2P5/2N1B3/PP2BPPP/R2Q1RK1 b kq -,c8d7 h2h3 e8h8 d1d2 f8e8 f1e1 e7e6 d5e6 e8e6 a1d1,181
1r1q2k1/1b1n1p1R/ppnp2p1/3Nr1P1/P2RP3/1N6/1PP2QBP/7K b - -,g8h7 f2f7 h7h8 d4d3 d8g5 d3h3 g5h5 f7d7 h5h3 d7h3,766
2r2rk1/1p3ppp/p3pn2/1b1pN3/2PP4/qP1B4/P2Q1PPP/R4RK1 b - -,h7h6 c4b5 a6b5 f2f3 b5b4 f1c1 a3a5 g1h1 c8c3 c1g1,625
r1bqk1nr/pppp1ppp/2n2b2/4p2Q/2B1P3/2N5/PPPP1PPP/R1B1K1NR b KQkq -,g7g6 h5d1 f6g7 a2a4 c6d4 d2d3 c7c6 c4a2 g8e7 c3e2,3
2rqr1k1/3nbpp1/p7/1p1P1bB1/4B2P/PN6/1PPQ4/1K2R2R b - -,f5h7 e4h7 g8h7 e1e7 e8e7 d5d6 e7e6 g5d8 c8d8 d2a5,761
2r2rk1/1p3ppp/p3pn2/1B1pN3/3P4/qPP5/P2Q1PPP/R4RK1 b - -,a3e7 b5d3 f6e4 d3e4 d5e4 d2e1 f7f6 e5g4 b7b5 g4e3,746
8/p7/8/6P1/3N1b2/1kp5/7P/3K4 b - -,b3b2 g5g6 f4h6 d4c2 a7a5 c2e3 h6e3 g6g7 c3c2 d1e2,-1020
r2qkb1r/1pp2ppp/p1n1pn2/3p1b2/3P4/PP2PN1P/1BP2PP1/RN1QKB1R b KQkq -,h7h5 c2c4 f6e4 b1c3 d8f6 f1d3 e4c3 b2c3 f8e7 d3f5,3
8/8/8/8/8/4K3/kpQ5/8 b - -,h7h5 c2c4 f6e4 b1c3 d8f6 f1d3 e4c3 b2c3 f8e7 d3f5,Mate
3r4/6k1/5q1p/1Q6/8/4R1pP/1P6/4R1K1 b - -,h7h5 c2c4 f6e4 b1c3 d8f6 f1d3 e4c3 b2c3 f8e7 d3f5,Mate
8/p7/6P1/8/3N1b2/2p5/1k5P/3K4 b - -,f4h6 d4c2 a7a5 c2e3 h6e3 g6g7 c3c2 d1e2 c2c1q g7g8q,-783
8/8/8/2k5/8/8/2Q2K2/8 b - -,f4e3 g6g7 e3d4 g7g8q c3c2 d1e2 c2c1q g8b8 b2a2 b8e8,Mate
r1bqkb1r/pp1n1ppp/3ppn2/2p5/4PP2/2N2NP1/PPPP2BP/R1BQK2R b KQkq -,f8e7 d1e2 e8h8 e1h1 a7a6 a2a4 d7b8 d2d4 d6d5 e4e5,51
8/8/2k4p/4K3/8/6P1/8/8 b - -,f8e7 d1e2 e8h8 e1h1 a7a6 a2a4 d7b8 d2d4 d6d5 e4e5,Mate
8/8/8/7k/3K4/8/6Q1/8 b - -,f8e7 d1e2 e8h8 e1h1 a7a6 a2a4 d7b8 d2d4 d6d5 e4e5,Mate
r1n2rk1/1p3pp1/p4n1p/P3p3/4P1b1/2N1PN1P/BP1R2P1/3R2K1 b - -,c8a7 h3g4 f6g4 c3d5 a7c6 f3h2 g4h2 g1h2 a8d8 d5e7,692
8/3k4/5K1p/8/8/6P1/8/8 b - -,c8a7 h3g4 f6g4 c3d5 a7c6 f3h2 g4h2 g1h2 a8d8 d5e7,Mate
8/8/7p/2k1K3/6P1/8/8/8 b - -,c8a7 h3g4 f6g4 c3d5 a7c6 f3h2 g4h2 g1h2 a8d8 d5e7,Mate
r1bqk2r/ppp2ppp/2n1pn2/3P4/1bB1P3/2N5/PP2NPPP/R1BQK2R b KQkq -,f6e4 d5c6 d8d1 e1d1 e4f2 d1c2 f2h1 c1e3 b7c6 a1h1,37
rn1qkb1r/ppp1pppp/5n2/4Nb2/2p5/6P1/PP1PPPBP/RNBQK2R b KQkq -,c7c6 d2d4 f5e6 b1a3 b8d7 a3c4 e6d5 e1h1 d7e5 c4e5,65
r2qk1nr/ppp2ppp/2n1p3/3p1b2/1bPP4/P3PN2/1P1B1PPP/RN1QKB1R b KQkq -,b4d2 b1d2 g8f6 f1e2 e8h8 e1h1 c6e7 d1b3 a8b8 f1c1,89
r2q1rk1/pp1bbppp/2n1pn2/3p4/3P1B2/2NBPN2/PP3PPP/2RQ1RK1 b - -,d7e8 h2h3 e7d6 f4d6 d8d6 a2a3 a8c8 d1e2 e8d7 c1c2,52
2Q5/6p1/8/4p1kP/1p1pP1P1/3P3K/2P5/1q6 b - -,b1f1 h3g3 f1f4 g3g2 f4g4 c8g4 g5g4 g2f1 g4h5 f1e2,-1796
rnb1kb1r/pp1ppppp/8/q1pn4/3PP3/2P3B1/PP3PPP/RN1QKBNR b KQkq -,d5f6 e4e5 f6e4 d4d5 d7d6 g1f3 d6e5 g3e5 b8d7 b1d2,163
8/3K4/4R3/8/8/4k3/8/8 b - -,d5f6 e4e5 f6e4 d4d5 d7d6 g1f3 d6e5 g3e5 b8d7 b1d2,Mate
rn1qkb1r/1b2pppp/p2p4/1p6/3Nn3/1BN2Q2/PPP2PPP/R1B2RK1 b kq -,e7e6 c3e4 b8d7 b3e6 d7e5 e4d6 f8d6 f3b7 e8h8 e6b3,658
3k1b1r/pp5p/2p1bp2/4P3/P1N5/2N5/1P2P1BP/2K4R b - -,f8h6 c4d2 f6e5 c1c2 h6f4 g2e4 h7h5 d2f3 h8g8 f3h4,332
rn1qk1nr/pbp1bppp/1p1p4/4p3/2B1P3/2NPBN2/PPP2PPP/R2QK2R b KQkq -,b8c6 a2a3 g8f6 h2h3 d8d7 g2g4 h7h6 d1e2 a7a6 e1a1,101
r1bq1rk1/pp1nppbp/2pp1np1/8/P2PP3/2N3P1/1PP1NPBP/R1BQ1RK1 b - -,a7a5 b2b3 a8b8 d4d5 d7c5 c1f4 c8g4 a1b1 g4d7 f4e3,76
8/8/5K2/8/4k2p/7P/8/6N1 b - -,a7a5 b2b3 a8b8 d4d5 d7c5 c1f4 c8g4 a1b1 g4d7 f4e3,Mate
r2qk1nr/3bbppp/p2p4/8/2Q1P3/8/PPP2PPP/RNB2RK1 b kq -,d7b5 c4c3 e7f6 c3b3 b5f1 g1f1 g8e7 b3a4 d8d7 a4d7,-692
rnbqkb1r/1pp2ppp/3p1n2/p2Pp3/4P3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,f8e7 c2c4 b8a6 b1c3 e8h8 d3c2 c8d7 h2h3 c7c6 c1e3,63
8/8/1k3r2/8/3B4/3P4/3K4/8 b - -,f8e7 c2c4 b8a6 b1c3 e8h8 d3c2 c8d7 h2h3 c7c6 c1e3,Mate
rnbqk2r/pp2ppbp/2p2np1/3pP3/3P1P2/2N4P/PPP3P1/R1BQKBNR b KQkq -,f6e4 c3e4 d5e4 g1e2 e8h8 g2g4 c6c5 f1g2 f7f5 d4d5,75
8/2q5/3B1N2/2k5/8/8/5PK1/8 b - -,f6e4 c3e4 d5e4 g1e2 e8h8 g2g4 c6c5 f1g2 f7f5 d4d5,Mate
8/8/3q4/2k5/4N3/8/5PK1/8 b - -,f6e4 c3e4 d5e4 g1e2 e8h8 g2g4 c6c5 f1g2 f7f5 d4d5,Mate
4N3/2q5/3k4/8/8/8/5PK1/8 b - -,f6e4 c3e4 d5e4 g1e2 e8h8 g2g4 c6c5 f1g2 f7f5 d4d5,Mate
r1bqk1nr/pp1ppp1p/2n3p1/2p5/4P3/2PP1N2/P1P1BPPP/R1BQK2R b KQkq -,g8f6 e1h1 d7d5 e4e5 f6d7 c1h6 d8a5 d1e1 d7f8 d3d4,142
8/8/8/4K2k/4Q3/6r1/8/8 b - -,g3g5 e5f6 g5g3 e4e2 h5h4 f6e5 g3a3 e2e4 h4g3 e4f4,3834
rn1qkbnr/pp2pppp/8/1Bpp4/3PP1b1/2N2N2/PPP2PPP/R1BQK2R b KQkq -,b8d7 e4d5 g4f3 g2f3 a7a6 b5d7 d8d7 d4c5 g8f6 d1d4,413
r2qk1nr/pbpp1ppp/1pn1p3/3P4/2P1P3/3B4/PP1N1PPP/R2QK1NR b KQkq -,c6e7 g1f3 g8f6 a2a4 d7d6 e1h1 e8h8 a4a5 f6d7 d1c2,71
rnbqk2r/p1p1bpp1/1p2pn1p/3p4/2PP3B/2NBP3/PP3PPP/R2QK1NR b KQkq -,c7c6 c4d5 f6d5 h4e7 d5e7 g1f3 c8b7 e1h1 e8h8 a1c1,46
r1bqkb1r/pppp1pp1/2n2n1p/8/2BpP3/2P2N2/PP2QPPP/RNB1K2R b KQkq -,f8c5 e4e5 e8h8 e1h1 d7d5 c4b5 f6d7 f1d1 d4c3 b1c3,-67
rnbqk2r/pp2ppbp/3p1np1/2P5/4PP2/2P2N2/PP4PP/RNBQKB1R b KQkq -,b8c6 f1d3 d6c5 e4e5 f6h5 b1a3 g7h6 g2g3 e8h8 e1h1,72
r2qkbnr/pp1npppp/2p5/3pP3/3P4/2N2Q2/PPP2PPP/R1B1KB1R b KQkq -,,0
5k2/8/8/8/5K2/5P2/8/8 b - -,e7e6 c3e2 c6c5 f3b3 g8e7 c2c3 a7a5 b3b7 a8b8 b7a6,Mate
r1bqk2r/pp2bppp/2n1pn2/2ppN3/3P4/4P1P1/PPP2PBP/RNBQ1RK1 b kq -,e8h8 e5c6 b7c6 f1e1 c8a6 a2a3 f6e4 b2b4 c5b4 a3b4,-36
6k1/5P2/8/5N1K/8/8/8/8 b - -,g8f7 h5g5 f7e6 g5f4 e6d5 f4e3 d5c4 e3e4 c4c5 f5g7,Mate
rnbqkb1r/pp3p1p/3p1np1/2pP2B1/4P3/5P2/PP4PP/RN1QKBNR b KQkq -,h7h6 g5e3 f8g7 d1d2 e8h8 b1c3 a7a6 a2a4 f8e8 f1e2,50
2kr1b1r/ppqb2pp/4p3/3pPn2/P7/NQP5/5PPP/R1B1RBK1 b - -,c7b6 a3b5 d7b5 a4a5 b6c7 b3b5 f8c5 c1a3 c5a3 a1a3,120
8/p7/8/1K6/2Pk4/8/8/8 b - -,d4e5 b5c5 e5e6 c5c6 e6e7 c4c5 a7a5 c6b5 e7d8 b5a5,Mate
2kr3r/ppqb2pp/4p3/1NbpPn2/P7/1QP5/5PPP/R1B1RBK1 b - -,c7b6 a4a5 c5f2 g1h1 b6c6 b3a2 a7a6 a2f2 a6b5 c1a3,230
2kr3r/ppq3pp/4p3/1PbpPn2/8/1QP5/5PPP/R1B1RBK1 b - -,c5b6 c1a3 c8b8 a1a2 g7g5 a3b4 g5g4 b3a3 c7g7 f1d3,119
r1b2rk1/p4ppp/2pqpn2/2ppN3/3P4/2P1P1P1/PP1N1PP1/R2QK2R b KQ -,d6e7 d1c2 h7h6 e5c6 e7d6 c6e5 f6d7 e5d7 c8d7 e1h1,133
r1b1kbnr/1pqp1pp1/p1n1p3/7p/3NP2P/2N1BQ2/PPP2PP1/R3KB1R b KQkq -,a8b8 e1a1 g8f6 f1e2 c6e5 f3g3 b7b5 a2a3 d7d6 e3g5,48
r1bqkb1r/pppp1ppp/2n5/1n2p3/8/5N2/PPPP1PPP/RNBQR1K1 b kq -,f8e7 d2d4 b5d4 f3d4 c6d4 e1e5 d7d6 e5e7 d8e7 b1c3,-830
8/5k2/8/4Q3/5K2/7B/8/8 b - -,f8e7 d2d4 b5d4 f3d4 c6d4 e1e5 d7d6 e5e7 d8e7 b1c3,Mate
r4Bk1/p4pbp/1np3p1/8/8/8/PP3PPP/RN1R2K1 b - -,g7e5 f8h6 e5b2 b1d2 b2a1 d1a1 b6d5 a1c1 d5b4 a2a3,453
r1bqk1nr/pp1pppbp/2n3p1/8/4PP2/2P5/PP4PP/RNBQKBNR b KQkq -,d7d6 g1f3 g8f6 f1d3 e8h8 e1h1 e7e5 f4e5 c6e5 f3e5,-80
r1b2rk1/3pbppp/p7/1p1p4/q2BPP2/P5R1/1PPQ2PP/R6K b - -,g7g6 b2b3 a4d4 d2d4 c8b7 f4f5 d5e4 d4d7 e7f6 a1f1,600
rnb1kbnr/ppp1pppp/q7/3P4/2pQ4/2N1P3/PP3PPP/R1B1KBNR b KQkq -,g8f6 f1c4 a6b6 g1f3 e7e6 e1h1 f8e7 d5e6 c8e6 d4b6,152
r1bqk2r/ppp1bppp/2n1pn2/3p4/3P1B2/2P2NP1/PP2PPBP/RN1QK2R b KQkq -,f6d7 e1h1 g7g5 f4e3 f7f5 c3c4 e8h8 d1c1 h7h6 c4d5,41
rnbqkb1r/pppppppp/8/8/4n3/5P2/PPPP2PP/RNBQKBNR b KQkq -,e7e6 g1e2 e4f6 d2d4 c7c5 c1e3 c5d4 d1d4 d7d5 b1c3,-298
rnbqkbnr/ppp2p2/3p3p/6N1/2B1Pp2/8/PPPP2PP/RNBQ1RK1 b kq -,h6g5 d2d4 b8c6 b1c3 f8g7 c3e2 d8e7 c2c3 c8d7 e2f4,-788
r1bqk2r/ppp2ppp/n3pn2/3p4/3P1P2/2N5/PPP2PPP/R2QKBNR b KQkq -,d8d6 d1d2 e8h8 g1f3 c7c5 f1a6 c5d4 d2d4 d6a6 h2h4,7
