4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
4K3/4P3/3k4/8/8/8/3R4/4r3 b - -,d6c5 d2d3 e1b1 e8d7 b1b7 d7e6 c5c4 d3f3 b7b6 e6f7,9605
r3k2r/1p1n1ppp/p1p1pn2/3p4/1qPP4/3BPN2/P1Q2PPP/1R3RK1 b kq -,b4d6 b1b7 c6c5 c4d5 d6d5 f1b1 c5d4 f3d4 e8h8 b7c7,70
8/5k1p/5pp1/1PP1NR2/4P2P/3PK3/r5P1/8 b - -,f7e7 e5c6 e7e8 f5f6 h7h5 b5b6 a2g2 f6d6 g2b2 e3d4,826
8/8/4Rppk/8/4PP2/2r3PK/7P/8 b - -,h6g7 e6e7 g7f8 e7d7 c3c5 d7d5 c5c2 e4e5 f8e7 e5f6,420
r1bq1rk1/ppp2ppp/2np3n/2b1p1N1/2BPP3/2P5/PP3PPP/RNBQK2R b KQ -,e5d4 h2h3 g8h8 e1h1 a7a5 c3d4 c6d4 b1c3 f7f6 c1e3,-79
rnbqk2r/p4ppp/1p1bpn2/3p4/2pP4/2P1PNB1/PPB2PPP/RN1QK2R b KQkq -,c8b7 g3d6 d8d6 f3e5 b6b5 f2f4 e8h8 b1d2 f6e4 d1b1,29
r4rk1/1pp2pp1/1b5p/p3q3/3p4/1P1P1RNP/1PPQN1P1/4R2K b - -,a8e8 f3f1 f7f5 e2f4 e5f6 e1e8 f8e8 f4h5 f6g5 d2g5,366
r4rk1/1p3ppp/p1bp4/3QpPq1/P6P/1NP5/1P2B1P1/R4RK1 b - -,g5e3 f1f2 c6d5 b3d2 e3d2 e2f3 d2f2 g1f2 e5e4 f3e2,-581
8/p5kp/3B3q/5Qp1/4P3/8/PPP1BPPP/R4RK1 b - -,g5g3 f1f3 c6d5 f3g3 d5b3 f5f6 g7g6 c3c4 b3c2 e2d3,Mate
r1b1kbnr/1p1n1p2/p1pp1qpp/P3p3/N2PP3/4BN2/1PP1BPPP/R2Q1RK1 b kq -,f6e7 d4e5 d7e5 a4b6 a8b8 f3e5 d6e5 f2f4 c8e6 f4e5,292
5r2/1pp3k1/pb5p/4N1p1/2B1Pp2/P1P4P/1P1r1PP1/5RK1 b - -,f8e8 e5f3 d2b2 e4e5 e8d8 g1h1 b2f2 f1b1 f2c2 c4e6,-406
7r/ppR1bk2/3p4/P2Pp1pP/1P1pP1B1/3P1p1P/3r1P2/1R4K1 b - -,h8a8 c7b7 d2d3 h5h6 d3c3 b4b5 c3c4 g4f3 d4d3 b1d1,502
8/4k3/2p5/pp6/2b2Rp1/2b3P1/7K/8 b - -,a5a4 h2g2 e7e6 g2f2 a4a3 f4f8 a3a2 f8a8 e6d5 f2e3,-1085
8/1p6/p1b3pk/2P2pR1/1P4PP/1r6/3K4/8 b - -,f5f4 b4b5 b3b5 g5e5 f4f3 e5e1 b5b4 e1g1 b4b2 d2e3,-757
r1b1kbnr/p1p2p1p/2pq2p1/4p3/8/2N1PQ2/PPPP1PPP/R1B1K1NR b KQkq -,f7f5 b2b3 f8g7 c1b2 g8f6 d2d4 e5d4 e3d4 c8a6 f3e3,98
6k1/p1r2p2/1p2pnp1/6R1/P1pP4/2P4P/1PB2P1K/8 b - -,g8f8 g5e5 f8e7 c2d1 c7c8 h3h4 f6e8 h2g2 e8g7 e5b5,-3
r1bq1rk1/1pp1ppbp/p2p1np1/3P4/2P1PPn1/2N5/PP1BB1PP/R2QK1NR b KQ -,f8e8 e4e5 d6e5 h2h3 g4h6 f4e5 f6d7 g1f3 h6f5 d2f4,73
6k1/4rp2/6pp/p1pp4/P5PP/1P3R2/5K2/8 b - -,d5d4 f2g3 g8g7 h4h5 e7e4 f3f1 e4e3 g3f2 g6h5 g4h5,-478
1R6/5pkp/6p1/8/4B3/1bP3P1/1r3PKP/8 b - -,h7h6 e4f3 g6g5 c3c4 b2b1 b8b5 f7f5 f3d5 g5g4 f2f4,337
r4r2/2p2p1k/p2p1qnp/1p1PbNpn/4P3/3B1PB1/PPQ2P1P/1R2R1K1 b - -,f8c8 b2b3 h5f4 g1h1 a8b8 d3f1 b8b6 e1c1 h6h5 a2a4,-82
8/1p6/7k/p5P1/P4p2/5b1P/8/6K1 b - -,f8g8 c2c7 h5f4 e1d1 a8c8 c7a7 g6h4 a7a6 f6g6 d3f1,Mate
r1bq1rk1/ppp1b1pp/3ppn2/3P1p2/1nP5/2N2NP1/PP2PPBP/R1BQK2R b KQ -,e6d5 c4d5 f6e4 e1h1 e7f6 c3e4 f5e4 f3d2 e4e3 f2e3,73
brnbqk1r/pppppppp/7n/8/4PP2/8/PPPP2PP/BRNBQKNR b KQkq -,c7c5 g1h3 f8h8 b2b3 b7b5 f1h1 f7f6 d1f3 c8d6 d2d3,-9
r5k1/1q4pp/p2p1brn/P2P1p2/1pPNpP2/8/1P2B1PP/2RQ1R1K b - -,f6d4 d1d4 a8d8 c4c5 d6c5 c1c5 g8h8 f1c1 h6g8 d4e5,222
2R5/rp1r1pk1/pR2pqp1/P3Q2p/1P1P4/7P/5PP1/6K1 b - -,d7d4 c8g8 g7g8 e5f6 d4d7 f6f3 d7d5 f3c3 a7a8 b6b7,599
rnbqk2r/p4ppp/3bpn2/1p1p4/2pP4/2P1PNB1/PPB2PPP/RN1Q1RK1 b kq -,c8b7 b1d2 e8h8 g3d6 d8d6 f3e5 b8d7 f2f4 f6e4 c2e4,24
7B/8/8/5ppp/6k1/8/6K1/8 b - -,g4f4 h8g7 f4g4 g7a1 f5f4 a1f6 g4f5 f6d8 g5g4 g2f2,-22
r1bq1rk1/2p1ppbp/p2p1np1/1p1P4/2P1PPn1/2N4P/PP1BB1P1/R2QK1NR b KQ -,e7e6 h3g4 b5b4 g4g5 b4c3 d2c3 f6e8 c3g7 e8g7 d1d4,153
8/4R1k1/5pp1/8/4PP2/2r3PK/7P/8 b - -,g7f8 e7d7 c3e3 f4f5 e3e4 f5g6 f6f5 d7f7 f8g8 f7f5,465
rnb1k1nr/5ppp/pp1qp3/3p4/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,c8b7 e2e3 g8f6 a1c1 e8h8 f1d3 b8c6 e1h1 f8c8 d1d2,37
8/5R2/kp4K1/8/P5p1/2N3P1/r7/8 b - -,a2g2 c3e4 g2e2 f7f4 a6a5 g6g5 e2g2 g5g4 a5a4 e4c3,464
2R5/1p1r1ppk/p3qn1p/3p4/1P1Q4/4P1PP/P4PB1/6K1 b - -,e6f5 g3g4 f5b1 g2f1 d7e7 g1g2 b1e4 d4e4 f6e4 a2a4,55
rn1qkbnr/5ppp/4b3/pp6/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,f8e7 d1e2 b5b4 a2a3 b8c6 a3b4 a5b4 a1a8 d8a8 c2c4,-273
r5k1/q5pp/p2p1brn/P1PP1p2/1p1NpP2/8/1P2B1PP/2RQ1R1K b - -,e4e3 h2h3 d6c5 d4c6 a7d7 c1c5 d7d6 c5c4 a8e8 c4b4,354
r3k2r/1R1n1ppp/p1pqpn2/3p4/2PP4/3BPN2/P1Q2PPP/5RK1 b kq -,c6c5 c4d5 d6d5 f1b1 c5d4 e3e4 d5c5 c2a4 e8h8 b7d7,91
r2r2k1/1p1B1p1p/6p1/p1Pp4/P2n4/7P/1P3PP1/R2R2K1 b - -,d4b3 a1a3 b3c5 d1d5 b7b6 d7c6 d8d5 c6d5 a8d8 d5c4,-82
r1bq1rk1/ppp1b1pp/3p1n2/3Ppp2/1nP5/P1N2NP1/1P2PPBP/R1BQK2R b KQ -,b4c6 d5c6 b7c6 b2b4 a8b8 e1h1 d8e8 b4b5 e8f7 d1a4,317
r2qkbnr/pp1bpppp/2n5/3p4/3P4/2P2N1P/PP3PP1/RNBQKB1R b KQkq -,g8f6 f1d3 d8c8 e1h1 d7f5 d3f5 c8f5 f1e1 a7a6 d1b3,44
r3nrk1/2nq1pbp/pp1p2p1/2pP4/P1B1PB2/2NQ1P2/1P4PP/R3R1K1 b - -,g7e5 f4e5 d6e5 f3f4 d7e7 d3g3 e8d6 f4e5 d6c4 d5d6,90
r3r1k1/1pp2pp1/1b5p/p3q3/3p4/1P1P2NP/1PPQN1P1/4RR1K b - -,e5g5 d2g5 h6g5 g3e4 f7f6 g2g4 c7c5 e2g3 b6c7 g3f5,375
r1b1k1nr/1p1n1pb1/p1p2qpp/P3p3/N3P3/4B3/1PPNBPPP/R2Q1RK1 b kq -,f6e6 d2c4 g8f6 d1d6 e6d6 c4d6 e8e7 a1d1 f6e8 d6c4,418
r5k1/q5pp/p1N2brn/P1pP1p2/1p2pP2/8/1P2B1PP/2RQ1R1K b - -,f6d4 c6a7 a8a7 d1a4 a7e7 f1d1 h6g4 d1d4 c5d4 e2g4,730
rnbqk2r/ppp2ppp/4pn2/4N3/1b1P4/2NBB3/PPP2PPP/R2QK2R b KQkq -,e8h8 e1h1 b8c6 a2a3 b4e7 e5c6 b7c6 d1e2 e7d6 e3d2,116
1rb1r1k1/R3q2p/1p1p1bp1/1N1Ppp2/1P2nP2/2P1B3/4B1PP/3Q1R1K b - -,b8b7 a7a3 e5f4 e3f4 c8d7 e2d3 g6g5 f4g3 e4g3 h2g3,-60
8/5qbk/p4N1p/1p3p2/2p1p3/2P2Q1P/PPB3P1/3R3K b - -,g7f6 f3f5 h7g7 d1d7 f6e7 f5e5 g7f8 e5h8 f7g8 h8g8,Mate
r1bqk1nr/1ppp1ppp/pbn5/4P3/1PP2P2/5N2/P3P1PP/RNBQKB1R b KQkq -,d7d6 a2a3 g8h6 b1c3 e8h8 e2e4 c8g4 a1a2 c6d4 f1e2,60
rnb2rk1/1p2bppp/pq1np3/8/5B2/1BN2N2/PP2QPPP/R2R2K1 b - -,d6e8 a1c1 b8d7 c3a4 b6b5 e2e3 e8f6 f3d4 f6d5 b3d5,150
2R5/1p1r1ppk/p3q2p/3p4/PP1Qn3/4P1PP/5PB1/6K1 b - -,h6h5 d4d1 e6f5 d1c2 g7g6 c2b2 f5f6 b2f6 e4f6 g1f1,56
r1b2rk1/1pp1qppp/3p4/p1nPp3/2P1PP2/2R3P1/PP1NQ1BP/5RK1 b - -,,0
r4rk1/1bq2pb1/3p2p1/p1nPp2p/1pP1P3/1P3P2/1BB1QNPP/R2R3K b - -,a5a4 a1a4 a8a4 b3a4 b4b3 c2d3 c5a4 e2d2 c7c5 d1b1,-142
2r2rk1/pp1qb1pp/1n2pn2/3p4/3N1B2/1Q4PB/PP2PP1P/R4RK1 b - -,d7e8 h3e6 g8h8 e6c8 e8c8 f4g5 b6c4 g5f6 e7f6 a1d1,442
3rr1k1/ppq1ppbp/5nP1/2p1p3/4P2Q/2PP3P/PP2B1P1/R1B2RK1 b - -,c5c4 g6f7 g8f7 e2h5 f7g8 h5e8 c4d3 e8a4 d3d2 a4b3,414
r4rk1/2nq1pbp/pp1p1np1/2pP4/P1B1PBP1/2NQ1P2/1P5P/R3R1K1 b - -,f6e8 f4g3 g7e5 g1h1 e5g3 h2g3 e8f6 h1g2 b6b5 a4b5,98
8/1p6/p1b3pk/2P2PR1/1r5P/8/3K4/8 b - -,g6f5 g5f5 b4h4 d2c3 h6g6 f5f1 g6g5 f1f2 h4f4 f2a2,-454
r1b1kb1r/p1p2p1p/2pq1np1/4p3/8/2N1PQ1P/PPPP1PP1/R1B1K1NR b KQkq -,f6d5 e3e4 d5f4 d2d4 d6d4 g1e2 f4e2 f3e2 f8e7 e1h1,66
1n1q1rk1/1rp2ppp/1p2pn2/p3N3/2NP4/6P1/PP1QPP1P/R4RK1 b - -,f6d7 f1d1 d7e5 c4e5 f7f6 e5f3 b8c6 e2e4 d8d7 a1c1,65
8/4k3/2p1b3/pp6/4R1p1/2b3P1/7K/8 b - -,e7d6 e4e3 c3d4 e3e4 d6d5 e4f4 a5a4 f4f8 d5c4 h2g2,-1238
rnb2r2/pp4p1/1q2p1k1/2bp1pN1/5P2/P1N3Q1/1PP2PPP/R3K2R b KQ -,c5d4 e1h1 g6f6 a1e1 d4c3 g3c3 d5d4 c3h3 b6d8 e1e2,100
rnbqk2r/5ppp/3bpn2/pp1p4/2pP4/P1P1PNB1/1PB2PPP/RN1Q1RK1 b kq -,c8b7 b1d2 e8h8 g3d6 d8d6 f3e5 b8c6 f2f4 b5b4 d1e1,16
8/4k3/2r1p1p1/1p2ppb1/2P1P2p/1P1RNK1P/6P1/8 b - -,g5e3 c4b5 c6b6 d3e3 b6b5 b3b4 b5b4 e4f5 e5e4 f3g4,-269
r1bq1rk1/2p2pbp/3pPnpn/1B6/4PP2/2N4P/PP1B2P1/R2QK1NR b KQ -,a8b8 a2a4 c8b7 d1c2 d6d5 e4e5 d5d4 c3e2 b7g2 h1h2,54
rn1qk1nr/4bppp/4b3/pp6/8/5N2/PPPP1PPP/RNBQR1K1 b kq -,g8f6 a2a3 b8a6 b1c3 a6c7 f3e5 e8h8 e5c6 d8d7 c6e7,-271
1rb1q2k/1pp3pp/2n1Pr2/pQ6/2P2p2/1P3N2/P4PBP/3RR1K1 b - -,a5a4 e6e7 c8e6 f3g5 e6g8 g2c6 f6c6 g5f3 g8e6 b5c6,203
7r/3k4/4b3/3pP3/p1pP4/P2r3P/1PK3P1/1R3R2 b - -,d3d4 b1e1 d4h4 e1e3 d5d4 e3g3 h8g8 g3g8 e6g8 f1f6,-466
r4rk1/1ppbqppp/3p4/p1nPpP2/2P1P3/2R3P1/PP1NQ1BP/5RK1 b - -,,0
5r2/1pp3k1/pb5p/4N1p1/2B1Pp2/P1P4P/1r3PP1/3R2K1 b - -,h6h5 d1d7 g7f6 e5d3 b2c2 g1f1 c2c3 c4a2 c3a3 e4e5,-289
2rq1rk1/5p2/p2pbbpp/1p1Np3/4P2P/8/PPP1QPP1/1K1R1B1R b - -,e6d5 d1d5 f6h4 g2g3 h4g5 f1h3 c8c5 h1d1 c5d5 d1d5,-79
8/1p6/p1b4k/2P2R2/7r/2K5/8/8 b - -,h6g6 f5f1 g6g5 f1g1 g5f5 g1e1 h4f4 e1e2 f4e4 e2d2,-502
6k1/2r2p2/pp2pnp1/4R3/P1pP4/2P4P/1PB2P1K/8 b - -,f6d7 e5e1 g8f8 c2e4 e6e5 d4e5 d7e5 e1d1 e5d7 d1d4,-2
r2qkbnr/2p2ppp/p1npb3/1p2p3/4P3/P2P1N1P/BPP2PP1/RNBQK2R b KQkq -,e6a2 a1a2 d6d5 d1e2 g8f6 e1h1 f8e7 e4d5 d8d5 c2c4,12
r1b2rk1/ppp1qpp1/2np1n1p/8/1b1PP2B/2NB1N1P/PP3PP1/R2Q1RK1 b - -,e7e8 h4f6 b4c3 b2c3 g7f6 f3h4 f6f5 h4f5 c8f5 e4f5,339
r3k2r/1R1n1ppp/p1pqpn2/8/2QP4/3BPN2/P4PPP/5RK1 b kq -,e8h8 e3e4 e6e5 f1c1 e5d4 c4c6 d6a3 c6c2 a8e8 f3d4,90
6k1/5p2/6pp/p1pp4/P3r1PP/1P4R1/5K2/8 b - -,c5c4 b3c4 d5c4 f2g2 g8g7 g2f3 e4d4 f3f2 c4c3 g3c3,-561
2R5/p5kp/1b2Bpp1/3P2P1/4PP2/5K2/P2r3P/8 b - -,d2f2 f3g3 f6g5 f4g5 h7h6 g5h6 g7h6 d5d6 h6g7 h2h4,402
2bk2nr/3p1ppp/1p6/4P3/4P3/8/2PK1PPP/5B1R b - -,f7f6 e5f6 g8f6 f1d3 h8e8 f2f3 c8b7 h1e1 d7d6 h2h4,-361
r4rk1/bp3pp1/p1pP4/P2n4/1P1Np2p/B3PqPP/5P1K/1R1Q1R2 b - -,h4g3 f2g3 f3d1 b1d1 d5e3 d4f5 e3d1 f1d1 f8d8 a3b2,-341
8/1R4kp/6p1/5p2/4B3/1bP3P1/1r3PKP/8 b - -,g7f8 e4c6 g6g5 c3c4 f5f4 g3f4 b2c2 b7b3 c2c4 b3b8,437
8/4k3/2p1b3/1p6/p3R1p1/2b3P1/6K1/8 b - -,g7f8 e4c6 g6g5 c3c4 f5f4 g3f4 b2c2 b7b3 c2c4 b3b8,Mate
rr2n1k1/2nq1pbp/pp1p2p1/2pPP3/P1B2BP1/2NQ1P2/1P2R2P/3R2K1 b - -,g7h8 e5e6 d7e7 f4g3 b6b5 a4b5 h8c3 d3c3 a6b5 c4b3,131
r2qkb1r/npp1pppp/p4n2/3P4/2p1P3/5NP1/PPQ2P1P/R1B1KB1R b KQkq -,e7e5 f1c4 f8b4 e1f1 c7c6 d5c6 a7c6 f1g2 a8c8 h1d1,105
rnbqk2r/pppp1ppp/5n2/1Nb1N3/4P3/8/PPPP1PPP/R1BQKB1R b KQkq -,e8h8 d2d4 c5b4 c2c3 b4e7 f1d3 c7c6 b5a3 e7a3 b2a3,54
8/5R2/kp4K1/8/P3N1p1/6P1/6r1/8 b - -,g2a2 f7f4 a6a5 e4f6 a2a4 f4a4 a5a4 f6d5 a4b5 d5b6,513
2q3k1/1pnrr2p/p2p1p2/PPp1pPp1/2P1P3/3PB2P/1R4P1/1R1Q2K1 b - -,c8e8 h3h4 h7h6 b5b6 c7a8 g2g4 e7h7 b2h2 d7g7 h2h3,249
r2q1rk1/1bpn1ppp/pp1bpN2/8/3P4/2PB1N2/PP2QPPP/R1B2RK1 b - -,d7f6 f1d1 f6h5 d3c2 d6f4 e2d3 g7g6 c1f4 h5f4 d3e3,32
8/8/8/4Bpp1/6kp/8/6K1/8 b - -,g4h5 g2f3 h5g6 e5c7 g6h6 c7d8 h6h5 d8f6 h5g6 f6d8,-3
rr2n1k1/2nq1pbp/pp4p1/2pPB3/P1B3P1/2NQ1P2/1P2R2P/3R2K1 b - -,e8d6 e5d6 d7d6 c3e4 d6f4 d5d6 g7d4 g1g2 c7e8 d6d7,126
rn1qk2r/4bppp/4bn2/pp6/3P4/5N2/PPP2PPP/RNBQR1K1 b kq -,e8h8 a2a3 b8d7 b1c3 b5b4 d4d5 e6g4 a3b4 a5b4 a1a8,-298
r3kb1r/p1p2p1p/2pq1np1/4pb2/8/2NPPQ1P/PPP2PP1/R1B1K1NR b KQkq -,f8g7 e3e4 f5c8 g1e2 f6d7 b2b3 d7c5 c3b1 c5e6 b1d2,118
7r/pR2bk2/3p4/P2Pp1pP/1P1pP1B1/3r1p1P/5P2/1R4K1 b - -,d3a3 b7a7 a3c3 b4b5 d4d3 b1d1 h8b8 b5b6 c3b3 h5h6,554
r1bqk2r/5ppp/2nbpn2/pp1p4/2pP4/P1P1PNB1/1PBN1PPP/R2Q1RK1 b kq -,e8h8 e3e4 d6g3 h2g3 f6g4 f3h4 h7h5 f1e1 a8b8 d2f1,58
8/1p4k1/p1b1R3/2P4r/8/2K5/8/8 b - -,g7f7 e6e1 h5c5 c3b4 c5f5 b4c3 f7f6 c3d4 a6a5 d4c4,-522
8/4k3/2p1b3/1p6/5Rp1/p1b3P1/6K1/8 b - -,h5c5 c3b4 c5f5 b4c3 f5b5 c3d3 g7f7 e6e1 a6a5 d3d4,Mate
8/1KP5/p2q4/1p6/1P6/P5k1/8/8 b - -,d6d5 b7b8 d5e5 b8b7 e5e4 b7b8 e4f4 b8b7 f4f3 b7b8,-11
r1bq1rk1/ppp1b1pp/n2p1n2/3Ppp2/1PP5/P1N2NP1/4PPBP/R1BQK2R b KQ -,a8b8 e1h1 d8e8 a1b1 c8d7 c4c5 g8h8 f3g5 h7h6 g5e6,61
3r2k1/3q2pp/p5rn/P1RP1p2/2Q1pP2/8/4B1PP/5R1K b - -,e4e3 c5c7 d7e8 e2h5 e8e4 h5g6 h7g6 h2h3 e4c4 c7c4,293
rr4k1/2nq1p1p/pp1n2p1/2pPR3/P1B1N1P1/3Q1P2/1P5P/3R2K1 b - -,c7e8 e5e8 d6e8 d5d6 a8a7 d3e3 b6b5 c4d5 b5a4 e3c5,96
8/5Pk1/8/8/2p5/2K5/1P6/8 b - -,g7f7 c3c4 f7e6 c4c5 e6d7 c5b6 d7e6 b6a6 e6e5 b2b3,921
8/4R3/5ppk/8/4PP1K/2r3P1/7P/8 b - -,g6g5 f4g5 f6g5 h4g4 c3c2 e7e6 h6g7 h2h3 c2c5 g4h5,464
rnbqkbnr/p1pppp1p/8/1p4p1/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq -,g5g4 f3d4 a7a6 d4b3 d7d5 d3d4 h7h5 b1c3 g8f6 c1f4,49
8/8/8/7p/5p2/4k3/8/4K3 b - -,g5g4 f3d4 a7a6 d4b3 d7d5 d3d4 h7h5 b1c3 g8f6 c1f4,Mate
2R5/rp1r1pk1/pR2p1p1/P3P2p/1P6/7P/5PP1/6K1 b - -,d7d4 c8c7 a7a8 c7b7 g7g8 g1f1 d4d2 b6d6 d2c2 d6d7,196
r4rk1/1R1n1ppp/p1pqpn2/8/2QP4/3BPN2/P4PPP/2R3K1 b - -,c6c5 d3f1 f8c8 b7b2 g7g6 h2h3 f6d5 b2c2 c5d4 c4d4,46
2rr2k1/4ppb1/5qpp/pp6/8/P4R1P/1PB2PP1/1RQ3K1 b - -,f6c6 b2b4 a5b4 f3f7 g8f7 c2b3 e7e6 c1e3 b4a3 b1e1,-454
8/1p4k1/p1b1R3/2r5/1K6/8/8/8 b - -,c5f5 b4a3 g7f7 e6e1 f7f6 e1g1 f5e5 a3a2 a6a5 a2a3,-541
5r2/1ppR2k1/pb5p/4N1p1/2B1Pp2/P1P4P/5rP1/6K1 b - -,g7f6 e5g4 f6g6 g4f2 f4f3 g2g3 b6c5 e4e5 g6f5 d7c7,Mate
1r2q2k/1pp3pp/2n1br2/pQ2N3/2P2p2/1P6/P4PBP/3RR1K1 b - -,,0
rnbqkbnr/ppp1p1pp/8/3p4/4p3/1BN5/PPPP1PPP/R1BQK1NR b KQkq -,g8f6 c3d5 b8c6 d1e2 f6d5 e2h5 g7g6 h5d5 d8d5 b3d5,-10
8/4k3/2p1b3/1p6/6p1/2b3P1/p5K1/5R2 b - -,g8f6 c3d5 b8c6 d1e2 f6d5 e2h5 g7g6 h5d5 d8d5 b3d5,Mate
3b1rk1/1p1r1p1p/3pp1p1/p6q/2PBP3/PP3PP1/4Q1KP/3R4 b - -,g6g5 d4a1 h5g6 c4c5 d6d5 e2b2 f7f6 h2h3 g6f7 b3b4,-417
8/8/8/8/p2K4/k1Q5/1p2P3/8 b - -,d8e7 g3g4 h5h6 h2h4 h6h4 a3a4 e7f6 d4b2 f6b2 e2b2,Mate
2b2r2/4ppbk/pq3rpp/1p1P4/2p1P3/2P2NQP/PPB3P1/3R1R1K b - -,b6d8 e4e5 f6b6 f3h4 f7f5 a2a4 b5a4 e5e6 d8e8 c2a4,195
7r/R3bk2/3p4/P2Pp1pP/1P1pP1B1/2r2p1P/5P2/1R4K1 b - -,f7f6 b4b5 d4d3 b1d1 c3b3 b5b6 h8b8 h5h6 b8e8 b6b7,584
5k2/1p6/6p1/p3n1P1/1N2PK2/r4P2/8/5R2 b - -,a3f3 f1f3 e5f3 b4d5 f3e1 f4e3 e1c2 e3d2 c2d4 d2d3,-85
rn1q1rk1/4bppp/4bn2/pp4N1/3P4/8/PPP2PPP/RNBQR1K1 b - -,e6g4 d1d3 b8c6 c2c3 d8d5 a2a4 b5a4 h2h3 g4f5 d3d1,-351
brnbqk1r/p1pp2pp/4p2n/1p2Pp2/1P3P2/5N2/P1PP2PP/BRNBQK1R b KQkq -,f8h8 f1h1 a7a6 f3d4 c8b6 c1d3 a8d5 a2a3 b6c4 d3c5,33
2b3k1/p4p1p/1p1pp1pP/6B1/8/5Nb1/P1P3B1/2K5 b - -,c8b7 c1d2 f7f5 d2e2 b7d5 a2a4 d5c6 g5d2 e6e5 a4a5,-161
rnbqkbnr/pp2p1pp/2p5/3p4/4p3/1BNP4/PPP2PPP/R1BQK1NR b KQkq -,e4d3 c2d3 g8f6 d3d4 c8f5 g1f3 e7e6 f3e5 b8d7 g2g4,-48
3r2k1/3q2pp/p2P2r1/P1R5/2Q1pPp1/8/6PP/5R1K b - -,g6e6 f4f5 g8h8 f5e6 d7d6 c5c8 h7h6 c8d8 d6d8 c4e4,1237
rb1qk2r/3n1ppp/p1p1pn2/1pPpN2b/3P4/1PN1P2P/PB2BPP1/R2Q1RK1 b kq -,d7e5 d4e5 h5e2 c3e2 d8c7 b3b4 a6a5 a2a3 a5b4 a3b4,109
8/1p4k1/p1b1R3/1r6/8/K7/8/8 b - -,g7f7 e6e3 f7f6 e3h3 b5e5 a3b4 f6e6 b4c4 a6a5 h3h6,-578
4k3/3b2pp/p3p3/1p1pP3/8/2P1K3/PPN3PP/8 b - -,g7g5 e3d4 e8d8 d4c5 d8c7 c2d4 d7c8 d4f3 h7h6 f3d4,398
r3k2r/p1p1bp1p/2pq1np1/4pb2/4P3/2NP1Q1P/PPP2PP1/R1B1K1NR b KQkq -,f5d7 g1e2 e8h8 c1h6 f8e8 b2b3 a7a5 e1h1 f6h5 a1d1,167
r2q1rk1/1bp2ppp/pp1bpn2/4N3/3P4/2PB4/PP2QPPP/R1B2RK1 b - -,c7c5 c1e3 d8c7 e3f4 f6d5 f4g3 c5d4 c3d4 a8c8 a2a3,-21
rnbqk2r/ppp2ppp/3p1n2/1Nb5/4P3/3N4/PPPP1PPP/R1BQKB1R b KQkq -,c5b6 a2a4 a7a5 b5c3 e8h8 f1e2 f8e8 d3f4 f6e4 c3e4,-5
r1b2q2/p1p3Q1/1p2kr1p/n7/7P/3B4/PP1N1PP1/2KRR3 b - -,c5b6 a2a4 a7a5 b5c3 e8h8 f1e2 f8e8 d3f4 f6e4 c3e4,Mate
2kr3r/1p1bq3/1Qp3np/6p1/1pNNP3/7P/P1P3P1/2KR2R1 b - -,b4b3 a2b3 d7e6 c4a5 d8d4 d1d4 e7c7 b6a7 c7b8 a7b8,730
rnk4r/p5Rp/1qp1Q3/3p4/1P6/8/P1P2PPP/R5K1 b - -,b4b3 a2b3 d7e6 c4a5 d8d4 d1d4 e7c7 b6a7 c7b8 a7b8,Mate
2R5/p7/1b2B1pk/3P4/4P2P/5K2/P2r4/8 b - -,h6g7 f3f4 a7a6 e6g4 d2a2 d5d6 a2d2 d6d7 a6a5 f4e5,321
1rr5/pp2k2p/4p1p1/3bN3/PP6/4KP2/6PP/R1R5 b - -,a7a5 b4a5 b8a8 c1c8 a8c8 a1b1 c8c2 e5d3 c2g2 d3f4,22
r1b2rk1/ppp1qpp1/2np1n1p/8/3PP2B/2PB1N1P/P4PP1/R2Q1RK1 b - -,e7e8 h4f6 g7f6 f3h4 f6f5 h4f5 c8f5 e4f5 e8e7 a1b1,345
8/8/8/8/5p1p/4k3/8/5K2 b - -,e7e8 h4f6 g7f6 f3h4 f6f5 h4f5 c8f5 e4f5 e8e7 a1b1,Mate
r2qkb1r/n1p1pppp/p4n2/1p1P4/2p1P3/5NP1/PPQ2PBP/R1B1K2R b KQkq -,e7e6 d5e6 f7e6 e1h1 d8d3 c2d3 c4d3 f3e5 c7c5 e5d3,194
3r1k2/2Rq2pp/p2P2r1/P7/2Q1pPp1/8/6PP/5R1K b - -,g6e6 c7d7 d8e8 d7c7 e4e3 d6d7 e8d8 c4e6 e3e2 e6e2,3515
rr4k1/2nq1p1p/pp4p1/2pP4/P1B1R1P1/3Q1P2/1P5P/3R2K1 b - -,b8e8 d5d6 c7e6 c4a6 e6d4 a6b5 d4b5 e4e8 a8e8 a4b5,128
3b1rk1/1p1r3p/3pp1p1/p4P1q/2PB4/PP3PP1/4Q1KP/3R4 b - -,h5f5 g3g4 f5f7 d4e3 e6e5 h2h3 f7f6 e3h6 f8e8 e2d3,-482
2R5/rp3pk1/pR2p1p1/P2rP2p/1P3P2/7P/6P1/6K1 b - -,d5d7 b6d6 d7d6 e5d6 b7b5 a5b6 a7d7 g1f2 g7f6 f2e3,390
