4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r1n1r1k1/1p2qppp/p1p1bn2/8/3PN3/P2B1N1P/1P1Q1PP1/2R1R1K1 b - -,c8d6 e4c5 e7c7 c5e6 e8e6 e1e6 f7e6 c1e1 a8e8 d3b1,129
6k1/2Q5/q4pPp/p1p5/1pP1P3/1P1P3P/8/5R1K b - -,c8d6 e4c5 e7c7 c5e6 e8e6 e1e6 f7e6 c1e1 a8e8 d3b1,Mate
2rqr1k1/1b1n3p/pp2pb2/3p1npP/3P4/1P1Q1NPB/PB1N1P2/R3R1K1 b - -,f6g7 e1e2 d7f8 a1e1 f5d6 f3e5 a6a5 b2a3 d6e4 d2e4,187
r3r1k1/pb2qp1p/1pn1p1p1/3pP3/3P4/P1PB1N2/2Q2PPP/R3R1K1 b - -,g8h8 h2h4 a8c8 a1b1 e8g8 c2c1 g8g7 g2g3 h8g8 g1g2,107
r1bq1rk1/ppp1Nppp/2np4/2b5/2B1P3/5N2/PP3PPP/R1BQ1RK1 b - -,d8e7 h2h3 c6e5 f3e5 e7e5 d1d3 f8e8 c1d2 c8e6 c4e6,-145
rr4k1/q4ppp/p3b3/R1ppP3/8/1P1Q4/1P1N1PPP/3R2K1 b - -,h7h6 h2h3 a7c7 d3c3 b8c8 d1a1 c7b6 c3e3 e6d7 g1h2,-29
1R6/5pk1/2N3p1/7p/1r1P4/3n1K2/6PP/8 b - -,b4c4 d4d5 c4c3 b8b5 d3e5 f3e4 e5c6 d5c6 c3c6 e4f3,-12
6k1/7Q/4qpPp/p1p5/1pP1P3/1P1P3P/8/5R1K b - -,b4c4 d4d5 c4c3 b8b5 d3e5 f3e4 e5c6 d5c6 c3c6 e4f3,Mate
2r3k1/pp2qpp1/7p/2N1p3/3pQ3/5P2/1P1N2PP/5K2 b - -,e7c5 b2b4 c5c1 e4e1 c1e1 f1e1 b7b6 d2e4 c8d8 g2g4,-616
1r2r1k1/2pb1pp1/2n4p/pp2p3/4P3/2PBN3/PP2RPPP/R5K1 b - -,e8d8 e2c2 d7e6 d3f1 g7g6 g2g3 g8g7 b2b3 c6e7 c3c4,-20
r1n1r1k1/1p2qppp/p1p1b3/8/3PB3/P4N1P/1P1Q1PP1/2R1R1K1 b - -,c8d6 f3g5 d6e4 g5e4 e6d5 e4c5 e7d6 d2c3 e8b8 e1e5,13
r7/pbp3Bk/1p1p2n1/5Bp1/5P2/4n1PP/PP5N/R5K1 b - -,e3f5 g7f6 f5g3 f4g5 a8e8 h2f1 g3f5 a1c1 c7c5 c1c2,-536
