r1bq1rk1/1p1nb1pp/p2p4/3P1p2/2P2P2/2NB4/PP5P/R1BQ1RK1 b - -,d7c5 c1e3 e7f6 a1c1 c8d7 g1h1 f8e8 d1d2 c5d3 d2d3,-91
8/8/5QK1/8/8/8/pk6/8 b - -,,0
r2qkbnr/pp1b1p1p/2npp1p1/8/4P3/1QN2N2/PP2BPPP/R1B2RK1 b kq -,f8e7 h2h3 d8b8 c1e3 h7h6 b3a3 g6g5 b2b4 c6e5 f3e5,42
r2qkb1r/pp1b1p1p/2nppnp1/8/4P3/1QN2N2/PP2BPPP/R1BR2K1 b kq -,a8c8 b3b7 f8e7 h2h3 e8h8 c1h6 f8e8 b7b3 c8b8 b3c2,67
rnbqk2r/p3ppbp/1pp2np1/2Pp4/1P1P1B2/4PN2/P4PPP/RN1QKB1R b KQkq -,a7a5 c5b6 d8b6 b4b5 a5a4 b1c3 f6e4 a1c1 e8h8 f4b8,-44
8/4K3/7r/8/8/8/3k4/8 b - -,a7a5 c5b6 d8b6 b4b5 a5a4 b1c3 f6e4 a1c1 e8h8 f4b8,Mate
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PP1P/2N2N2/PPPP2P1/R1BQK2R b KQkq -,g8f6 h4h5 f6h5 f3g5 e7e6 h1h5 g6h5 d1h5 d8e7 f4f5,-94
rnbqkbnr/4pppp/2pp4/1p6/p3P3/P7/BPPP1PPP/RNBQK1NR b KQkq -,g8f6 b1c3 e7e6 g1f3 c8a6 e1h1 b5b4 a3b4 a6f1 d1f1,-1
r1b1k2r/1p2bpp1/p1p1pn2/7p/3q1B2/2N3PP/PPP1QPB1/3R1RK1 b kq -,d4b4 a2a3 b4a5 f1e1 e8h8 f4e5 f6d7 e5d6 e7d6 d1d6,76
r3r1k1/ppn2p1p/2pb1qp1/5p2/2PP2b1/3BB1P1/PPNQ1P1P/R4RK1 b - -,f5f4 e3f4 d6f4 d2f4 f6f4 g3f4 c7e6 f2f3 e6f4 f3g4,-60
r1b1k2r/ppppnp1p/1bn2Np1/4p3/2B1P3/3P1N2/PPP2PPP/R1B1K2R b KQkq -,e8d8 f3g5 b6a5 c2c3 e7g8 g5f7 d8e7 f6g4 d7d5 e4d5,483
rnbqkb1r/pp2pp1p/5np1/2pp4/3P1P2/2PBPN2/PP4PP/RNBQK2R b KQkq -,d8c7 e1h1 b8c6 b2b3 a7a6 h2h3 c5d4 c3d4 c8f5 d3f5,4
8/5p2/P4p2/1R3k2/3K3p/7P/6r1/8 b - -,f5g6 b5a5 g2d2 d4c5 d2d8 a6a7 d8a8 c5b6 f6f5 b6b7,417
8/6K1/r7/4k3/8/8/8/8 b - -,f5g6 b5a5 g2d2 d4c5 d2d8 a6a7 d8a8 c5b6 f6f5 b6b7,Mate
4rk1Q/1pq2p2/r2nP3/p3p3/P7/3R4/1PP2PPP/6K1 b - -,f8e7 h8h4 e7e6 c2c3 e6d7 h4g4 f7f5 g4f5 d7d8 f5h5,-509
8/7K/r7/5k2/8/8/8/8 b - -,f8e7 h8h4 e7e6 c2c3 e6d7 h4g4 f7f5 g4f5 d7d8 f5h5,Mate
8/6K1/r7/6k1/8/8/8/8 b - -,f8e7 h8h4 e7e6 c2c3 e6d7 h4g4 f7f5 g4f5 d7d8 f5h5,Mate
6k1/5p2/3P2p1/8/4PP2/5qP1/6RQ/7K b - -,g8g7 h2h4 f3d1 h1h2 d1d6 e4e5 d6e6 g2d2 e6f5 d2b2,871
5K2/r7/8/6k1/8/8/8/8 b - -,g8g7 h2h4 f3d1 h1h2 d1d6 e4e5 d6e6 g2d2 e6f5 d2b2,Mate
r3k2r/pbqnbppp/1pn1p3/2ppP3/2P5/3P1NP1/PP1NQPBP/R1B1R1K1 b kq -,d5c4 d2c4 e8h8 c1f4 a8e8 a2a3 c7b8 d3d4 b6b5 c4d6,-29
r3k2r/1ppq1ppp/p1np1n2/2b1p3/P1B1P1b1/2PP1N2/1P1N1PPP/R1BQR1K1 b kq -,e8h8 d2f1 g4e6 c4e6 f7e6 b2b4 c5a7 a1a2 h7h6 f1g3,30
