rnbqkbnr/ppp1pppp/8/4P3/5P2/3P4/PP1P2PP/RNBQKBNR b KQkq -,b8c6 b1c3 c8f5 g1f3 e7e6 a2a3 g8e7 b2b4 a7a5 b4b5
1k5r/p7/1p2p3/3pPpQ1/PPpP1P2/2P2q2/6RB/7K b - -,
r1bq1r2/ppp1ppkp/1n4p1/8/3n3P/2NP2P1/PP1QPPB1/R3K1NR b KQ -,h7h5 a1c1 e7e5 e2e3 d4f5 g1f3 f8e8 e1h1 c7c6 b2b4
1r3rk1/pp1bqp1p/n3pp2/2b5/2Q5/P1N2NP1/1P2PPBP/R2R2K1 b - -,d7c6 b2b4 c5b6 c4g4 g8h8 g4h4 b8e8 a1c1 a6c7 f3d2
8/8/8/p2kPp1K/5P2/3p4/8/2B5 b - -,a5a4 h5g5 d5e6 g5h4 a4a3 c1a3 d3d2 h4g3 d2d1q a3d6
r1b2rk1/1p3ppp/2n1pn2/p7/2N5/P2P1NP1/1P3PBP/R2R2K1 b - -,a8a6 c4e5 f8d8 e5c6 a6c6 f3e5 c6c5 d3d4 c5b5 d1c1
rn1qkbnr/1p1b1ppp/p2p4/2p1p3/4P3/1PN2N2/P1PPBPPP/R1BQK2R b KQkq -,b8c6 e1h1 f8e7 c3d5 g8f6 d5e7 d8e7 d2d3 e8h8 c2c3
8/4k3/8/p4p2/Pp1K4/8/7R/8 b - -,e7f6 h2b2 f6e6 d4c5 e6e5 c5b6 e5e6 b6a5 e6d5 b2b4
2B5/8/5k2/p2K2b1/6R1/1PP5/4r3/8 b - -,e2e5 d5c4 f6e7 g4d4 g5e3 d4d7 e7e8 d7h7 e3d2 c4d4
rnbqkbnr/pp3ppp/3p4/4p3/4P3/2N1B3/PP3PPP/R2QKBNR b KQkq -,g8f6 f1c4 f8e7 g1f3 f6g4 e3d2 e8h8 e1h1 b8c6 f1e1
8/pNr1kp1p/2PP2p1/1p6/1P2KP2/7P/P5P1/8 b - -,g8f6 f1c4 f8e7 g1f3 f6g4 e3d2 e8h8 e1h1 b8c6 f1e1
rnbqkbnr/ppp1p1pp/5p2/4P3/Q4P2/3P4/PP1P2PP/RNB1KBNR b KQkq -,b8c6 g1f3 c8g4 f1e2 e7e6 b1c3 g8e7 e5f6 g7f6 b2b4
r1bq1rk1/1p1ppp1p/2n2npQ/p7/4P3/1NN5/PPP2PPP/R3KB1R b KQ -,a5a4 b3d2 a4a3 a1b1 d7d6 f1c4 a3b2 b1b2 c6e5 c4b3
r1bqkbnr/pp3ppp/2n5/2p1p1B1/3p4/1P1P1NP1/P1P1PPBP/RN1QK2R b KQkq -,f8e7 g5e7 g8e7 e1h1 e8h8 e2e3 f7f6 c2c3 d4e3 f2e3
r1bq1rk1/1pp2ppp/1pn2n2/3P4/2B2B2/P2P1N2/1PP3PP/R2QK2R b KQ -,b6b5 d5c6 b5c4 e1h1 d8d5 f4c7 d5c6 c7e5 f8d8
4q1r1/r2k4/2Qb1p2/Pp2pP2/3P4/6N1/2RB3P/6RK b - -,d7e7 c6e8 g8e8 g3e4 d6b8 d4e5 e7d8 e4f6 b8e5 f6e8
r1br2k1/1p3ppp/2n1pn2/p7/2NP4/P4NP1/1P3PBP/R2R2K1 b - -,a8a6 f3e5 c6e7 a1c1 g8f8 c4e3 a6b6 d1d2 b6d6 c1c5
r1bqk2r/5ppp/n1p1pn2/8/3P4/1Q2PN2/5PPP/RN2KB1R b KQkq -,a8b8 b3a3 a6b4 a3c1 e8h8 f1e2 f6d7 e1h1 c6c5 d4c5
